��ҵ,��˾,up,down,tp,fp,tn,fn,result
煤炭,600758,2,1,1,0,0,0,up
煤炭,002128,1,0,0,1,0,0,up
煤炭,601699,0,2,0,0,0,1,down
煤炭,600408,2,1,1,0,0,0,up
煤炭,601088,1,0,1,0,0,0,up
煤炭,601015,0,1,0,0,0,1,down
煤炭,601001,0,1,0,0,0,1,down
煤炭,600395,1,2,0,0,0,1,down
煤炭,600348,1,2,0,0,0,1,down
煤炭,601666,0,3,0,0,0,1,down
煤炭,600997,0,2,0,0,1,0,down
煤炭,601225,1,2,0,0,0,1,down
煤炭,601898,0,2,0,0,0,1,down
煤炭,600532,1,0,0,1,0,0,up
煤炭,601011,0,2,0,0,0,1,down
煤炭,600985,0,2,0,0,1,0,down
煤炭,600740,0,1,0,0,1,0,down
煤炭,600123,0,1,0,0,0,1,down
煤炭,000723,0,1,0,0,0,1,down
煤炭,000552,1,0,1,0,0,0,up
煤炭,000983,1,2,0,0,0,1,down
煤炭,600508,1,2,0,0,0,1,down
煤炭,603113,0,1,0,0,0,1,down
钢铁,000923,0,1,0,0,1,0,down
钢铁,000655,2,0,1,0,0,0,up
钢铁,600295,1,0,1,0,0,0,up
钢铁,601969,0,1,0,0,0,1,down
钢铁,000629,2,0,1,0,0,0,up
有色金属,000762,0,1,0,0,0,1,down
石油石化,601857,1,0,1,0,0,0,up
综合,000833,2,0,1,0,0,0,up
��ҵ,��˾,up,down,tp,fp,tn,fn,result
