日期,结算价
2018/12/31,{}
2019/01/01,{}
2019/01/02,46.54
2019/01/03,47.09
2019/01/04,47.96
2019/01/05,{}
2019/01/06,{}
2019/01/07,48.52
2019/01/08,50.11
2019/01/09,52.69
2019/01/10,52.91
2019/01/11,51.91
2019/01/12,{}
2019/01/13,{}
2019/01/14,50.8
2019/01/15,52.39
2019/01/16,52.61
2019/01/17,52.36
2019/01/18,54.04
2019/01/19,{}
2019/01/20,{}
2019/01/21,{}
2019/01/22,53.01
2019/01/23,52.62
2019/01/24,53.13
2019/01/25,53.69
2019/01/26,{}
2019/01/27,{}
2019/01/28,51.99
2019/01/29,53.31
2019/01/30,54.23
2019/01/31,53.79
2019/02/01,55.26
2019/02/02,{}
2019/02/03,{}
2019/02/04,54.56
2019/02/05,53.66
2019/02/06,54.01
2019/02/07,52.64
2019/02/08,52.72
2019/02/09,{}
2019/02/10,{}
2019/02/11,52.78
2019/02/12,53.47
2019/02/13,54.31
2019/02/14,54.79
2019/02/15,55.98
2019/02/16,{}
2019/02/17,{}
2019/02/18,{}
2019/02/19,56.45
2019/02/20,57.16
2019/02/21,56.96
2019/02/22,57.26
2019/02/23,{}
2019/02/24,{}
2019/02/25,55.48
2019/02/26,55.5
2019/02/27,56.94
2019/02/28,57.22
2019/03/01,55.8
2019/03/02,{}
2019/03/03,{}
2019/03/04,56.59
2019/03/05,56.56
2019/03/06,56.22
2019/03/07,56.66
2019/03/08,56.43
2019/03/09,{}
2019/03/10,{}
2019/03/11,57.12
2019/03/12,57.2
2019/03/13,58.59
2019/03/14,58.91
2019/03/15,58.82
2019/03/16,{}
2019/03/17,{}
2019/03/18,59.38
2019/03/19,59.29
2019/03/20,60.23
2019/03/21,59.98
2019/03/22,59.04
2019/03/23,{}
2019/03/24,{}
2019/03/25,58.82
2019/03/26,59.94
2019/03/27,59.41
2019/03/28,59.3
2019/03/29,60.14
2019/03/30,{}
2019/03/31,{}
2019/04/01,61.59
2019/04/02,62.58
2019/04/03,62.46
2019/04/04,62.1
2019/04/05,63.08
2019/04/06,{}
2019/04/07,{}
2019/04/08,64.4
2019/04/09,63.96
2019/04/10,64.65
2019/04/11,63.67
2019/04/12,64.02
2019/04/13,{}
2019/04/14,{}
2019/04/15,63.56
2019/04/16,64.19
2019/04/17,63.87
2019/04/18,64.07
2019/04/19,{}
2019/04/20,{}
2019/04/21,{}
