import,export,production,history_price,stock,supply,sproduct_price,sproduct_demand,demand,fproduct_price,price,sales,income,cost,profit,company_profit,eps,pe
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,0,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,1 
0,0,0,1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
-1,0,1,1,1,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,-1,1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,1 
0,0,0,-1,0,1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,1 
0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,1,-1,0,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,-1,0,0,-1,1,1,-1,0,1,-1,-1,-1,1 
0,0,-1,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,-1,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,-1,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,-1,1,0,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,-1,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
0,0,1,-1,0,1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,1 
0,0,1,0,0,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,0,-1,1,0,1,0,1,1,1,0,1,1,1,-1 
0,0,0,-1,-1,-1,0,0,0,0,1,0,1,0,1,1,1,-1 
0,0,0,1,0,1,0,0,1,-1,-1,1,0,-1,1,1,1,-1 
