公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前,
10000977,2017-03-31 00:00:00,26276869.24,19817061.9,19860828.38,70337663.08,26335224.55,2287118.93,-58355.31,39828942.79,-14763083.45,228271664.04,2921795402.79,2630132688.61,0.033287,0.033,None,None,None,None,None,None,0.76,912909349.52,274894157.39,277247541.02,2644760.07,2,0.033,0.033,None,0.033209,0.028973,0.008711,103.3176,0.19795400000000002,1093.5445,None,0.905111,None,None,0.10483700000000001,None,None,None,0.759633,0.103948,None,None,0.012665,None,0.000771,71.062,1167.3152,0.002496,360.5769,0.0062180000000000004,0.308131,0.0061329999999999996,0.128667,0.115368,0.6687919999999999,0.079587,0.030516,0.00687,0.0062180000000000004,0.331208,20.2783,8.4818,267.679,0.0305,None,None,0.642031,None,-0.150394,-0.151631,0.0017449999999999998,0.000136,0.021922999999999998,0.001437,0.144888,0.000866,0.033,4.4179,0.0669,0.09488899999999999,0.0075,0.033,0.0076,0.8197,None,19860828.38,2.0845,None,None,None,770226146.95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.4421,
10000977,2017-06-30 00:00:00,66368398.88,57350784.16,56890106.56,193232192.25,66503703.73,19843347.51,-135304.85,90544499.49,104466895.44,548556224.93,3056319793.51,2668201004.43,0.096333,0.096,None,0.097,None,None,None,None,2.17,1041989563.55,370937937.49,373291321.12,2749399.64,2,0.096,0.096,0.097,0.028090999999999998,0.025185,0.021443,83.9435,0.46812800000000004,2513.9233,None,0.8778619999999999,None,4.892218,0.139131,None,None,0.535359,0.7507670000000001,0.13825300000000001,None,17.9441,0.029571999999999998,0.00988,0.0018110000000000001,60.8684,993.926,0.0056040000000000005,321.1991,0.01836,0.352256,0.018522,0.141945,0.12123400000000001,0.626525,0.10229300000000001,0.893769,0.19831900000000002,0.174097,0.37347499999999995,20.4609,29.6949,291.1509,0.0943,None,None,0.841927,None,-0.126572,-0.114268,0.001651,0.00029600000000000004,0.016135999999999998,0.002426,0.244096,0.002067,0.096,4.4818,0.1521,0.12213800000000001,0.0215,0.096,0.0217,0.8197,0.097,56890106.56,2.1476,None,None,None,782272299.49,None,None,None,9856368.69,41476220.68,4070985.52,None,1496472.99,88132.9,None,None,261209.03,110704.75,64301.1,4.5067,
10000977,2017-09-30 00:00:00,114376227.97,96038982.61,95765920.05,293993763.7,114762619.54,28726747.01,-386391.57,174221911.17,130666635.59,887824799.7,3068237973.57,2707020181.62,0.161318,0.161,None,None,None,None,None,None,3.61,1057815672.57,342533587.75,344886971.38,6357976.47,2,0.161,0.161,None,0.030882,0.028889,0.038208,70.6658,0.583435,1898.9407,None,0.887594,None,None,0.126641,None,None,None,0.738216,0.125777,None,None,0.059355000000000005,None,0.0029249999999999996,45.489,923.0769,0.008997,300.1,0.031388,0.331139,0.031726000000000004,0.149033,0.129263,0.644843,0.108473,0.16176500000000002,0.035363000000000006,0.031388,0.355157,19.5563,24.7782,257.041,0.1618,None,None,0.9656619999999999,None,-0.10668699999999999,-0.110663,0.001962,0.000568,0.018091,0.005052,0.5086269999999999,0.00332,0.161,4.547,0.2926,0.112406,0.0355,0.161,0.0361,0.8197,None,95765920.05,2.2126,None,None,None,791155698.99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.5744,
10000977,2017-12-31 00:00:00,-304757693.32,-316293533.76,-261857077.31,329394240.88,-248276207.24,36444222.43,-56481486.08,121173306.28,49671477.6,1043825925.17,2658402830.81,2294425861.25,-0.531282,-0.531,None,-0.44,None,None,None,None,-12.9,979052867.34,294823874.6,351865322.71,4890977.55,2,-0.531,-0.531,-0.44,0.033208,0.028095,0.046334999999999994,77.695,0.393328,-6131.018,None,0.86764,None,4.122496,0.152551,None,None,0.536943,0.728083,0.127821,None,21.0465,0.049702,0.018615,0.0036880000000000003,72.4317,976.1388,0.011016999999999999,326.7677,-0.120466,0.315564,-0.113139,-0.325664,-0.237852,0.65561,-0.306801,0.272556,0.07034900000000001,0.061037999999999995,0.34439,21.2077,6.5748,-108.084,-0.5379,None,None,0.6676529999999999,None,-0.12148400000000001,-0.114674,0.001161,0.000456,None,0.003444,0.41100200000000003,0.004233,-0.531,3.854,0.2035,0.13236,-0.1379,-0.531,-0.129,0.8197,-0.44,-261857077.31,1.52,None,None,None,798873174.41,None,None,None,17078506.53,1334319.63,4719147.82,None,243282.02,8288.0,None,None,796026.83,103323.05,1000.0,3.8743,
10000977,2018-03-31 00:00:00,19029460.87,14619191.87,10077682.06,52370831.32,14559975.34,-2237681.43,4469485.53,267722998.24,230154520.23,245668405.31,2664662373.65,2310358364.95,0.024556,0.025,None,None,None,None,None,None,0.63,995081438.38,286735569.06,343315494.71,814003.81,2,0.025,0.025,None,0.034704,0.030546000000000004,0.02461,36.5705,1.207095,2437.7607,None,0.87116,None,None,0.147895,None,None,None,0.719229,0.123521,None,None,0.013895999999999999,None,0.0009229999999999999,64.7668,975.0813,0.002489,361.591,0.005064999999999999,0.21317699999999998,0.005071,0.083119,0.059267,0.763523,0.054936,0.022669,0.005814000000000001,0.005064999999999999,0.236477,14.5095,11.7282,275.2092,0.0227,None,None,0.076211,-0.257127,-0.12221399999999999,-0.088005,0.010898000000000001,0.001005,0.198371,0.007798,0.933693,0.001062,0.025,3.8807,0.4497,0.12884,0.0063,0.025,0.0063,0.8197,None,10077682.06,1.5445,None,None,None,796635492.98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.8992,
10000977,2018-06-30 00:00:00,54131476.63,40861992.83,35672307.79,95127082.32,49013815.87,-2555805.34,5117660.76,327038301.04,219901162.4,452397082.85,2610972274.81,2337451572.33,0.068636,0.069,None,0.06,None,None,None,None,1.76,961489333.84,217214263.18,263910956.57,1343628.55,2,0.069,0.069,0.06,0.044265,0.038402,0.050439,35.6867,1.546233,4128.7531,None,0.898922,None,4.2623050000000005,0.11244300000000002,None,None,0.526888,0.702786,0.09254699999999999,None,21.0901,0.024937,0.00815,0.001717,72.1819,1048.3401,0.004663,386.0176,0.014692,0.21027300000000002,0.01456,0.127652,0.108342,0.7663899999999999,0.08479300000000001,0.8949739999999999,0.227013,0.204067,0.23361,14.7626,4.7327,175.7334,0.0644,None,None,-0.17529499999999998,-0.316383,-0.125219,-0.145714,0.007229,0.001253,0.085255,0.012392,1.505602,0.001944,0.069,3.9262,0.5493,0.10107799999999999,0.0175,0.069,0.0176,0.8197,0.06,35672307.79,1.5886,None,None,None,796317369.07,None,None,None,5514028.62,880382.03,None,None,1135482.23,121541.82,None,None,1350747.25,24087.51,None,3.9424,
10000977,2018-09-30 00:00:00,96032641.86,73829121.62,68653337.08,177204356.89,90931836.6,5361041.6,5100805.26,374014011.8,264002238.83,779986356.15,2709219319.57,2369201915.87,0.124012,0.124,None,None,None,None,None,None,3.17,1065156489.4,284486143.4,329395871.57,-88509.55,2,0.124,0.124,None,0.037441,0.034455,0.069996,38.5736,1.335618,-108399.7516,None,0.878417,None,None,0.138412,None,None,None,0.690834,0.11954100000000001,None,None,0.049648000000000005,None,0.002906,54.3829,929.1122,0.007631,353.8199,0.026701000000000003,0.227189,0.026954,0.133817,0.11658099999999999,0.750121,0.092744,0.121509,0.030396999999999997,0.026701000000000003,0.249879,14.7261,10.8941,184.5251,0.1215,None,None,-0.121464,-0.248855,-0.126141,-0.117011,0.004795,0.001381,0.051703,0.011354999999999999,1.3147,0.003329,0.124,3.9796,0.6282,0.12158300000000001,0.031200000000000002,0.124,0.0317,0.8197,None,68653337.08,1.644,None,None,None,804234216.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.9974,
10000977,2018-12-31 00:00:00,130095113.65,100475786.39,92397970.75,227621442.01,131249769.65,14922399.83,-1154656.0,316775424.94,203026837.02,1041278828.75,2715753947.98,2395686331.97,0.16877,0.169,None,0.155,None,None,None,None,4.28,1069612044.5,264839843.87,308461232.69,-2274967.9,2,0.169,0.169,0.155,0.040387000000000006,0.036173000000000004,0.11848,30.3849,1.380299,-5618.5472,None,0.886418,None,6.465634,0.128136,None,None,0.456071,0.6838150000000001,0.110016,None,13.7097,0.060243000000000005,0.022349,0.003875,59.758,929.0323,0.010165,354.1564,0.036810999999999997,0.218598,0.037204,0.135733,0.126047,0.758848,0.096007,0.9137900000000001,0.22598700000000002,0.200319,0.241152,13.9063,10.5828,174.9654,0.1679,None,None,-0.00244,None,0.043682,0.021574,0.0030420000000000004,0.001166,0.031687,0.01027,1.196102,0.004418,0.169,4.0241,0.5321,0.113582,0.04190000000000001,0.169,0.042800000000000005,0.8197,0.155,92397970.75,1.6728,None,None,None,810719510.94,None,None,None,501035.69,1603601.55,5392141.29,None,679058.35,11220.0,None,None,98000.0,1823.94,167681.85,4.0436,
10000977,2019-03-31 00:00:00,36994744.5,29651007.93,29896772.93,64942154.46,37247456.52,3943310.68,-252712.02,65786976.97,58919792.49,288107820.23,2647295623.13,2426228383.9,0.049805,0.05,None,None,None,None,None,None,1.23,1060464273.04,166912866.23,210379977.8,-159565.93,2,0.05,0.05,None,0.063534,0.060189000000000006,0.037361,24.0893,2.543111,-23084.6137,None,0.92053,None,None,0.08632999999999999,None,None,None,0.651164,0.068493,None,None,0.025682,None,0.0010739999999999999,35.044,837.9888,0.0027050000000000004,332.7172,0.010853,0.225409,0.010714999999999999,0.14648899999999998,0.129283,0.746198,0.099726,0.048261000000000005,0.01179,0.010853,0.25380199999999997,10.1967,9.976,175.5443,0.0483,None,None,0.172751,1.128909,0.049785,-0.006516999999999999,0.002283,0.000249,0.022896999999999997,0.0031269999999999996,0.39414,0.001189,0.05,4.0754,0.1105,0.07947,0.012199999999999999,0.05,0.0123,0.8197,None,29896772.93,1.7226,None,None,None,752262821.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.0933,
10000977,2019-06-30 00:00:00,107335613.11,84347088.81,83177730.21,146241299.99,107585078.11,15711381.25,-249465.0,242495719.45,234221432.47,607660671.95,2753825707.96,2481693475.59,0.141679,0.142,None,0.14,None,None,None,None,3.46,1171166640.64,223040803.68,260320591.98,-2301681.6,2,0.142,0.142,0.14,0.052509,0.048983,0.08277100000000001,21.7467,2.5994330000000003,-4563.3563,None,0.905469,None,6.900539,0.10439899999999999,None,None,0.441892,0.634713,0.089449,None,13.1217,0.047003,0.016565,0.002222,38.2954,810.081,0.005424,331.8584,0.030704,0.240663,0.030917,0.21016300000000002,0.17704799999999998,0.735748,0.13914400000000002,0.908616,0.216938,0.196431,0.264252,8.1141,14.4052,136.2468,0.142,None,None,0.343202,1.204175,0.062395,0.054713000000000005,0.003991,0.000881,0.028679999999999997,0.009315,1.087226,0.00248,0.142,4.1685,0.4073,0.09453099999999999,0.034,0.142,0.0346,0.8197,0.14,83177730.21,1.8145,None,None,None,764030892.19,None,None,None,309196.56,1158055.95,744762.6,None,570967.91,11220.0,None,None,34200.0,364.79,None,4.1884,
10000977,2019-09-30 00:00:00,218572630.55,174130606.17,172788597.63,265768502.83,219186960.37,34813652.8,-614329.82,339026469.87,359363358.79,1018887681.25,2860583503.54,2572711272.82,0.292489,0.292,None,None,None,None,None,None,7.01,1297863259.35,239346932.01,275443334.24,-4532569.28,2,0.292,0.292,None,0.054225,0.049982,0.12876200000000002,20.9689,2.945187,-4722.2678,None,0.9037109999999999,None,None,0.10654899999999999,None,None,None,0.604501,0.092586,None,None,0.068609,None,0.003654,39.3534,738.9163,0.008607,313.6982,0.06116,0.260842,0.062748,0.264799,0.21512399999999998,0.7176359999999999,0.17171,0.293871,0.067676,0.06116,None,7.0968,15.6467,121.5928,0.2939,None,None,0.30628900000000003,1.418517,0.086274,0.055869999999999996,0.003327,0.0011849999999999999,0.019378,0.012308,1.416465,0.004082,0.292,4.3214,0.5695,0.096289,0.0677,0.292,0.0701,0.8197,None,172788597.63,1.9653,None,None,None,751133163.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.3423,
