公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率,
10000149,2018-12-31 00:00:00,其中:贸易煤业务,千元,人民币,11681000.0,None,None,11107000.0,None,None,None,
10000149,2018-12-31 00:00:00,煤炭,元,人民币,62428000000.0,None,None,34544000000.0,None,None,None,
10000149,2018-12-31 00:00:00,铁路运输,元,人民币,420000000.0,None,None,178000000.0,None,None,None,
10000149,2018-12-31 00:00:00,其中：自产煤业务,元,人民币,50747000000.0,None,None,23437000000.0,None,None,None,
10000149,2018-12-31 00:00:00,煤化工,元,人民币,3495000000.0,None,None,2254000000.0,None,None,None,
10000149,2018-12-31 00:00:00,机电装备,元,人民币,478000000.0,None,None,331000000.0,None,None,None,
10000149,2018-12-31 00:00:00,热力,元,人民币,34000000.0,None,None,19000000.0,None,None,None,
10000149,2018-12-31 00:00:00,电力,元,人民币,592000000.0,None,None,532000000.0,None,None,None,
10000149,2018-12-31 00:00:00,其他（补充）,元,人民币,95561368000.0,None,None,93380519000.0,None,None,None,
,,,,,,,,,,,,
