公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前,
80010371,2017-03-31 00:00:00,15073000000.0,5699000000.0,6865000000.0,53860000000.0,15683000000.0,992000000.0,-610000000.0,72988000000.0,-1613000000.0,493559000000.0,2390153000000.0,1197862000000.0,0.031139,0.03,None,None,None,None,None,None,0.5,411884000000.0,557540000000.0,1003767000000.0,5760000000.0,2,0.03,0.03,None,0.0073880000000000005,0.004736000000000001,0.089918,10.0091,0.181219,361.684,-0.012436000000000001,0.580041,0.075782,None,0.724017,1.2620399999999998,0.115553,None,1.426925,0.5328029999999999,3.139421,None,0.026589,None,0.002062,33.8486,436.4694,0.012439,72.3531,0.004442,0.109126,0.004436,0.031488,0.031775000000000005,0.793844,0.021511,0.05801,0.007658000000000001,0.004442,0.206156,7.9002,2.5343,357.3277,0.058,None,None,0.39885800000000005,None,0.037496999999999996,-0.001389,0.001479,0.000305,0.068746,0.000727,0.130911,0.0035770000000000003,0.03,6.5449,0.3988,0.41995899999999997,0.0048,0.03,0.005,0.7014,None,6865000000.0,3.8898,None,None,None,80954000000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.575,
80010371,2017-06-30 00:00:00,27829000000.0,12674000000.0,15302000000.0,104129000000.0,31322000000.0,2470000000.0,-3493000000.0,144833000000.0,16607000000.0,975909000000.0,2399984000000.0,1197977000000.0,0.069249,0.069,None,None,None,None,None,None,1.06,430764000000.0,561914000000.0,1015799000000.0,11328000000.0,2,0.069,0.069,None,0.007665999999999999,0.005188000000000001,0.17769,10.13,0.215428,345.6656,-0.015805,0.5767479999999999,0.08636799999999999,1.9857159999999998,0.733861,1.237362,0.130245,0.546669,1.422657,0.555702,3.0273610000000004,29.0448,0.054328,0.013895999999999999,0.004069,33.1321,442.3691,0.024024,74.9251,0.008733999999999999,0.106699,0.008739,0.029316,0.032095,0.796331,0.021478,3.2729250000000003,0.432756,0.249591,0.20366900000000002,7.9426,-3.676,374.1744,0.1145,None,None,0.32046100000000005,0.24022200000000002,0.016212,-0.007653,0.001484,0.000603,0.069096,0.001426,0.257749,0.007078999999999999,0.069,6.5456,0.7913,0.423252,0.0106,0.069,0.0106,0.7013,None,15302000000.0,3.8898,None,None,None,81833000000.0,None,None,None,6240000000.0,2219000000.0,None,None,None,None,None,None,1072000000.0,694000000.0,None,7.563,
80010371,2017-09-30 00:00:00,40440000000.0,17362000000.0,21956000000.0,158113000000.0,46486000000.0,3757000000.0,-6046000000.0,244295000000.0,67220000000.0,1457704000000.0,2446111000000.0,1193257000000.0,0.094863,0.09,None,None,None,None,None,None,1.45,480409000000.0,610394000000.0,1066212000000.0,17156000000.0,2,0.09,0.09,None,0.00787,0.005641,0.262411,10.2892,0.27763899999999997,335.7193,-0.015788,0.56412,0.083896,None,0.772674,1.240098,0.129466,None,1.424526,0.591067,2.9120049999999997,None,0.08155200000000001,None,0.00602,33.1077,448.505,0.033819,79.8368,0.012219,0.10846700000000001,0.012343,0.028513999999999998,0.03189,0.791413,0.020505,0.163315,0.021661,0.012219,0.208587,8.1392,-5.6602,390.9817,0.1633,None,None,0.267087,0.43798699999999996,0.011206,0.016676,0.001676,0.000999,0.081731,0.002291,0.400225,0.010589999999999999,0.09,6.5198,1.3348,0.43588,0.0146,0.09,0.014499999999999999,0.7037,None,21956000000.0,3.8462,None,None,None,83143000000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.5396,
80010371,2017-12-31 00:00:00,53083000000.0,22793000000.0,26778000000.0,235550000000.0,57769000000.0,6734000000.0,-4686000000.0,366655000000.0,24846000000.0,2015890000000.0,2404910000000.0,1193810000000.0,0.124538,0.12,None,None,None,None,None,None,1.9,425162000000.0,576667000000.0,1023300000000.0,21648000000.0,2,0.12,0.12,None,0.007372999999999999,0.004864,0.40134000000000003,8.97,0.236048,345.2097,-0.012884,0.574496,0.081164,1.8523589999999999,0.7406579999999999,1.2555459999999998,0.12379,0.554242,1.432928,0.558666,3.021273,31.0143,0.108683,0.027742,0.008396,33.1239,428.7756,0.049970999999999995,72.0418,0.015297,0.11684699999999999,0.015322,0.027282999999999998,0.028657,0.785879,0.018249,3.478629,0.460812,0.264734,0.21412099999999998,8.1989,3.8581,443.7391,0.201,None,None,0.24675999999999998,0.250697,0.00625,0.003321,0.001819,0.0015249999999999999,0.09966699999999999,0.0035830000000000002,0.635818,0.014636,0.12,6.5228,2.0033,0.42550400000000005,0.0191,0.12,0.019,0.7029,None,26778000000.0,3.8654,None,None,None,81216000000.0,None,None,None,1884000000.0,2338000000.0,None,None,None,None,None,None,1053000000.0,541000000.0,None,7.5489,
80010371,2018-03-31 00:00:00,24290000000.0,10150000000.0,12348000000.0,62166000000.0,27226000000.0,2148000000.0,-2936000000.0,61802000000.0,2793000000.0,542654000000.0,2397887000000.0,1201051000000.0,0.055458,0.06,None,None,None,None,None,None,0.8,452281000000.0,550388000000.0,1005996000000.0,6070000000.0,2,0.06,0.06,None,0.008217,0.00557,0.085843,10.4843,0.235141,500.1647,-0.020873,0.5804659999999999,0.08539899999999999,None,0.7227549999999999,1.218541,0.128253,None,1.397815,0.5425460000000001,3.079232,None,0.029672999999999998,None,0.00226,30.3306,398.2301,0.012369000000000002,72.7626,0.006343,0.114559,0.006333,0.046735,0.050172,0.793918,0.028027000000000003,0.08310000000000001,0.010927,0.006343,0.206082,7.2332,-3.2441,255.9325,0.0831,None,None,0.099471,0.43251399999999995,0.003971,0.003236,0.001139,0.000258,0.040635000000000004,0.0006140000000000001,0.112288,0.003913,0.06,6.5624,0.3377,0.419534,0.0085,0.06,0.008,0.7029,None,12348000000.0,3.92,None,None,None,82751000000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.6051,
80010371,2018-06-30 00:00:00,60406000000.0,27086000000.0,30227000000.0,134489000000.0,64574000000.0,3939000000.0,-4168000000.0,146158000000.0,-5300000000.0,1108822000000.0,2408333000000.0,1208495000000.0,0.148,0.148,None,None,None,None,None,None,2.24,464504000000.0,565880000000.0,1008047000000.0,9707000000.0,2,0.148,0.148,None,0.008209,0.005384,None,None,0.227167,722.2932,-0.018742,0.581434,0.078893,1.9264359999999998,0.7198869999999999,1.222314,0.119475,0.536755,1.388166,0.5398040000000001,3.089678,30.1818,0.057199,0.015058,0.004607,31.4691,390.7098,0.024927,72.2109,0.015505,0.12129,0.015516,0.057714999999999995,0.058237,0.7853270000000001,0.033675000000000004,3.63166,0.474667,0.275988,0.215729,6.5197,-0.3791,222.6418,0.204,None,None,0.136194,0.781404,0.011632,0.003479,0.001318,0.000607,0.039142,0.00145,0.25828399999999996,0.007972,0.148,6.603,0.7986,0.418566,0.022400000000000003,0.148,0.022400000000000003,0.7031,None,30227000000.0,3.9517,None,None,None,83947000000.0,None,None,None,970000000.0,1200000000.0,None,None,None,None,None,None,1198000000.0,697000000.0,None,7.651,
80010371,2018-09-30 00:00:00,101491000000.0,48121000000.0,58179000000.0,222995000000.0,114637000000.0,5398000000.0,-13146000000.0,256937000000.0,31683000000.0,1709933000000.0,2483559000000.0,1217735000000.0,0.262926,0.263,None,None,None,None,None,None,4.0,534908000000.0,623828000000.0,1068308000000.0,14211000000.0,2,0.263,0.263,None,0.008575000000000001,0.005738,None,None,0.267521,814.1721,-0.021274,0.569848,0.076167,None,0.754854,1.214554,0.11790300000000001,None,1.376894,0.574452,2.964642,None,0.08251099999999999,None,0.006996,32.7229,385.9348,0.035621,75.798,0.025497000000000002,0.130412,0.025907,0.063497,0.067042,0.7759659999999999,0.037031999999999995,0.34598799999999996,0.044743000000000005,0.025497000000000002,0.224034,6.5156,-7.6342,219.719,0.346,None,None,0.173032,1.118535,0.025619,0.015309,0.001503,0.001035,0.040576,0.002405,0.41187199999999996,0.012228000000000001,0.263,6.6535,1.4039,0.430152,0.0395,0.263,0.04,0.7031,None,58179000000.0,3.9779,None,None,None,86208000000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.7327,
80010371,2018-12-31 00:00:00,115200000000.0,52585000000.0,66195000000.0,313325000000.0,134812000000.0,11956000000.0,-19612000000.0,351565000000.0,-37179000000.0,2353588000000.0,2432558000000.0,1214570000000.0,0.287317,0.29,None,None,None,None,None,None,4.4,433128000000.0,586386000000.0,1021615000000.0,18480000000.0,2,0.29,0.29,None,0.007386,0.004409,0.421601,8.5389,0.16223600000000002,723.3766,-0.011589,0.580024,0.073012,1.89915,0.724065,1.258653,0.11180300000000001,0.534247,1.417088,0.541475,3.082886,30.5413,0.11429,0.031617,0.009731,31.4988,369.9517,0.054844,65.6407,0.029767000000000002,0.133127,0.029937000000000002,0.052474999999999994,0.057279,0.775149,0.030766,3.9345,0.510365,0.296024,0.224851,6.5889,-6.6458,271.9835,0.3956,None,None,0.167518,0.968305,0.021231,0.011496,0.001494,0.0014449999999999999,0.048552,0.003441,0.599545,0.016856,0.29,6.6362,1.9209,0.41997599999999996,0.0433,0.29,0.044000000000000004,0.7031,None,66195000000.0,3.9732,None,None,None,89432000000.0,None,None,None,921000000.0,712000000.0,None,None,None,None,None,None,1364000000.0,669000000.0,None,7.7092,
80010371,2019-03-31 00:00:00,24584000000.0,10251000000.0,13731000000.0,66337000000.0,29273000000.0,2478000000.0,-4689000000.0,62022000000.0,30416000000.0,591041000000.0,2634448000000.0,1226174000000.0,0.056,0.056,None,None,None,None,None,None,0.8,499138000000.0,567673000000.0,1207748000000.0,7423000000.0,2,0.056,0.056,None,0.008793,0.0057989999999999995,None,None,0.21857800000000002,431.1869,-0.02617,0.541556,0.06808,None,0.846533,1.329539,0.111673,None,1.496678,0.523604,3.422851,None,0.027264,None,0.002333,33.0106,385.7694,0.01268,70.9779,0.00609,0.112238,0.006333,0.043657,0.049527999999999996,0.794649,0.027147,0.087668,0.011246,0.00609,0.205351,6.4997,-8.9937,269.8381,0.0877,None,None,0.08916700000000001,0.054966999999999995,0.025008,0.09865399999999999,0.001049,0.000235,0.038655,0.000514,0.109257,0.004166,0.056,6.6996,0.3389,0.458444,0.0084,0.056,0.008,0.7033,None,13731000000.0,4.0293,None,None,None,91757000000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.7953,
80010371,2019-06-30 00:00:00,61773000000.0,28420000000.0,30386000000.0,138897000000.0,65092000000.0,5233000000.0,-3319000000.0,134425000000.0,4686000000.0,1196259000000.0,2637779000000.0,1226965000000.0,0.155283,0.155,None,None,None,None,None,None,2.33,481393000000.0,602315000000.0,1211662000000.0,14028000000.0,2,0.155,0.155,None,0.007992,0.005081,0.180916,9.9494,0.187352,540.355,-0.012097,0.540651,0.055455,1.938083,0.849623,1.3714009999999999,0.09302899999999999,0.5180899999999999,1.512068,0.524918,3.4195170000000004,27.8962,0.054004,0.016179,0.004719,33.3309,381.4367,0.026161,68.8047,0.014836,0.116109,0.015437000000000001,0.054527,0.054413,0.789915,0.032714,3.953585,0.507384,0.274318,0.21008500000000002,6.3142,3.0984,224.8507,0.2138,None,None,0.078856,0.048072,0.018447,0.09527200000000001,0.001124,0.0005099999999999999,0.034349,0.001109,0.22318100000000002,0.008433000000000001,0.155,6.704,0.7345,0.459349,0.0232,0.155,0.0233,0.6948,None,30386000000.0,4.033,None,None,None,93960000000.0,None,None,None,383000000.0,720000000.0,None,None,None,None,None,None,1171000000.0,914000000.0,None,7.7921,
