enddate,companycode,secucode,openingnetvalue,endingnetvalue,
2022-06-30 00:00:00,170452,601969,2179781030.0,2187465430.0,
2022-06-30 00:00:00,1692,600759,7506676827.11,7605938489.07,
2022-06-30 00:00:00,2148,601857,905825000000.0,888146000000.0,
2021-12-31 00:00:00,2148,601857,887645000000.0,905825000000.0,
2021-12-31 00:00:00,1692,600759,7753038566.41,7506676827.11,
2021-12-31 00:00:00,170452,601969,1578508780.0,2179781030.0,
2021-06-30 00:00:00,170452,601969,1578508780.0,2206946870.0,
2021-06-30 00:00:00,1692,600759,7753038566.41,7611233068.9,
2021-06-30 00:00:00,2148,601857,887645000000.0,848074000000.0,
2020-12-31 00:00:00,170452,601969,1801740210.0,1578508780.0,
2020-12-31 00:00:00,2148,601857,902101000000.0,887645000000.0,
2020-12-31 00:00:00,1692,600759,8370411145.98,7753038566.41,
2020-06-30 00:00:00,1692,600759,8370411145.98,8275145980.7,
2020-06-30 00:00:00,170452,601969,1801740210.0,1769259090.0,
2020-06-30 00:00:00,2148,601857,902101000000.0,869769000000.0,
2019-12-31 00:00:00,170452,601969,1682538790.0,1801740210.0,
2019-12-31 00:00:00,1692,600759,8286314054.18,8370411145.98,
2019-12-31 00:00:00,2148,601857,858236000000.0,902101000000.0,
2019-06-30 00:00:00,170452,601969,1682538790.0,1773342630.0,
2019-06-30 00:00:00,2148,601857,858236000000.0,842396000000.0,
2019-06-30 00:00:00,1692,600759,8286314054.18,8292824802.06,
2018-12-31 00:00:00,1692,600759,8028958928.35,8286314054.18,
2018-12-31 00:00:00,2148,601857,869365000000.0,858236000000.0,
2018-06-30 00:00:00,2148,601857,850995000000.0,810775000000.0,
2018-06-30 00:00:00,1692,600759,8028958928.35,8079912560.34,
2017-12-31 00:00:00,2148,601857,845729000000.0,851424000000.0,
2017-12-31 00:00:00,1692,600759,8286337708.93,8028958928.35,
2017-06-30 00:00:00,2148,601857,881217000000.0,828068000000.0,
2017-06-30 00:00:00,1692,600759,8286337708.93,8124443133.8,
2016-12-31 00:00:00,2148,601857,905696000000.0,881217000000.0,
2016-12-31 00:00:00,1692,600759,8071002299.69,8286337708.93,
2016-06-30 00:00:00,1692,600759,8071002299.69,8098081826.06,
2016-06-30 00:00:00,2148,601857,905696000000.0,865260000000.0,
2015-12-31 00:00:00,2148,601857,896192000000.0,905696000000.0,
2015-12-31 00:00:00,1692,600759,5080291221.8,8071002299.69,
2015-06-30 00:00:00,1692,600759,5080291221.8,5293718454.76,
2015-06-30 00:00:00,2148,601857,880482000000.0,857894000000.0,
2014-12-31 00:00:00,2148,601857,813254000000.0,896192000000.0,
2014-12-31 00:00:00,1692,600759,None,5080291221.8,
2014-06-30 00:00:00,2148,601857,813254000000.0,799246000000.0,
2014-06-30 00:00:00,1692,600759,None,4075948086.56,
2013-12-31 00:00:00,2148,601857,745979000000.0,813254000000.0,
2013-06-30 00:00:00,2148,601857,745979000000.0,741735000000.0,
2012-12-31 00:00:00,2148,601857,656841000000.0,745979000000.0,
2012-06-30 00:00:00,2148,601857,656841000000.0,655616000000.0,
2011-12-31 00:00:00,2148,601857,601919000000.0,656841000000.0,
2011-06-30 00:00:00,2148,601857,601919000000.0,597231000000.0,
2010-12-31 00:00:00,2148,601857,528232000000.0,601919000000.0,
2010-06-30 00:00:00,2148,601857,528232000000.0,528824000000.0,
2009-12-31 00:00:00,2148,601857,480406000000.0,528232000000.0,
2009-06-30 00:00:00,2148,601857,473090000000.0,472310000000.0,
2008-12-31 00:00:00,2148,601857,409706000000.0,480161000000.0,
2008-06-30 00:00:00,2148,601857,329539000000.0,323157000000.0,
2007-12-31 00:00:00,2148,601857,243731000000.0,329539000000.0,
,,,,,
