enddate,infopubldate,companycode,netprofit,
2022-09-30 00:00:00,2022-10-27 00:00:00,1450,2130648119.9,
2022-09-30 00:00:00,2022-10-21 00:00:00,1655,74514101.05,
2022-06-30 00:00:00,2022-08-26 00:00:00,1450,1544467443.99,
2022-06-30 00:00:00,2022-08-12 00:00:00,1655,48058969.52,
2022-06-30 00:00:00,2022-08-31 00:00:00,175066,283720000.0,
2022-06-30 00:00:00,2022-08-26 00:00:00,200592,None,
2022-06-30 00:00:00,2022-08-31 00:00:00,16965,3686074125.79,
2022-03-31 00:00:00,2022-04-28 00:00:00,1450,772276804.71,
2022-03-31 00:00:00,2022-04-28 00:00:00,1655,23040178.88,
2021-12-31 00:00:00,2022-04-28 00:00:00,1655,95280881.78,
2021-12-31 00:00:00,2022-03-25 00:00:00,200592,None,
2021-12-31 00:00:00,2022-04-22 00:00:00,175066,154230000.0,
2021-12-31 00:00:00,2022-04-15 00:00:00,16965,7372704110.24,
2021-12-31 00:00:00,2022-04-29 00:00:00,292002,428345616.01,
2021-12-31 00:00:00,2022-03-25 00:00:00,1450,409345417.08,
2021-09-30 00:00:00,2022-10-27 00:00:00,1450,603851667.59,
2021-09-30 00:00:00,2021-10-28 00:00:00,1450,603304096.39,
2021-09-30 00:00:00,2022-10-21 00:00:00,1655,60481709.67,
2021-09-30 00:00:00,2021-10-22 00:00:00,1655,60481709.67,
2021-06-30 00:00:00,2022-08-12 00:00:00,1655,34611440.16,
2021-06-30 00:00:00,2021-08-27 00:00:00,175066,-42080000.0,
2021-06-30 00:00:00,2021-08-06 00:00:00,1655,34611440.16,
2021-06-30 00:00:00,2021-08-31 00:00:00,16965,1964000000.0,
2021-06-30 00:00:00,2021-08-26 00:00:00,1450,421985308.17,
2021-06-30 00:00:00,2021-08-31 00:00:00,150481,2485768721.46,
2021-06-30 00:00:00,2022-08-26 00:00:00,1450,422437456.56,
2021-06-30 00:00:00,2021-08-26 00:00:00,200592,None,
2021-06-30 00:00:00,2022-08-31 00:00:00,16965,1963527758.7,
2021-03-31 00:00:00,2022-04-28 00:00:00,1450,200301925.35,
2021-03-31 00:00:00,2021-04-28 00:00:00,1655,13952151.32,
2021-03-31 00:00:00,2021-04-23 00:00:00,1450,200301925.35,
2021-03-31 00:00:00,2022-04-28 00:00:00,1655,13952151.32,
2020-12-31 00:00:00,2021-04-30 00:00:00,292002,421780337.24,
2020-12-31 00:00:00,2022-04-28 00:00:00,1655,17528492.16,
2020-12-31 00:00:00,2022-04-15 00:00:00,16965,2304262384.63,
2020-12-31 00:00:00,2021-04-23 00:00:00,150481,3135969366.25,
2020-12-31 00:00:00,2021-04-28 00:00:00,1655,17528492.16,
2020-12-31 00:00:00,2021-04-20 00:00:00,175066,-439640000.0,
2020-12-31 00:00:00,2022-04-29 00:00:00,292002,421780337.24,
2020-12-31 00:00:00,2021-04-27 00:00:00,200592,None,
2020-12-31 00:00:00,2021-04-15 00:00:00,16965,2304262384.63,
