secucode,innercode,companycode
000655,35646,186860
000723,38448,188131
000780,38357,188106
000552,33173,185684
001203,46706,201304
002207,62964,221825
002828,81868,230793
002978,85493,232025
600532,1697,1472
600777,2008,1710
300157,11949,81526
000552,239,198
601969,17476,170452
000762,428,371
603979,34319,175754
000723,396,344
002128,5317,4317
600395,1529,1373
300191,12126,81827
601857,6233,2148
600188,1308,1188
600348,1471,1330
601015,34884,170457
601088,6203,50407
601666,4800,3970
601808,6187,3440
601225,14655,161453
601001,4356,3655
600759,1988,1692
600792,2023,1725
600997,2185,1850
600295,1417,1285
600583,1773,1516
000968,588,524
600508,1662,1450
002828,35855,186936
603727,36689,187183
603113,49605,206055
600121,1249,1131
600403,1538,1380
600725,1950,1658
002128,168431,292861
603505,36679,187173
000833,485,428
601898,6599,23394
002629,173599,297325
000629,316,267
600123,1251,1133
600971,2904,2506
601101,10099,16968
601699,4587,3818
601918,6373,73256
600546,1714,1482
000937,566,503
600740,1967,1673
000833,19257,54774
000983,13671,52777
601011,12513,82565
600985,2169,1842
600408,1544,1383
600871,2118,1804
000655,332,281
600397,1531,1375
000571,33653,185840
000571,260,217
002629,14093,157839
300164,12140,81398
002554,73809,228351
000968,10918,52145
000923,7523,50826
000937,8898,51464
000983,602,538
600339,1464,1325
600968,85472,72579
000762,111167,252177
605086,264627,322481
000923,552,491
603619,61413,220242
001203,17076,170440
600758,1987,1691
002554,11779,81210
002978,121569,255287
000780,439,382
000937,43372,195079
000629,35198,186341
002207,6471,73448
000833,335411,641757
000923,41575,193323
000968,43613,195860
