enddate,infopubldate,companycode,secucode,totalshares,
2022-09-30 00:00:00,2022-09-30 00:00:00,267,000629,8602447902,
2022-09-21 00:00:00,2022-09-16 00:00:00,157839,002629,436648000,
2022-09-09 00:00:00,2022-09-06 00:00:00,82565,601011,1915664539,
2022-06-30 00:00:00,2022-08-26 00:00:00,2148,601857,183020977818,
2022-06-30 00:00:00,2022-08-24 00:00:00,170452,601969,2034496729,
2022-06-30 00:00:00,2022-08-26 00:00:00,23394,601898,13258663400,
2022-06-30 00:00:00,2022-08-30 00:00:00,157839,002629,411948000,
2022-06-30 00:00:00,2022-08-20 00:00:00,281,000655,595340230,
2022-06-30 00:00:00,2022-08-30 00:00:00,82565,601011,1915664539,
2022-06-30 00:00:00,2022-08-23 00:00:00,267,000629,8603026202,
2022-06-30 00:00:00,2022-08-27 00:00:00,1850,600997,1587799851,
2022-06-30 00:00:00,2022-08-26 00:00:00,1692,600759,2263507518,
2022-06-30 00:00:00,2022-08-27 00:00:00,1188,600188,4948703640,
2022-06-02 00:00:00,2022-06-07 00:00:00,170452,601969,2034496729,
2022-03-08 00:00:00,2022-03-10 00:00:00,82565,601011,1915664539,
2022-03-01 00:00:00,2022-02-24 00:00:00,170452,601969,2021701729,
2022-03-01 00:00:00,2022-03-02 00:00:00,1188,600188,4948703640,
2022-02-25 00:00:00,2022-02-26 00:00:00,1188,600188,4944646788,
2022-02-24 00:00:00,2022-02-26 00:00:00,1188,600188,4935924060,
2022-01-28 00:00:00,2022-01-28 00:00:00,267,000629,8603026202,
2022-01-27 00:00:00,2022-01-28 00:00:00,267,000629,8589746202,
2021-12-31 00:00:00,2022-03-19 00:00:00,281,000655,595340230,
2021-12-31 00:00:00,2022-03-21 00:00:00,157839,002629,411948000,
2021-12-31 00:00:00,2022-03-23 00:00:00,170452,601969,2021701729,
2021-12-31 00:00:00,2022-04-26 00:00:00,82565,601011,1604807397,
2021-12-31 00:00:00,2022-03-31 00:00:00,1188,600188,4874184060,
2021-12-31 00:00:00,2022-03-29 00:00:00,267,000629,8589746202,
2021-12-31 00:00:00,2022-03-25 00:00:00,23394,601898,13258663400,
2021-12-31 00:00:00,2022-04-23 00:00:00,1850,600997,1587799851,
2021-12-31 00:00:00,2022-04-25 00:00:00,1692,600759,2263507518,
2021-12-31 00:00:00,2022-04-01 00:00:00,2148,601857,183020977818,
2021-08-30 00:00:00,2021-09-01 00:00:00,170452,601969,2021701729,
2021-06-30 00:00:00,2021-08-26 00:00:00,1692,600759,2263507518,
2021-06-30 00:00:00,2021-07-20 00:00:00,157839,002629,411948000,
2021-06-30 00:00:00,2021-08-24 00:00:00,170452,601969,1954720314,
2021-06-30 00:00:00,2021-08-21 00:00:00,281,000655,595340230,
2021-06-30 00:00:00,2021-08-27 00:00:00,2148,601857,183020977818,
2021-06-30 00:00:00,2021-08-24 00:00:00,82565,601011,1604807397,
2021-06-30 00:00:00,2021-08-28 00:00:00,1188,600188,4874184060,
2021-06-30 00:00:00,2021-08-28 00:00:00,1850,600997,1587799851,
2021-06-30 00:00:00,2021-08-26 00:00:00,23394,601898,13258663400,
2021-06-30 00:00:00,2021-08-24 00:00:00,267,000629,8589746202,
2021-06-09 00:00:00,2021-06-08 00:00:00,267,000629,8589746202,
2021-05-19 00:00:00,2021-05-20 00:00:00,1188,600188,4874184060,
2021-03-31 00:00:00,2021-05-20 00:00:00,1188,600188,4873041592,
2021-02-25 00:00:00,2021-02-26 00:00:00,1188,600188,4873041592,
2021-02-24 00:00:00,2021-02-25 00:00:00,1188,600188,4871923859,
2021-02-22 00:00:00,2021-02-23 00:00:00,1188,600188,4867589585,
2020-12-31 00:00:00,2021-04-30 00:00:00,157839,002629,411948000,
2020-12-31 00:00:00,2021-04-30 00:00:00,1692,600759,2263507518,
2020-12-31 00:00:00,2021-03-26 00:00:00,2148,601857,183020977818,
2020-12-31 00:00:00,2021-03-27 00:00:00,1188,600188,4860000000,
2020-12-31 00:00:00,2021-03-26 00:00:00,170452,601969,1954720314,
2020-12-31 00:00:00,2021-04-27 00:00:00,82565,601011,1604807397,
2020-12-31 00:00:00,2021-03-30 00:00:00,267,000629,8589746202,
2020-12-31 00:00:00,2021-03-25 00:00:00,23394,601898,13258663400,
2020-12-31 00:00:00,2021-03-27 00:00:00,1850,600997,1587799851,
2020-12-31 00:00:00,2021-03-20 00:00:00,281,000655,595340230,
2020-06-30 00:00:00,2020-08-31 00:00:00,1692,600759,2263507518,
2020-06-30 00:00:00,2020-08-29 00:00:00,1188,600188,4860000000,
2020-06-30 00:00:00,2020-08-28 00:00:00,2148,601857,183020977818,
2020-06-30 00:00:00,2020-08-25 00:00:00,170452,601969,1954720314,
2020-06-30 00:00:00,2020-08-29 00:00:00,1850,600997,1587799851,
2020-06-30 00:00:00,2020-08-28 00:00:00,157839,002629,411948000,
2020-06-30 00:00:00,2020-08-22 00:00:00,281,000655,595340230,
2020-06-30 00:00:00,2020-08-25 00:00:00,82565,601011,1604807397,
2020-06-30 00:00:00,2020-08-18 00:00:00,267,000629,8589746202,
2020-06-30 00:00:00,2020-08-29 00:00:00,23394,601898,13258663400,
2020-06-29 00:00:00,2020-06-23 00:00:00,82565,601011,1604807397,
