500901027,俄罗斯联邦,General government total expenditure:Percent of GDP,,
500901006,俄罗斯联邦,Gross domestic product per capita, current prices,
500901009,俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,,
500901013,俄罗斯联邦,Gross national savings:Percent of GDP,,
500901000,俄罗斯联邦,Gross domestic product, constant prices,
501201000,中国,Gross domestic product, constant prices,
501201001,中国,Gross domestic product, constant prices:%,
501201003,中国,Gross domestic product, current prices,
501201004,中国,Gross domestic product, deflator,
501201005,中国,Gross domestic product per capita, constant prices,
501201007,中国,Gross domestic product per capita, current prices,
501201008,中国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,,
501201010,中国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,,
501201011,中国,Implied PPP conversion rate,,
501201012,中国,Total investment:Percent of GDP,,
501201014,中国,Inflation, average consumer prices,
501201016,中国,Inflation, end of period consumer prices,
501201022,中国,Unemployment rate,,
501201023,中国,Population,,
500101003,美国,Gross domestic product, current prices,
500101007,美国,Gross domestic product per capita, current prices,
500101001,美国,Gross domestic product, constant prices:%,
500101002,美国,Gross domestic product, current prices,
500101004,美国,Gross domestic product, deflator,
500101005,美国,Gross domestic product per capita, constant prices,
500101006,美国,Gross domestic product per capita, current prices,
500101009,美国,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,,
500101010,美国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,,
500101011,美国,Gross domestic product based on purchasing-power-parity (PPP) share of world total,,
500101012,美国,Implied PPP conversion rate,,
500101013,美国,Total investment:Percent of GDP,,
500101014,美国,Gross national savings:Percent of GDP,,
500101015,美国,Inflation, average consumer prices,
500101017,美国,Inflation, end of period consumer prices,
500101024,美国,Population,,
500101025,美国,General government revenue,,
500101026,美国,General government revenue:Percent of GDP,,
500101027,美国,General government total expenditure,,
500101028,美国,General government total expenditure:Percent of GDP,,
500101029,美国,General government net lending/borrowing,,
500101030,美国,General government net lending/borrowing:Percent of GDP,,
500101031,美国,General government structural balance,,
500101032,美国,General government structural balance:Percent of potential GDP,,
500901001,俄罗斯联邦,Gross domestic product, constant prices:%,
500901002,俄罗斯联邦,Gross domestic product, current prices,
500901003,俄罗斯联邦,Gross domestic product, current prices,
500901004,俄罗斯联邦,Gross domestic product, deflator,
500901005,俄罗斯联邦,Gross domestic product per capita, constant prices,
500901007,俄罗斯联邦,Gross domestic product per capita, current prices,
500901008,俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,,
500901010,俄罗斯联邦,Gross domestic product based on purchasing-power-parity (PPP) share of world total,,
500901011,俄罗斯联邦,Implied PPP conversion rate,,
500901012,俄罗斯联邦,Total investment:Percent of GDP,,
500901014,俄罗斯联邦,Inflation, average consumer prices,
500901016,俄罗斯联邦,Inflation, end of period consumer prices,
500901022,俄罗斯联邦,Unemployment rate,,
500901023,俄罗斯联邦,Population,,
500901024,俄罗斯联邦,General government revenue,,
500901025,俄罗斯联邦,General government revenue:Percent of GDP,,
500901026,俄罗斯联邦,General government total expenditure,,
500901028,俄罗斯联邦,General government net lending/borrowing,,
500901029,俄罗斯联邦,General government net lending/borrowing:Percent of GDP,,
500901030,俄罗斯联邦,General government structural balance,,
500901031,俄罗斯联邦,General government structural balance:Percent of potential GDP,,
500901032,俄罗斯联邦,General government primary net lending/borrowing,,
500901033,俄罗斯联邦,General government primary net lending/borrowing:Percent of GDP,,
500901034,俄罗斯联邦,General government gross debt,,
500901035,俄罗斯联邦,General government gross debt:Percent of GDP,,
500901036,俄罗斯联邦,Gross domestic product corresponding to fiscal year, current prices,
500901037,俄罗斯联邦,Current account balance,,
500901038,俄罗斯联邦,Current account balance:Percent of GDP,,
501201024,中国,General government revenue,,
501201025,中国,General government revenue:Percent of GDP,,
501201026,中国,General government total expenditure,,
501201027,中国,General government total expenditure:Percent of GDP,,
501201028,中国,General government net lending/borrowing,,
501201029,中国,General government net lending/borrowing:Percent of GDP,,
501201030,中国,General government structural balance,,
501201031,中国,General government structural balance:Percent of potential GDP,,
501201032,中国,General government primary net lending/borrowing,,
501201033,中国,General government primary net lending/borrowing:Percent of GDP,,
501201034,中国,General government gross debt,,
501201035,中国,General government gross debt:Percent of GDP,,
501201036,中国,Gross domestic product corresponding to fiscal year, current prices,
501201037,中国,Current account balance,,
501201038,中国,Current account balance:Percent of GDP,,
501201002,中国,Gross domestic product, current prices,
501201006,中国,Gross domestic product per capita, current prices,
501201009,中国,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,,
501201013,中国,Gross national savings:Percent of GDP,,
500101000,美国,Gross domestic product, constant prices,
500101023,美国,Unemployment rate,,
500101033,美国,General government primary net lending/borrowing,,
500101037,美国,General government gross debt,,
500101038,美国,General government gross debt:Percent of GDP,,
500101040,美国,Current account balance,,
500101041,美国,Current account balance:Percent of GDP,,
500101034,美国,General government primary net lending/borrowing:Percent of GDP,,
500101039,美国,Gross domestic product corresponding to fiscal year, current prices,
,,,,
