指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金,
801040,2018-09-30 00:00:00,CNSESZ,0.7096,0.6686,9.9644,0.0,0.159,0.0712,0.1155,0.0609,0.2371,0.1461,0.1377,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2297,2.5692,
801040,2018-03-31 00:00:00,CNSESZ,0.175,0.1752,2.9216,0.0,0.1386,0.0599,0.0974,0.0156,0.0625,0.0384,0.0384,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0054,2.4771,
801040,2017-06-30 00:00:00,CNSESH,0.1065,0.0999,3.3246,0.0,0.0937,0.032,0.0571,0.0218,0.0797,0.0447,0.0419,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3198,0.9125,
801040,2017-03-31 00:00:00,CNSESZ,0.0892,0.0875,2.9223,0.0,0.0977,0.0305,0.0582,0.0108,0.0417,0.0218,0.0214,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3972,2.471,
801040,2018-12-31 00:00:00,CNSESZ,0.8498,0.807,13.3656,0.0013,0.1538,0.0635,0.1041,0.0722,0.2764,0.1688,0.1603,0.0019,0.9981,None,None,None,None,None,None,None,None,None,0.4786,0.0,1.3449,2.5811,
801040,2019-03-31 00:00:00,CNSESZ,0.1,0.0972,2.774,0.0,0.1115,0.036,0.0649,0.0106,0.039,0.0216,0.021,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1237,2.3332,
801040,2019-06-30 00:00:00,CNSESZ,0.2289,0.2206,5.3887,0.0,0.1217,0.0424,0.0746,0.0249,0.0917,0.0522,0.0503,0.0,1.0,None,None,None,None,None,None,None,None,None,0.223,0.0,1.0567,2.1118,
801040,2019-09-30 00:00:00,CNSESZ,0.3561,0.3438,8.8224,0.0,0.1186,0.0403,0.0708,0.0379,0.1388,0.079,0.0763,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1883,2.1959,
801040,2017-12-31 00:00:00,CNSESZ,0.612,0.607,11.736,0.0,0.1327,0.0521,0.0858,0.0567,0.2285,0.1387,0.1376,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4606,0.0,0.8431,2.4481,
801040,2017-09-30 00:00:00,CNSESZ,0.4078,0.4081,8.8472,0.0,0.1202,0.0461,0.0783,0.0403,0.1617,0.0952,0.0952,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6621,2.4412,
801040,2018-06-30 00:00:00,CNSESZ,0.4361,0.4148,6.3159,0.0,0.1558,0.069,0.1127,0.038,0.1533,0.0939,0.0893,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1426,2.4902,
801040,2020-03-31 00:00:00,CNSESH,0.021,0.021,1.4945,0.0,0.0845,0.014,0.0368,0.0049,0.0166,0.0063,0.0063,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9514,1.0269,
801040,2019-12-31 00:00:00,CNSESZ,0.4339,0.4139,11.193,0.0893,0.1237,0.0387,0.0673,0.0486,0.1693,0.0974,0.0929,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3125,0.0,1.1853,2.1585,
801040,2020-06-30 00:00:00,CNSESZ,0.1841,0.1716,4.9812,0.0,0.1236,0.0369,0.0647,0.0217,0.0734,0.0419,0.039,0.0,1.0,None,None,None,None,None,None,None,None,None,0.068,0.0,1.2684,2.0441,
801040,2020-09-30 00:00:00,CNSESZ,0.318,0.2981,7.9735,0.0,0.1236,0.0398,0.068,0.0333,0.1156,0.0677,0.0635,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4046,2.0832,
801040,2020-12-31 00:00:00,CNSESZ,0.431,0.4141,10.8645,0.1308,0.1193,0.0396,0.0678,0.0447,0.1542,0.0901,0.0866,0.0,1.0,None,None,None,None,None,None,None,None,None,0.087,0.0,1.4782,2.0606,
801040,2021-06-30 00:00:00,CNSESZ,0.4967,0.4915,7.4636,0.0,0.1347,0.0665,0.0982,0.0437,0.1498,0.1014,0.1004,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.7808,2.1213,
801040,2021-03-31 00:00:00,CNSESZ,0.1824,0.1796,3.4109,0.0,0.1241,0.0534,0.0832,0.0167,0.0584,0.0375,0.0369,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0985,0.0,1.6081,2.0637,
801040,2021-09-30 00:00:00,CNSESH,0.4655,0.455,7.6099,0.0,0.127,0.0611,0.0909,0.0607,0.1941,0.1305,0.1276,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3125,1.0329,
801040,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
