行业代码,报表日期,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),每股未分配利润,每股资本公积金,流动比率,速动比率,应收账款周转率,资产负债率,每股现金流,总资产周转率,每股经营性现金流,非经常性损益比率,应收账款周转天数,存货周转率,存货周转天数,固定资产周转率,净资产增长率,红利发放比率,留存比率,每股净资产,调整后的每股净资产,
10102050,2017-09-30 00:00:00,0.7261,0.706,6.374,0.0,0.2842,0.1139,0.1938,0.0507,0.175,0.1028,0.1,3.7084,1.7565,1.5247,1.4116,None,50.5771,0.4004,None,1.529,3.4181,None,None,None,None,None,0.0,1.0,14.69,None,
10102050,2018-09-30 00:00:00,0.7926,0.7724,7.0692,0.0,0.2851,0.1121,0.2045,0.0532,0.1921,0.1053,0.1026,4.2551,1.813,1.5842,1.4786,None,50.0793,0.1495,None,1.5628,43.1671,None,None,None,None,None,0.0,1.0,16.14,None,
10102050,2019-12-31 00:00:00,0.8681,0.7399,9.6668,0.1192,0.2493,0.0898,0.1639,0.06,0.2044,0.1119,0.0954,4.4234,1.7117,1.2228,1.0771,20.6617,53.028,-0.0801,0.701,1.7517,3.9248,0.0483,16.979,0.0588,57.147,1.8685,0.1946,0.8054,1.765,None,
10102050,2020-09-30 00:00:00,0.6941,0.6038,7.3865,0.0,0.2291,0.0939,0.1639,0.0434,0.1404,0.0805,0.07,5.0265,1.792,1.2087,1.0647,None,51.2478,0.021,None,1.4366,15.8075,None,None,None,None,None,0.0,1.0,None,None,
10102050,2017-03-31 00:00:00,0.2557,0.2514,2.1009,0.0,0.2916,0.1217,0.2019,0.0176,0.0591,0.0356,0.035,3.9688,1.7885,1.1666,1.062,None,52.9218,0.0456,None,0.4104,68.5306,None,None,None,None,None,0.0,1.0,7.69,None,
10102050,2018-06-30 00:00:00,0.5106,0.5081,4.345,0.0,0.2946,0.1175,0.2128,0.0349,0.129,0.0712,0.0709,3.9294,1.7749,2.0063,1.8479,None,49.6664,0.0071,None,0.773,22.4469,None,None,None,None,None,0.0,1.0,1.2828,None,
10102050,2018-03-31 00:00:00,0.2589,0.2556,2.1124,0.0,0.2982,0.1225,0.2131,0.0175,0.06,0.0345,0.0341,4.0946,1.8127,1.6133,1.4787,None,48.5866,0.0638,None,0.3013,-6.4909,None,None,None,None,None,0.0,1.0,15.77,None,
10102050,2017-06-30 00:00:00,0.4846,0.4688,4.1044,0.0,0.2847,0.118,0.1967,0.0346,0.1198,0.0719,0.0696,3.3913,1.7091,1.8806,1.7184,None,52.3702,0.1597,None,0.8202,-0.4189,None,None,None,None,None,0.0,1.0,3.3266,None,
10102050,2021-03-31 00:00:00,0.2971,0.2894,2.6379,0.0,0.2447,0.1126,0.1927,0.0179,0.061,0.0356,0.0347,5.0877,1.6921,1.171,1.0564,None,52.4433,0.2024,None,0.4209,1.7038,None,None,None,None,None,0.0,1.0,9.96,None,
10102050,2021-06-30 00:00:00,0.6911,0.6775,5.7425,0.0,0.2444,0.1203,0.1995,0.0393,0.1355,0.0817,0.0801,5.0258,1.7823,1.1838,1.0382,None,53.4256,0.3126,None,1.1346,3.491,None,None,None,None,None,0.0,1.0,1.216,None,
10102050,2019-09-30 00:00:00,0.8196,0.7797,7.573,0.0,0.2574,0.1082,0.184,0.0515,0.169,0.0993,0.0945,4.8224,1.8112,1.2362,1.1118,None,49.6868,-0.0118,None,1.4738,28.8878,None,None,None,None,None,0.0,1.0,None,None,
10102050,2017-12-31 00:00:00,0.8907,0.8691,8.3053,0.0022,0.2935,0.1072,0.1932,0.0643,0.2276,0.1263,0.1232,3.7621,1.7324,1.959,1.6833,12.8983,50.6482,0.3389,0.5735,1.9686,-7.3143,0.0775,14.0814,0.071,19.3575,1.5569,0.0,1.0,2.9887,None,
10102050,2019-03-31 00:00:00,0.2768,0.2575,2.4061,0.0,0.2616,0.115,0.1944,0.0179,0.0584,0.0345,0.0321,4.6555,1.8209,1.8127,1.7163,None,48.7534,-0.0127,None,0.5501,7.9934,None,None,None,None,None,0.0,1.0,17.13,None,
10102050,2018-12-31 00:00:00,0.9459,0.9342,9.48,0.008,0.2805,0.0997,0.1889,0.0651,0.238,0.1256,0.1241,4.2813,1.7778,1.6266,1.4427,20.3188,51.9484,0.2077,0.7143,2.1783,18.5784,0.0492,17.712,0.0564,43.1326,1.9505,0.0093,0.9907,1.1033,None,
10102050,2020-12-31 00:00:00,0.7821,0.6818,9.6325,0.0849,0.2241,0.0811,0.1551,0.0523,0.1867,0.0977,0.0852,4.6717,1.6701,1.1018,0.9513,18.8038,54.0887,-0.023,0.5778,1.8171,15.5202,0.0531,16.6069,0.0602,55.9714,1.663,0.0,1.0,4.0012,None,
10102050,2021-09-30 00:00:00,1.1641,1.1589,9.4859,0.0,0.2518,0.1227,0.2039,0.0638,0.2161,0.13,0.1294,5.6097,1.7909,1.1598,1.0573,None,52.1121,0.6206,None,2.1791,-0.4725,None,None,None,None,None,0.0,1.0,None,None,
10102050,2020-03-31 00:00:00,0.1959,0.095,2.2563,0.0,0.2324,0.0868,0.1589,0.0127,0.0419,0.0229,0.0111,5.0039,1.828,1.1939,1.0898,None,51.6312,0.2083,None,0.4532,18.6382,None,None,None,None,None,0.0,1.0,None,None,
10102050,2019-06-30 00:00:00,0.5396,0.5152,4.9909,0.0,0.2561,0.1081,0.1875,0.0353,0.1204,0.0694,0.0663,4.4678,1.7724,1.5179,1.271,None,49.8278,0.0585,None,0.9905,6.9431,None,None,None,None,None,0.0,1.0,1.225,None,
10102050,2020-06-30 00:00:00,0.413,0.375,4.731,0.0,0.2236,0.0873,0.1571,0.0269,0.0905,0.0502,0.0456,4.6287,1.7709,1.2256,1.0402,None,51.8552,-0.0153,None,0.8203,19.9257,None,None,None,None,None,0.0,1.0,1.3133,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
