id,co_code,product_code,product_sort,finance_code,report_date,create_time,update_time,
153829,1301000035,1113000068,1,126600725,2020/12/31 0:00:00,2021/3/19 19:52:30,2021/3/19 19:52:30,
153830,1301000035,1140007238,2,226600725,2020/12/31 0:00:00,2021/3/19 19:52:30,2021/3/19 19:52:30,
153831,1301000035,1111000018,3,226600725,2020/12/31 0:00:00,2021/3/19 19:52:30,2021/3/19 19:52:30,
153844,1301000058,1140070347,1,126603505,2020/12/31 0:00:00,2021/3/19 19:52:30,2021/3/19 19:52:30,
153845,1301000058,1140070348,2,226603505,2020/12/31 0:00:00,2021/3/19 19:52:30,2021/3/19 19:52:30,
153846,1301000058,1140070349,3,326603505,2020/12/31 0:00:00,2021/3/19 19:52:30,2021/3/19 19:52:30,
153965,1301004258,1140144645,1,125605086,2020/6/30 0:00:00,2021/3/22 14:08:24,2021/3/22 14:08:24,
153966,1301004258,1140124492,2,225605086,2020/6/30 0:00:00,2021/3/22 14:08:24,2021/3/22 14:08:24,
153967,1301004258,1140144647,3,225605086,2020/6/30 0:00:00,2021/3/22 14:08:24,2021/3/22 14:08:24,
153968,1301004258,1140144646,4,325605086,2020/6/30 0:00:00,2021/3/22 14:08:24,2021/3/22 14:08:24,
154215,1301000004,1111000106,1,126000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154216,1301000004,1111000108,2,226000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154217,1301000004,1111000107,3,426000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154218,1301000004,1140059840,4,426000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154219,1301000004,1140032779,5,426000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154220,1301000004,1140079473,6,426000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154221,1301000004,1140027452,7,426000655,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154761,1301000034,1111000074,1,126600583,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154762,1301000034,1140079476,2,126600583,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154763,1301000034,1111000075,3,126600583,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154764,1301000034,1140144822,4,226600583,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
154765,1301000034,1140077131,5,226600583,2020/12/31 0:00:00,2021/3/24 15:59:28,2021/3/24 15:59:28,
155743,1301000031,1111000007,1,126600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155744,1301000031,1111000009,2,126600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155745,1301000031,1111000008,3,126600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155746,1301000031,1140077157,4,226600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155747,1301000031,1114000009,5,326600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155748,1301000031,1140061102,6,426600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155749,1301000031,1140070334,7,426600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155750,1301000031,1140061571,8,426600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155751,1301000031,1140033013,9,426600508,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155819,1301000041,1111000053,1,126600871,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155820,1301000041,1140027433,2,226600871,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155821,1301000041,1140057039,3,326600871,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155822,1301000041,1140027432,4,426600871,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155823,1301000041,1111000042,5,426600871,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155842,1301000052,1111000115,1,126601808,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155843,1301000052,1111000053,2,226601808,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155844,1301000052,1111000090,3,326601808,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155845,1301000052,1111000038,4,426601808,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155846,1301000052,1140070343,5,426601808,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155847,1301000054,1140007238,1,126601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155848,1301000054,1140032365,2,126601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155849,1301000054,1111000006,3,226601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155850,1301000054,1140046288,4,226601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155851,1301000054,1115000016,5,226601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155852,1301000054,1115000005,6,226601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155853,1301000054,1111000035,7,226601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155854,1301000054,1111000027,8,326601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155855,1301000054,1140032846,9,426601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155856,1301000054,1140061102,10,426601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155857,1301000054,1140070334,11,426601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155858,1301000054,1140061571,12,426601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155859,1301000054,1140044824,13,426601898,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155860,1301000055,1111000008,1,126601918,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155861,1301000055,1111000007,2,126601918,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
155862,1301000055,1140077157,3,226601918,2020/12/31 0:00:00,2021/3/25 21:30:49,2021/3/25 21:30:49,
156974,1301000046,1111000018,1,126601015,2020/12/31 0:00:00,2021/3/26 20:24:56,2021/3/26 20:24:56,
156975,1301000046,1115000076,2,226601015,2020/12/31 0:00:00,2021/3/26 20:24:56,2021/3/26 20:24:56,
156976,1301000046,1111000019,3,326601015,2020/12/31 0:00:00,2021/3/26 20:24:56,2021/3/26 20:24:56,
156977,1301000046,1140046633,4,426601015,2020/12/31 0:00:00,2021/3/26 20:24:56,2021/3/26 20:24:56,
