id,co_code,disclosure_date,report_date,supplier_name,supplier_code,trading_amount,source,currency,create_time,update_time,source_type,
253767,1301000001,2021/3/31 0:00:00,2020/12/31 0:00:00,债务人1,,407638.4,靖远煤电-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253775,1301000002,2021/4/30 0:00:00,2020/12/31 0:00:00,大连嘉德隆泰实业有限公司,,78131163.68,ST大洲-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253799,1301000003,2021/3/30 0:00:00,2020/12/31 0:00:00,攀钢集团西昌钢钒有限公司,,140222208.3,攀钢钒钛-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253807,1301000004,2021/3/20 0:00:00,2020/12/31 0:00:00,淄博供电公司,,3500000.48,金岭矿业-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253856,1301000007,2021/4/29 0:00:00,2020/12/31 0:00:00,国电物资内蒙古配送有限公司,,18330974.9,ST平能-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253889,1301003531,2021/4/10 0:00:00,2020/12/31 0:00:00,南宁糖业股份有限公司,1301002441,4102638.97,粤桂股份-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253928,1301001766,2021/4/29 0:00:00,2020/12/31 0:00:00,GIB Insurance Brokers(Pty)Limited,,25734304.56,河钢资源-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253951,1301000009,2021/4/23 0:00:00,2020/12/31 0:00:00,山西苏晋通燃气有限公司,,15665957.59,蓝焰控股-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
253961,1301000010,2021/4/27 0:00:00,2020/12/31 0:00:00,大秦铁路股份有限公司,1301002337,118623040.8,山西焦煤-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
254072,1301000011,2021/4/28 0:00:00,2020/12/31 0:00:00,国家电投集团铝业国际贸易有限公司,,213674315.7,露天煤业-2020年报-预付款第1,人民币,2021/10/13 14:46:47,2021/10/13 14:46:47,0,
254125,1301000012,2021/4/27 0:00:00,2020/12/31 0:00:00,第一名,,1087190.38,准油股份-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
254355,1301000013,2021/4/28 0:00:00,2020/12/31 0:00:00,客户1,,191347768.6,惠博普-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
254407,1301000014,2021/4/30 0:00:00,2020/12/31 0:00:00,供应商一,,2000000,ST仁智-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
254530,1301000016,2021/4/16 0:00:00,2020/12/31 0:00:00,四川石油管理局资阳油库有限公司,,916822.4,贝肯能源-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
254625,1301003821,2021/3/31 0:00:00,2020/12/31 0:00:00,单位1,,1291704.06,安宁股份-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
254772,1301000017,2021/4/29 0:00:00,2020/12/31 0:00:00,杭州汽轮辅机有限公司,,6752580,恒泰艾普-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
254776,1301000018,2021/4/24 0:00:00,2020/12/31 0:00:00,深圳奥琨油田技术服务有限公司,,2143896.03,通源石油-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255470,1301000020,2021/4/30 0:00:00,2020/12/31 0:00:00,第一名,,7484092.66,郑州煤电-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255507,1301000023,2021/3/27 0:00:00,2020/12/31 0:00:00,公司1,,283570000,兖州煤业-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255567,1301000024,2021/4/15 0:00:00,2020/12/31 0:00:00,COMILOG C/O COMILOG INTERNATIONAL,,29649125.36,鄂尔多斯-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255613,1301000027,2021/4/20 0:00:00,2020/12/31 0:00:00,A,,22859487.09,盘江股份-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255615,1301000028,2021/4/24 0:00:00,2020/12/31 0:00:00,江西宏宇能源发展有限公司,,153447142.7,安源煤业-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255617,1301000030,2021/4/27 0:00:00,2020/12/31 0:00:00,渑池县果园乡人民政府,,22600287.82,ST大有-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255619,1301000029,2021/4/30 0:00:00,2020/12/31 0:00:00,山西焦煤集团有限责任公司,,18957379.27,ST安泰-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255681,1301000032,2021/4/23 0:00:00,2020/12/31 0:00:00,第一名,,259680000,未来股份-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255688,1301000033,2021/4/10 0:00:00,2020/12/31 0:00:00,山西转型综合改革示范区晋中开发区土地事务中心,,192340000,山煤国际-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255710,1301000034,2021/3/23 0:00:00,2020/12/31 0:00:00,天津舞钢钢铁销售有限公司,,37298301.17,海油工程-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255793,1301000035,2021/3/19 0:00:00,2020/12/31 0:00:00,供应商一,,86227748.56,云维股份-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
255816,1301000038,2021/4/30 0:00:00,2020/12/31 0:00:00,公司13,,34151172.55,洲际油气-2020年报-预付款第1,人民币,2021/10/13 14:46:48,2021/10/13 14:46:48,0,
