公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000913,2017-03-31 00:00:00,18318147.34,21977265.16,-58589908.99,-4628367.83,17141863.75,103736437.44,1176283.59,97889394.82,-92996467.99,128786135.11,4559869411.13,2226286132.94,0.026997,0.027,None,None,None,None,None,None,0.99,1404711405.09,1123913154.24,1672288832.26,15693240.78,2,0.027,0.027,None,0.012498,0.011166,0.008704,103.4007,0.39474899999999996,216.7264,0.019162,0.633259,0.11799899999999999,None,0.579131,0.921042,0.15706799999999999,None,1.092665,0.575559,2.562117,None,0.008782,None,0.00027,102.4824,3333.3333,0.0008,1125.0,-0.0015260000000000002,-0.035938,-0.001456,0.086965,0.133103,0.9823770000000001,-0.054021,-0.008546,-0.002409,-0.0015260000000000002,0.017623,59.9625,572.7256,-25.2666,-0.0085,-0.000123,0.17424199999999998,-0.29222000000000004,-1.328187,-0.026088,-0.10372999999999999,0.007601,0.000215,None,0.000585,0.087097,0.000445,0.027,2.7348,0.1202,0.36674100000000004,0.009899999999999999,0.027,0.009899999999999999,0.7986,None,-58589908.99,0.8312,None,None,None,588650975.91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.5471
10000913,2017-06-30 00:00:00,59061395.24,48453241.5,-51867194.27,72963000.37,58070128.85,133620972.65,991266.39,187987363.87,68614659.61,463192998.77,4813078692.58,2216650719.24,0.05952,0.0595,None,-0.0637,None,None,None,None,2.19,1672979352.79,1382771812.16,1931110229.94,30072935.63,2,0.0595,0.0595,-0.0637,0.012099,0.011073999999999999,0.02551,70.5606,0.43751199999999996,296.3938,0.018541000000000002,0.598779,0.111791,1.883905,0.670066,0.91815,0.157326,0.738742,1.089568,0.6665000000000001,2.350174,31.7839,0.026288999999999996,0.002989,0.000945,68.4697,1904.7619,0.0026550000000000002,677.9661,0.006,0.157522,0.005889999999999999,0.110492,0.12536899999999998,0.7947230000000001,0.062346000000000006,0.700055,0.197743,0.11840400000000001,0.205277,31.1535,227.9192,123.5375,0.0355,0.008486,0.221876,0.20911000000000002,-0.393669,-0.022111000000000002,-0.057069,0.004059,0.000391,0.065096,0.000973,0.13595000000000002,0.001603,0.0595,2.7229,0.2309,0.40122100000000005,0.0219,0.0595,0.0219,0.7947,-0.0637,-51867194.27,0.8337,None,None,None,602644376.3,None,None,None,31219312.09,19638971.29,6827215.55,None,2277243.12,455689.63,None,None,19254650.2,1784401.69,20354262.92,3.5402
10000913,2017-09-30 00:00:00,111552268.34,65733606.88,-35097170.68,210627159.97,110502995.29,132518825.8,1049273.05,240485361.59,34698424.16,970028911.81,4995978760.97,2234912349.76,0.080747,0.0807,None,None,None,None,None,None,2.96,1798772354.7,1532925051.53,2061848354.82,48280667.57,2,0.0807,0.0807,None,0.011734,0.010752999999999999,0.044691999999999996,60.4135,0.39913600000000005,331.0496,0.019521,0.587298,0.10387600000000001,None,0.7027119999999999,0.925897,0.150289,None,1.089661,0.699316,2.290476,None,0.049370000000000004,None,0.0019420000000000001,54.6891,1390.3193,0.005365999999999999,503.1681,0.015497,0.217135,0.015501000000000001,0.112532,0.113917,0.734791,0.079816,0.095107,0.026387,0.015497,0.26520900000000003,23.9057,119.7359,188.8148,0.0951,1.1000000000000001e-05,0.202232,0.6663030000000001,0.18383,-0.009443,-0.023464,0.0024790000000000003,0.000481,0.031061000000000002,0.001166,0.15688000000000002,0.003328,0.0807,2.7454,0.2954,0.412702,0.0294,0.0807,0.0296,0.7947,None,-35097170.68,0.8549,None,None,None,708719129.63,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6043
10000913,2017-12-31 00:00:00,114917130.23,21392486.12,-109505752.78,319342795.59,49998119.41,121580888.05,64919010.82,169455600.87,2599513.27,1603168965.16,5179075656.13,2181610892.57,0.026279,0.0263,None,-0.1345,None,None,None,None,0.97,1399618874.37,1734967935.21,2289392095.4,70565168.54,2,0.0263,0.0263,-0.1345,0.008067,0.006938,0.067042,53.6977,0.32974600000000004,262.8525,-0.014924999999999999,0.5579540000000001,0.096639,1.754811,0.792264,1.114823,0.14763199999999999,0.737865,1.307914,0.7736029999999999,2.133476,31.7956,0.072376,0.009968,0.003152,49.7402,1142.132,0.009969,361.1195,0.008631999999999999,0.19919499999999998,0.00879,0.06888,0.031187,0.7545449999999999,0.027887,0.7735559999999999,0.217921,0.12159,0.245455,23.9869,162.2908,277.8896,0.0549,0.001253,None,0.842019,144.11980499999999,-0.002026,0.037183,0.001057,0.000327,0.037903,0.00074,0.097671,0.005542,0.0263,2.6799,0.2082,0.442046,0.0098,0.0263,0.0097,0.796,-0.1345,-109505752.78,0.8009,None,None,None,693594733.16,None,None,None,40470083.79,25850934.51,4775190.88,None,1314292.22,1059742.57,None,None,30007264.8,17362617.66,19980311.97,3.5497
10000913,2018-03-31 00:00:00,33248114.33,18237847.85,-16680748.72,85636003.51,33450606.16,43943834.26,-202491.83,8523847.59,-189830081.52,419193402.16,5135227135.7,2215411284.06,0.022403,0.0224,None,None,None,None,None,None,0.83,1439007752.51,1715784796.52,2209950185.31,18730569.13,2,0.0224,0.0224,None,0.008387,0.007518,0.012338,72.9454,0.21922,277.5072,-0.015901000000000002,0.569649,0.085703,None,0.755467,1.098307,0.130774,None,1.263545,0.736986,2.2044829999999997,None,0.01821,None,0.0008129999999999999,49.4234,1107.0111,0.002953,304.7748,0.00391,0.204288,0.0038929999999999998,0.078294,0.079798,0.749455,0.0479,0.024665,0.006864,0.00391,0.250545,21.7317,131.5604,257.5665,0.0247,4.3e-05,None,2.2549580000000002,None,0.013055,0.126179,0.00020299999999999997,1.7e-05,0.004245,3.9e-05,0.004968,0.001442,0.0224,2.7214,0.0105,0.430351,0.008199999999999999,0.0224,0.0083,0.796,None,-16680748.72,0.8233,None,None,None,684142333.47,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.5934
10000913,2018-06-30 00:00:00,60944534.87,33016946.63,-3872001.69,197310112.37,57663783.8,41683997.05,3280751.07,-218081829.66,-141914277.62,923344832.45,5675948074.89,2222802016.31,0.040558,0.0406,None,-0.0048,None,None,None,None,1.5,1983360212.63,1983586220.9,2738498884.27,28283363.06,2,0.0406,0.0406,-0.0048,0.009999000000000001,0.009155,0.025193,71.4484,0.299556,315.4784,-31.016369,0.517526,0.123503,1.822368,0.932271,1.014881,0.192664,0.716575,1.257073,0.913916,1.973193,28.3985,0.037848,0.005667,0.001701,47.5587,1058.2011,0.005459,329.7307,0.008021,0.213691,0.008388,0.067164,0.062451,0.744491,0.049306,0.839089,0.23253900000000002,0.120345,0.255509,19.642,73.7798,323.7536,0.0559,0.001246,None,0.993434,0.57648,0.019251,0.17927600000000002,-0.002362,-0.00038399999999999996,-0.04790199999999999,-0.000796,-0.10994300000000001,0.003169,0.0406,2.7305,-0.2679,0.482474,0.0149,0.0406,0.015,0.796,-0.0048,-3872001.69,0.8415,None,None,None,682425967.54,None,None,None,37657555.99,23593754.35,4995923.66,None,4476393.31,3021172.64,None,None,32554077.28,16032466.73,19508976.97,3.6084
10000913,2018-09-30 00:00:00,-2997159.68,-16760444.84,-54627492.34,254695668.94,-8034770.04,39396853.08,5037610.36,-306197277.55,-175342178.64,1350253124.59,5402576735.89,2192668005.04,-0.020589,-0.0206,None,None,None,None,None,None,-0.77,1671400287.8,1531383024.06,2471243968.72,37660358.1,2,-0.0206,-0.0206,None,0.010914,0.009916000000000001,0.043031,62.7455,0.291458,92.0416,0.063247,0.5425800000000001,0.163916,None,0.843045,0.9775400000000001,0.232013,None,1.27286,0.8245239999999999,2.078854,None,0.059793000000000006,None,0.002552,45.1558,1057.9937,0.008794,307.0275,-0.003638,0.188628,-0.0037140000000000003,-0.002206,-0.005951,0.77217,-0.014555,-0.024141,-0.006704,-0.003638,0.22783,19.503,-1482.5524,-8497.9012,-0.0241,None,None,0.39197200000000004,-1.253834,-0.000953,0.081385,-0.002268,-0.000567,None,-0.0012389999999999999,-0.19994800000000001,0.004639,-0.0206,2.6935,-0.3761,0.45742,-0.0076,-0.0206,-0.0077,0.796,None,-54627492.34,0.7803,None,None,None,690615787.41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6009
10000913,2018-12-31 00:00:00,-1027673115.07,-878214551.22,-878224723.36,360113140.37,-1035499939.16,-121413892.01,7826824.09,-316994086.27,-66973258.9,1588519062.71,4228197978.7,1326828920.73,-1.078803,-1.0788,None,-1.0788,None,None,None,None,-50.06,1572608558.58,1978661856.32,2342851396.6,97205171.95,2,-1.0788,-1.0788,-1.0788,0.007948,0.007115,0.050964999999999996,70.6367,0.183492,-957.2206,-0.007762,0.44589799999999996,0.074543,1.190863,1.242664,1.206796,0.14323,0.697731,1.408542,1.216669,1.6925569999999999,37.4433,0.063616,0.009836000000000001,0.003377,56.5895,1066.0349,0.010688999999999999,336.7948,-0.251239,0.22669699999999998,-0.225844,-0.625544,-0.6518649999999999,0.722168,-0.66873,-0.462411,-0.199662,-0.08902900000000001,None,26.0898,11.0528,-35.0416,-1.3049,-5.4999999999999995e-05,None,-0.009138,-24.760767,-0.34756,-0.18359999999999999,-0.001996,-0.00075,None,-0.001353,-0.16020600000000002,0.006653,-1.0788,1.6299,-0.3894,0.554102,-0.6618999999999999,-1.0788,-0.5006,0.7925,-1.0788,-878224723.36,-0.2779,None,None,None,343767992.48,None,None,None,9813600.27,20039696.73,26585445.17,None,1866489.48,557068.33,None,None,32513819.53,8659164.48,25640511.22,2.316
10000913,2019-03-31 00:00:00,-22925524.18,-31412565.29,-33550432.83,62579658.48,-24358352.86,-1626931.35,1432828.68,-9132012.84,-150792405.67,321874035.9,4032623759.36,1286760043.67,-0.038587,-0.0386,None,None,None,None,None,None,-2.41,1409435915.81,1815861028.61,2181017814.25,17822985.17,2,-0.0386,-0.0386,None,0.007762,0.006808999999999999,0.010436,86.2399,0.061811,-28.629,-0.007787,0.45915700000000004,0.078485,None,1.177906,1.209898,0.14598,None,1.41671,1.151629,1.731113,None,0.01431,None,0.000779,62.8931,1155.3273,0.002159,416.8597,-0.006168,0.19442299999999998,-0.006022,-0.066785,-0.07567700000000001,0.7506740000000001,-0.077282,-0.030556999999999997,-0.013434,-0.006168,0.24932600000000002,26.0911,0.8467,-272.9694,-0.0306,-0.00232,None,-0.232159,-2.238848,-0.367032,-0.214714,-0.000284,-2.3e-05,None,-4.2e-05,-0.0050290000000000005,0.0017230000000000001,-0.0386,1.5807,-0.0112,0.540843,-0.024399999999999998,-0.0386,-0.0241,0.7925,None,-33550432.83,-0.3165,None,None,None,339733180.36,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.2745
10000913,2019-06-30 00:00:00,-74850016.7,-84118939.09,-87555220.61,109645961.79,-77915578.99,-11554771.33,3065562.29,41941987.5,-137763935.57,673813519.63,3811742848.77,1209735442.08,-0.103332,-0.1033,None,-0.1076,None,None,None,None,-6.59,1227714267.89,1739994360.43,2066716945.58,39475537.42,2,-0.1033,-0.1033,-0.1076,0.007056,0.006462,0.023212999999999998,77.5428,0.04958,-89.6111,-0.005429000000000001,0.45780299999999996,0.072964,1.130985,1.184347,1.2772329999999998,0.137469,0.674032,1.480797,1.156496,1.721286,40.4782,0.039676,0.004311,0.001676,45.3675,1073.9857,0.004812,374.0648,-0.020655999999999997,0.162724,-0.019586,-0.101805,-0.115634,0.7893859999999999,-0.116848,0.819886,0.382481,0.175101,0.210614,25.3871,11.3416,-146.4876,-0.0967,-0.003669,None,-0.270247,-2.729409,-0.405938,-0.328439,0.0006219999999999999,0.00010999999999999999,None,0.00020299999999999997,0.024104999999999998,0.0037119999999999996,-0.1033,1.486,0.0515,0.542197,-0.0695,-0.1033,-0.0659,0.7925,-0.1076,-87555220.61,-0.4119,None,None,None,331104209.32,None,None,None,853844.78,8011336.6,46617420.61,None,5200219.87,1780395.94,None,None,53111468.07,16328613.6,50281927.47,2.1436
