公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10001039,2017-03-31 00:00:00,450567489.83,307770699.42,308319059.08,691883660.14,451425809.03,-87376.0,-858319.2,129590637.53,69253638.02,2806452296.75,13488655051.07,7187490102.75,0.134924,0.135,None,None,None,None,None,None,4.4,5238748246.82,4895103222.83,5754246935.1,19186059.42,2,0.135,0.135,None,0.010702,0.0071979999999999995,0.024373,36.9261,0.072645,2448.4108,0.024728,0.573401,0.062999,None,0.74398,0.9610590000000001,0.098993,None,1.06665,0.742769,2.257178,None,0.013205,None,0.002152,68.156,418.2156,0.005913000000000001,152.207,0.024990000000000002,0.246533,0.025844999999999996,0.190972,0.160853,0.7395910000000001,0.12010799999999999,0.147771,0.043581,0.024990000000000002,0.260409,8.7214,-0.2099,153.5583,0.1478,None,None,1.8136320000000001,None,0.17420100000000002,-0.052503,0.00046199999999999995,9.599999999999999e-05,0.003845,0.000225,0.026474,0.003709,0.135,3.1509,0.0568,0.426599,0.042800000000000005,0.135,0.044000000000000004,1.572,None,308319059.08,0.524,None,None,None,81200000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.3907
10001039,2017-06-30 00:00:00,739492719.2,501907792.26,476142377.54,1267941853.67,714157073.56,3650121.99,25335645.64,523865010.23,137129581.01,6006751090.95,12616644354.11,7186036341.91,0.12224,0.1222,None,0.116,None,None,None,None,7.01,4271908263.87,3997695054.06,4852958767.33,48733785.48,2,0.1222,0.1222,0.116,0.010686,0.007223,0.049326,36.4919,0.08949,1617.4128,0.030697000000000002,0.615353,0.066719,1.180075,0.625084,0.969704,0.097818,0.669041,1.074842,0.6233460000000001,2.499723,52.1452,0.033152,0.00895,0.004765,54.2954,377.7545,0.01409,127.7502,0.044589,0.211086,0.044625000000000005,0.139657,0.11889200000000001,0.776215,0.093655,0.9296380000000001,0.491652,0.302539,0.22378499999999998,9.2604,3.9197,171.461,0.137,None,None,1.551427,5.18023,0.151863,-0.065703,0.0008719999999999999,0.000415,0.009312,0.0010789999999999999,0.131042,0.007923,0.1222,1.7502,0.1276,0.384647,0.0698,0.1222,0.0701,0.4289,0.116,476142377.54,0.2923,None,None,None,142643157.42,None,None,None,18509017.02,1669003.84,None,None,88822941.03,126680791.83,None,None,3385999.93,1450040.87,None,1.8908
10001039,2017-09-30 00:00:00,1277365255.83,855161334.64,836010702.54,2142739918.06,1259569386.28,11223769.76,17795869.55,984910940.44,534897322.65,9401535420.52,13291107201.06,7533582426.31,0.208275,0.208,None,None,None,None,None,None,11.77,4926868673.11,4260825389.81,5130437938.23,71595947.76,2,0.208,0.208,None,0.011563,0.008128,0.078217,34.5194,0.189111,1884.1307,0.012653000000000001,0.6139950000000001,0.06340499999999999,None,0.628679,0.929009,0.09360099999999999,None,1.024945,0.625384,2.502677,None,0.049362,None,0.0072629999999999995,54.6979,371.7472,0.02048,131.8359,0.072627,0.227914,0.074576,0.156858,0.133975,0.7591930000000001,0.102674,0.235097,0.118286,0.072627,0.243276,9.4099,2.2718,167.7468,0.2351,None,None,1.150723,1.427574,0.15965400000000002,-0.0015379999999999999,0.001048,0.000741,0.010203,0.00192,0.231155,0.012084,0.208,1.8348,0.2399,0.386005,0.11349999999999999,0.208,0.1177,0.4289,None,836010702.54,0.3783,None,None,None,158309101.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9875
10001039,2017-12-31 00:00:00,1626260078.02,1064930432.22,1110710450.16,2913496594.97,1644776172.19,8700465.81,-18516094.17,1415625655.91,306296331.57,12237789421.46,13817646734.47,7724885240.08,0.259364,0.26,None,0.27,None,None,None,None,14.3,5035308304.99,4335687649.5,5414888376.48,98529224.41,2,0.26,0.26,0.27,0.011614,0.008285,0.11783099999999999,30.5522,0.145452,1750.5358,0.014903,0.6081179999999999,0.075459,1.3098599999999998,0.644418,0.929798,0.110389,0.643645,1.0451730000000001,0.640071,2.472938,46.4262,0.063829,0.018459,0.009266,56.4007,388.5172,0.026347999999999996,136.6328,0.088663,0.238074,0.09276300000000001,0.15410500000000002,0.134401,0.748854,0.10010899999999999,1.163387,0.568478,0.345702,0.252675,10.0398,-0.6036,179.1532,0.2984,None,None,0.721228,0.597917,0.135649,0.09696500000000001,0.001157,0.0010249999999999999,0.011555,0.002614,0.326505,0.015489,0.26,1.8814,0.3448,0.391882,0.1379,0.26,0.14300000000000002,0.4289,0.27,1110710450.16,0.4238,None,None,None,396916584.99,None,None,None,107935181.02,47553227.87,None,None,381064395.97,None,None,None,900000.0,12776037.53,None,2.0465
10001039,2018-03-31 00:00:00,471100431.76,311024437.58,313220942.1,763637004.8,475338488.86,-5210320.55,-4238057.1,-290062542.86,-307917165.33,3166300616.54,14357236262.4,8039153012.64,0.07575,0.076,None,None,None,None,None,None,3.95,5559396340.09,4552060622.0,5632084382.67,33480582.87,2,0.076,0.076,None,0.012213,0.009113,0.023575,38.176,0.088854,1507.0855,0.010350999999999999,0.607718,0.072623,None,0.6455,0.9006959999999999,0.106746,None,1.008331,0.641219,2.473276,None,0.016576999999999998,None,0.002248,54.2921,400.3559,0.005977,150.5772,0.024506,0.241176,0.024975,0.175199,0.150124,0.7471949999999999,0.11111800000000001,0.08568899999999999,0.040324,0.024506,0.26401199999999997,9.0415,-2.0056,162.0964,0.0857,None,None,0.128222,0.04378,0.128096,0.064393,-0.000916,-0.000202,-0.008244,-0.0005149999999999999,-0.063721,0.0036969999999999998,0.076,1.9579,-0.0706,0.392282,0.0387,0.076,0.0395,0.4292,None,313220942.1,0.4996,None,None,None,423327287.05,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.125
10001039,2018-06-30 00:00:00,831384408.92,542431475.38,546017088.57,1447994902.31,844903913.12,4541013.59,-13519504.2,335664513.29,-209769862.74,6669944815.76,14493012172.01,8273044243.56,0.132109,0.13,None,0.13,None,None,None,None,6.78,5600927767.21,4601723559.24,5684712955.51,57784465.51,2,0.13,0.13,0.13,0.012171000000000001,0.009625,0.046695,38.548,0.101627,1538.768,0.010468,0.607762,0.072173,1.419697,0.645381,0.902355,0.10614699999999999,0.618336,1.009512,0.6411830000000001,2.4615799999999997,42.8093,0.039221,0.010570999999999999,0.004712,45.8938,382.0034,0.012542,143.5178,0.04271899999999999,0.21709199999999998,0.043738,0.143643,0.12667299999999998,0.768809,0.092824,1.083486,0.50506,0.306956,0.25011099999999997,8.4844,-1.0799,174.1667,0.1508,0.003035,None,0.110408,0.100557,0.134551,0.148722,0.000503,0.00023199999999999997,0.005422,0.0005899999999999999,0.072943,0.007751,0.13,2.0149,0.0818,0.392238,0.06559999999999999,0.13,0.0678,0.4292,0.13,546017088.57,0.5338,None,None,None,436863377.49,None,None,None,242976841.61,109429745.65,None,None,None,None,None,None,1085227.66,300000.0,None,2.1453
10001039,2018-09-30 00:00:00,1796184893.51,1180801987.49,1191132512.1,2798924682.11,1816455002.81,3792530.61,-20270109.3,1017213353.4,-107322129.66,10489373312.72,18075154207.39,6524655992.03,0.285192,0.287,None,None,None,None,None,None,14.57,6791351512.04,9059971994.17,10853002530.09,139726412.76,2,0.287,0.287,None,0.007496,0.005686,0.072208,37.392,0.11803100000000001,1385.5013,-0.006029,0.39956200000000003,0.075676,None,1.502738,1.3135970000000001,0.159238,None,1.5623879999999999,1.443867,1.5815039999999998,None,0.048583,None,0.0065780000000000005,55.575,410.4591,0.017739,152.207,0.074297,0.266834,0.084215,0.208145,0.173171,0.7139679999999999,0.128027,0.324349,0.185946,0.074297,0.286032,8.9522,-0.9174,155.8261,0.3243,None,None,0.115709,0.391215,-0.11500500000000001,0.359943,0.00097,0.000563,0.007574999999999999,0.000937,0.112276,0.013426,0.287,1.5759,0.2457,0.600438,0.18100000000000002,0.287,0.1457,0.0627,None,1191132512.1,0.4765,None,None,None,206625635.78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.7443
10001039,2018-12-31 00:00:00,2759921228.93,1797201927.13,1716430090.17,4257237917.89,2790517445.8,-9894674.77,-30596216.87,1534739748.45,-146227693.96,15146563762.88,18684994254.68,7113769065.68,None,0.44,None,0.42,None,None,None,None,19.43,7174534042.95,9237910733.12,10587313437.47,198466530.95,2,0.44,0.44,0.42,0.0077659999999999995,0.005639999999999999,0.101495,35.4697,0.133326,1490.623,-0.005689,0.43337899999999996,0.062821,1.009528,1.30745,1.24149,0.126604,0.655317,1.4214510000000002,1.285765,1.61071,42.9289,0.062252999999999996,0.020984,0.00932,57.8285,386.2661,0.02481,145.1028,0.110719,0.28107,0.127299,0.224681,0.184234,0.700324,0.136584,1.536842,0.776492,0.336515,0.299676,9.2062,-1.4671,154.2522,0.5056,0.000909,None,0.23768799999999998,0.68865,-0.036307,0.352256,0.001013,0.0008210000000000001,0.007419,0.00145,0.16613499999999998,0.018359,0.44,1.7387,0.3751,0.566621,0.2526,0.44,0.1943,0.0769,0.42,1716430090.17,0.632,None,None,None,203207370.54,None,None,None,152917252.05,101418622.33,None,None,357416599.9,None,None,None,523562.55,12780833.53,None,1.9792
10001039,2019-03-31 00:00:00,560387782.5,374002535.27,375598280.97,983982704.92,563085967.9,1956615.93,-2698185.4,248313275.82,-145521928.67,4315878326.11,18592090896.44,7499068590.5,0.091413,0.09,None,None,None,None,None,None,5.12,7082846530.55,8738055121.81,10056430590.78,71245440.26,2,0.09,0.09,None,0.008106,0.006757999999999999,0.018285,49.2207,0.099647,886.5595,-0.006908,0.459102,0.061498,None,1.178167,1.189091,0.11812900000000001,None,1.348372,1.157664,1.689186,None,0.020812,None,0.002316,43.2443,388.601,0.006054,148.662,0.022851,0.227991,0.022794,0.150693,0.130468,0.757586,0.098437,0.10383800000000001,0.049773,0.022851,0.242414,8.9634,-0.1323,175.5896,0.1038,None,None,0.363067,0.20750800000000003,-0.021718,0.29496300000000003,0.000575,0.000134,0.005845,0.000247,0.028416999999999998,0.005189,0.09,1.8329,0.0607,0.540898,0.0499,0.09,0.0512,0.0778,None,375598280.97,0.7235,None,None,None,230360006.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.0863
10001039,2019-06-30 00:00:00,944373352.38,623598348.85,626257012.32,1733800133.88,949782197.18,3326141.67,-5408844.8,799830790.45,-61186111.29,7731373121.25,18620653437.48,7761093772.36,0.152418,0.15,None,0.15,None,None,None,None,8.4,6852815808.89,8580324445.87,9776323430.65,131154499.88,2,0.15,0.15,0.15,0.007987,0.006793,0.035421999999999995,50.8159,0.117654,820.0465,-0.005866,0.474974,0.05442,0.995535,1.105378,1.193776,0.102796,0.661127,1.3305520000000002,1.084724,1.7434200000000002,47.7104,0.039272,0.009146999999999999,0.004144999999999999,45.8342,434.2581,0.011023,163.2949,0.038714,0.22425499999999998,0.038647,0.139795,0.12284800000000001,0.759157,0.09324,1.2891839999999999,0.596374,0.283262,0.240843,9.8023,-0.2205,183.5927,0.1762,0.002609,None,0.159136,0.164331,0.004091,0.284802,0.001035,0.00043,0.011094999999999999,0.0008179999999999999,0.093217,0.009127,0.15,1.8969,0.1955,0.525026,0.0803,0.15,0.084,0.0786,0.15,626257012.32,0.7845,None,None,None,236394631.73,None,None,None,103817907.97,112356665.27,None,None,None,None,None,None,7868042.38,10807384.39,None,2.1617
