公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10001066,2017-03-31 00:00:00,-18876100.35,-22529015.11,-22429850.28,2845604.2,-18234284.14,-235810.45,-641816.21,-109320735.52,-36463927.46,60387471.15,2875185675.68,2100151831.16,None,-0.0433,None,None,None,None,None,None,-1.07,1716181267.06,338483319.29,391148671.73,-2149428.72,2,-0.0433,-0.0433,None,0.050702,0.04743699999999999,0.0060160000000000005,149.6011,4.060258,978.1915,None,0.8639570000000001,None,None,0.157465,None,None,None,0.46658099999999997,0.136263,None,None,0.005724,None,None,157.2327,None,0.000349,2578.7966,-0.008467,0.047122000000000004,-0.0084,-0.247772,-0.301955,0.941029,-0.403146,-0.046744,-0.009800999999999999,-0.008467,0.058971,30.8698,4.6494,-15.0752,-0.0467,None,None,-0.6861400000000001,-1.649608,-0.00223,-0.059371,-0.018103,-0.00037999999999999997,None,-0.002795,-0.322972,0.000242,-0.0433,4.0324,-0.2099,0.136043,-0.010700000000000001,-0.0433,-0.010700000000000001,3.0389,None,-22429850.28,-0.1162,None,None,None,16054035.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.7695
10001066,2017-06-30 00:00:00,-31357345.47,-32611717.34,-31981921.04,15085901.8,-30074573.35,-358823.99,-1282772.12,-91903275.81,73842416.92,164327337.12,3062537740.35,2089489403.78,-0.062616,-0.0626,None,-0.0614,None,None,None,None,-1.5485,1910575262.8,539663884.71,592328019.15,-5479056.16,2,-0.0626,-0.0626,-0.0614,0.035403,0.033144,0.018058,99.6788,2.751038,672.3129,None,0.806589,None,5.409847999999999,0.239789,None,None,0.52908,0.466342,0.21846900000000002,None,14.9096,0.014089,0.003529,0.000549,127.7592,3278.6885,0.000899,2002.2247,-0.012275000000000001,0.09180400000000001,-0.012563999999999999,-0.16290600000000002,-0.183016,0.900141,-0.228766,0.708168,0.14931,0.12043200000000001,0.099859,26.3172,5.2351,-48.1096,-0.0722,None,None,-0.40298900000000004,-1.936716,-0.00864,0.036427999999999995,-0.005593,-0.0003,None,-0.001552,-0.17029699999999998,0.00066,-0.0626,4.0119,-0.1765,0.193411,-0.015600000000000001,-0.0626,-0.015485,3.0389,-0.0614,-31981921.04,-0.1355,None,None,None,15931021.84,None,None,None,None,117047.0,None,None,216625.0,139375.0,None,None,6809758.83,4400120.0,None,4.7429
10001066,2017-09-30 00:00:00,57218838.41,4434530.26,5256518.76,129396979.87,58548115.64,-660043.28,-1329277.23,-65553277.1,79406862.54,426049374.87,3174968099.21,2126659124.78,0.008515,0.0085,None,None,None,None,None,None,0.21,2020056751.81,571007382.41,623660221.34,-5297876.06,2,0.0085,0.0085,None,0.035377,0.033482,0.045433,59.4282,2.609774,-980.0335,None,0.80357,None,None,0.244447,None,None,None,0.452674,0.22381,None,None,0.029264000000000002,None,0.0013980000000000002,92.2635,1931.3305,0.002263,1193.1065,0.013664,0.30371400000000004,0.014232,0.156761,0.13742100000000002,0.673926,0.101824,0.083296,0.017004,0.013664,0.326074,16.0437,-3.4767,226.144,0.0833,None,None,-0.013633,-0.203456,0.018078,0.080632,-0.001539,-0.000206,-0.015111000000000001,-0.001051,-0.114803,0.001684,0.0085,4.0833,-0.1259,0.19643,0.0021,0.0085,0.0021,3.0389,None,5256518.76,-0.0644,None,None,None,15629802.55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.8986
10001066,2017-12-31 00:00:00,119026046.44,34543777.85,33196876.78,227356880.91,120359158.25,-2885318.85,-1333111.81,-84367989.34,42447456.13,667552807.85,3106891990.24,2156843943.64,0.066326,0.0663,None,0.0637,None,None,None,None,1.61,1959432762.17,460558423.45,511889073.07,-14231301.69,2,0.0663,0.0663,0.0637,0.042545,0.038407,0.069977,51.4455,3.155388,-736.368,None,0.835241,None,5.7207740000000005,0.19726,None,None,0.517887,0.44218,0.17747900000000003,None,14.6001,0.030112999999999997,0.014383,0.002215,119.5497,1625.2822,0.003604,998.8901,0.028003,0.340583,0.028864,0.220928,0.18029900000000001,0.628363,0.130329,0.977842,0.19625399999999998,0.163919,None,14.7644,-3.5441,191.0144,0.167,None,None,-0.040334,0.534252,0.034618,0.063438,-0.0012640000000000001,-0.000272,-0.009697,-0.001648,-0.183186,0.002616,0.0663,4.1413,-0.162,0.164759,0.016,0.0663,0.0161,3.0396,0.0637,33196876.78,-0.0066,None,None,None,11630370.95,None,None,None,284972.2,73872.0,None,None,135576.22,264375.0,None,None,5880142.96,3067134.45,None,4.9825
10001066,2018-03-31 00:00:00,-17637421.15,-17682138.23,-17391772.51,11989877.93,-17252432.8,-864607.21,-384988.35,-7603176.32,-108354562.56,90897101.55,3008644056.22,2139161805.41,-0.033951,-0.034,None,None,None,None,None,None,-0.82,1875757531.62,383646590.11,434977239.73,807400.89,2,-0.034,-0.034,None,0.048893000000000006,0.043654,0.006958,129.3475,3.505534,-2084.4689,None,0.855424,None,None,0.169011,None,None,None,0.440184,0.149066,None,None,0.0039829999999999996,None,0.000297,225.9603,3030.303,0.000474,1898.7342,-0.007092,0.131906,-0.006978,-0.167937,-0.189802,0.857763,-0.234728,-0.040965999999999995,-0.008289999999999999,-0.007092,0.142237,28.7322,7.0849,-67.9798,-0.041,None,None,0.505231,None,0.036082,0.046417,-0.0008359999999999999,-2.5e-05,None,-0.00017500000000000003,-0.019818,0.00035200000000000005,-0.034,4.1073,-0.0146,0.14457599999999998,-0.0083,-0.034,-0.008199999999999999,3.0396,None,-17391772.51,-0.0405,None,None,None,10765763.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.9416
10001066,2018-06-30 00:00:00,-27657024.7,-37234816.19,-36301612.78,29996454.15,-26273008.11,-849267.62,-1384016.59,-25293945.69,-131845604.5,235039532.7,2968017326.12,2119517652.13,-0.071493,-0.0715,None,-0.0697,None,None,None,None,-1.74,1830689716.28,354690531.18,406021180.8,-4135250.8,2,-0.0715,-0.0715,-0.0697,0.05161400000000001,0.045165,0.017605,102.2437,3.7254880000000004,768.8113,None,0.863201,None,5.868998,0.158478,None,None,0.502456,0.44392200000000004,0.138443,None,14.7078,0.009683,0.005281,0.000774,185.8928,2325.5814,0.00124,1451.6129,-0.01109,0.127623,-0.010835999999999998,-0.10849500000000001,-0.111781,0.863686,-0.140042,0.766769,0.155874,0.13455,0.136314,21.2182,8.0749,-108.4587,-0.0632,None,None,0.430313,None,0.037157,-0.030863,-0.001076,-8.5e-05,None,-0.000623,-0.071313,0.000912,-0.0715,4.0696,-0.0486,0.136799,-0.0176,-0.0715,-0.0174,3.0396,-0.0697,-36301612.78,-0.0781,None,None,None,10524623.88,None,None,None,3663920.71,64880.0,None,None,4636666.31,191625.0,None,None,377936.72,5557143.06,None,4.9192
10001066,2018-09-30 00:00:00,-45736913.24,-75592377.48,-75155723.56,58665081.6,-42643797.29,-1698500.41,-3093115.95,-47581736.87,-167370438.92,359815727.48,2926281141.95,2082923849.83,-0.145141,-0.1451,None,None,None,None,None,None,-3.59,1784826194.41,333510742.09,385118891.71,-4374649.6,2,-0.1451,-0.1451,None,0.053516,0.046932999999999996,0.026424,102.1798,3.855559,1145.4989,None,0.868393,None,None,0.15155200000000002,None,None,None,0.449186,0.131243,None,None,0.014548,None,0.001193,185.5925,2263.202,0.001922,1404.7867,-0.01897,0.16304200000000002,-0.018403,-0.119103,-0.118516,0.8290909999999999,-0.154282,-0.10658799999999999,-0.021845,-0.01897,0.170909,23.0291,10.4765,-128.2664,-0.1066,None,None,-0.15546,-2.279627,-0.003977,-0.078327,-0.001322,-0.00016299999999999998,None,-0.0012360000000000001,-0.142669,0.0014010000000000001,-0.1451,3.9993,-0.0914,0.131607,-0.0363,-0.1451,-0.0359,3.0396,None,-75155723.56,-0.1517,None,None,None,9675391.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.8792
10001066,2018-12-31 00:00:00,-157295104.77,-180968278.0,-165219910.08,43851486.73,-132979440.81,-2570196.93,-24315663.96,-60882665.91,-207757511.73,499737129.83,2801989820.0,1975743590.98,-0.347468,-0.3475,None,-0.3172,None,None,None,None,-8.76,1696270407.74,352077498.21,403935287.83,-13398941.06,2,-0.3475,-0.3475,-0.3172,0.048179,0.043146000000000004,0.039994999999999996,90.0113,3.536671,1273.9368,None,0.85584,None,5.607038999999999,0.168443,None,None,0.49947,0.46109,0.146818,None,15.2637,0.024227,0.011341,0.001691,148.5945,2128.9178,0.002734,1316.752,-0.070242,0.08774900000000001,-0.066617,-0.272941,-0.266099,0.891446,-0.39384,0.44502400000000003,0.096652,0.082719,None,24.095,17.0926,-27.8785,-0.3779,None,None,-0.251389,-3.262215,-0.075895,-0.098137,-0.0012180000000000001,-0.00021700000000000002,None,-0.001507,-0.172924,0.002002,-0.3475,3.7935,-0.1169,0.14416,-0.0916,-0.3475,-0.0876,3.0396,-0.3172,-165219910.08,-0.3541,None,None,None,8804126.59,None,None,None,3212960.0,41122.0,None,None,59313.0,18398.94,None,None,4347671.06,5685483.61,None,4.6044
10001066,2019-03-31 00:00:00,-2917631.95,260636.21,-75599.3,15381324.84,-2673032.16,-298861.13,-244599.79,-699212.63,83619221.55,53940919.91,2873686551.74,1976370660.66,0.0005,0.0005,None,None,None,None,None,None,0.01,1768231457.1,426453632.81,478311422.43,-367718.07,2,0.0005,0.0005,None,0.041464,0.037635999999999996,0.004392,204.918,3.1159339999999998,893.4426,None,0.833555,None,None,0.199681,None,None,None,0.461496,0.178032,None,None,0.0022270000000000002,None,0.00018999999999999998,404.1311,4736.8421,0.00031099999999999997,2893.8907,-0.00106,0.285151,-0.0010730000000000002,-0.047777,-0.049554999999999995,0.702774,-0.056466,-0.005848,-0.0012720000000000001,-0.00106,0.297226,41.728,18.6268,-527.1852,-0.0058,None,None,-0.40657200000000004,None,-0.069275,-0.044856999999999994,-0.00013,-2e-06,None,-1.5e-05,-0.00164,0.000225,0.0005,3.7947,-0.0013,0.166445,0.0001,0.0005,0.0001,3.0396,None,-75599.3,-0.3536,None,None,None,8505265.46,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.5992
10001066,2019-06-30 00:00:00,-8300508.25,-2920034.08,-2377148.5,34536549.69,-6778794.51,534369.4,-1521713.74,-51260402.97,-89078745.17,217512839.09,2773016726.24,1973413720.7,-0.005607,-0.0056,None,-0.0046,None,None,None,None,-0.15,1657370707.93,330635623.43,382880663.05,-5628389.29,2,-0.0056,-0.0056,-0.0046,0.050127,0.043757000000000004,0.016415,109.6558,3.4966090000000003,247.4757,None,0.861926,None,5.787276,0.160192,None,None,0.480944,0.46677100000000005,0.13833299999999998,None,14.8935,0.009292,0.005175,0.00078,193.715,2307.6923,0.0012970000000000002,1387.818,-0.003068,0.158779,-0.0030520000000000005,-0.036432,-0.031164999999999998,0.828382,-0.039118,0.839482,0.182926,0.157669,0.171618,20.6244,11.895,-416.0775,-0.0163,None,None,-0.074569,None,-0.067081,-0.065701,-0.0023569999999999997,-0.000185,None,-0.001339,-0.155036,0.000909,-0.0056,3.7891,-0.0984,0.138074,-0.0015,-0.0056,-0.0015,3.0396,-0.0046,-2377148.5,-0.3597,None,None,None,9338495.99,None,None,None,1154104.62,19198.0,None,None,None,None,None,None,3620524.95,5607143.06,28680111.34,4.5892
