公司代码,市场代码,指数代码,指数名称,指数类别,指数编制方分类,是否使用,停用日期,基准点数,指数加权方式
10001125,CNSE00,803812,申万价值发现量化策略收益指数,股票指数,None,0,None,1000.0,08
10001125,CNSE00,803813,申万价值稳健量化策略收益指数,股票指数,None,0,None,1000.0,08
10001125,CNSE00,801020,申万采掘,行业指数,申万一级行业指数,0,2021-12-13 00:00:00,1000.0,08
10001125,CNSE00,801022,申万其他采掘指数,行业指数,申万二级行业指数,0,2021-12-13 00:00:00,1000.0,08
10001125,CNSE00,850231,申万其他采掘指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,0.0,08
10001125,CNSE00,851411,申万造纸指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,0.0,08
10001125,CNSE00,801862,申万活跃指数,风格指数,申万风格指数,0,2017-01-23 00:00:00,1000.0,08
10001125,CNSE00,801901,申万基金重仓,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08
10001125,CNSE00,801903,申万基金核心,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08
10001125,CNSE00,803612,申万价值发现量化策略指数,股票指数,申万量化策略指数,0,2016-01-18 00:00:00,1000.0,08
10001125,CNSE00,803613,申万价值稳健量化策略指数,股票指数,申万量化策略指数,0,2016-01-18 00:00:00,1000.0,08
10001125,CNSE00,801121,申万食品加工指数,行业指数,申万二级行业指数,0,2011-10-10 00:00:00,1000.0,08
10001125,CNSE00,851212,申万制糖指数,行业指数,申万三级行业指数,0,2011-10-10 00:00:00,0.0,08
10001125,CNSE00,801003,申万Ａ指,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801120,申万食品饮料指数,行业指数,申万一级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801140,申万轻工制造指数,行业指数,申万一级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801143,申万造纸指数,行业指数,申万二级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801230,申万综合指数,行业指数,申万一级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801231,申万综合Ⅱ指数,行业指数,申万二级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801812,申万中盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801813,申万小盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,801821,申万高市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001125,CNSE00,801822,申万中市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001125,CNSE00,801832,申万中市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001125,CNSE00,801833,申万低市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001125,CNSE00,801842,申万中价股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001125,CNSE00,801851,申万亏损股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001125,CNSE00,801852,申万微利股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001125,CNSE00,852311,申万综合Ⅲ指数,行业指数,申万三级行业指数,-1,1900-01-01 00:00:00,0.0,08
