公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001125,2020-12-31 00:00:00,-3mm矿,元,人民币,48976680.8,None,None,21452667.87,None,None,None
10001125,2020-12-31 00:00:00,出口手捡矿,元,人民币,4073640.45,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,机制糖,元,人民币,270258450.78,None,None,277170342.48,None,None,None
10001125,2020-12-31 00:00:00,浆,元,人民币,108273370.65,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,磷肥,元,人民币,34591677.05,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,硫精矿,元,人民币,281515980.39,None,None,218656296.79,None,None,None
10001125,2020-12-31 00:00:00,硫酸,元,人民币,45187106.53,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,贸易糖,元,人民币,1969632338.36,None,None,1963644274.41,None,None,None
10001125,2020-12-31 00:00:00,其他,元,人民币,85222864.05,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,其他(补充),元,人民币,None,None,None,59235632.45,None,None,None
10001125,2020-12-31 00:00:00,试剂硫酸,元,人民币,14413894.45,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,铁矿粉,元,人民币,114096991.82,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,文化纸,元,人民币,100434769.69,None,None,None,None,None,None
10001125,2020-12-31 00:00:00,原纸,元,人民币,113540140.56,None,None,None,None,None,None
