公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001186,2017-12-31 00:00:00,蛭石,元,人民币,330507336.39,None,None,None,None,None,None
10001186,2017-12-31 00:00:00,其他,元,人民币,52165281.79,None,None,None,None,None,None
10001186,2017-12-31 00:00:00,磁铁矿,元,人民币,2978171237.18,None,None,969270034.22,None,None,None
10001186,2017-12-31 00:00:00,推土机,元,人民币,196753039.09,None,None,None,None,None,None
10001186,2017-12-31 00:00:00,铜,元,人民币,1785427860.83,None,None,799381541.01,None,None,None
10001186,2017-12-31 00:00:00,阳极泥、硫酸等,元,人民币,42779812.95,None,None,None,None,None,None
10001186,2017-12-31 00:00:00,其他(补充),元,人民币,None,None,None,451033.48,None,None,None
10001186,2017-12-31 00:00:00,装载机,元,人民币,1845420.51,None,None,None,None,None,None
10001186,2017-12-31 00:00:00,自制半成品及毛坯,元,人民币,13336349.13,None,None,None,None,None,None
10001186,2017-12-31 00:00:00,挖掘机,元,人民币,198290.6,None,None,None,None,None,None
