公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10001219,2017-03-31 00:00:00,90908024.26,74812212.54,74467448.44,117739860.67,29062625.07,None,61845399.19,-126125883.41,1118778977.63,362846455.66,7493550412.58,2745467054.27,0.077325,0.1,None,None,None,None,None,None,5.31,3218065567.21,2773595822.11,4636712101.18,42214805.94,2,0.1,0.1,None,0.011603,0.010813,0.0034460000000000003,261.1724,0.5368010000000001,315.3463,0.030789,0.38124,0.182624,None,1.623022,1.011868,0.32387900000000003,None,1.496579,1.449888,1.793374,None,0.015047,None,0.0005290000000000001,59.8126,1701.3233,0.001428,630.2521,0.009633000000000001,0.324489,0.010523,0.27235600000000004,0.080096,0.663212,0.19893799999999998,0.09294600000000001,0.025266999999999998,0.009633000000000001,0.33678800000000003,24.4393,68.0307,129.5154,0.0929,None,None,1.123856,None,5.9733410000000005,-0.38724899999999995,-0.0034760000000000004,-0.000168,-0.017473000000000002,-0.000272,-0.045473999999999994,0.001671,0.1,2.8377,-0.1624,0.61876,0.027200000000000002,0.1,0.053099999999999994,1.256,None,74467448.44,0.7801,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6786
10001219,2017-06-30 00:00:00,295570605.55,249690779.3,248148740.68,291292689.8,293786931.21,None,1783674.34,289701433.82,936861700.61,804126959.25,7252518972.24,2921210815.78,0.258078,0.29,None,0.28,None,None,None,None,16.68,3034625603.25,2198803774.97,4226467975.88,83657695.46,2,0.29,0.28,0.28,0.013801,0.012758,0.008926,201.6581,0.600848,453.3095,0.018341,0.417241,0.21137499999999998,0.961102,1.3966939999999999,0.925169,0.336254,0.727821,1.393861,1.233226,1.925938,43.4128,0.030299999999999997,0.002503,0.001193,59.4059,1508.8013,0.003283,548.279,0.033161,0.362247,0.035686,0.453561,0.365349,0.622298,0.299082,1.4655639999999999,0.468577,0.19551,0.382281,17.265,0.6035,98.5527,0.2486,None,None,1.253471,None,853.329324,-0.401149,0.0036030000000000003,0.000399,0.012046,0.0006850000000000001,0.131754,0.003564,0.29,3.0193,0.2994,0.582759,0.0855,0.28,0.1668,1.0083,0.28,248148740.68,0.8069,None,None,None,None,None,None,None,11909422.41,46262417.99,18643297.36,None,0.0,0.0,None,None,293238.53,144855.97,2254607.0,3.1277
10001219,2017-09-30 00:00:00,383890695.88,317016292.74,313659394.96,411068165.77,379738308.13,None,4152387.75,264709168.73,603135541.88,1147311863.93,7057715214.17,2988893098.62,0.327665,0.35,None,None,None,None,None,None,13.23,2843141246.98,1923036806.77,3971566016.33,125157649.43,2,0.35,0.35,None,0.014785,0.01363,0.01157,233.3621,0.528698,406.7257,0.016884,0.437273,0.22011399999999998,None,1.2869,0.908382,0.334831,None,1.365642,1.1264969999999999,2.0114490000000003,None,0.044531999999999995,None,0.001727,60.6306,1563.4047,0.004875,553.8462,0.042539999999999994,0.358288,0.045203,0.395998,0.330981,0.626829,0.26168800000000003,0.310322,0.097286,0.042539999999999994,0.37317100000000003,20.3243,1.0817,107.0795,0.3103,None,None,0.850583,None,None,-0.41619999999999996,0.002307,0.000375,0.008817,0.000667,0.137652,0.005019,0.35,3.0893,0.2736,0.562727,0.1061,0.35,0.1323,1.0083,None,313659394.96,0.8765,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.1898
10001219,2017-12-31 00:00:00,597004894.72,489404571.49,481527652.03,625652808.03,598520129.6,None,-1515234.88,705724241.45,922011089.84,1903719491.54,7352692090.53,3160809801.25,0.505843,0.53,None,0.52,None,None,None,None,18.89,3158408430.82,3245417683.89,4091873229.62,163666904.81,2,0.53,0.53,0.52,0.009732,0.008135,0.020350999999999998,176.8955,0.39640099999999995,464.7682,-0.062235,0.443486,0.073646,1.0031,1.254861,1.103086,0.142413,0.7134550000000001,1.286267,1.161339,1.922453,44.2116,0.040552000000000005,0.0058330000000000005,0.0028039999999999996,88.7749,1283.8802,0.007581,474.8714,0.064649,0.32864800000000005,0.07001299999999999,0.35849800000000004,0.314395,0.659562,0.249694,1.8407650000000002,0.546165,0.242217,0.340437,20.3407,-0.2538,104.7986,0.4913,None,None,0.5218119999999999,0.252422,1.194333,0.18094000000000002,0.003707,0.00096,0.014846999999999999,0.001725,0.217453,0.008021,0.53,3.267,0.7294,0.5565140000000001,0.1548,0.53,0.1889,1.0083,0.52,481527652.03,0.992,None,None,None,None,None,None,None,78031111.01,11212951.0,25159923.71,None,714020.1,89841.2,None,None,282340.0,187788.45,2254607.0,3.3703
10001219,2018-03-31 00:00:00,133746876.84,109402956.64,108880160.78,132569500.9,133800423.6,None,-53546.76,10165292.32,-207714912.64,346000011.12,7115881584.28,3270742340.67,0.113078,0.11,None,None,None,None,None,None,3.4,2983273226.64,2691924480.67,3747724648.34,33904372.64,2,0.11,0.11,None,0.011082000000000002,0.009772,0.003405,264.3172,0.384663,494.4827,0.025794,0.47333,0.10560900000000001,None,1.112693,1.003144,0.18241800000000002,None,1.226964,1.0223470000000001,2.045525,None,0.004765,None,0.000478,188.8772,1882.8452,0.001127,798.5803,0.015005,0.383149,0.014759,0.490789,0.386706,0.599803,0.308596,0.11036099999999999,0.031701,0.015005,0.400197,17.0762,-0.04,99.1197,0.1104,None,None,-0.046429,0.4792,0.178981,-0.050399,0.000294,1.4e-05,0.000952,2.7000000000000002e-05,0.003776,0.001044,0.11,3.3806,0.0105,0.52667,0.0334,0.11,0.034,1.0083,None,108880160.78,1.1051,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.4813
10001219,2018-06-30 00:00:00,392955903.62,329170089.56,327899198.18,411935133.52,392870690.3,None,85213.32,48730790.19,-261043311.67,1003043936.5,7471243778.0,3491308410.32,0.340227,0.34,None,0.34,None,None,None,None,9.9,3394261343.19,2032678428.96,3883834849.49,70667472.94,2,0.34,0.34,0.34,0.016698,0.013607000000000001,0.00987,182.3708,0.48958599999999997,656.0633,0.00618,0.480162,0.112632,1.15018,1.08263,0.920539,0.190002,0.6825960000000001,1.13647,0.8011849999999999,2.5743880000000003,41.7467,0.010093000000000001,0.0031490000000000003,0.001353,178.3414,1330.3769,0.003061,588.0431,0.043525,0.410685,0.043872999999999995,0.539169,0.39167799999999997,0.576933,0.32420099999999996,1.835148,0.49492800000000003,0.23764600000000002,0.42306699999999997,13.7291,0.0217,104.8299,0.3361,None,None,0.24736999999999998,0.352136,0.18550799999999998,0.030158,0.000486,6.5e-05,0.0014990000000000001,0.000125,0.023974000000000002,0.0029289999999999997,0.34,3.6086,0.0504,0.519838,0.0943,0.34,0.099,1.0083,0.34,327899198.18,1.3322,None,None,None,None,None,None,None,81133322.66,19000831.33,18130425.36,None,1075508.45,89841.2,None,None,284042.09,196640.69,2364345.11,3.7079
10001219,2018-09-30 00:00:00,571962450.6,478100561.07,473498598.83,556818997.17,572772526.45,None,-810075.85,276126007.5,-291950259.43,1417834186.98,7464841816.54,3640553354.06,0.494159,0.49,None,None,None,None,None,None,14.06,3395410901.03,1790001370.51,3730836784.37,104392683.45,2,0.49,0.49,None,0.018969,0.015259,0.013814,195.4539,0.5554549999999999,647.8952,0.005242,0.500212,0.112728,None,0.999152,0.8893949999999999,0.18391400000000002,None,1.08983,0.70474,2.809445,None,0.014280999999999999,None,0.001914,189.0624,1410.6583,0.004327,623.9889,0.06316,0.392725,0.063638,0.5422440000000001,0.40397700000000003,0.5955469999999999,0.332535,0.487316,0.126266,0.06316,0.404453,13.6681,-0.1416,97.3524,0.4873,None,None,0.235788,0.570354,0.209924,0.05768500000000001,0.001948,0.00037,0.005857,0.00074,0.15426,0.0040539999999999994,0.49,3.7628,0.2854,0.499788,0.1313,0.49,0.1406,1.0083,None,473498598.83,1.4862,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.8594
10001219,2018-12-31 00:00:00,817575159.23,678589075.71,673222236.52,871813718.84,821237923.09,None,-3662763.86,691682651.27,-239746406.85,2333339560.45,7978855888.63,3840340122.89,0.701382,0.7,None,0.7,None,None,None,None,19.39,3673254784.35,2559129218.68,4049389676.03,138191732.12,2,0.7,0.7,0.7,0.014354,0.013859,0.015497,232.303,0.44630000000000003,691.6238,0.005326999999999999,0.492485,0.07438399999999999,1.169033,1.030519,0.951942,0.131219,0.689208,1.0957219999999999,0.802305,2.507845,42.1275,0.044642999999999995,0.007058,0.003044,80.6397,1182.6544,0.006831,527.0092,0.083651,0.37363300000000005,0.08706699999999999,0.461969,0.351958,0.616912,0.28604399999999996,2.25651,0.555592,0.273621,0.383088,13.2101,-0.448,106.6341,0.6899,None,None,0.22567399999999999,0.404106,0.20505500000000002,0.085161,0.002964,0.000867,0.010363,0.001708,0.27027999999999996,0.00649,0.7,3.9693,0.7149,0.507515,0.17670000000000002,0.7,0.19390000000000002,1.0083,0.7,673222236.52,1.6102,None,None,None,None,None,None,None,50458744.36,38648128.31,28149310.15,None,869998.85,None,None,None,1559964.77,None,2402555.45,4.0615
10001219,2019-03-31 00:00:00,144914882.83,125673099.88,124820272.93,134512248.48,144964622.83,None,-49740.0,-184602416.68,-66323737.22,406737624.54,7916844962.41,3966666127.93,0.129894,0.13,None,None,None,None,None,None,3.22,3679354162.84,2279018015.49,3868299679.09,31321474.72,2,0.13,0.13,None,0.016144000000000002,0.015486,0.002287,393.5286,0.458712,562.6694,0.004952,0.511384,0.08759800000000001,None,0.955479,0.8936,0.14624499999999999,None,1.04667,0.734219,2.639147,None,0.01869,None,0.000512,48.1541,1757.8125,0.001106,813.7432,0.014961,0.33071,0.014902,0.437677,0.356408,0.635512,0.29119700000000004,0.122419,0.029255,0.014961,0.364488,14.4749,-0.0343,92.8216,0.1224,None,None,0.175542,0.109262,0.20200600000000002,0.11256000000000001,-0.0045390000000000005,-0.00023300000000000003,-0.015586,-0.000477,-0.08100099999999999,0.0010199999999999999,0.13,4.0999,-0.1908,0.48861600000000005,0.0317,0.13,0.0322,1.0083,None,124820272.93,1.7401,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.1845
10001219,2019-06-30 00:00:00,399834469.11,333506724.89,329225469.66,387832857.25,400079311.55,None,-244842.44,8860476.05,6100417.83,985939139.5,8196608648.14,4174907326.26,0.344709,0.34,None,0.34,None,None,None,None,8.32,3997606985.38,2195225277.81,3935402274.01,64632421.04,2,0.34,0.34,0.34,0.01821,0.016786000000000002,0.005693,316.1778,0.517915,718.6283,0.00468,0.5198740000000001,0.10290800000000001,1.317944,0.9235420000000001,0.822575,0.16524,0.6599039999999999,0.985402,0.713114,2.6739159999999997,39.4458,0.026314,0.00299,0.001219,68.4047,1476.6202,0.002571,700.1167,0.040343,0.393364,0.040886,0.550828,0.405785,0.5860150000000001,0.335388,2.064058,0.46864199999999995,0.243635,0.413985,12.9595,-0.0612,96.9984,0.3418,None,None,-0.017053,0.016865,0.187823,0.09708800000000001,8.999999999999999e-05,1.1000000000000001e-05,0.000268,2.3e-05,0.0040360000000000005,0.002407,0.34,4.3151,0.0092,0.480126,0.0799,0.34,0.0832,1.0083,0.34,329225469.66,1.9549,None,None,None,None,None,None,None,202181276.23,81347544.99,5363622.98,None,None,869998.85,None,None,1544271.05,30974.0,268489.12,4.4043
