公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80198873,2017-12-31 00:00:00,155849328.01,133555520.38,131641300.0,680127093.34,168472617.01,27265.48,-12623289.0,219936062.48,37663018.99,1376217976.21,7367637762.2,1285588443.63,None,0.1,None,0.1,1.0,None,0.17,None,10.94,922690811.85,4302669358.69,6076027168.46,285133074.21,1,0.1,0.1,0.1,0.002144,0.001843,0.083287,43.224,0.017572,154.6585,-0.004834,0.175309,0.221767,None,4.704225,2.203016,0.558501,None,4.989853,4.596253,0.7280249999999999,None,0.046969000000000004,0.0018679999999999999,0.0018679999999999999,76.6463,1927.1949,1.491527,2.4136,0.018027,0.49420000000000003,0.018027,0.131532,0.122417,0.442372,0.09650700000000001,None,0.102829,0.018027,None,35.5166,-8.0822,436.4004,0.1036,None,None,None,None,None,None,0.001598,0.000299,0.01656,0.000362,0.051116,0.010655,0.1,1.0,None,0.824691,0.1039,0.1,0.1094,None,0.1,131641300.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80198873,2018-12-31 00:00:00,240949900.51,209177032.42,209760100.0,764757153.92,245978810.68,81600.79,-5028910.17,346171298.16,-18991413.15,1537477995.12,7140401747.06,1410976576.05,0.162271,0.16,None,0.16,1.09,None,0.27,None,15.05,789589188.74,3854113516.27,5730422975.71,255397915.8,1,0.16,0.16,0.16,0.002049,0.0016350000000000002,0.108416,33.2054,0.011785,194.3429,-0.005806,0.197465,0.249174,None,4.064191,1.991363,0.557887,None,4.5041899999999995,3.9953179999999997,0.736043,None,0.047353,None,None,76.0248,None,0.017958000000000002,200.4678,0.029163,0.49741,0.028706,0.192894,0.15998900000000002,0.445011,0.135438,None,0.14768499999999998,0.029163,None,30.9863,-2.0533,317.3926,0.1623,None,None,0.11717599999999999,0.567841,0.091644,-0.030842,0.002252,0.000485,0.016624,0.000604,0.089819,0.011382000000000001,0.16,1.09,None,0.802535,0.1482,0.16,0.1505,None,0.16,209760100.0,None,None,None,None,None,None,None,None,10011074.65,584533.8,2171683.16,None,1691691.01,231176.26,None,None,18326199.09,126050.6,2604561.61,None
80198873,2019-12-31 00:00:00,499908874.6,424549746.47,458025100.0,1124091225.65,506532221.34,562660.78,-6623346.74,167913447.41,11915618.16,2566818074.22,7258970589.95,1647270517.07,0.329348,0.33,None,0.36,1.28,None,0.13,None,25.62,883667447.62,4291429570.09,5612932208.67,265214182.09,1,0.33,0.33,0.36,0.002059,0.001651,0.24651299999999998,14.6037,0.015285,288.4925,-0.0036509999999999997,0.226759,0.171418,None,3.409964,2.205717,0.43050600000000006,None,3.873119,3.3630720000000003,0.780137,None,0.079889,None,None,45.0625,None,0.030681,117.3365,0.058454,0.437932,0.058935,0.249176,0.197339,0.520262,0.16530799999999998,None,0.25778,0.058454,None,21.9542,-1.2124,224.8592,0.3293,None,None,0.669499,1.037695,0.16742100000000001,0.016605,0.000654,0.00023099999999999998,0.003957,0.000299,0.039127999999999996,0.016798,0.33,1.28,None,0.7732410000000001,0.2577,0.33,0.2562,None,0.36,458025100.0,None,None,None,None,None,None,None,None,2240569.01,4457472.9,584533.8,None,496805.98,None,None,None,330392.03,6061337.72,2465387.64,None
80198873,2020-03-31 00:00:00,78908377.24,54697321.67,51770321.67,230572250.6,78592587.61,525486.73,315789.63,125404535.08,-30170663.26,434559701.82,None,None,None,0.04,None,0.04,None,None,0.1,None,3.27,None,None,None,59642042.25,1,0.04,0.04,0.04,None,None,None,None,None,232.3033,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.530588,None,0.22648800000000002,0.180856,0.41771,0.125795,None,None,None,None,33.232,1.0661,292.2025,None,None,None,None,None,None,None,0.002886,None,0.022940000000000002,None,None,0.00528,0.04,None,None,None,None,0.04,0.0327,None,0.04,51770321.67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80198873,2020-06-30 00:00:00,114108416.48,99283050.52,105401400.0,427721307.02,118058762.72,528138.78,-3950346.24,144255471.02,-14565252.73,772257010.21,6984446447.41,1750349652.7,0.07702,0.08,None,0.08,1.36,None,0.11,None,5.84,541173440.93,3719171276.13,5234096794.71,119489178.97,1,0.08,0.08,0.08,0.001455,0.001015,0.078707,22.8696,0.022486000000000003,195.4969,-0.004504,0.250607,0.20494800000000002,None,2.990315,2.025044,0.449886,None,3.681135,2.942621,0.785748,None,0.017724,None,None,101.5572,None,0.01084,166.0517,0.01421,0.553859,0.013935999999999999,0.18026299999999998,0.15287499999999998,0.388576,0.128521,None,0.056704,0.01421,None,37.3549,-2.9991,374.8377,0.077,None,None,None,None,None,None,0.0018679999999999999,0.000207,0.014534,0.000276,0.038786999999999995,0.004548,0.08,1.36,None,0.749393,0.0567,0.08,0.0584,None,0.08,105401400.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80198873,2020-09-30 00:00:00,380256634.9,323589397.31,None,834962469.52,385036228.81,528138.78,-4779593.91,357426862.53,65892443.51,1585031690.6,None,None,None,0.25,None,None,None,None,None,None,None,None,None,None,182499646.05,2,0.25,0.25,None,None,None,None,None,None,308.3602,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.52678,None,0.32866599999999996,0.24292000000000002,0.424827,0.204133,None,None,None,None,25.6714,-1.118,219.5787,None,None,None,None,None,None,None,0.002255,None,0.011047,None,None,0.019259,0.25,None,None,None,None,0.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80198873,2020-12-31 00:00:00,684093528.78,589043825.01,595764251.81,1301860416.29,689038521.3,528138.78,-4944992.52,738638318.82,77545113.17,2496099858.3,7418719821.31,2240646703.83,0.456956,0.46,None,0.46,1.74,None,0.57,None,30.28,866955411.57,3737909644.08,5178073117.48,240439223.96,1,0.46,0.46,0.46,0.002319,0.0018759999999999998,0.169956,21.182,0.074887,384.5183,-0.004704,0.302026,0.18205300000000002,0.727277,2.3109729999999997,1.824371,0.376081,0.62449,2.924051,2.271,0.88711,41.5283,0.063547,None,0.003401,56.651,1058.5122,0.028517,126.2405,0.079395,0.521558,0.08026,0.394324,0.276046,0.433744,0.23597300000000002,None,1.089668,0.329108,None,21.6583,-0.6457,190.3044,None,None,None,-0.027551000000000003,0.388147,0.36123600000000006,0.022007,0.002959,0.000996,0.01254,0.001426,0.197607,0.012844,0.46,1.74,None,0.697974,0.26289999999999997,0.46,0.3028,None,0.46,595764251.81,None,None,None,None,None,None,None,None,885633.81,None,4733718.45,None,5066798.86,367093.26,None,None,1585767.44,3640.37,7416925.36,None
80198873,2021-03-31 00:00:00,379576314.63,351637723.81,342577911.81,507799842.13,378657269.21,None,919045.42,329072338.74,71407531.65,733333387.11,7462304776.85,2541981737.69,0.272786,0.27,None,0.27,1.97,None,0.26,None,14.7,882510994.64,2956243297.59,4864853233.02,52471872.23,1,0.27,0.27,0.27,0.002985,0.002078,0.044451,20.247,0.114687,823.3901,-0.008776,0.34064300000000003,0.243892,None,1.9138030000000001,1.508441,0.41724200000000006,None,2.5884500000000004,1.8789449999999999,0.956784,None,0.008650999999999999,None,0.000986,104.0342,912.7789,0.008384,107.3473,0.047122000000000004,0.692454,0.047259999999999996,1.1001269999999999,0.516351,0.25596399999999997,0.479506,None,0.138332,0.047122000000000004,None,16.2949,0.2421,133.7807,None,None,None,0.687532,5.432526,None,None,0.004487,0.000441,0.009358,0.000676,0.111314,0.003067,0.27,1.97,None,0.6519240000000001,0.1383,0.27,0.147,None,0.27,342577911.81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80198873,2021-06-30 00:00:00,1052237387.38,890043797.73,886430521.47,1379543762.49,1056213859.28,None,-3976471.9,1133500025.62,1824183628.92,2293750544.09,9580918597.22,4954346259.58,0.590215,0.65,None,0.65,None,None,None,None,27.01,3082588355.55,3109090344.29,4626572337.64,98201795.4,2,0.65,0.65,0.65,0.009915,0.009012,0.106068,16.9702,0.792708,1171.5052,-0.536918,0.517106,0.148518,1.542112,0.933841,1.018981,0.223126,0.621133,1.311642,0.9147580000000001,1.481967,33.5323,0.036617000000000004,0.007289,0.0026989999999999996,49.1575,666.9137,0.011615,154.972,0.092898,0.601436,0.104713,0.885608,0.46047499999999997,0.356421,0.38803,1.8896979999999999,0.5751850000000001,0.297431,None,11.9431,-0.3779,131.1058,0.5902,None,None,1.970191,7.967578,1.830489,0.371751,0.004941999999999999,0.001183,0.012735000000000002,0.00245,0.364576,0.006376,0.65,3.2854,0.7517,0.482894,0.1796,0.65,0.2701,1.1108,0.65,886430521.47,0.9327,None,None,None,None,None,None,None,7537870.68,None,4705596.48,None,1049998.9,932063.23,None,None,247699.67,1235839.17,7401348.0,3.2854
80198873,2021-09-30 00:00:00,1692366906.31,1421859805.53,1419404397.62,2174358951.2,1699303294.99,None,-6936388.68,1753207979.07,1094804332.31,3830236140.41,8615792286.9,4883681946.73,0.942878,1.01,None,None,None,None,None,None,35.86,2075804953.57,2266025398.57,3732110340.17,130774994.97,2,1.01,1.01,None,0.009161,0.007911,0.173762,15.5385,0.606147,1394.1059,-0.071445,0.5668289999999999,0.157737,None,0.7642,1.04762,0.217699,None,1.339151,0.742279,1.58345,None,0.066951,None,0.004777,40.328,565.2083,0.026032000000000003,103.7185,0.165029,0.567683,0.17735,0.827562,0.44365499999999997,0.39234499999999994,0.37122,0.942878,0.291145,0.165029,None,10.1593,-0.4099,128.4804,0.9429,0.001447,None,1.416504,3.394456,None,None,0.004577,0.002035,0.01233,0.004698,0.773693,0.010752999999999999,1.01,3.2385,1.1626,0.43317100000000003,0.29109999999999997,1.01,0.3586,1.1108,None,1419404397.62,0.8854,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.2385
