公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80155180,2017-03-31 00:00:00,51367814.66,51203951.71,67871540.72,116480801.89,48175826.16,18491486.88,3191988.5,147580169.56,99340314.92,459283003.17,4642680263.02,2238871886.97,0.047818,0.05,None,None,None,None,None,None,2.35,2429440961.96,1785305481.45,2368975641.67,19919709.52,2,0.05,0.05,None,0.013608,0.012724,0.0058130000000000005,154.8254,0.578456,357.8743,None,0.48973999999999995,None,None,1.041901,None,None,None,0.973407,0.785197,None,None,0.017572,None,0.000996,51.2178,903.6145,0.00191,471.2042,0.011057999999999998,0.253614,0.011136,0.12448600000000001,0.104894,0.7425320000000001,0.111776,0.047942,0.022578,0.011057999999999998,0.25746800000000003,15.2059,42.2122,226.7583,0.0479,None,None,1.196401,0.8318470000000001,0.031032999999999998,0.433089,0.0032129999999999997,0.00031800000000000003,0.028746999999999998,0.000623,0.08266400000000002,0.002062,0.05,2.0908,0.1378,0.51026,0.0229,0.05,0.0235,0.4879,None,67871540.72,0.5693,None,None,None,942818817.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1234
80155180,2017-06-30 00:00:00,51888104.76,57249443.99,94058909.37,209405674.28,52850138.44,40770451.8,-962033.68,182820873.4,36771498.21,853630520.03,4609044691.3,2231950325.49,0.053464,0.05,None,0.09,None,None,None,None,2.63,2328881631.01,1758590048.66,2341957549.42,49780070.75,2,0.05,0.05,0.09,0.013243,0.012354,0.010758,167.3173,0.541805,204.2347,None,0.49187800000000004,None,4.768759,1.0330249999999999,None,None,0.7679130000000001,1.005768,0.775705,None,10.3146,0.033114,0.018111,0.0018590000000000002,54.3577,968.2625,0.003626,496.4148,0.01269,0.24531199999999997,0.012735000000000002,0.065162,0.061912,0.7498659999999999,0.068519,0.188802,0.089177,0.043864,0.250134,17.8144,76.7197,403.5716,0.0546,None,None,0.6689029999999999,-0.221063,0.084098,0.294077,0.002142,0.000397,0.031257,0.000781,0.103959,0.003838,0.05,2.0844,0.1707,0.508122,0.0256,0.05,0.0263,0.4879,0.09,94058909.37,0.5756,None,None,None,978203890.08,None,None,None,206101848.33,112645747.77,82387375.76,None,5766194.81,8071267.95,None,None,2697323.55,None,3410339.26,2.1172
80155180,2017-09-30 00:00:00,74810407.89,77346482.32,113970747.85,249902782.04,78327192.01,99813461.09,-3516784.12,134646763.6,-181679170.58,1078648235.35,4626220335.76,2210496612.96,0.072232,0.07,None,None,None,None,None,None,3.52,2260991932.22,1787728611.31,2371428946.61,76589586.63,2,0.07,0.07,None,0.012646999999999999,0.0115,0.012914000000000002,209.0754,0.373247,197.677,None,0.48739400000000005,None,None,1.051729,None,None,None,1.048979,0.792858,None,None,0.037816,None,0.002344,71.3983,1151.8771,0.0046489999999999995,580.7701,0.017214,0.231681,0.017306,0.070757,0.072616,0.763295,0.07383,0.07437,0.035318999999999996,0.017214,0.236705,21.1883,128.721,334.0481,0.0744,9.400000000000001e-05,None,0.5285690000000001,-0.253863,0.060835,0.11002200000000001,0.001248,0.000291,0.016908,0.000568,0.075317,0.004863,0.07,2.0643,0.1257,0.512606,0.035,0.07,0.0352,0.4879,None,113970747.85,0.5694,None,None,None,1029792650.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1057
80155180,2017-12-31 00:00:00,88045668.53,88900249.42,120064112.61,358953330.09,90695503.11,116731073.64,-2649834.58,-152520513.36,-353834230.68,1485246073.8,4703223115.11,2140839224.69,0.083021,0.08,None,0.11,None,None,None,None,4.05,2531382979.12,1913261004.98,2500521647.62,99193034.92,2,0.08,0.08,0.11,0.013231,0.012225999999999999,0.017025,211.4537,0.389498,188.7619,None,0.468339,None,4.622438,1.135207,None,None,0.738889,0.985989,0.8685980000000001,None,10.1319,0.052877,0.031475,0.003201,68.0825,1124.6485,0.00605,595.0413,0.020475,0.241679,0.020754,0.060672,0.061064,0.752256,0.06483699999999999,0.24719100000000002,0.120168,0.056279,0.247744,21.8742,129.5705,407.6899,0.0899,None,None,0.414471,-0.27630299999999997,0.009752,0.027597,-0.001027,-0.00032399999999999996,-0.015838,-0.00061,-0.079718,0.006776,0.08,1.9993,-0.1424,0.531661,0.0415,0.08,0.0405,0.4848,0.11,120064112.61,0.5784,None,None,None,804389887.17,None,None,None,240218103.77,164371582.81,92853219.46,None,11534422.82,2451129.81,None,None,None,2697323.55,3290239.29,2.057
80155180,2018-03-31 00:00:00,41442313.69,35830216.86,26038548.82,93020007.22,36698676.62,13254629.11,4743637.07,-80950231.0,-102993826.72,340881608.82,4660087648.81,2152714454.86,0.033461,0.03,None,None,None,None,None,None,1.66,2501363386.18,1857471504.31,2445323790.69,26727679.85,2,0.03,0.03,None,0.013466,0.012272,0.003558,252.9511,0.30673300000000003,255.0539,None,0.475262,None,None,1.104101,None,None,None,0.974697,0.838677,None,None,0.011857,None,0.000728,75.9045,1236.2637,0.001355,664.2066,0.00782,0.272881,0.007784,0.127315,0.107658,0.7202230000000001,0.106904,0.034032,0.016454,0.00782,0.279777,22.7788,43.4297,224.4566,0.034,None,None,-0.25779599999999997,-0.290149,-0.025922999999999998,0.003749,-0.002375,-0.000174,-0.022214,-0.00033099999999999997,-0.043581,0.0015429999999999999,0.03,2.0104,-0.0756,0.5247379999999999,0.0166,0.03,0.0166,0.4848,None,26038548.82,0.6118,None,None,None,807103558.18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.0683
80155180,2018-06-30 00:00:00,67712673.82,58459933.36,30102549.45,173866514.23,63218366.66,29805326.93,4494307.16,-134243392.77,-129903244.21,761628103.9,4848211032.15,2194011715.12,0.054594,0.06,None,0.03,None,None,None,None,2.69,2631200966.14,1999090486.22,2588355752.98,21487310.11,2,0.06,0.06,0.03,0.013162,0.01191,0.007416000000000001,242.7184,0.273029,415.1287,None,0.466121,None,4.890308,1.145364,None,None,0.711587,0.981041,0.88461,None,9.5315,0.026373,0.016228,0.001595,68.2516,1128.5266,0.0029509999999999996,609.9627,0.011832,0.22828299999999999,0.012012,0.093686,0.083004,0.766262,0.075319,0.228483,0.108265,0.050464,0.233738,17.7248,50.6547,256.771,0.0536,None,None,-0.10777799999999998,-0.019231,-0.00319,0.051891,-0.001763,-0.000277,-0.023401,-0.000519,-0.067152,0.003413,0.06,2.0489,-0.1254,0.533879,0.026600000000000002,0.06,0.0269,0.4848,0.03,30102549.45,0.633,None,None,None,826028893.21,None,None,None,245494435.82,161185147.98,124777723.76,None,6725359.89,3031812.0,None,None,None,2691323.55,3337439.32,2.1104
80155180,2018-09-30 00:00:00,45777752.23,29018250.33,48332347.27,266714899.28,40260360.21,-96733318.1,5517392.02,-225996049.49,-140761364.23,1159212225.06,4705758696.87,2238972768.67,0.027099,0.03,None,None,None,None,None,None,1.35,3590492913.27,1717474560.45,2397855074.5,9449950.18,2,0.03,0.03,None,0.020905999999999998,0.019432,0.011046,244.4324,0.34136299999999997,584.4232,0.000782,0.490442,0.031121,None,1.038975,0.454403,0.059669,None,0.483238,0.8076260000000001,2.498907,None,0.039733,None,0.002464,67.9536,1095.7792,0.003787,712.9654,0.006548000000000001,0.23008299999999998,0.00655,0.043064,0.034731,0.763327,0.02658,0.028775,0.013351,0.006548000000000001,0.23667300000000002,14.7104,-199.2582,582.63,0.0288,None,None,0.07469,-0.613087,0.023555000000000003,0.017193,-0.0019500000000000001,-0.00048,-0.073346,-0.000942,-0.131586,0.0051400000000000005,0.03,2.0909,-0.2111,0.5095580000000001,0.013000000000000001,0.03,0.013500000000000002,0.4831,None,48332347.27,0.5957,None,None,None,167773678.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1553
80155180,2018-12-31 00:00:00,-459939805.01,-494369654.08,-355749055.52,280853907.49,-482365933.33,-80277184.96,22426128.32,33997367.33,22657804.19,1661781299.81,3893019720.66,1679116868.59,-0.461678,-0.47,None,-0.34,None,None,None,None,-26.11,2978310860.76,1674467258.54,2148971721.35,19166180.06,2,-0.47,-0.47,-0.34,0.017787,0.016466,0.016585000000000003,217.0636,0.425594,-2299.7469,0.002429,0.447994,0.081346,3.517165,1.232175,0.443876,0.153675,0.778998,0.524475,1.141683,1.930936,12.7373,0.06630799999999999,0.034179,0.003866,54.2921,931.195,0.006031999999999999,596.817,-0.127857,0.169008,-0.115806,-0.280488,-0.29027000000000003,0.8250270000000001,-0.299528,-0.33346,-0.204738,-0.091721,0.174973,15.5769,12.578,-61.0632,-0.4648,-5e-06,None,0.11885899999999999,-6.168819,-0.208223,-0.172266,0.000205,8.7e-05,None,0.00015800000000000002,0.020303,0.008421,-0.47,1.5681,0.0317,0.552006,-0.2944,-0.47,-0.2611,0.4836,-0.34,-355749055.52,0.1069,None,None,None,140966933.49,None,None,None,311331913.77,147547349.84,136857750.01,None,12507493.55,203535.04,None,None,2400000.0,387000.0,10144600.0,1.6287
80155180,2019-03-31 00:00:00,91073929.22,84681992.57,15570726.17,106924162.97,83545572.41,94188.03,7528356.81,20913635.86,105824958.29,401205365.31,4052092027.74,1759707179.4,0.079082,0.08,None,None,None,None,None,None,4.92,3125354808.38,1684141730.92,2227699562.34,32582525.41,2,0.08,0.08,None,0.018557999999999998,0.017244,0.004005,224.7191,0.483393,379.5177,0.002731,0.450235,0.09714600000000001,None,1.221064,0.417819,0.177474,None,0.5079699999999999,1.138891,1.927198,None,0.013221,None,0.00101,68.0735,891.0891,0.001315,684.4106,0.020891000000000003,0.266507,0.02131,0.248921,0.20823599999999998,0.728836,0.21099900000000002,0.079056,0.046401000000000005,0.020891000000000003,0.27116399999999996,17.8446,8.3696,117.4037,0.0791,2.8e-05,None,0.176964,1.3230119999999999,-0.17625900000000003,-0.130469,0.000521,5.2e-05,0.00247,9.400000000000001e-05,0.012418,0.0022489999999999997,0.08,1.6433,0.0195,0.5497650000000001,0.0481,0.08,0.0492,0.4836,None,15570726.17,0.186,None,None,None,139413975.26,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.7037
80155180,2019-06-30 00:00:00,93503055.1,78259337.91,38214748.31,249385793.12,89935564.07,4057021.73,3567491.03,841577.61,-30424758.92,1023919943.81,4087918940.03,1763421842.15,0.073084,0.07,None,0.04,None,None,None,None,4.55,2994716557.96,1761109070.71,2256299864.75,36373167.42,2,0.07,0.07,0.04,0.017005,0.015549,0.009668,186.1812,0.40502299999999997,357.066,0.002771,0.44805700000000004,0.083635,3.841438,1.2318609999999999,0.502966,0.1573,0.750315,0.59685,1.148166,1.9215989999999998,11.6638,0.032231,0.021054,0.002566,55.8469,701.4809,0.003428,525.0875,0.019691,0.24356000000000003,0.020171,0.102788,0.087835,0.751699,0.078613,0.22334700000000002,0.130574,0.058505,0.24830100000000002,13.1978,8.1543,266.7141,0.0752,2.8999999999999997e-05,None,0.344383,0.403168,-0.189497,-0.15681900000000001,8e-06,2e-06,0.000105,4e-06,0.000478,0.0057269999999999995,0.07,1.6468,0.0008,0.551943,0.0444,0.07,0.0455,0.4836,0.04,38214748.31,0.18,None,None,None,152031337.19,None,None,None,247245832.86,153856893.0,185171691.15,None,83864629.54,1480777.52,None,None,2400000.0,None,10537350.0,1.7105
