公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80145881,2017-06-30 00:00:00,361248109.88,315645079.17,308513740.13,435773549.56,352372907.48,27708796.66,8875202.4,148688162.97,-23730755.34,672990243.27,2519670432.67,1414453322.61,2.977784,2.98,None,2.91,13.34,None,1.4,22.32,24.74,643803279.89,785651920.23,1105217110.06,18675285.82,1,2.98,2.98,2.91,0.008195000000000001,0.007391999999999999,0.115678,15.5604,0.20590499999999998,2034.3646,None,0.561364,None,None,0.781374,None,None,None,1.326214,0.555446,None,None,0.035635,None,None,50.5121,None,0.010605999999999999,169.7153,0.125272,0.647518,0.126379,1.044519,0.523593,0.321382,0.46901899999999996,None,0.223157,0.125272,0.678618,16.1421,10.1271,120.63,2.9778,None,None,None,None,None,None,0.002209,0.0005899999999999999,0.004711,0.001345,0.189255,0.0052380000000000005,2.98,13.34,None,0.43863599999999997,0.2232,2.98,0.24739999999999998,None,2.91,308513740.13,None,None,None,None,175530924.34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80145881,2017-12-31 00:00:00,632227919.39,551652045.46,539272200.0,819034314.93,634436431.79,52543660.4,-2208512.4,405657017.69,-24494321.45,1287482496.84,2601998348.99,1638727290.41,5.204265,1.53,None,1.5,None,None,3.83,None,40.06,697455198.72,790470117.72,963271058.58,33908351.79,1,1.53,1.53,1.5,0.008823,0.007891,None,None,0.151735,1964.5198,None,0.629796,None,None,0.587817,None,None,None,1.162209,0.482368,None,None,0.065592,None,None,54.8847,None,0.019468,184.9188,0.212011,0.636152,0.21728999999999998,0.971271,0.49277299999999996,0.33626100000000003,0.428473,None,0.33663400000000004,0.212011,0.6637390000000001,14.1734,7.9616,129.5473,5.1932,None,None,0.745037,3.4503070000000005,0.41871699999999995,0.051074,0.0031509999999999997,0.001559,0.007352999999999999,0.0042109999999999995,0.513185,0.009217,1.53,15.4597,None,0.37020400000000003,0.33659999999999995,1.53,0.4006,None,1.5,539272200.0,None,None,None,None,200066268.08,None,None,None,None,None,None,None,None,None,None,None,20000.0,None,5905469.0,None
80145881,2018-06-30 00:00:00,286835908.89,249441791.97,243268700.0,345632064.64,287015463.63,40883788.04,-179554.74,374177571.98,7720836.66,637663048.93,2451545171.65,1606059303.91,0.692125,0.69,None,0.68,4.46,None,1.04,None,15.08,547522699.12,678831775.84,845485867.74,16143442.69,1,0.69,0.69,0.68,0.008066,0.007067,None,None,0.181322,1876.7952,None,0.6551210000000001,None,None,0.526435,None,None,None,1.185524,0.422669,None,None,0.038761000000000004,None,None,46.4384,None,0.010244,175.7126,0.10174899999999999,0.542029,0.09872,0.7430530000000001,0.450105,0.429897,0.391181,None,0.155313,0.10174899999999999,0.570103,14.7402,14.1908,120.4982,0.6921,None,None,-0.052493,-0.20974,0.135463,-0.027037,0.005868,0.0015260000000000002,0.015001,0.004426,0.551208,0.00393,0.69,4.46,None,0.34487900000000005,0.1553,0.69,0.1508,None,0.68,243268700.0,None,None,None,None,222963561.34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80145881,2018-12-31 00:00:00,558282655.54,490213296.74,479087200.0,695384417.56,560151780.4,72145930.54,-1869124.86,654701113.23,68530066.31,1228375830.36,2637686214.61,1839142704.11,1.360192,1.36,None,1.33,None,None,1.82,None,29.11,679579901.21,638865405.74,798543510.5,25066635.58,1,1.36,1.36,1.33,0.010637,0.009228,0.283048,12.7187,0.373521,2327.1942,None,0.697256,None,None,0.434193,None,None,None,1.064684,0.347371,None,None,0.061372,None,None,58.6587,None,0.017841,201.7824,0.18585000000000002,0.5661010000000001,0.187116,0.771572,0.45600999999999997,0.408889,0.39907400000000004,None,0.266544,0.18585000000000002,0.591111,15.5143,12.588,124.5578,1.3602,None,None,-0.045909000000000005,-0.111372,0.122299,0.013715999999999999,0.0053300000000000005,0.002482,0.013354999999999999,0.008199,1.0247870000000001,0.007064,1.36,5.1031,None,0.302744,0.26649999999999996,1.36,0.29109999999999997,None,1.33,479087200.0,None,None,None,None,254117198.62,None,None,None,None,None,None,None,467952.01,None,None,None,2291631.28,None,5650049.0,None
80145881,2019-03-31 00:00:00,166102386.66,143539488.43,139968490.37,197695843.52,165649086.97,14080235.73,453299.69,-31678129.78,-41910970.4,346008485.65,None,None,None,0.3983,None,0.39,None,None,-0.09,None,5.2,None,None,None,2047608.0,1,0.3983,0.3983,0.39,None,None,None,None,None,8212.0208,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.571361,None,0.861983,0.478743,0.40230200000000005,0.414844,None,None,None,None,12.8278,8.7497,119.0205,None,None,None,None,None,None,None,-0.000916,None,-0.002207,None,None,0.0037630000000000003,0.3983,None,None,None,None,0.3983,0.052000000000000005,None,0.39,139968490.37,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80145881,2019-06-30 00:00:00,322111359.97,277433021.31,267680287.97,398366940.04,319452178.65,21365327.41,2659181.32,19566668.17,-28667821.83,692089292.85,None,None,None,0.7698,None,None,None,None,None,None,14.04,None,None,None,5496462.07,2,0.7698,0.7698,None,None,None,None,None,None,5960.3399,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.5756,None,0.8358599999999999,0.46157699999999996,0.394653,0.400863,None,None,None,None,13.2415,7.4584,123.6737,None,None,None,0.085353,0.11221500000000001,-1.0,-1.0,0.000283,None,0.0007049999999999999,None,None,0.007526000000000001,0.7698,None,None,None,None,0.7698,0.1404,None,None,267680287.97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80145881,2019-09-30 00:00:00,462971916.21,398783924.68,None,578988197.61,460397365.25,30689918.48,2574550.96,218565224.1,40730998.94,1027109538.84,None,None,None,1.1065,None,None,None,None,None,None,None,None,None,None,7223039.92,2,1.1065,1.1065,None,None,None,None,None,None,6509.6547,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.563706,None,0.7921590000000001,0.448246,0.405935,0.388258,None,None,None,None,13.2724,7.185,125.059,None,None,None,None,None,None,None,0.0021279999999999997,None,0.005481000000000001,None,None,0.011169,1.1065,None,None,None,None,1.1065,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80145881,2019-12-31 00:00:00,595877322.45,519188282.45,506020400.0,784891367.81,597911426.25,41814561.15,-2034103.8,328055560.1,129349628.21,1374877603.77,3045900836.03,2347530927.05,1.440589,1.4406,None,1.4041,6.51,None,0.91,None,24.8,1037627871.33,508761092.89,698369908.98,7151720.27,1,1.4406,1.4406,1.4041,0.020395,0.018508,0.549255,6.5543,0.6590349999999999,8431.9439,None,0.770718,None,2.097588,0.297491,None,None,0.6683939999999999,0.855483,0.216722,None,36.7431,0.058862,None,0.004838,61.16,744.1091,0.016013,224.8173,0.170455,0.570881,0.182697,0.755854,0.434883,0.39822899999999994,0.37762500000000004,None,0.457685,0.352746,None,14.4277,6.6759,131.7203,1.4406,None,None,0.11926500000000001,0.059107,0.27642700000000003,0.154762,0.002386,0.001077,0.006319,0.004697,0.6448130000000001,0.006568000000000001,1.4406,6.51,None,0.229282,0.2212,1.4406,0.248,None,1.4041,506020400.0,None,None,None,None,266531759.77,None,None,None,None,None,None,None,3955712.94,365675.2,None,None,1395970.0,1225724.0,2797175.0,None
80145881,2020-03-31 00:00:00,223170371.57,191287606.45,188601922.62,262761284.59,223902148.04,8004018.97,-731776.47,206569051.65,202147042.31,422637636.41,3196512609.16,2537050297.12,0.530765,0.5308,None,0.52,7.04,None,0.57,None,7.83,1216259248.62,472837366.58,659462312.04,-590987.34,1,0.5308,0.5308,0.52,0.025723,0.024319,0.509304,1.7671,1.141504,-37662.2931,None,0.793693,None,None,0.259933,None,None,None,0.780534,0.186373,None,None,0.018254,None,0.001354,49.3043,664.6972,0.00375,240.0,0.059843,0.621718,0.06128599999999999,1.1128,0.529773,0.350713,0.45260399999999995,0.530765,0.07539799999999999,0.059843,None,9.6234,3.2586,117.7402,0.5308,None,None,0.221466,0.332648,None,None,0.004888,0.0006460000000000001,0.010799000000000001,0.003132,0.436871,0.0017299999999999998,0.5308,7.04,0.5732,0.20630700000000002,0.0754,0.5308,0.0783,0.0366,0.52,188601922.62,5.517,None,None,None,274535778.74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.0395
80145881,2020-06-30 00:00:00,410815395.6,353603975.26,349093823.74,506753273.15,413988278.16,10186621.73,-3172882.56,412565538.62,423455487.19,849688464.71,4394263508.84,3774820955.88,0.881805,0.9456,None,0.9336,None,None,None,None,13.87,2359910071.64,435961579.04,619442552.96,-5253916.91,2,0.9456,0.9456,0.9336,0.054131,0.052671,1.00116,1.7979,1.6754060000000002,-7719.2214,0.0,0.8590340000000001,0.0,3.596261,0.164099,0.5389269999999999,0.0,0.638516,0.5389269999999999,0.11549200000000001,9.367622,23.8869,0.039662,0.007836,0.002284,45.3835,788.0911,0.0050019999999999995,359.8561,0.08046900000000001,0.596399,0.095053,0.966097,0.487224,0.372733,0.41615699999999994,2.3637029999999997,0.251097,0.215701,None,9.6855,1.7073,123.353,0.8818,None,None,0.227715,0.274556,None,None,0.004855,0.000939,0.011667,0.00666,0.9463349999999999,0.0027760000000000003,0.9456,9.4135,1.0288,0.140966,0.09369999999999999,0.9456,0.1387,2.5584,0.9336,349093823.74,5.3632,None,None,None,246866313.09,None,None,None,None,None,None,None,3562329.83,3602839.83,None,None,84000.0,2472694.0,2781425.0,9.4135
