公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80158552,2017-03-31 00:00:00,-9500092.34,-5711556.16,-6380967.96,56212618.25,-10325719.66,-2856198.86,825627.32,-145784151.84,88767050.75,596360736.11,5998830731.78,3748957381.73,-0.008013,-0.01,None,None,None,None,None,None,-0.15,2568704519.04,1641551419.25,1998268631.61,19934702.0,2,-0.01,-0.01,None,0.015648,0.014190000000000001,0.005177,173.8459,0.5352669999999999,52.3439,None,0.66689,None,None,0.499497,None,None,None,0.857411,0.41033000000000003,None,None,0.021545,None,0.001016,41.773,885.8268,0.002455,366.5988,-0.0016439999999999998,0.09425900000000001,-0.001679,-0.015849,-0.017315,0.903613,-0.016534,-0.013833999999999999,-0.002465,-0.0016439999999999998,0.096387,9.9371,21.3742,-591.706,-0.0138,-0.003614,-0.005161,2.780268,None,0.572649,0.5811419999999999,-0.002445,-0.000243,None,-0.00073,-0.088809,0.001488,-0.01,5.2597,-0.2045,0.33311,-0.0015,-0.01,-0.0015,3.4359,None,-6380967.96,0.7123,None,None,None,546831187.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.6127
80158552,2017-06-30 00:00:00,87978199.49,70938270.21,7172693.37,160397277.98,85525252.5,69030331.74,2452946.99,-313811998.03,-59784077.87,1553211582.96,6457359495.7,3822464130.63,0.099524,0.1,None,0.01,None,None,None,None,1.87,2770000081.95,1857058532.55,2405815164.7,40483214.47,2,0.1,0.1,0.01,0.014916,0.013096000000000002,0.012795,140.68,0.39453699999999997,317.3202,0.0013139999999999998,0.627431,0.018583000000000002,5.876494,0.593802,0.883931,0.028766,0.684836,0.910112,0.487977,3.172108,10.677,0.046356,0.022299000000000003,0.002546,38.8299,706.9914,0.006139,293.2074,0.010923,0.103268,0.011560999999999998,0.057984,0.055063,0.893741,0.045414,0.544106,0.095722,0.060058999999999994,0.10625899999999999,8.0137,81.2511,182.3148,0.099,0.0058460000000000005,0.10690200000000001,1.7708260000000002,4.29872,0.012785,0.11252100000000001,-0.00202,-0.000486,-0.044489,-0.0013039999999999998,-0.168983,0.003852,0.1,5.3628,-0.4403,0.37256900000000004,0.018600000000000002,0.1,0.0187,3.4453,0.01,7172693.37,0.8198,None,None,None,731555743.24,None,None,None,261176865.21,86389431.85,54220950.06,None,23998338.69,2318424.37,None,None,7656805.83,1305884.34,3387381.65,5.6842
80158552,2017-09-30 00:00:00,104425891.85,78515699.01,23794331.34,300180782.02,98932562.33,64278702.56,5493329.52,-482776173.13,-101194553.81,2541276841.05,6944053626.69,3818535801.94,0.110155,0.11,None,None,None,None,None,None,2.07,3301942743.9,2337045735.88,2890637767.32,66893162.02,2,0.11,0.11,None,0.014129000000000001,0.013373999999999999,0.017269,156.3495,0.416117,256.1085,0.0013469999999999999,0.583725,0.018721,None,0.713136,0.870607,0.031075,None,0.898529,0.608634,2.742854,None,0.102115,None,0.004005,26.4408,674.1573,0.009088,297.0951,0.011897,0.118122,0.013021,0.042527,0.03893,0.8785080000000001,0.032509,0.115907,0.020381999999999997,0.011897,0.121492,8.4379,66.8149,287.4582,0.1159,0.004959,0.10044700000000001,1.9373759999999998,6.9069259999999995,0.027982999999999997,0.23241199999999998,-0.0019,-0.0006950000000000001,-0.058437,-0.00167,-0.20657499999999998,0.006301,0.11,5.3573,-0.6773,0.41627499999999995,0.0206,0.11,0.0207,3.4487,None,23794331.34,0.8304,None,None,None,719936199.58,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.6868
80158552,2017-12-31 00:00:00,-391267834.68,-446135354.91,-557284220.19,404508975.06,-395082987.64,103165982.52,3815152.96,-184198265.26,78277046.81,2933483520.08,6330101140.51,3269190149.51,-0.625916,-0.63,None,-0.78,None,None,None,None,-12.54,2832190172.52,2290361199.05,2790936975.95,99999359.94,2,-0.63,-0.63,-0.78,0.012365999999999999,0.011637999999999999,0.026022,138.3445,0.5470900000000001,-291.2703,0.002765,0.559101,0.023665,6.704522,0.788586,0.94821,0.040608000000000005,0.6305230000000001,0.988344,0.689474,2.5194,8.3392,0.117653,0.047641,0.004859,30.5985,740.8932,0.011453,314.3281,-0.066417,0.13789400000000002,-0.069633,-0.138502,-0.13468,0.857243,-0.14332,-0.15587099999999998,-0.031392,-0.017551,None,10.0912,-27.3422,-103.3842,-0.5898,-0.000925,None,1.169505,-5.026519,-0.118024,0.10177,-0.000628,-0.000291,None,-0.00066,-0.080423,0.007769000000000001,-0.63,4.5866,-0.2584,0.440899,-0.1365,-0.63,-0.12539999999999998,3.4565,-0.78,-557284220.19,0.0944,None,None,None,572705673.34,None,None,None,177293285.09,109924105.53,99897072.43,None,4521779.61,2423425.12,None,None,19321927.42,1669102.79,3884146.78,4.9654
80158552,2018-03-31 00:00:00,301852.09,6349804.46,3775612.84,78295439.26,-1540710.19,-6797506.17,1842562.28,-115612413.63,-29427829.35,547961098.45,6452715813.24,3297871349.2,0.008909,0.01,None,None,None,None,None,None,0.19,2967290274.53,2379851517.03,2865673949.42,36499707.31,2,0.01,0.01,None,0.012468,0.011814999999999999,0.004268,210.8716,0.500806,100.827,0.0026690000000000004,0.555896,0.024300000000000002,None,0.798896,0.930976,0.041882,None,0.9716710000000001,0.707171,2.475021,None,0.028889,None,0.000857,31.1537,1050.175,0.00189,476.1905,-2.3999999999999997e-05,0.142885,-2.5e-05,0.000545,-0.0028120000000000003,0.849161,-0.000287,-0.000221,-4.4000000000000006e-05,-2.3999999999999997e-05,0.150839,15.4153,-1641.5139,25938.3459,-0.0002,-2.369707,None,-0.08115800000000001,None,-0.10336600000000001,0.07566200000000001,-0.00211,-0.000179,None,-0.00040300000000000004,-0.04858,0.0015379999999999999,0.01,4.6268,-0.1622,0.44410400000000005,0.0019,0.01,0.0019,3.5254,None,3775612.84,0.1033,None,None,None,564014908.48,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.0325
80158552,2018-06-30 00:00:00,49754338.42,43018487.57,37862921.58,180268905.91,46116294.86,1445854.64,3638043.56,-53066921.51,-348101837.74,842830977.18,5732862295.65,3370294213.6,0.060354,0.06,None,0.05,None,None,None,None,1.3,2211538456.67,1556500938.47,2068684330.89,34291427.83,2,0.06,0.06,0.05,0.014208,0.013261,0.0069689999999999995,258.2867,0.36188000000000003,245.0926,0.002536,0.639153,0.028973,7.0356309999999995,0.56457,0.9193389999999999,0.043365,0.607108,0.9610129999999999,0.47011899999999995,3.2332069999999997,9.0845,0.041715999999999996,0.016073999999999998,0.0013969999999999998,43.1489,1288.4753,0.003342,538.5996,0.0067659999999999994,0.213885,0.006431,0.062119999999999995,0.054715999999999994,0.777142,0.046025,0.5272789999999999,0.102569,0.065557,0.22285799999999997,16.4186,10.218,362.318,0.0544,0.010318,None,-0.457362,-0.450059,-0.09561,-0.11219699999999999,-0.00063,-9.3e-05,-0.013680000000000001,-0.000257,-0.034094,0.00234,0.06,4.7284,-0.0745,0.360847,0.0128,0.06,0.013000000000000001,3.5237,0.05,37862921.58,0.1547,None,None,None,522525020.35,None,None,None,171748166.58,79602526.47,96873567.2,None,10608118.83,1552358.4,None,None,19619860.95,2553051.77,4327792.51,5.1407
80158552,2018-09-30 00:00:00,30276146.65,32038895.0,21014750.23,224997265.07,20826727.42,-4921702.62,9449419.23,-57256679.93,-418612665.16,1082129040.57,5638354032.85,3393489502.07,0.04495,0.04,None,None,None,None,None,None,0.96,2059729487.34,1448495215.75,1940546479.49,45348145.13,2,0.04,0.04,None,0.01422,0.013102,0.009243,292.113,0.342376,166.7638,0.0027129999999999997,0.655831,0.029411999999999997,None,0.524783,0.92623,0.042923,None,0.967769,0.43656500000000004,3.3920209999999997,None,0.051553,None,0.001808,52.3733,1493.3628,0.004424,610.3074,0.005384,0.20792100000000002,0.005072999999999999,0.029351,0.019246,0.7825270000000001,0.028055,0.042593,0.00821,0.005384,0.217473,16.1164,14.9547,743.1503,0.0426,None,None,-0.574179,-0.632524,-0.08773099999999999,-0.188031,-0.0005290000000000001,-0.00010200000000000001,-0.01886,-0.00029499999999999996,-0.039528,0.0029909999999999997,0.04,4.761,-0.0803,0.344169,0.009399999999999999,0.04,0.0096,3.524,None,21014750.23,0.1393,None,None,None,518601449.73,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.1879
80158552,2018-12-31 00:00:00,60275707.64,30586094.28,5987154.2,357729178.34,44404630.92,8525956.48,15871076.72,130786883.93,-468249487.55,1488450311.14,5536392601.6,3309818082.04,0.042951,0.04,None,0.01,None,None,None,None,0.93,1999270717.57,1680886280.73,1935384668.96,71440989.72,2,0.04,0.04,0.01,0.011894,0.011028,0.013127,274.2439,0.26770499999999997,184.3713,0.004271,0.650425,0.024559,7.061746,0.537456,0.946519,0.036385,0.583678,0.982259,0.504541,2.941108,9.2105,0.071372,0.028683999999999998,0.002509,50.4399,1434.8346,0.006161,584.3207,0.008638,0.240337,0.008061,0.043633,0.029833,0.7482850000000001,0.032131,0.577923,0.114286,0.074335,None,16.8425,40.4757,593.4881,0.0672,0.004929,None,-0.4926,None,0.017474,-0.125386,0.000879,0.000236,0.027346,0.000676,0.077808,0.004169,0.04,4.6479,0.1837,0.349575,0.0092,0.04,0.009300000000000001,3.4167,0.01,5987154.2,0.1374,None,None,None,592205269.6,None,None,None,295533052.12,82166129.64,140082702.04,None,6793950.38,1953935.19,None,None,3477131.49,8439660.59,4301300.53,5.0568
80158552,2019-03-31 00:00:00,2684021.21,5051305.3,1172316.14,60914719.92,-315393.41,-1289179.24,2999414.62,-205219952.95,132625951.95,324262195.21,5789779785.78,3289387675.86,0.007093,0.01,None,None,None,None,None,None,0.15,2263422202.53,1971462888.6,2212063190.87,18005001.82,2,0.01,0.01,None,0.011480999999999998,0.010618,0.002839,317.013,0.28961,114.9071,0.004648,0.617937,0.023437,None,0.618289,0.949627,0.036543,None,0.985645,0.5889679999999999,2.6568349999999996,None,0.016496,None,0.0005729999999999999,54.5587,1570.6806,0.0015210000000000002,591.716,7e-06,0.187856,8e-06,0.00835,-0.000973,0.8026810000000001,0.00013299999999999998,6e-05,1.1999999999999999e-05,7e-06,0.197319,17.913,63.7191,2269.532,0.0001,5.479187,-0.002058,-0.408239,None,-0.0026,-0.102738,-0.006329,-0.000354,-47.695766000000006,-0.0009279999999999999,-0.104095,0.000903,0.01,4.6192,-0.2882,0.382063,0.0015,0.01,0.0015,3.4167,None,1172316.14,0.1445,None,None,None,565834742.76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.0241
80158552,2019-06-30 00:00:00,-5124927.77,-16933913.77,-23243300.85,123307023.03,-14243805.97,-12606639.74,9118878.2,-219271870.66,160022737.36,585783477.76,6061561012.28,3605330204.85,-0.02378,-0.02,None,-0.03,None,None,None,None,-0.49,2412860587.58,1750783667.88,1870109116.73,18609717.12,2,-0.02,-0.02,-0.03,0.013782,0.012565999999999999,0.004961999999999999,362.757,0.34997300000000003,72.461,0.00023300000000000003,0.691481,0.0025440000000000003,8.534075,0.44617199999999996,0.867319,0.003666,0.558698,0.87051,0.421382,3.3275400000000004,8.1026,0.025536,0.011702999999999998,0.00101,70.4887,1782.1782,0.0026550000000000002,677.9661,-0.0017480000000000002,0.21049900000000002,-0.001827,-0.009038000000000001,-0.024316,0.781026,-0.018084,0.5299,0.09002800000000001,0.062252999999999996,0.218974,17.8542,68.0548,-2406.0246,-0.0149,-0.021751,-0.018802,-0.304981,-1.273081,0.1439,0.057336,-0.0037430000000000002,-0.000362,None,-0.001173,-0.125242,0.001503,-0.02,5.0629,-0.3079,0.308519,-0.004699999999999999,-0.02,-0.0049,3.8474,-0.03,-23243300.85,0.1136,None,None,None,652441317.53,None,None,None,206961579.19,125582997.75,120803644.52,None,7502201.67,2819858.39,None,None,4526278.3,6837178.24,4922298.37,5.8859
