公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000095,2017-03-31 00:00:00,275040339.59,223859827.32,230148904.41,541282032.88,277032040.27,92631454.25,-1991700.68,247921582.53,236584988.96,1719146517.63,24543968063.73,8860606157.92,0.195956,0.196,None,None,None,None,None,None,2.57,5008732243.29,8008641377.25,14888626136.51,105893986.78,2,0.196,0.196,None,0.006253999999999999,0.005288,0.30683499999999997,2.9332,0.259232,359.7318,-0.009028000000000001,0.39338999999999996,0.11035,None,1.542009,1.5800370000000001,0.21906199999999998,None,2.023257,1.109964,1.7166190000000001,None,0.016465,None,0.000707,54.6614,1272.9844,0.0034899999999999996,257.8797,0.008167,0.314855,0.008241,0.180644,0.16114499999999998,0.6368659999999999,0.116594,0.175457,0.02076,0.008167,0.363134,20.0503,32.9551,196.801,0.1755,0.00022700000000000002,0.08791399999999999,1.278605,None,-0.037767,0.068543,0.001442,0.000101,0.012369000000000002,0.000167,0.030957,0.001803,0.196,7.7561,0.217,0.60661,0.0253,0.196,0.025699999999999997,0.2328,None,230148904.41,4.8013,None,None,None,1100150105.93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.4518
10000095,2017-06-30 00:00:00,668745139.98,510706172.73,500170461.91,1221970305.25,647388302.78,176134929.17,21356837.2,351110071.05,-284256058.3,3974864798.84,24850009606.66,9191255446.19,0.447047,0.447,None,0.4378,None,None,None,None,5.74,5347633345.44,11385240323.22,14852012634.06,196480166.96,2,0.447,0.447,0.4378,0.004697,0.004091,0.6475449999999999,2.7797,0.139692,440.3627,-0.0039689999999999994,0.402334,0.09641999999999999,1.426155,1.4854990000000001,1.573529,0.193322,0.556366,1.950628,1.378404,1.3591820000000001,28.2111,0.04074,0.0066690000000000004,0.0016239999999999998,44.1826,1108.3744,0.007801,230.7396,0.019925,0.307424,0.020229,0.1931,0.162871,0.638606,0.12456400000000001,5.326612,0.608634,0.244874,0.361394,17.8702,29.5317,182.7259,0.4334,9.2e-05,0.17777,1.2698099999999999,None,-0.0008060000000000001,0.049544,0.000883,0.00014099999999999998,0.007090999999999999,0.000236,0.030839,0.0040939999999999995,0.447,8.0456,0.3073,0.5976659999999999,0.0556,0.447,0.0574,0.2345,0.4378,500170461.91,5.0524,None,None,None,974899513.49,None,None,None,8795968.05,9481821.5,None,None,11884876.07,13269941.21,None,None,12545051.73,46016041.67,None,8.7517
10000095,2017-09-30 00:00:00,961514185.76,741991521.29,730348258.25,1823079371.16,938350446.34,252954863.58,23163739.42,1193874845.14,2173742136.37,5930064179.67,27343335046.88,9438752620.54,0.649502,0.6495,None,None,None,None,None,None,8.23,7814729614.73,12936448366.84,17126525287.58,299808472.54,2,0.6495,0.6495,None,0.0060409999999999995,0.005540000000000001,1.1942279999999998,2.2609,0.31363,420.7095,-0.00504,0.373649,0.09440799999999999,None,1.676309,1.525881,0.20170200000000002,None,1.911419,1.5188579999999998,1.36927,None,0.062887,None,0.002305,42.9342,1171.3666,0.00937,288.1537,0.025495,0.30743,0.027102,0.185041,0.15823600000000002,0.638863,0.117557,0.610223,0.068233,0.025495,0.36113700000000004,18.3683,28.7171,189.605,0.6102,6.5e-05,0.245582,1.087812,None,0.026007,0.136282,0.002013,0.00043700000000000005,0.017126,0.000697,0.092288,0.00604,0.6495,8.2622,1.0451,0.626351,0.0786,0.6495,0.0823,0.2369,None,730348258.25,5.2549,None,None,None,1054482184.55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.9433
10000095,2017-12-31 00:00:00,929857313.89,781600287.71,789175855.18,2328964745.98,995857039.52,382235875.94,-65999725.63,1339992370.28,-572843415.89,7566330173.6,23562678167.2,9387311163.77,0.684174,0.6842,None,0.6908,None,None,None,None,8.69,4083737859.82,10325455795.87,13516528166.68,357133801.54,2,0.6842,0.6842,0.6908,0.003955,0.003394,0.5954740000000001,6.0456,0.1198,360.3666,-0.003135,0.426359,0.083035,1.401326,1.3454439999999999,1.6228809999999998,0.163008,0.553142,1.938946,1.2225570000000001,1.421251,30.4254,0.08522600000000001,0.012528999999999998,0.003175,42.2406,1133.8583,0.016953,212.3518,0.026279,0.307806,0.025981999999999998,0.136987,0.13161699999999998,0.639744,0.081837,5.6116399999999995,0.638129,0.272072,0.36025599999999997,20.4931,34.0091,250.4647,0.542,7.400000000000001e-05,None,0.736347,None,0.066622,-0.022341000000000003,0.001771,0.000569,0.021641,0.000991,0.129776,0.007774,0.6842,8.2172,1.173,0.573641,0.0833,0.6842,0.08689999999999999,0.221,0.6908,789175855.18,5.1858,None,None,None,921405990.74,None,None,None,5293621.24,5544548.77,None,None,5601400.1,2103584.91,None,None,6101593.32,2182169.64,None,8.7939
10000095,2018-03-31 00:00:00,233796926.22,195127440.98,199563380.11,589761865.76,240618736.87,61665362.52,-6821810.65,311061412.36,-24384762.16,1698361474.58,23817626101.53,9623962741.58,0.170805,0.1708,None,None,None,None,None,None,2.06,4324243547.92,10556281637.31,13583762022.11,93335766.29,2,0.1708,0.1708,None,0.004096,0.003427,0.107157,8.3989,0.116361,350.4902,-0.003024,0.42967599999999995,0.079112,None,1.327335,1.608613,0.155491,None,1.9047919999999998,1.215626,1.425786,None,0.015738000000000002,None,0.000717,57.1864,1255.2301,0.00404,222.7723,0.006134,0.347253,0.006168,0.15382300000000002,0.141677,0.596002,0.086029,0.127897,0.014277,0.006134,0.40399799999999997,24.2183,23.4578,252.2539,0.1279,0.000312,None,-0.01209,-0.271067,0.059917,-0.029594,0.001832,0.000131,0.02129,0.000229,0.029467,0.001675,0.1708,8.4243,0.2723,0.570324,0.0203,0.1708,0.0206,0.2221,None,199563380.11,5.3567,None,None,None,984266087.18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.9582
10000095,2018-06-30 00:00:00,791113015.44,628845218.4,571726871.76,1421236182.77,721472960.68,167331217.84,69640054.76,664188809.67,487935445.17,4077582207.07,24760570127.64,10061416777.73,0.55046,0.5505,None,0.5005,None,None,None,None,6.48,5345368626.77,11361426833.62,14175324765.14,201506863.58,2,0.5505,0.5505,0.5005,0.004705,0.004124,0.280866,6.4088,0.156321,492.5985,-0.0029709999999999997,0.427504,0.07219400000000001,1.526163,1.339159,1.5691829999999998,0.144475,0.530368,1.834176,1.2422,1.422783,28.0117,0.039182999999999996,0.005782000000000001,0.001688,45.9383,1066.3507,0.008649,208.1165,0.022878,0.348549,0.023445999999999998,0.224948,0.176936,0.595508,0.138927,5.87192,0.63372,0.270918,0.40449199999999996,21.104,29.9542,179.6502,0.4959,8e-05,None,0.025842,0.144125,0.058737000000000004,-0.0035989999999999998,0.0016289999999999998,0.000268,0.011725000000000001,0.00046899999999999996,0.05846,0.003953,0.5505,8.8073,0.5814,0.572496,0.0625,0.5505,0.06480000000000001,0.2313,0.5005,571726871.76,5.7363,None,None,None,875207386.38,None,None,None,8345200.28,3686982.96,None,None,23194075.22,5146968.09,None,None,5567590.95,2130172.89,None,9.2658
10000095,2018-09-30 00:00:00,1243454204.54,988444787.9,932208461.02,2259559466.31,1176905598.82,247075733.46,66548605.72,1122200469.44,433956912.43,6315089853.37,25224016414.22,10172639780.69,0.865235,0.8652,None,None,None,None,None,None,10.0,5634567380.7,11406306078.2,14564161078.98,300386953.1,2,0.8652,0.8652,None,0.00494,0.0043490000000000004,0.39521,6.8318,0.157909,513.9508,-0.002771,0.422607,0.063401,None,1.3662629999999998,1.597952,0.13045299999999999,None,1.837684,1.2200490000000002,1.478467,None,0.059016,None,0.002589,45.7503,1042.8737,0.012996,207.7562,0.035388,0.357803,0.036593,0.231108,0.18636399999999997,0.585519,0.141347,0.781353,0.08373599999999999,0.035388,0.414481,20.9793,25.222,181.7163,0.7814,5.1000000000000006e-05,None,0.064928,0.280438,0.043364,-0.077508,0.001777,0.000445,0.012572000000000002,0.000771,0.098384,0.0060999999999999995,0.8652,8.9046,0.9823,0.577393,0.09720000000000001,0.8652,0.1,0.2322,None,932208461.02,5.8311,None,None,None,956923382.3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.3311
10000095,2018-12-31 00:00:00,1305809444.65,1080691887.68,1090131615.33,3111597781.49,1347207437.49,308308674.04,-41397992.84,2193961557.59,68884945.62,8529102137.86,23307340276.26,10204865620.54,0.945984,0.946,None,0.9542,None,None,None,None,11.01,3822056075.95,9787691990.38,12683654676.39,427212638.26,2,0.946,0.946,0.9542,0.003905,0.0033950000000000004,0.62883,5.7249,0.13577,405.658,-0.0028870000000000002,0.455809,0.073893,1.5537729999999998,1.193903,1.578277,0.13949899999999998,0.513768,1.834136,1.083422,1.5054239999999999,29.3356,0.091014,0.012179,0.003639,39.5544,989.2828,0.021577000000000002,166.8443,0.03956,0.364821,0.039344000000000004,0.180087,0.157954,0.575407,0.10810399999999999,6.471386,0.695889,0.31719200000000003,0.424593,21.4968,20.4402,238.2888,0.8071,4.9e-05,None,0.127244,0.489059,0.057488000000000004,-0.010837000000000001,0.0025719999999999996,0.000941,0.023795,0.0017299999999999998,0.22415500000000002,0.008253,0.946,8.9328,1.9205,0.544191,0.1059,0.946,0.1101,0.1927,0.9542,1090131615.33,5.7965,None,None,None,648232767.08,None,None,None,2740559.55,1898917.12,None,None,3611397.09,748272.41,None,None,11676976.98,3090387.27,None,9.2994
10000095,2019-03-31 00:00:00,267058339.56,209923051.27,212379676.16,648310649.16,271568776.02,58854891.35,-4510436.46,206417019.75,282227163.41,1888820687.38,23960421832.25,10479747062.16,0.183756,0.1838,None,None,None,None,None,None,2.04,4319535264.43,10055296504.27,13090524295.86,74763910.85,2,0.1838,0.1838,None,0.0042959999999999995,0.0037199999999999998,0.15747999999999998,5.715,0.15802,457.2022,-0.002823,0.45366100000000004,0.06758,None,1.204291,1.572638,0.129652,None,1.806906,1.074024,1.542381,None,0.020807000000000003,None,0.000799,43.2547,1126.408,0.00464,193.9655,0.0074329999999999995,0.343236,0.007536,0.159585,0.14377700000000002,0.593519,0.094291,0.155899,0.016385,0.0074329999999999995,0.406481,22.9214,20.3493,242.7599,0.1559,0.000166,None,0.11214299999999999,0.21894200000000003,0.06215,0.005995,0.001093,8.6e-05,0.01159,0.00015800000000000002,0.020528,0.001758,0.1838,9.1734,0.1807,0.546339,0.02,0.1838,0.0204,0.1917,None,212379676.16,5.9803,None,None,None,705955021.42,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.515
10000095,2019-06-30 00:00:00,635775149.84,544904137.68,552067153.65,1358900694.4,645496410.21,340830525.48,-9721260.37,560466399.9,505064424.93,4122675292.22,25116058246.94,10506914691.84,0.476982,0.477,None,0.4833,None,None,None,None,5.27,5208877511.21,10768149870.25,14163366679.57,164721236.49,2,0.477,0.477,0.4833,0.004837,0.004235,0.382798,4.7022,0.19077200000000002,485.9704,-0.0034360000000000003,0.436083,0.076056,1.4625899999999998,1.29314,1.5476400000000001,0.148507,0.525585,1.817561,1.157559,1.514373,29.8158,0.044002,0.005756,0.001703,40.9072,1056.9583,0.009130000000000001,197.1522,0.019508,0.32961599999999996,0.020236,0.179253,0.156572,0.6125659999999999,0.11884399999999999,6.345803,0.661887,0.288638,0.387434,18.9932,52.0796,213.7392,0.4289,0.007044,None,0.011059000000000001,-0.135097,0.034713,0.014357,0.001359,0.000223,0.011439,0.00039600000000000003,0.052049000000000005,0.0038209999999999997,0.477,9.1972,0.4906,0.563917,0.0519,0.477,0.0527,0.194,0.4833,552067153.65,5.9615,None,None,None,797476822.8,None,None,None,9120010.33,1763365.77,None,None,19009946.4,3055244.84,None,None,274175269.91,11633809.57,None,9.5874
