公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000570,2017-03-31 00:00:00,273960725.39,110789115.09,101692019.76,1153148458.98,261555719.11,9578859.78,12405006.28,1454247506.21,366593945.11,4535582649.16,46263748837.12,7375204984.85,0.107354,0.11,None,None,None,None,None,None,1.51,14933582875.83,29285201594.85,32040248060.0,322798964.04,2,0.11,0.11,None,0.005099,0.003806,0.027006000000000002,33.3259,0.15998900000000002,184.8704,-0.0017699999999999999,0.307444,0.054897,None,2.252627,1.868979,0.151507,None,2.2027039999999998,2.237491,1.421097,None,0.009008,None,0.000991,99.9112,908.1736,0.003192,281.9549,0.004355,0.254245,0.004403000000000001,0.063865,0.057668,0.722859,0.04442599999999999,0.19525099999999998,0.014167,0.004355,0.27714099999999997,20.0036,8.0245,420.9174,0.1953,0.000114,None,0.289172,0.41320599999999996,0.046924,0.040361,0.003206,0.000314,0.072171,0.00045400000000000003,0.049658,0.003212,0.11,7.1465,1.4092,0.6925560000000001,0.015,0.11,0.0151,1.2655,None,101692019.76,4.3663,None,None,None,5923367653.48,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.7825
10000570,2017-06-30 00:00:00,561669388.9,168773580.84,156567401.0,2361755616.55,550019151.03,32041387.71,11650237.87,1229037764.19,926688355.27,9732890595.09,49437603094.73,7388168703.55,0.16354,0.16,None,0.15,None,None,None,None,2.29,18322595428.26,32672718241.69,35273490220.17,685587819.33,2,0.16,0.16,0.15,0.005607999999999999,0.0044,0.057158,31.4917,0.18583100000000002,181.9252,-0.001651,0.286505,0.047913,0.638442,2.490342,1.8820160000000001,0.14327199999999998,0.6478839999999999,2.196749,2.473958,1.381052,44.8756,0.019268,0.004294,0.002055,93.4191,875.9124,0.00612,294.1176,0.007228,0.24265699999999998,0.007547000000000001,0.060644,0.056511,0.736182,0.036717,12.029887,0.8765000000000001,0.25112100000000004,0.263818,19.4256,7.7789,420.4886,0.3463,0.006785,None,0.339459,0.25425000000000003,0.060067,0.101797,0.001263,0.000249,0.034392,0.000348,0.037617,0.006907,0.16,7.1591,1.1909,0.7134950000000001,0.022799999999999997,0.16,0.0229,1.266,0.15,156567401.0,4.3725,None,None,None,5968527330.49,None,None,None,67664350.91,15315446.23,None,None,6760600.36,700258.85,None,None,1355315.82,2823271.54,None,13.7249
10000570,2017-09-30 00:00:00,1032014418.33,362440675.79,325933088.07,3809039072.2,1027082487.85,186933791.08,4931930.48,2446720052.83,451015439.35,15364560275.81,49107331492.56,7583511667.83,0.351202,0.35,None,None,None,None,None,None,4.86,18403569702.13,28679739804.34,34562624930.22,1119697015.67,2,0.35,0.35,None,0.006417000000000001,0.005155999999999999,0.08945399999999999,30.1831,0.206845,192.1691,-0.0042109999999999995,0.296182,0.088115,None,2.376303,1.626966,0.229289,None,2.110992,2.269336,1.4559639999999998,None,0.031605,None,0.003256,85.4295,829.2383,0.009636,280.1993,0.015044,0.247911,0.015657,0.071078,0.066848,0.730956,0.048083,0.7158669999999999,0.050793,0.015044,0.269044,19.2904,18.5914,369.0878,0.7159,0.00145,None,0.361907,0.603391,0.070994,0.083557,0.001592,0.000498,0.033119,0.000708,0.085312,0.010759000000000001,0.35,7.3484,2.3709,0.7038179999999999,0.0478,0.35,0.048600000000000004,1.266,None,325933088.07,4.5602,None,None,None,5992892818.34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.0937
10000570,2017-12-31 00:00:00,1411777768.8,520966388.5,564492681.34,5574394255.52,1493460250.06,28599576.54,-81682481.26,4343437214.05,-588337673.72,22126925198.22,46060997725.2,7836022050.8,0.504812,0.5,None,0.55,None,None,None,None,6.91,15619744323.02,27111302427.11,32233144823.33,1373073822.94,2,0.5,0.5,0.55,0.005761,0.004615,0.111465,32.2971,0.172709,202.8188,-0.003121,0.300207,0.077855,0.612632,2.33103,1.7480959999999999,0.205932,0.639633,2.201445,2.219968,1.465857,49.0029,0.048853,0.009679,0.004846,73.6905,742.8807,0.015204,236.7798,0.022449,0.251928,0.022645,0.069306,0.067495,0.728637,0.046731999999999996,13.324218,0.994413,0.29853,0.27136299999999997,17.2534,-3.76,394.8493,1.002,0.000546,None,0.333654,0.787265,-0.013479000000000001,0.017598,0.001963,0.0009429999999999999,0.042005,0.001348,0.16020800000000002,0.015893,0.5,7.593,4.2088,0.699793,0.0665,0.5,0.0691,1.3586,0.55,564492681.34,4.5122,None,None,None,5985994080.2,None,None,None,80933927.46,73616378.54,None,None,2523454.61,1226827.94,None,None,411811.0,2721074.19,None,13.3991
10000570,2018-03-31 00:00:00,500800102.99,208025198.73,215418055.07,1467434323.1,500362802.25,52451799.4,437300.74,1289781896.83,2059300309.59,4730151874.77,50240140577.03,8051488085.27,0.201575,0.2,None,None,None,None,None,None,2.62,20244129951.09,31113910646.54,36006682905.23,328492743.16,2,0.2,0.2,None,0.006506,0.005233,0.022692,39.6616,0.224387,252.4539,-0.0030919999999999997,0.283308,0.06689300000000001,None,2.5297210000000003,1.704886,0.191012,None,2.10743,2.422082,1.4267429999999999,None,0.008775,None,0.000982,102.5641,916.4969,0.0026379999999999997,341.1676,0.007794,0.31023,0.008132,0.116655,0.105782,0.655971,0.082784,0.37943899999999997,0.027511,0.007794,0.34402900000000003,21.7813,10.5609,293.018,0.3794,0.001441,None,0.042898,0.943338,0.0007000000000000001,0.08595000000000001,0.002727,0.000257,0.032938,0.000358,0.041454000000000005,0.0033710000000000003,0.2,7.8018,1.2498,0.716692,0.0258,0.2,0.0262,1.3586,None,215418055.07,4.7138,None,None,None,6042020871.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13.7921
10000570,2018-06-30 00:00:00,772964035.24,278840331.32,267228732.06,2667984242.47,786125601.86,78880585.47,-13161566.62,2331189108.94,4048375902.82,10448955927.54,51894980246.4,8159898435.65,0.270194,0.27,None,0.26,None,None,None,None,3.49,22233326522.73,32353030115.66,37246589781.6,733647019.18,2,0.27,0.27,0.26,0.0068720000000000005,0.005667,0.058454,30.7934,0.287477,205.3591,-0.003319,0.28227,0.064718,0.680488,2.5427090000000003,1.647235,0.18651399999999999,0.609568,2.024909,2.437918,1.423818,41.4805,0.021248999999999997,0.004739,0.002133,84.7099,843.8819,0.005521000000000001,326.0279,0.010901000000000001,0.255335,0.011551,0.078975,0.075235,0.712596,0.054142,13.908361,0.9798640000000001,0.276586,0.287404,19.2022,8.5022,345.1628,0.5482,4.3e-05,None,0.073572,0.583089,0.03419,0.049707,0.002231,0.000449,0.041207,0.000626,0.072055,0.007339,0.27,7.9069,2.2589,0.71773,0.0342,0.27,0.0349,1.397,0.26,267228732.06,4.7824,None,None,None,6060069123.34,None,None,None,37929327.82,88782380.63,None,None,3323241.98,1229460.94,None,None,421811.0,2716074.19,None,14.1942
10000570,2018-09-30 00:00:00,1272487478.52,498146746.15,495215706.37,4459998054.36,1306398297.12,199043081.22,-33910818.6,6331429298.22,3206416484.4,18041140025.54,48368201840.61,8243775730.98,0.4827,0.48,None,None,None,None,None,None,6.16,19141540677.16,29267283553.28,33734402348.51,1125600103.25,2,0.48,0.48,None,0.006540000000000001,0.005282,0.076984,35.0722,0.289019,213.0497,-0.0028610000000000003,0.30255,0.059888000000000004,None,2.305239,1.6671930000000001,0.165236,None,1.997203,2.197922,1.4700440000000001,None,0.03857,None,0.0038209999999999997,70.0026,706.6213,0.01038,260.1156,0.018887,0.247213,0.019349,0.076567,0.072412,0.7258969999999999,0.050636,0.88521,0.062427,0.018887,0.274103,16.8399,12.9771,350.4945,0.8852,0.0012180000000000001,None,0.174205,0.236557,0.006125,-0.015051000000000002,0.003509,0.0013089999999999998,0.069307,0.001877,0.216331,0.012678,0.48,7.9882,6.1351,0.69745,0.0604,0.48,0.0616,1.3522,None,495215706.37,4.8949,None,None,None,6197782772.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.18
10000570,2018-12-31 00:00:00,2011462750.99,923367607.76,860244929.43,6401844734.72,2044027140.67,329835923.27,-32564389.68,7091757686.38,3102485629.77,23858165635.57,47619591788.62,9109347647.31,0.894736,0.89,None,0.83,None,None,None,None,10.8,18067738626.82,27710830118.28,32363864514.01,1449218984.52,2,0.89,0.89,0.83,0.006520000000000001,0.005153,0.12041700000000001,29.8961,0.335002,238.7963,-0.003208,0.320367,0.064954,0.733594,2.121424,1.610559,0.168572,0.585804,1.9370990000000001,2.019171,1.511061,43.6708,0.048611,0.011003,0.005094,74.0573,706.7138,0.014164000000000001,254.1655,0.032567,0.268329,0.033108,0.092973,0.08567399999999999,0.7027169999999999,0.065001,15.750646999999999,1.06548,0.341344,0.297283,17.5144,14.7789,318.2681,1.5027,1.6e-05,None,0.07824099999999999,0.49977200000000005,0.103261,0.033838,0.0029720000000000002,0.001489,0.04573000000000001,0.002191,0.25592,0.016407,0.89,8.8269,6.8719,0.679633,0.1014,0.89,0.10800000000000001,1.7913,0.83,860244929.43,5.198,None,None,None,6252844535.05,None,None,None,21231351.3,95070868.69,None,None,2284454.95,228481.85,None,None,100741.0,11808135.19,None,14.7827
10000570,2019-03-31 00:00:00,382347067.12,212314573.86,202550876.92,1262393152.09,380971078.28,106169576.31,1375988.84,381250045.28,609502885.88,5268142104.49,50086963549.92,9339519971.73,0.205731,0.21,None,None,None,None,None,None,2.3,20858805723.89,28059880001.02,34501988351.34,284931214.78,2,0.21,0.21,None,0.007434,0.006153,0.031514,28.5587,0.348269,234.1893,-0.006771,0.311158,0.09735200000000001,None,2.2137979999999997,1.4284780000000001,0.23831,None,1.8754060000000001,2.113314,1.4879820000000001,None,0.010478000000000001,None,0.001078,85.8943,834.8794,0.0027069999999999998,332.4714,0.006004000000000001,0.239628,0.006156,0.076447,0.072316,0.734258,0.057083,0.291397,0.019296,0.006004000000000001,0.26574200000000003,18.9007,28.1277,330.1694,0.2914,None,None,0.113736,-0.232032,0.094954,-0.003049,0.000724,7.6e-05,0.012678,0.000111,0.013587,0.003416,0.21,9.0499,0.3694,0.6888420000000001,0.0227,0.21,0.023,1.7913,None,202550876.92,5.4037,None,None,None,6347035003.71,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.1017
10000570,2019-06-30 00:00:00,861179032.12,549412013.04,522538032.84,2366719469.66,862419985.06,268321075.93,-1240952.94,1392834258.44,979612229.14,9889209611.7,48754435020.17,11554895209.04,0.403867,0.48,None,0.46,None,None,None,None,5.55,18923606941.22,26429880808.97,32882070402.47,467435561.01,2,0.48,0.48,0.46,0.00716,0.005619,0.06674000000000001,26.9703,0.35420699999999994,284.2348,-0.006515999999999999,0.32555700000000004,0.100318,0.789999,2.0716550000000002,1.436708,0.23555700000000002,0.559817,1.879419,1.973293,1.5225030000000002,41.2099,0.018481,0.004837,0.002052,97.3973,877.193,0.005346999999999999,336.6374,0.013673,0.239323,0.013833999999999999,0.09291600000000001,0.08720800000000001,0.734699,0.067409,12.102960000000001,1.0373139999999998,0.337705,0.265301,17.654,31.0133,274.8232,0.49,0.001363,None,-0.05357,0.178339,0.083557,-0.060517,0.0014080000000000002,0.000286,0.020894,0.000424,0.052698999999999996,0.006353999999999999,0.48,8.4939,1.0239,0.674443,0.0475,0.48,0.0555,2.4938,0.46,522538032.84,4.3471,None,None,None,6331299269.27,None,None,None,8403517.37,33325569.8,None,None,1274375.95,2511094.43,None,None,46251997.62,147672388.54,None,11.6676
