公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10000570,2021-12-31 00:00:00,PVC树脂,元,人民币,8216630422.76,None,None,5336891151.43,None,None,None
10000570,2021-12-31 00:00:00,电石,元,人民币,1964524966.86,None,None,1268465386.31,None,None,None
10000570,2021-12-31 00:00:00,多晶硅,元,人民币,1639896385.48,None,None,705232669.57,None,None,None
10000570,2021-12-31 00:00:00,服装,元,人民币,3684277863.76,None,None,1799043603.04,None,None,None
10000570,2021-12-31 00:00:00,硅锰合金,元,人民币,1690627961.86,None,None,1488382133.61,None,None,None
10000570,2021-12-31 00:00:00,硅铁,元,人民币,12766525285.27,None,None,8893589925.18,None,None,None
10000570,2021-12-31 00:00:00,化肥,元,人民币,1451334662.21,None,None,920084340.59,None,None,None
10000570,2021-12-31 00:00:00,煤炭,元,人民币,2548367396.54,None,None,1288939372.09,None,None,None
10000570,2021-12-31 00:00:00,其他（补充）,元,人民币,417538257.82,None,None,174724573.9,None,None,None
10000570,2021-12-31 00:00:00,烧碱,元,人民币,1187819754.61,None,None,750103084.85,None,None,None
