公司代码,市场代码,指数代码,指数名称,指数类别,指数编制方分类,是否使用,停用日期,基准点数,指数加权方式
10000277,CNSE00,801960,申万石油石化指数,行业指数,申万一级行业指数,-1,None,1000.0,None
10000277,CNSE00,801962,申万油服工程指数,行业指数,申万二级行业指数,-1,None,1000.0,None
10000277,CNSE00,803812,申万价值发现量化策略收益指数,股票指数,None,0,None,1000.0,08
10000277,CNSE00,859622,申万油气及炼化工程指数,行业指数,申万三级行业指数,-1,None,1000.0,None
10000277,CNSE00,801020,申万采掘,行业指数,申万一级行业指数,0,2021-12-13 00:00:00,1000.0,08
10000277,CNSE00,801024,申万采掘服务指数,行业指数,申万二级行业指数,0,2021-12-13 00:00:00,None,None
10000277,CNSE00,801035,申万石油化工指数,行业指数,申万二级行业指数,0,2021-12-13 00:00:00,1000.0,08
10000277,CNSE00,850241,申万油气钻采服务指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,None,None
10000277,CNSE00,850311,申万石油加工指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,0.0,08
10000277,CNSE00,801862,申万活跃指数,风格指数,申万风格指数,0,2017-01-23 00:00:00,1000.0,08
10000277,CNSE00,801901,申万基金重仓,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08
10000277,CNSE00,801905,申万重点,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08
10000277,CNSE00,803611,申万价值优势指数,股票指数,申万量化策略指数,0,2016-01-18 00:00:00,1000.0,08
10000277,CNSE00,803612,申万价值发现量化策略指数,股票指数,申万量化策略指数,0,2016-01-18 00:00:00,1000.0,08
10000277,CNSE00,801031,申万化工新材料指数,行业指数,申万二级行业指数,0,2014-02-21 00:00:00,1000.0,08
10000277,CNSE00,801003,申万Ａ指,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,801030,申万基础化工指数,行业指数,申万一级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,801034,申万化学制品指数,行业指数,申万二级行业指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,801300,申万300指数,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,801812,申万中盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,801813,申万小盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,801821,申万高市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801822,申万中市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801832,申万中市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801833,申万低市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801842,申万中价股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801843,申万低价股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801851,申万亏损股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10000277,CNSE00,801852,申万微利股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10000277,CNSE00,850372,申万聚氨酯指数,行业指数,申万三级行业指数,-1,1900-01-01 00:00:00,0.0,None
