公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10001297,2017-03-31 00:00:00,550883788.32,424627134.89,430023996.26,1092740644.88,556842910.44,29517000.05,-5959122.12,-1386888459.41,-1357250946.04,7590797666.43,41301767467.93,14058661937.06,0.17656,0.18,None,None,None,None,None,None,2.66,14634914230.02,21549909852.82,26705641791.59,104697971.0,2,0.18,0.18,None,0.006791,0.0065049999999999995,0.019062,47.2144,0.213197,626.1647,-0.001633,0.35340200000000005,0.027336999999999997,None,1.829639,1.695805,0.0718,None,1.826982,1.553767,1.599484,None,0.093419,None,0.001827,9.634,492.6108,0.005115,175.9531,0.010804000000000001,0.143956,0.010740000000000001,0.077991,0.07335799999999999,0.8170099999999999,0.058786,0.185543,0.030572,0.010804000000000001,0.18298999999999999,7.4487,4.2764,198.3614,0.1855,0.001618,None,0.925912,None,0.078464,0.205606,-0.001827,-0.000336,-0.03108,-0.000519,-0.064357,0.0053029999999999996,0.18,5.8456,-0.5767,0.646598,0.0302,0.18,0.026600000000000002,None,None,430023996.26,3.3584,None,None,None,793772271.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0691
10001297,2017-06-30 00:00:00,1137730012.87,852744995.05,887518060.71,2113325565.11,1181916439.81,61525166.89,-44186426.94,-1045272768.42,-1598518660.91,14619479356.38,40366818961.92,14661071681.02,0.354572,0.35,None,0.37,None,None,None,None,5.24,13102703115.44,20562907952.48,25130103987.96,334782658.31,2,0.35,0.35,0.37,0.006372,0.006089,0.040965999999999995,43.9389,0.243564,439.8414,-0.000719,0.377456,0.013285,1.072745,1.649312,1.7285329999999999,0.033999,0.511259,1.7893700000000001,1.384758,1.677433,35.186,0.184531,0.010244999999999999,0.003559,9.7545,505.76,0.010387,173.2935,0.02237,0.14455500000000002,0.021981999999999998,0.08458199999999999,0.080845,0.816778,0.061768,6.021159,0.950394,0.358732,0.182904,6.4644,1.524,185.7493,0.3755,0.0008,None,0.927766,148.981976,0.113135,0.159029,-0.0007149999999999999,-0.000259,-0.011575,-0.000416,-0.050833,0.009991,0.35,6.0961,-0.4346,0.622544,0.0582,0.35,0.0524,None,0.37,887518060.71,3.5364,None,None,None,825780438.46,None,None,None,898960696.21,184645866.05,113846879.3,None,36234064.53,6083425.78,None,None,26557542.72,30513950.18,20147696.71,6.3354
10001297,2017-09-30 00:00:00,1748084836.13,1160540541.46,1195567730.29,3231490875.59,1795489490.52,93341070.23,-47404654.39,171997981.36,-1550357606.89,22349358636.38,40511652329.41,15062106410.56,0.482553,0.48,None,None,None,None,None,None,7.05,12606010193.62,20277483569.85,24850680057.11,460398222.41,2,0.48,0.48,None,0.006217,0.00599,0.064814,41.6577,0.259185,479.6897,-0.000484,0.386579,0.009169,None,1.58679,1.740574,0.023169,None,1.781859,1.318497,1.721736,None,0.311514,None,0.005431,8.6673,497.146,0.016163,167.0482,0.030555,0.14459,0.030078999999999998,0.084861,0.08033699999999999,0.816714,0.055386,0.514695,0.07904,0.030555,0.18303,6.6287,2.6278,184.8589,0.5147,0.000583,None,0.813054,35.243778999999996,0.130199,0.047446,7.7e-05,4.2e-05,0.001389,6.9e-05,0.008482,0.015055,0.48,6.2628,0.0715,0.613421,0.0771,0.48,0.0705,None,None,1195567730.29,3.6644,None,None,None,857596341.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.5118
10001297,2017-12-31 00:00:00,2625074322.39,1637568053.27,1636555771.63,4811746276.97,2762887958.01,119287072.48,-137813635.62,2869895719.73,-1841242677.99,28114065876.36,41967945432.1,14987096377.57,0.680901,0.68,None,0.68,None,None,None,None,11.49,12936131336.35,23248090954.42,26344376278.01,726427724.64,2,0.68,0.68,0.68,0.005564,0.0052710000000000005,0.08566499999999999,42.0242,0.232899,461.3676,-0.000693,0.37227400000000005,0.017027,0.84741,1.6861940000000002,1.7769329999999999,0.043738,0.579705,1.858206,1.533752,1.5328030000000001,43.9308,0.318175,0.017156,0.006713,11.3145,536.2729,0.020093,179.1669,0.040345000000000006,0.17115100000000003,0.04042900000000001,0.102885,0.09827400000000001,0.7890689999999999,0.060225999999999995,6.2620309999999995,0.96394,0.35885,0.21066600000000002,7.8692,-0.7058,183.2994,0.704,0.000426,None,0.503312,2.7257279999999997,0.113596,0.0041849999999999995,0.001021,0.000684,0.01695,0.001089,0.123447,0.018962,0.68,6.2316,1.1933,0.627726,0.1093,0.68,0.1149,None,0.68,1636555771.63,3.7869,None,None,None,883626978.9,None,None,None,473819838.24,407446296.38,82932356.61,None,4814286.19,2211024.97,None,None,26336281.08,6922818.01,60466316.02,6.4963
10001297,2018-03-31 00:00:00,692818781.27,500739911.28,492298741.19,1141377287.91,696268942.75,30694890.05,-3450161.48,947648688.7,56436549.19,8039683579.0,41795322229.95,15676863073.67,0.208208,0.21,None,None,None,None,None,None,2.89,12670161328.52,22015649129.97,25428293830.26,147108658.93,2,0.21,0.21,None,0.005755,0.0054210000000000005,0.026549,33.8996,0.221132,570.9572,-0.001044,0.39159999999999995,0.023347000000000003,None,1.553629,1.6793790000000002,0.056265,None,1.779502,1.404741,1.5924719999999999,None,0.092833,None,0.00192,9.6948,468.75,0.006279,143.3349,0.013115000000000002,0.14196799999999998,0.013087999999999999,0.09382,0.08660399999999999,0.819102,0.068179,0.22791599999999998,0.03349,0.013115000000000002,0.18077300000000002,6.0483,3.9324,164.744,0.2279,0.001317,None,0.059135999999999994,0.22837,0.121327,0.01195,0.0011790000000000001,0.00022700000000000002,0.017289000000000002,0.000373,0.043044,0.005026,0.21,6.5184,0.394,0.6084,0.0319,0.21,0.028900000000000002,None,None,492298741.19,3.9952,None,None,None,914321868.95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.8054
10001297,2018-06-30 00:00:00,1235286182.75,885685845.68,839545847.06,2231510443.01,1232787924.4,64357528.12,2498258.35,400114031.0,175982396.33,16817290272.79,42628553717.22,17318790798.7,0.368269,0.37,None,0.35,None,None,None,None,5.53,13319665144.62,21435351076.24,24586632650.99,305834551.03,2,0.37,0.37,0.35,0.006214,0.0059,0.058162000000000005,30.948,0.27805199999999997,503.9067,-0.000921,0.423236,0.017529,1.009187,1.3627500000000001,1.559884,0.039769,0.561021,1.6244880000000002,1.2295019999999999,1.6905080000000001,41.9383,0.205891,0.009262,0.003976,8.7425,452.7163,0.012809999999999998,140.5152,0.022588,0.132691,0.022765,0.079043,0.073305,0.82965,0.057256999999999995,6.216849999999999,0.82871,0.35074,0.17035,6.198,5.4122,180.6472,0.4004,0.005764,None,0.150334,0.066321,0.184108,0.056029999999999996,0.000238,9.400000000000001e-05,0.004155,0.00016299999999999998,0.018666000000000002,0.009991,0.37,7.2012,0.1664,0.576764,0.051100000000000007,0.37,0.0553,None,0.35,839545847.06,3.954,None,None,None,947984507.02,None,None,None,508960696.21,424645866.05,103846879.3,None,5654893.21,4536283.75,None,None,2590739.72,6436281.14,62094312.61,7.5018
10001297,2018-09-30 00:00:00,1937725076.82,1404480544.85,1229425750.47,3436495693.91,1941371845.67,97321388.11,-3646768.85,1195384507.9,474615398.88,25285251950.72,44426433089.46,19337423098.47,0.583984,0.58,None,None,None,None,None,None,7.82,14444417264.09,21006893168.61,24307234915.82,422158517.0,2,0.58,0.58,None,0.006876,0.006561,0.086231,31.3112,0.3136,559.0041,-0.001145,0.45286499999999996,0.016909,None,1.208161,1.43658,0.035994,None,1.490219,1.08146,1.809219,None,0.310747,None,0.0058530000000000006,8.6887,461.3019,0.018469,146.1909,0.034597,0.135909,0.035581,0.082734,0.076779,0.825852,0.06078700000000001,0.6390899999999999,0.076395,0.034597,0.174148,6.2184,4.8343,177.3469,0.6391,0.000385,None,0.131364,0.241687,0.284671,0.096633,0.000473,0.000269,0.007776999999999999,0.000492,0.056904,0.014148,0.58,8.0405,0.497,0.547135,0.0726,0.58,0.0782,None,None,1229425750.47,4.1697,None,None,None,979508367.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.3656
10001297,2018-12-31 00:00:00,2819268898.7,1971274188.39,1733169934.41,4755802997.86,2862822877.18,122786133.09,-43553978.48,3763883895.38,1822938368.83,32683712211.9,46127765281.45,21166052345.19,0.819657,0.82,None,0.72,None,None,None,None,11.57,15038650807.26,22745387823.19,24212653760.58,561911952.08,2,0.82,0.82,0.72,0.006612,0.006368,0.11703799999999999,30.7592,0.330946,601.7279,-0.000853,0.47509599999999996,0.014255,1.069264,1.104838,1.3772909999999998,0.02913,0.589664,1.418615,1.06789,1.759026,44.4321,0.42924100000000004,0.01679,0.0074199999999999995,8.3869,485.1752,0.023367,154.0634,0.045331,0.14551,0.047471,0.09457700000000001,0.087592,0.812363,0.063977,6.799765,0.746217,0.354525,0.187637,5.7562,2.8104,168.6892,0.8694,0.000675,None,0.16254000000000002,0.234955,0.40269599999999994,0.099119,0.001152,0.0008160000000000001,0.018000000000000002,0.001555,0.165479,0.017413,0.82,8.8009,1.565,0.524904,0.0931,0.82,0.1157,-0.0077,0.72,1733169934.41,4.3207,None,None,None,975539707.45,None,None,None,567352048.35,307734147.74,475024977.98,None,1210249.86,168786.6,None,None,31255254.5,4985344.57,84716962.04,9.1123
10001297,2019-03-31 00:00:00,728725906.29,529209185.03,525010475.96,1141374423.71,734974328.92,26358691.17,-6248422.63,325013062.86,-9473223.37,8088623059.14,44926287509.13,21943839224.25,0.220045,0.22,None,None,None,None,None,None,3.0,13897680328.18,19237958455.9,22249761827.99,97230669.66,2,0.22,0.22,None,0.007224,0.006979999999999999,0.027436,32.8036,0.361153,849.4815,-0.001249,0.50475,0.014844999999999999,None,0.9811799999999999,1.32922,0.028571,None,1.368314,0.8777750000000001,2.010787,None,0.129103,None,0.001777,6.9712,506.4716,0.0055910000000000005,160.973,0.012247,0.141109,0.012086,0.09903,0.09086499999999999,0.8167310000000001,0.068025,0.228784,0.024264,0.012247,0.183269,5.0858,2.7596,156.626,0.2288,0.001452,None,0.006087,0.003811,0.38549999999999995,0.074912,0.000402,7.2e-05,0.005907,0.000146,0.016894,0.003628,0.22,9.1243,0.1351,0.49524999999999997,0.0241,0.22,0.03,-0.0077,None,525010475.96,4.5327,None,None,None,1001898398.61,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.4289
10001297,2019-06-30 00:00:00,1489014908.48,1063324594.26,1061805130.9,2485858977.22,1509400770.29,51409000.51,-20385861.81,-866290598.62,-1526795025.09,15525793657.88,44696406450.94,21998083103.93,0.442131,0.44,None,0.44,None,None,None,None,4.85,12962797729.72,19031766477.05,21940420644.36,176966869.27,2,0.44,0.44,0.44,0.006811,0.006486,0.04571,39.3787,0.232949,941.4089,-0.001075,0.509123,0.01459,1.143095,0.96416,1.355666,0.02786,0.571637,1.3945169999999998,0.864999,2.017468,44.539,0.21070799999999998,0.007685,0.0034189999999999997,8.5426,526.4697,0.011089,162.323,0.024575,0.16011199999999998,0.024188,0.10689399999999999,0.097219,0.7963509999999999,0.07074799999999999,6.659543,0.703824,0.358333,0.203649,5.7313,2.0835,166.9465,0.4567,0.006755,None,-0.076796,0.140746,0.261284,0.048509000000000004,-0.000558,-0.000194,-0.007887,-0.000395,-0.045518,0.006951000000000001,0.44,9.1468,-0.3602,0.490877,0.0483,0.44,0.048499999999999995,-0.0077,0.44,1061805130.9,4.4748,None,None,None,1026948707.96,None,None,None,720397940.43,315508431.46,559081180.11,None,18197173.34,379715.9,None,None,13691032.93,19440941.61,77880024.22,9.4619
