公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000317,2017-03-31 00:00:00,-56705889.29,-53519208.37,-38480845.34,78481361.71,-37415747.36,-1153147.09,-19290141.93,-105589747.17,-149353500.09,894609453.8,7335647941.77,1424901695.86,-0.054062,-0.0541,None,None,None,None,None,None,-3.68,3113827240.01,3979865023.18,6001889777.52,53764892.33,2,-0.0541,-0.0541,None,0.007824,0.007272,0.013484000000000001,66.7458,0.331094,-5.4701,-0.005901999999999999,0.18181899999999998,0.06968,None,4.499984,2.288364,0.27706,None,3.165357,3.367188,1.499538,None,0.038079,None,0.001219,23.6351,738.3101,0.002852,315.568,-0.007908,0.087727,-0.007903,-0.06124399999999999,-0.041824,0.89969,-0.064846,-0.058600000000000006,-0.043495,-0.007908,0.10031000000000001,12.2712,36.0514,-138.4007,-0.0586,None,None,0.304203,None,-0.601753,-0.324904,-0.0011799999999999998,-0.000144,None,-0.00017600000000000002,-0.026531,0.0065580000000000005,-0.0541,1.4394,-0.1067,0.818181,-0.037599999999999995,-0.0541,-0.0368,1.8822,None,-38480845.34,-1.7865,None,None,None,76554172.24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.3473
10000317,2017-06-30 00:00:00,-9154060.39,-20006483.56,4866036.47,232749912.23,23170555.41,-1666071.09,-32324615.8,-99438339.46,-292373889.97,1753071937.62,7440088534.28,1461434136.96,-0.020209,-0.0202,None,0.0049,None,None,None,None,-1.36,3083021663.72,3977153509.6,6072676425.98,103283359.88,2,-0.0202,-0.0202,0.0049,0.007752,0.007193000000000001,0.029190999999999998,61.6628,0.296445,91.1369,-0.005135,0.18379,0.061713,0.314734,4.440999,2.385392,0.251374,0.7207399999999999,3.18636,3.2443060000000004,1.5429220000000001,58.3953,0.070446,0.004018,0.002371,25.5515,759.1733,0.005617,320.4558,-0.003681,0.132767,-0.0037040000000000003,-0.005259000000000001,0.013217000000000001,0.854061,-0.015621000000000001,1.672801,1.2110509999999999,0.222579,0.14593899999999999,12.5647,371.3181,-2542.5866,-0.0277,None,None,0.218089,None,-0.576062,-0.238451,-0.000567,-0.000134,None,-0.000164,-0.025002,0.012695000000000001,-0.0202,1.4763,-0.1004,0.81621,-0.0137,-0.0202,-0.013600000000000001,1.8822,0.0049,4866036.47,-1.7526,None,None,None,76041248.24,None,None,None,29052729.72,20859586.93,72216926.65,None,6414674.17,494825.14,None,None,35009323.16,52929153.93,48386171.79,1.3813
10000317,2017-09-30 00:00:00,-89561164.75,-100616989.33,-67539744.77,285312625.71,-46226480.15,-2118673.8,-43334684.6,-125552830.51,-426821247.36,2797525237.71,7344980510.83,1379400749.11,-0.101637,-0.1016,None,None,None,None,None,None,-7.03,2875241541.65,3916316838.98,6062313972.15,153229665.8,2,-0.1016,-0.1016,None,0.007342,0.006824,0.046849,57.632,0.278101,41.551,-0.004314,0.174632,0.061151,None,4.726337,2.5809539999999997,0.25935199999999997,None,3.484724,3.403431,1.54754,None,0.122122,None,0.0038090000000000003,22.109,708.8475,0.009273,291.1679,-0.015072,0.10198800000000001,-0.015072,-0.031507,-0.016524,0.8852840000000001,-0.039573,-0.11183,-0.08631,-0.015072,0.114716,11.8109,50.7512,-318.5673,-0.1118,None,None,0.083841,None,-0.537976,-0.196982,-0.000449,-0.000171,None,-0.000207,-0.032059000000000004,0.0209,-0.1016,1.3934,-0.1268,0.825368,-0.0729,-0.1016,-0.0703,1.8822,None,-67539744.77,-1.8341,None,None,None,75588645.53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.2957
10000317,2017-12-31 00:00:00,-712778058.89,-690100642.05,-653298689.34,342574466.6,-696534080.38,-34549374.95,-16243978.51,164253420.44,-140584030.24,4130167959.38,7071707405.03,793595207.13,-0.6971,-0.6971,None,-0.6599,None,None,None,None,-60.61,3107581439.82,4071180945.66,6378403039.53,205231589.28,2,-0.6971,-0.6971,-0.6599,0.007633,0.007315,0.072452,49.6881,0.34163899999999997,-247.3043,-0.0046300000000000004,0.098039,0.063089,0.183387,9.200004,3.478969,0.391547,0.7041240000000001,5.717727999999999,6.5156529999999995,1.4408619999999999,53.4603,0.22484200000000001,0.01012,0.00573,16.0112,628.2723,0.013182000000000001,273.0997,-0.101509,0.08294399999999999,-0.09958299999999999,-0.167368,-0.168645,0.905256,-0.17380400000000001,0.879601,1.255971,0.123134,0.094744,11.4075,7.1261,-48.0619,-0.7251,None,None,0.266443,None,-0.502806,-0.037229,0.000398,0.00023199999999999997,None,0.000258,0.040345000000000006,0.039566,-0.6971,0.8016,0.1659,0.901961,-0.8695999999999999,-0.6971,-0.6061,1.8822,-0.6599,-653298689.34,-2.4295,None,None,None,73494570.88,None,None,None,21537153.59,16259053.6,90349576.79,None,6231799.92,497766.05,None,None,8454296.17,31550177.24,93075513.57,0.7003
10000317,2018-03-31 00:00:00,16506039.64,13795881.59,25274600.85,143417651.19,32734260.91,-1241517.22,-16228221.27,-273041256.37,-348927009.15,1051129229.05,6799432529.97,809383612.51,0.013936,0.0139,None,None,None,None,None,None,1.72,2782888646.57,3906188279.17,6090124308.05,51942483.26,2,0.0139,0.0139,None,0.007124,0.00676,0.018581,48.4366,0.28263,131.7775,-0.003749,0.10431900000000001,0.061939,None,8.586006,3.553023,0.37254800000000005,None,5.662621000000001,6.100787,1.442371,None,0.065937,None,0.0015160000000000002,13.6494,593.6675,0.003569,252.1715,0.002077,0.136442,0.0020369999999999997,0.016368,0.031142,0.852538,0.013438,0.014268000000000001,0.019914,0.002077,0.147462,9.5838,-105.8385,868.8798,0.0143,None,None,0.17495899999999998,None,-0.46818800000000005,-0.07309700000000001,-0.0025979999999999996,-0.000402,-0.193306,-0.000448,-0.0699,0.014988,0.0139,0.8176,-0.2758,0.8956810000000001,0.017,0.0139,0.0172,1.8822,None,25274600.85,-2.4156,None,None,None,72253053.66,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7165
10000317,2018-06-30 00:00:00,58678883.42,55886968.62,76125556.05,290378931.12,93515811.39,-1186113.49,-34836927.97,-253231077.63,-360213809.13,2142214999.05,6964156180.05,853769010.29,0.056454,0.0565,None,0.0769,None,None,None,None,6.8,2871253744.29,4043262176.63,6211928565.01,102546704.42,2,0.0565,0.0565,0.0769,0.007101,0.006677,0.037599,47.8736,0.288232,157.2216,-0.003423,0.108014,0.057602,0.200363,8.258044,3.548623,0.34780500000000003,0.693837,5.441043,5.908334,1.4425759999999999,53.9093,0.12146900000000001,0.005686,0.0030520000000000005,14.8186,589.7772,0.0071660000000000005,251.1862,0.007861,0.135551,0.0078000000000000005,0.028612000000000002,0.043654,0.8543970000000001,0.025554,1.728739,2.275085,0.24574100000000001,0.145603,9.2904,-61.3901,494.861,0.0553,None,None,0.221978,None,-0.44988999999999996,-0.063969,-0.0011819999999999999,-0.000364,-0.046258,-0.00040800000000000005,-0.06263,0.029639000000000002,0.0565,0.8624,-0.2558,0.891986,0.0655,0.0565,0.068,1.8822,0.0769,76125556.05,-2.3731,None,None,None,72308457.39,None,None,None,16933900.27,15084810.71,88791014.27,None,98843.78,6217981.23,None,None,9575560.6,1141563.94,117302713.42,0.7599
10000317,2018-09-30 00:00:00,81087877.45,81463241.24,102790270.65,425823845.84,119483432.76,-1410225.36,-38395555.31,-99249884.27,-337327245.02,3512737919.18,6905107992.36,878346339.96,0.082289,0.0823,None,None,None,None,None,None,9.76,2791712283.02,3971996147.87,6129328766.04,161674309.49,2,0.0823,0.0823,None,0.0070279999999999995,0.006626,0.058849,45.8801,0.286245,150.1551,-0.0031090000000000002,0.11234899999999999,0.053141999999999995,None,7.900867,3.599624,0.321117,None,5.302276000000001,5.593017,1.465195,None,0.21093499999999998,None,0.005027,12.8002,537.0997,0.011909000000000001,226.7193,0.011483,0.121223,0.011346,0.023863,0.034014,0.869443,0.022573,0.080098,0.102211,0.011483,0.130557,8.8592,-49.0897,525.1387,0.0801,None,None,0.25565899999999997,None,-0.395182,-0.059886999999999996,-0.000283,-0.000144,-0.012517,-0.00016199999999999998,-0.024987,0.047821999999999996,0.0823,0.8873,-0.1003,0.8876510000000001,0.09269999999999999,0.0823,0.09759999999999999,1.8822,None,102790270.65,-2.3472,None,None,None,72084345.52,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7836
10000317,2018-12-31 00:00:00,64621648.98,64269966.66,109846632.27,624596888.37,136902823.65,1205082.45,-72281174.67,146749955.76,-630992064.14,5048655734.02,6657894438.89,856828018.32,None,0.0649,None,0.111,None,None,None,None,7.79,2467774635.84,4332245425.99,5904262070.4,224003683.39,2,0.0649,0.0649,0.111,0.005696,0.005313,0.09154400000000001,39.3254,0.21012,128.8485,-0.001931,0.113194,0.054063999999999994,0.199556,7.834406,3.7627390000000003,0.32323599999999997,0.69207,5.559899000000001,6.226107,1.295899,56.7227,0.295846,0.013361000000000001,0.007354,12.1685,489.5295,0.018111,198.7742,0.009232,0.12371499999999999,0.008954,0.013286,0.027117,0.8669370000000001,0.012175,1.759467,2.311209,0.261615,0.13306300000000001,8.7137,-109.9881,966.5443,0.0621,None,None,0.22238499999999997,None,0.087015,-0.058517,0.000291,0.00021999999999999998,0.023875,0.000249,0.033874,0.069784,0.0649,0.8655,0.1482,0.886806,0.075,0.0649,0.0779,1.8822,0.111,109846632.27,-2.3646,None,None,None,74699653.33,None,None,None,18704311.48,1468154.27,98698225.26,None,200000.0,6037711.23,None,None,10146342.84,7112135.78,90412788.75,0.7613
10000317,2019-03-31 00:00:00,18571488.54,19010604.93,27448450.34,133980745.37,28573915.74,-233852.82,-10002427.2,-54116635.88,-69032321.05,1560659309.58,6692998128.04,877363334.53,0.019203,0.0192,None,None,None,None,None,None,2.22,2501350011.38,4409379730.9,5923927312.78,57977544.3,2,0.0192,0.0192,None,0.005673,0.005168000000000001,0.024648,36.5141,0.18584499999999998,132.0322,-0.001771,0.11490700000000001,0.050492999999999996,None,7.702707,3.786422,0.30527899999999997,None,5.450276,6.172812,1.2894309999999998,None,0.07268,None,0.0023380000000000002,12.383,384.9444,0.006281,143.2893,0.002079,0.085849,0.002084,0.012140999999999999,0.018309,0.9053669999999999,0.008915,0.014055,0.018092,0.002079,0.09463300000000001,6.6005,-55.1183,721.4325,0.0141,None,None,0.484745,-0.014946,0.084255,-0.015653,-0.00034700000000000003,-8.099999999999999e-05,-0.038894000000000005,-9.1e-05,-0.012273000000000001,0.020499,0.0192,0.8863,-0.0547,0.8850929999999999,0.0217,0.0192,0.0222,1.8822,None,27448450.34,-2.3454,None,None,None,74465800.51,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.7769
10000317,2019-06-30 00:00:00,8267490.91,11624287.88,18301965.05,247891127.94,25016498.45,1418776.51,-16749007.54,-44170448.02,-232229887.13,2617420380.99,6409387440.93,858452289.54,0.011742,0.0117,None,0.0185,None,None,None,None,1.36,2192357111.45,4233619042.94,5658185711.87,122074155.39,2,0.0117,0.0117,0.0185,0.005178,0.004935999999999999,0.043528000000000004,41.3527,0.17066900000000002,106.7725,-0.0015279999999999998,0.117203,0.048671,0.204359,7.532179,3.966537,0.29342,0.681297,5.6137120000000005,6.051063,1.2855109999999998,57.3517,0.17447700000000002,0.007024,0.004006,10.3165,449.326,0.011233,160.2421,0.0011799999999999998,0.094708,0.001157,0.003195,0.009558,0.8956459999999999,0.002889,1.744617,2.299117,0.269464,0.104354,8.3242,-185.4279,2998.384,0.0076,None,None,0.221829,-0.861857,-0.001364,-0.079661,-0.000169,-6.9e-05,-0.058407999999999995,-7.8e-05,-0.010433,0.034787,0.0117,0.8672,-0.0446,0.882797,0.013500000000000002,0.0117,0.013600000000000001,1.8822,0.0185,18301965.05,-2.3624,None,None,None,76118429.84,None,None,None,52540799.77,84183329.56,336505492.2,None,75761.69,721.31,None,None,16899503.89,21212232.87,153581394.07,0.7588
