公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000532,2017-03-31 00:00:00,485234.75,485234.75,485216.83,3518306.41,485252.67,None,-17.92,-81427019.19,37821107.8,69736743.42,163721095.07,96384470.29,0.000394,0.0004,None,None,None,None,None,None,0.5,162953926.34,26718413.5,67336624.78,353607.32,2,0.0004,0.0004,None,0.060989,0.060989,0.023607,38.1243,1.447638,237.2242,None,0.588711,None,None,0.6986249999999999,None,None,None,0.007959,0.277207,None,None,None,None,0.0036580000000000002,None,246.0361,0.003673,245.0313,0.002964,0.050450999999999996,0.002545,0.007061,0.006958,0.949312,0.006958,0.000394,0.005033999999999999,0.002964,0.050688000000000004,3.5898,-0.0037,725.0731,0.0004,None,None,-0.8100020000000001,None,None,-0.978997,-0.011675999999999999,-0.004974,-1.6780950000000001,-0.012093,-3.047599,0.007254,0.0004,0.0782,-0.0661,0.411289,0.005,0.0004,0.005,1.3222,None,485216.83,-2.3296,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0782
10000532,2017-06-30 00:00:00,2111465.94,2111465.94,2111448.02,7180980.02,2111483.86,None,-17.92,-115789024.7,174779079.78,221903437.27,336541507.09,269406701.48,0.001713,0.0017,None,0.0017,None,None,None,None,1.37,335814932.02,26516594.33,67134805.61,118288.95,2,0.0017,0.0017,0.0017,0.126643,0.126643,0.032362,55.6208,6.623647999999999,1885.0069,None,0.8005159999999999,None,None,0.249195,None,None,None,0.0026969999999999997,0.09842599999999999,None,None,None,None,0.00801,None,224.7191,0.008032000000000001,224.1036,0.006273999999999999,0.032361,0.007621,0.00963,0.009515000000000001,0.9654590000000001,0.009515000000000001,0.0017130000000000001,0.007837,0.006273999999999999,0.034541,2.0459,-0.0008,340.0945,0.0017,None,None,-0.732116,None,None,-0.949984,-0.005218,-0.003441,-0.548382,-0.017247,-4.366663,0.012149,0.0017,0.2186,-0.0939,0.199484,0.0078000000000000005,0.0017,0.0137,1.4613,0.0017,2111448.02,-2.3283,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2186
10000532,2017-09-30 00:00:00,5346604.1,5346604.1,5337261.16,12704996.88,5337261.16,None,9342.94,-136542003.34,85445340.47,335432790.13,335983170.2,272641839.64,0.004338,0.0043,None,None,None,None,None,None,2.76,335297188.57,24242072.56,63341330.56,-691624.14,2,0.0043,0.0043,None,0.13831200000000002,0.13539199999999998,None,None,3.5600439999999995,-673.0505,None,0.811475,None,None,0.23232399999999997,None,None,None,0.002516,0.08891500000000001,None,None,0.455185,None,0.012119999999999999,5.9317,222.7723,0.012153,222.1674,0.015913,0.037876,0.019318,0.016223,0.015912,0.960606,0.015939000000000002,0.004338,0.019610000000000002,0.015913,0.039394,2.0386,0.1747,237.6274,0.0043,None,None,-0.7595440000000001,None,None,-0.941724,-0.004071,-0.004064,-0.255381,-0.021557,-5.632439000000001,0.018203,0.0043,0.2212,-0.1108,0.188525,0.0196,0.0043,0.0276,1.4613,None,5337261.16,-2.3257,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2212
10000532,2017-12-31 00:00:00,8181346.43,8181346.43,7974955.48,19664350.06,8155802.11,979217.47,25544.32,-139906482.91,53961170.45,489346140.46,332515826.42,275476581.97,0.006638,0.0066,None,0.0065,None,None,None,None,3.82,331870438.23,17939986.45,57039244.45,-1073464.17,2,0.0066,0.0066,0.0065,0.184989,0.1364,None,None,3.055669,-662.1443,None,0.8284619999999999,None,426.838585,0.207057,None,None,0.213889,0.002343,0.065123,None,0.1941,0.053806,6.708467000000001,0.017792,66.907,202.3381,0.01784,201.7937,0.024604,0.040185000000000005,0.029747,0.016989,0.016667,0.9584619999999999,0.016718999999999998,0.008563,0.038309,0.031738,0.041538000000000005,2.4265,12.2811,240.3559,0.0066,None,None,-0.73848,-0.994949,1.8725630000000002,0.528452,-0.002859,-0.004208,-0.171007,-0.024527999999999998,-7.798584,0.026353,0.0066,0.2235,-0.1135,0.171538,0.0297,0.0066,0.0382,1.4613,0.0065,7974955.48,-2.3234,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5296387.12,None,None,0.2235
10000532,2018-03-31 00:00:00,4504195.52,4504195.52,1349643.87,6290918.51,1587243.87,599071.43,2916951.65,27906743.65,24004016.52,250774209.38,342111396.11,279980777.49,0.003655,0.0037,None,None,None,None,None,None,1.6,341503848.15,24532542.06,62130618.62,-311218.36,2,0.0037,0.0037,None,0.139204,0.132477,0.052425,17.1674,3.2129849999999998,-1347.2782,None,0.818391,None,None,0.22191,None,None,None,0.00217,0.087622,None,None,0.047092,None,0.007434,19.1115,121.0654,0.007448,120.8378,0.013166,0.025086,0.013352999999999999,0.018015,0.006329,0.973416,0.017961,0.003655,0.016088,0.013166,0.026584,2.2093,78.0611,139.668,0.0037,None,None,2.5960129999999997,8.282508,1.9048330000000002,1.089599,0.001113,0.0008160000000000001,0.061957000000000005,0.0044919999999999995,1.13754,0.009029,0.0037,0.2272,0.0226,0.18160900000000002,0.0161,0.0037,0.016,1.4613,None,1349643.87,-2.3197,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2272
10000532,2018-06-30 00:00:00,14765569.53,14765569.53,18746501.54,26201425.86,18988917.88,3107274.83,-4223348.35,27751036.71,33356512.98,547942837.13,347969525.61,290242151.5,0.01198,0.012,None,0.0152,None,None,None,None,4.96,347440875.38,20129297.55,57727374.11,-437771.31,2,0.012,0.012,0.0152,0.172605,0.17164300000000002,0.068645,26.2219,4.38044,-3272.8957,None,0.834102,None,549.0249220000001,0.198894,None,None,0.180626,0.0018210000000000001,0.069353,None,0.1519,0.11691800000000001,9.334325,0.016104,15.3954,111.7735,0.016132,111.5795,0.042434,0.047818,0.043397,0.027739,0.034655,0.950634,0.026947000000000002,0.013926000000000001,0.059135999999999994,0.049325,0.049366,1.9276,-7.5586,177.4495,0.012,None,None,1.4692850000000002,5.993042,0.07733799999999999,0.033957,0.0005059999999999999,0.000798,0.018793999999999998,0.0048070000000000005,1.378639,0.019372,0.012,0.2355,0.0225,0.165898,0.0509,0.012,0.0496,1.4613,0.0152,18746501.54,-2.3114,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5296387.12,None,None,0.2355
10000532,2018-09-30 00:00:00,15654098.79,15654098.79,23249727.62,35192622.35,23492143.96,3990842.99,-7838045.17,2112310.63,-1564444.94,746895223.81,354128084.21,291130680.76,0.012701,0.013,None,None,None,None,None,None,5.53,353327466.09,25399326.89,62997403.45,-553336.94,2,0.013,0.013,None,0.139109,0.138376,0.23462700000000003,11.5076,2.096678,-2729.0356,None,0.822106,None,None,0.216389,None,None,None,0.0027500000000000003,0.08724399999999999,None,None,0.15963,None,0.021755,16.9141,124.1094,0.021801,123.8475,0.044204999999999994,0.047119,0.045596,0.021514000000000002,0.031453,0.951403,0.020959,0.012701,0.05377,0.044204999999999994,0.048597,2.1333,-24.5763,224.8141,0.0127,None,None,1.226661,1.9278579999999998,0.067814,0.054005,2.8e-05,6e-05,0.001349,0.000335,0.083164,0.026364000000000002,0.013,0.2362,0.0017,0.177894,0.0538,0.013,0.0553,1.4613,None,23249727.62,-2.3107,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2362
10000532,2018-12-31 00:00:00,13007741.54,13007741.54,25683769.06,44275568.58,26035289.42,5179118.04,-13027547.88,-41793350.02,24122853.78,1007360098.74,343550942.26,288484323.51,0.010554,0.0106,None,0.0208,None,None,None,None,4.61,342804451.48,17468542.19,55066618.75,-546031.05,2,0.0106,0.0106,0.0208,0.196241,0.175915,0.108255,33.2548,4.519067,-2282.2348,None,0.839713,None,386.453967,0.190883,None,None,0.23650400000000002,0.0025879999999999996,0.060552999999999996,None,0.2173,0.156823,14.474822999999999,0.029801,22.9558,120.8013,0.029862000000000003,120.5546,0.037863,0.043952,0.038481,0.013185,0.025844999999999996,0.954892,0.012912999999999999,0.012509999999999999,0.053443,0.044877,0.045107999999999995,2.3334,-60.3366,340.3786,0.0106,None,None,1.058584,0.589927,0.047219,0.033187,-0.000415,-0.001217,-0.03213,-0.00759,-2.392492,0.035724,0.0106,0.2341,-0.0339,0.160287,0.0451,0.0106,0.0461,1.4613,0.0208,25683769.06,-2.3128,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2341
10000532,2019-03-31 00:00:00,5008344.23,5008344.23,5008344.23,7951808.18,5008344.23,1544092.47,None,56595411.27,38208387.03,193770008.83,346478207.39,293492667.74,0.004064,0.0041,None,None,None,None,None,None,1.72,345771848.11,15387463.09,52985539.65,-128868.91,2,0.0041,0.0041,None,0.22471,0.22471,0.018416,48.8705,7.613334999999999,-3786.3867,None,0.8470740000000001,None,None,0.180534,None,None,None,0.002407,0.052428999999999996,None,None,None,None,0.0056159999999999995,None,160.2564,0.005627999999999999,159.9147,0.014455,0.041037,0.014516,0.026317,0.025847000000000002,0.956667,0.025847000000000002,0.004064,0.017065,0.014455,0.043333,2.3159,30.8304,158.7712,0.0041,None,None,-0.22731300000000002,0.111929,0.04826,0.012764,0.0029210000000000004,0.001633,0.113002,0.010681000000000001,3.6780209999999998,0.006659000000000001,0.0041,0.2381,0.0459,0.152926,0.0171,0.0041,0.0172,1.4613,None,5008344.23,-2.3088,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.2381
10000532,2019-06-30 00:00:00,7285225.01,7285225.01,3654332.47,9238717.94,3654332.47,3412646.77,3630892.54,61347218.95,69053254.86,265403700.46,342208412.39,295769548.52,0.005911,0.0059,None,0.003,None,None,None,None,2.49,341536624.28,28900595.45,46438863.87,-315913.34,2,0.0059,0.0059,0.003,0.118176,0.11536099999999999,0.04626,38.9105,5.120820999999999,-2206.0834,None,0.864297,None,440.27207999999996,0.15701,None,None,0.213084,0.002271,0.097713,None,0.1963,0.117177,3.742617,0.00774,15.3614,232.5581,0.007756,232.0784,0.021289,0.03481,0.021247,0.027475,0.013769,0.9634569999999999,0.027450000000000002,0.007924,0.033019,0.028539,0.036543,3.3899,96.6825,126.8144,0.0059,None,None,-0.515636,-0.506607,0.019044000000000002,-0.016556,0.002311,0.0017929999999999999,0.084208,0.01321,2.122697,0.009085,0.0059,0.24,0.0498,0.135703,0.0246,0.0059,0.024900000000000002,1.4613,0.003,3654332.47,-2.3069,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23890293.51,None,0.24
