公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000726,2017-03-31 00:00:00,19890899.42,19890899.42,1587198.05,26320373.09,19890899.42,18303701.37,None,-75995210.05,269907197.17,58516574.72,6119165871.49,5465465966.31,0.00491,0.0049,None,None,None,None,None,None,0.36,2966099006.0,606997749.37,653699905.18,5717780.08,2,0.0049,0.0049,None,0.048865,0.048716999999999996,0.032653,27.5626,1.10117,447.878,None,0.893172,None,None,0.11960599999999999,None,None,None,0.576907,0.11106099999999999,None,None,0.032117,None,9.599999999999999e-05,28.0225,9375.0,0.000199,4522.6131,0.003251,0.449793,0.0032600000000000003,0.348921,0.339919,0.509471,0.339919,0.00491,0.003639,0.003251,0.490529,42.3994,92.0205,132.3237,0.0049,None,None,0.17715,None,0.599972,0.204053,-0.012987,-0.000124,-0.038206000000000004,-0.001163,-0.125199,0.000107,0.0049,1.3491,-0.0188,0.106828,0.0036,0.0049,0.0036,0.3212,None,1587198.05,-0.0376,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.3491
10000726,2017-06-30 00:00:00,40736861.61,40736861.61,9765293.49,52385187.43,40867898.95,31102605.46,-131037.34,28145906.01,1960691531.64,116255051.31,6049659055.43,5442013824.91,0.010055,0.0101,None,0.002,1.34,None,None,None,0.74,2765618717.11,562212028.58,607645230.52,7940230.5,2,0.0101,0.0101,0.002,0.049192,0.049027,0.075476,23.8486,4.196267000000001,613.0438,None,0.8995569999999999,None,186.5833,0.11165800000000001,None,None,0.753911,0.60346,0.10331,None,0.4821,0.062331000000000004,0.038945,0.00019199999999999998,28.8781,9375.0,0.00040899999999999997,4400.978,0.006734,0.450606,0.006715,0.373234,0.351537,0.504594,0.350409,0.012405,0.009235,0.008307,0.49540599999999996,38.9451,76.0284,128.5941,0.0101,None,None,0.173556,None,-0.013496,-0.13273300000000002,0.002421,4.7000000000000004e-05,0.006908999999999999,0.00046300000000000003,0.050063,0.000213,0.0101,1.34,0.0069,0.100443,0.0075,0.0101,0.0074,0.3212,0.002,9765293.49,-0.0325,None,None,None,None,None,None,None,None,None,2504962.93,None,0.0,None,None,None,157002.0,702301.0,46540.0,1.3433
10000726,2017-09-30 00:00:00,164132441.42,117276587.04,85863147.22,256787577.54,163821607.06,31102605.46,310834.36,224450291.62,2019253976.65,586832544.55,19247652354.75,13517793694.4,0.017245,0.03,None,None,None,None,None,None,1.6,3461642258.66,1705359168.45,5729858660.35,7049629.73,2,0.03,0.03,None,0.020299,0.020085000000000002,0.04446,60.7287,1.417739,2428.242,0.019995,0.7023090000000001,0.182446,None,0.423875,0.926983,0.20621099999999998,None,1.167795,0.385936,3.6877530000000003,None,0.129703,None,0.00046300000000000003,20.8168,5831.5335,0.001838,1468.988,0.0060929999999999995,0.437582,0.009260000000000001,0.389032,0.279162,0.507784,0.199847,0.017245,0.008676,0.0060929999999999995,0.49221600000000004,15.6527,19.1391,156.4514,0.0172,None,None,2.703247,None,1.4678010000000001,2.078897,0.0038250000000000003,0.000117,0.019139,0.000392,0.131615,0.0006180000000000001,0.03,1.9878,0.033,0.29769100000000004,0.0087,0.03,0.016,0.9869,None,85863147.22,-0.0081,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9878
10000726,2017-12-31 00:00:00,301678406.91,366514648.74,325426372.53,700986992.18,301633092.95,31102605.46,45313.96,666811265.89,548977660.33,1522530294.9,19907070232.91,13563528127.06,0.053895,0.07,None,0.06,1.99,None,None,None,4.05,2990225337.57,5867194033.77,6343542105.85,14158023.36,2,0.07,0.07,0.06,0.005097000000000001,0.005037000000000001,0.078657,45.7683,0.16216899999999998,2230.7947,None,0.6813420000000001,None,37.872932999999996,0.467691,None,None,0.955048,1.24723,0.43257100000000004,None,1.799,0.32941899999999996,0.078346,0.001172,10.9283,3071.6724,0.005149,699.1649,0.018411,0.460409,0.028203999999999996,0.308485,0.19811299999999998,0.480124,0.24072700000000002,0.05637400000000001,0.028265,0.019258,0.519876,10.2719,10.3249,232.3623,0.0539,None,None,5.2628189999999995,None,1.4847819999999998,2.272532,0.00438,0.000335,0.018193,0.001051,0.113651,0.001601,0.07,1.99,0.0981,0.318658,0.027000000000000003,0.07,0.0405,0.9824,0.06,325426372.53,0.0285,None,None,None,None,None,None,None,None,None,2504962.93,None,412265.48,None,None,None,25056000.0,558200.0,184708.0,1.9945
10000726,2018-03-31 00:00:00,111524828.27,85105003.96,83975396.33,462451082.88,111526971.82,1033424.66,-2143.55,624518160.55,73113798.73,966491317.18,20795068091.11,13225921650.23,0.012515,0.0125,None,None,None,None,None,None,0.63,3064591060.45,2218215268.8,7569146440.88,250583924.29,2,0.0125,0.0125,None,0.013816,0.013721,0.025737,34.9691,0.460096,144.506,0.006538,0.636012,0.02661,None,0.572296,1.28675,0.040158,None,1.3405850000000001,0.209556,7.4991520000000005,None,0.160439,None,0.000475,5.6096,1894.7368,0.003192,281.9549,0.004093,0.47848399999999996,0.004182,0.134829,0.11539400000000001,0.463281,0.088056,0.012515,0.006435,0.004093,0.5367190000000001,33.4317,0.9247,414.662,0.0125,None,None,15.516539,3.27859,1.419907,2.39835,0.006462,0.0003,0.073382,0.000825,0.281541,0.000722,0.0125,1.9448,0.0918,0.36398800000000003,0.0064,0.0125,0.0063,0.9823,None,83975396.33,0.0411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9448
10000726,2018-06-30 00:00:00,361665420.3,241203143.78,230363620.52,1088977084.68,361612925.38,10837123.29,52494.92,1932884269.79,735087120.77,2147773655.52,23108355178.81,13980097590.79,0.035468,0.04,None,0.034,2.06,None,None,None,1.76,3654635115.81,2746874231.88,9128257588.02,249822128.81,2,0.04,0.04,0.034,0.013305,0.013253999999999998,0.051104000000000004,35.2223,0.622872,244.7692,0.013557,0.60498,0.053257000000000006,21.317988,0.652947,1.278943,0.080909,0.959815,1.39153,0.284516,5.8068420000000005,2.8379,0.382093,0.042366,0.000999,4.7109,1801.8018,0.006464,278.4653,0.010438000000000001,0.507026,0.011215,0.24587,0.16836600000000002,0.43453,0.112304,0.039506,0.019216999999999998,0.011626000000000001,0.5654699999999999,19.1904,3.011,301.1007,0.0355,None,None,17.47467,4.921005,1.5689199999999999,2.819778,0.008999,0.0008359999999999999,0.08013500000000001,0.002117,0.7036669999999999,0.00156,0.04,2.06,0.2842,0.39502000000000004,0.0173,0.04,0.0176,0.9823,0.034,230363620.52,0.064,None,None,None,None,None,None,None,None,None,2504962.93,None,None,None,None,None,272088.0,225062000.0,736908.0,2.0557
10000726,2018-09-30 00:00:00,886026857.01,650833960.75,635846823.44,1812353850.85,884434705.27,10837123.29,1592151.74,3237345235.82,-24355951.7,3560371474.93,24714590534.1,14878848582.86,0.095704,0.1,None,None,None,None,None,None,4.69,3056796494.39,3066094963.31,9835741951.24,257056348.47,2,0.1,0.1,None,0.00997,0.009926,0.077937,34.6434,0.310332,444.682,-1.3205799999999999,0.602027,0.049685,None,0.6610550000000001,1.344638,0.076237,None,1.45561,0.28859999999999997,5.752509,None,0.6398619999999999,None,0.001596,4.2197,1691.7293,0.011776,229.2799,0.026334,0.509035,0.029171,0.390336,0.24841100000000002,0.43203400000000003,0.18279900000000002,0.095704,0.043742,0.026334,0.567966,14.6583,1.4028,204.5484,0.0957,None,None,5.0671,4.549564,0.100686,0.284031,0.009093,0.00131,0.049741,0.003291,1.055853,0.002504,0.1,2.1879,0.476,0.397973,0.0437,0.1,0.046900000000000004,0.9789,None,635846823.44,0.1243,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1879
10000726,2018-12-31 00:00:00,1114858335.21,600746057.36,770431230.78,2370807347.72,1113501497.47,-173330766.62,1356837.74,3998538631.09,-535333554.27,4780527760.17,24748383173.19,14820921791.17,0.088339,0.0883,None,0.1133,2.18,None,None,None,4.33,2174240305.63,2662752799.06,9927461382.02,264148435.58,2,0.0883,0.0883,0.1133,0.008165,0.008059,0.105971,33.9716,0.165931,522.0575,-0.029994999999999997,0.5988640000000001,0.059208,16.499758999999997,0.669828,1.3860890000000001,0.089971,0.9563679999999999,1.5231270000000001,0.278528,5.991839,3.6295,0.676602,0.0761,0.002141,5.3207,1681.4573,0.018512999999999998,194.4579,0.024274,0.49593000000000004,0.026906,0.360435,0.23292400000000002,0.446728,0.125665,0.094365,0.043299000000000004,0.025929999999999998,0.553272,14.2949,-15.4256,212.6555,0.0883,None,None,2.139857,0.639078,0.09270400000000001,0.24319600000000002,0.008364,0.001616,0.06656,0.004028,1.501656,0.003368,0.0883,2.18,0.588,0.401136,0.0405,0.0883,0.0433,0.9789,0.1133,770431230.78,0.1169,None,None,None,None,None,None,None,None,None,2504962.93,None,None,None,None,None,14000.0,25000000.0,548740.0,2.1794
10000726,2019-03-31 00:00:00,-203659660.92,-162804460.09,-163053294.04,527886507.88,-203984175.73,None,324514.81,509551285.23,292658632.37,1265799678.01,25441955167.01,14381579226.57,-0.02394,-0.0239,None,None,None,None,None,None,-1.1,2381562849.53,2732904062.04,11060375940.44,3301897.47,2,-0.0239,-0.0239,None,0.008714,0.008612999999999999,0.020004,44.991,0.278474,-6067.9584,-0.07570199999999999,0.56527,0.10454100000000001,None,0.7690649999999999,1.353205,0.156076,None,1.603467,0.374968,4.714902,None,0.235323,None,0.000504,3.8245,1785.7143,0.0055569999999999994,161.9579,-0.006399,0.417038,-0.006487000000000001,-0.242425,-0.16115,0.521347,-0.128618,-0.023940000000000003,-0.011319999999999998,-0.006399,0.478653,8.0724,-0.1593,-259.2003,-0.0239,None,None,0.30968599999999996,-2.9129829999999997,0.087378,0.223461,0.004026,0.0002,None,0.00046100000000000004,0.18645,0.000867,-0.0239,2.1148,0.0749,0.43473,-0.0113,-0.0239,-0.011000000000000001,0.9789,None,-163053294.04,0.0929,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1148
10000726,2019-06-30 00:00:00,476648115.88,370691071.07,370250843.12,1142192917.95,475605272.16,None,1042843.72,1706539829.5,832753521.56,2670149037.47,27262644291.66,15222080803.3,0.054509,0.055,None,0.054,2.24,None,None,None,2.47,2790645940.08,2664957214.31,12040563488.36,4753502.36,2,0.055,0.055,0.054,0.010471999999999999,0.010184,0.044069000000000004,40.845,0.47836799999999996,10127.3037,None,0.558349,None,17.919483,0.790993,None,None,0.934734,1.607664,0.175072,None,3.1159,0.259596,0.030556,0.001027,6.9339,1752.6777,0.010755999999999998,167.3485,0.013597,0.42776400000000003,0.014254,0.27458,0.17811900000000003,0.51035,0.138828,0.063231,0.028249,0.015773,0.48965000000000003,7.7883,0.2188,239.6302,0.0545,None,None,0.243217,0.5368419999999999,0.088839,0.179774,0.006391,0.000626,0.046037,0.0014169999999999999,0.640363,0.001778,0.055,2.24,0.2509,0.441651,0.024399999999999998,0.055,0.024700000000000003,0.9789,0.054,370250843.12,0.1714,None,None,None,None,None,None,None,None,None,2504962.93,None,27360000.0,None,None,None,919725569.04,None,25185354.0,2.2384
