公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10000741,2017-03-31 00:00:00,3752120.82,786949.75,-16314674.09,52449381.43,-4202671.4,9146831.62,7954792.22,209406485.95,59334473.55,781620603.44,6010726964.72,2976865694.08,0.000795,0.001,None,None,None,None,None,None,0.03,2489515789.48,2408496173.03,2968268751.66,16886328.46,2,0.001,0.001,None,0.010336000000000001,0.009063,0.007441,120.9515,0.12234,122.2199,None,0.506171,None,None,0.9756149999999999,None,None,None,1.157357,0.791628,None,None,0.021025000000000002,None,0.001258,42.8062,715.4213,0.0029189999999999997,308.3248,0.00046699999999999997,0.067103,0.000452,0.004719999999999999,-0.005377,0.9288590000000001,0.0035909999999999996,0.002835,0.0009229999999999999,0.00046699999999999997,0.071141,8.4183,455.7855,1397.8596,0.0028,None,None,0.251493,None,0.112752,0.051973000000000005,0.0026790000000000004,0.000348,0.7460680000000001,0.0007049999999999999,0.086945,0.002571,0.001,3.0072,0.2115,0.493829,0.0003,0.001,0.0003,2.2953,None,-16314674.09,-0.437,None,None,None,1523534.15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.0734
10000741,2017-06-30 00:00:00,-72520917.82,-78134765.07,-109650136.26,29345596.8,-86106382.84,17952834.17,13585465.02,767834748.98,6828729.34,1837964005.03,5584140461.58,2896361124.28,-0.07893,-0.08,None,-0.11,None,None,None,None,-2.66,2096407493.32,2029644845.34,2618976561.51,33178376.44,2,-0.08,-0.08,-0.11,0.010329,0.008039,0.019544,92.0999,0.09980800000000001,-118.5789,0.008687,0.5309969999999999,0.010387,1.3732419999999999,0.8832479999999999,1.15367,0.019185,0.689371,1.176236,0.7040569999999999,2.3898509999999997,38.6674,0.042396,0.008687,0.003064,42.4568,587.4674,0.007407,243.0134,-0.013416999999999998,0.015966,-0.012490000000000001,-0.037339000000000004,-0.046849,0.978786,-0.040765,0.9071680000000001,0.302859,0.16081700000000002,0.021214,7.2705,-43.4886,-40.465,-0.0757,None,None,0.41356699999999996,None,0.08906399999999999,-0.038391,0.004178,0.0013750000000000001,None,0.002932,0.37831000000000004,0.006124000000000001,-0.08,2.9258,0.7757,0.469003,-0.027000000000000003,-0.08,-0.026600000000000002,2.2953,-0.11,-109650136.26,-0.5188,None,None,None,1215990.23,None,None,None,6466204.79,15329525.5,None,None,927228.32,12175277.06,None,None,21526032.4,6044828.63,None,2.9953
10000741,2017-09-30 00:00:00,-91688034.71,-98743534.13,-130036406.48,127509035.82,-105732084.02,17958104.83,14044049.31,466657794.01,71369265.67,3008191422.56,5421541917.92,2874329738.73,-0.099749,-0.1,None,None,None,None,None,None,-3.38,1947355796.88,1847032906.02,2484322230.18,65422782.9,2,-0.1,-0.1,None,0.010543,0.008076,0.031016,87.0518,0.167358,-40.1469,0.0038729999999999997,0.541768,0.007168,None,0.845807,1.16737,0.013057000000000001,None,1.182815,0.6420669999999999,2.560707,None,0.068287,None,0.005084,39.539,531.0779,0.012498,216.0346,-0.01743,0.042386999999999994,-0.015969,-0.029272,-0.035148,0.953057,-0.031413,-0.095458,-0.032172,-0.01743,0.046943,8.3623,-34.9033,-139.0683,-0.0955,None,None,0.535978,None,0.077052,-0.032901,0.0015509999999999999,0.000861,None,0.001878,0.252653,0.010069,-0.1,2.9036,0.4714,0.458232,-0.0344,-0.1,-0.0338,2.2953,None,-130036406.48,-0.5396,None,None,None,1215990.23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.9671
10000741,2017-12-31 00:00:00,-30323631.18,-48638680.59,-80011574.61,317434215.9,-51531771.29,-575561.21,21208140.11,389795893.34,-24389886.66,4422929775.19,5268274448.16,2915325719.38,-0.049134,-0.05,None,-0.08,None,None,None,None,-1.65,1818011903.81,1722831073.48,2285675027.93,89338499.01,2,-0.05,-0.05,-0.08,0.010551999999999999,0.008329,0.043213,83.3083,0.12384,66.0576,None,0.566144,None,1.409689,0.766337,None,None,0.671547,1.156797,0.577627,None,40.1609,0.106532,0.021120999999999997,0.007572,33.7927,475.4358,0.018883,190.6477,-0.007594,0.07177,-0.006848999999999999,-0.006801000000000001,-0.011651,0.923762,-0.009045,1.004947,0.333542,0.188832,0.076238,7.9825,-68.0413,-1046.8213,-0.0404,None,None,0.31043299999999996,-1.704826,-0.018178,-0.178566,0.000881,0.00074,None,0.0017050000000000001,0.22625299999999998,0.014693000000000001,-0.05,2.945,0.3938,0.43385599999999996,-0.0167,-0.05,-0.0165,2.2953,-0.08,-80011574.61,-0.489,None,None,None,856186.23,None,None,None,2135419.38,1635298.0,None,None,770895.34,95029.73,None,None,1637628.41,1090608.14,None,3.013
10000741,2018-03-31 00:00:00,6768746.57,6312671.54,6217377.32,102477030.71,6876889.65,4087.96,-108143.08,32921225.01,-42716952.51,1210775618.73,5296430457.71,2923829630.72,0.006377,0.006,None,None,None,None,None,None,0.12,1875956648.99,1769539955.39,2305323962.45,20330129.02,2,0.006,0.006,None,0.010601000000000001,0.008801999999999999,0.017579,51.1975,0.135198,133.2942,None,0.56474,None,None,0.7707259999999999,None,None,None,1.143548,0.5916,None,None,0.031441,None,0.0022919999999999998,28.625,392.6702,0.006555,137.2998,0.001192,0.084638,0.001196,0.005620000000000001,0.005679999999999999,0.910883,0.005215999999999999,0.00638,0.002112,0.001192,0.089117,7.9288,-1.5373,1513.9735,0.0064,None,None,0.549058,1.250189,-0.016878,-0.118837,0.000272,6.2e-05,0.052125000000000005,0.000143,0.018604,0.0040539999999999994,0.006,2.9536,0.0333,0.43526000000000004,0.0022,0.006,0.0012,2.2953,None,6217377.32,-0.4826,None,None,None,856186.23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.0216
10000741,2018-06-30 00:00:00,12884298.6,3973792.1,3913079.49,200324270.98,13374848.43,4087.96,-490549.83,60142438.44,-64601110.4,2466199241.03,5314424419.63,2922420443.86,0.004014,0.004,None,0.004,None,None,None,None,0.15,1895061204.32,1847423484.14,2327801242.14,43178505.91,2,0.004,0.004,0.004,0.010258,0.008118,0.034372,52.3682,0.107368,129.8396,None,0.561984,None,1.45051,0.779409,None,None,0.652656,1.144893,0.618566,None,38.7439,0.057897,0.011814999999999999,0.004661,31.0897,386.1832,0.013284,135.5014,0.00082,0.081228,0.000824,0.0052510000000000005,0.005423,0.9136839999999999,0.001767,1.111366,0.368365,0.207015,0.086316,7.6234,-3.7756,1554.7938,0.0044,None,None,0.34180999999999995,None,0.007237,-0.0483,0.00024400000000000002,0.000113,0.137979,0.000258,0.032555,0.008263,0.004,2.9522,0.0608,0.438016,0.0014000000000000002,0.004,0.0015,2.2953,0.004,3913079.49,-0.4849,None,None,None,856186.23,None,None,None,6197924.18,3114909.47,None,None,602159.2,532819.73,None,None,2074310.14,780070.36,None,3.017
10000741,2018-09-30 00:00:00,94893126.95,84679339.38,81773207.14,373861933.22,92842539.35,14379.32,2050587.6,276654526.35,39001896.2,3828012857.98,5338335647.09,3002472683.58,0.085541,0.09,None,None,None,None,None,None,2.84,1925963743.81,1815001785.51,2270799762.14,69727733.96,2,0.09,0.09,None,0.010610999999999999,0.008236,0.052051,51.8722,0.16636800000000002,236.0909,None,0.574624,None,None,0.7402679999999999,None,None,None,1.112415,0.591681,None,None,0.08442,None,0.007218,31.9829,374.0648,0.020449000000000002,132.0358,0.016096,0.097665,0.016202,0.025409,0.024253,0.897841,0.022446,0.086799,0.028010999999999998,0.016096,0.102159,7.3273,2.1761,393.9821,0.0868,None,None,0.27253,None,0.044367000000000004,-0.015347,0.000723,0.000518,0.032197,0.0012180000000000001,0.15242699999999998,0.012654,0.09,3.033,0.2795,0.425376,0.0282,0.09,0.028399999999999998,2.2953,None,81773207.14,-0.4034,None,None,None,856186.23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.0988
10000741,2018-12-31 00:00:00,225825104.02,191643022.93,148576648.48,571766722.73,224373658.56,35276990.02,1451445.46,517667103.35,136722067.83,5399279342.17,5359583313.02,3107025729.0,0.193594,0.19,None,0.15,None,None,None,None,6.36,2295249525.63,1839547219.21,2183380353.15,88725876.72,2,0.19,0.19,0.15,0.012477,0.010201,0.073747,48.8155,0.217593,354.52,None,0.592621,None,1.559085,0.687418,None,None,0.637962,0.964779,0.5791660000000001,None,38.0108,0.119817,0.026002,0.010161,30.0458,354.2958,0.026253000000000002,137.1272,0.036757,0.105897,0.037073,0.043438,0.041555999999999996,0.889642,0.036487,1.366883,0.42601500000000003,0.252465,0.110358,6.8772,16.2641,253.1901,0.199,None,None,0.220747,None,0.064911,0.017332,0.000959,0.0009660000000000001,0.026277,0.002371,0.28141,0.017534,0.19,3.1387,0.5229,0.40737900000000005,0.0617,0.19,0.0636,2.2953,0.15,148576648.48,-0.2975,None,None,None,742699.71,None,None,None,1734115.9,92187.38,None,None,336965.5,595750.02,None,None,5571681.41,764800.07,None,3.2085
10000741,2019-03-31 00:00:00,23611034.58,19508781.46,17820858.49,121814019.31,23943980.03,13550.45,-332945.45,-146338424.85,50153517.66,1390627878.2,5437485298.12,3123380855.74,0.019707,0.02,None,None,None,None,None,None,0.64,2415375184.73,1730876133.28,2244927211.51,25844252.56,2,0.02,0.02,None,0.013955,0.011655,0.016229,55.4563,0.26023,191.3589,None,0.5871390000000001,None,None,0.703175,None,None,None,0.9466110000000001,0.54216,None,None,0.030935999999999998,None,0.002576,29.0923,349.3789,0.005904,152.439,0.0037730000000000003,0.08759600000000001,0.003801,0.017268,0.017218,0.908447,0.014754,0.020727000000000002,0.006427,0.0037730000000000003,0.09155300000000001,7.0829,-1.3527,515.9199,0.0207,None,None,0.148543,2.24862,0.06735000000000001,0.026632,-0.001052,-0.000269,-0.071323,-0.0006519999999999999,-0.084546,0.004366999999999999,0.02,3.1552,-0.1478,0.412861,0.0062,0.02,0.0064,2.2953,None,17820858.49,-0.2767,None,None,None,742699.71,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.2251
10000741,2019-06-30 00:00:00,115304196.3,102460391.41,102373607.55,313637501.13,117457327.51,17444.77,-2153131.21,-81991801.49,409047267.22,2757450955.74,5662871867.6,3221189121.07,0.103503,0.11,None,0.11,None,None,None,None,3.23,2645444318.66,1690691660.12,2372922432.28,57459948.57,2,0.11,0.11,0.11,0.015647,0.013111,0.037193000000000004,48.3962,0.561971,300.6688,None,0.580968,None,1.654713,0.721264,None,None,0.620304,0.917165,0.513896,None,35.1099,0.057346,0.0137,0.005003,31.3884,359.7841,0.011162,161.2614,0.018427,0.113742,0.018934,0.043747999999999995,0.042595999999999995,0.8811570000000001,0.037842,1.334821,0.40163899999999997,0.233339,0.11884299999999999,6.9558,-1.8522,272.0087,0.1054,None,None,0.118097,22.939359,0.101562,0.065566,-0.000297,-0.000145,-0.007858,-0.000346,-0.048496,0.008529,0.11,3.254,-0.0828,0.41903199999999996,0.0318,0.11,0.0323,2.3143,0.11,102373607.55,-0.194,None,None,None,742699.71,None,None,None,34767898.36,17013015.98,19817594.63,None,121878.33,None,None,None,16282961.25,1118553.88,4534481.03,3.3234
