公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80106141,2017-06-30 00:00:00,763364100.0,573217900.0,512000000.0,1121958000.0,688278500.0,65822000.0,75085500.0,917835200.0,-749408000.0,9197551100.0,25122763700.0,12317314600.0,0.069062,0.0691,None,0.06,None,None,0.11,None,4.49,8303545200.0,9210746800.0,12366832800.0,119008400.0,1,0.0691,0.0691,0.06,0.009015,0.008208,0.01447,124.3953,0.09324199999999999,741.4372,-0.022906,0.507744,0.082716,None,0.969497,1.133829,0.14008800000000002,None,1.318541,0.884985,2.0545910000000003,None,0.12082599999999999,None,None,14.8975,None,0.010076,178.6423,0.023715,0.121984,0.022664,0.08692,0.074833,0.871178,0.064777,None,0.046707,0.023715,0.128822,7.684,18.4588,146.9755,0.0691,0.00065,None,None,None,None,None,0.000998,0.000365,0.015405,0.000742,0.099648,0.007115,0.0691,1.484,None,0.492256,0.04650000000000001,0.0691,0.0449,None,0.06,512000000.0,None,None,None,None,893375900.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80106141,2017-12-31 00:00:00,1529674528.3,1176913045.14,993744000.0,3158404726.46,1501574803.05,130254205.01,28099725.25,2122280920.33,-545497705.81,23703664567.97,26819803689.86,12741836150.32,0.141797,0.1418,None,0.1197,None,None,0.25,None,8.9621,10615086187.9,11278802648.84,13603182721.1,260848187.39,1,0.1418,0.1418,0.1197,0.009412,0.008853999999999999,0.031769,113.318,0.094352,686.4233,-0.024891,0.492793,0.061599,1.065634,1.029248,1.0898539999999999,0.111111,0.501941,1.226086,0.9783799999999999,1.926987,46.2441,0.33562800000000004,None,0.008735,10.7262,412.1351,0.023049,156.189,0.046167999999999994,0.133245,0.045629,0.069462,0.063348,0.857825,0.052238,None,1.024838,0.5050330000000001,0.142175,6.2286,10.3521,206.4756,0.1418,2.3e-05,None,0.22335000000000002,0.8983410000000001,0.009038000000000001,-0.023077999999999998,0.000895,0.000791,0.01714,0.00156,0.18816500000000003,0.018015,0.1418,1.5352,None,0.507207,0.0924,0.1418,0.08962099999999999,None,0.1197,993744000.0,None,None,None,None,1063672691.91,None,None,None,120510649.7,55780239.81,None,None,30940525.99,1232789.74,None,None,14649285.92,479928.56,None,None
80106141,2018-03-31 00:00:00,84198060.48,24502555.2,-11933400.0,382020411.84,83150566.14,45144004.23,1047494.34,1572428196.64,72174561.2,4884346552.18,None,None,None,0.003,None,-0.0014,None,None,0.1894,None,0.1921,None,None,None,62186969.73,2,0.003,0.003,-0.0014,None,None,None,None,None,235.395,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.078213,None,0.017395,0.017023999999999997,0.9108809999999999,0.007286,None,None,None,0.08911899999999999,6.9218,54.8605,453.7164,None,None,None,None,None,None,None,0.003219,None,0.44184399999999996,None,None,0.007391,0.003,None,None,None,None,0.003,0.001921,None,-0.0014,-11933400.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80106141,2018-06-30 00:00:00,794293795.8,586800279.41,507897661.81,1448256565.34,789939520.72,85928136.53,4354275.08,1345832947.29,-144831887.15,11324036295.01,None,None,None,0.0707,None,0.0612,None,None,None,None,4.5,None,None,None,107529689.82,2,0.0707,0.0707,0.0612,None,None,None,None,None,838.6739,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.127892,None,0.07511899999999999,0.069758,0.8638899999999999,0.054186,None,None,None,0.13611,6.1638,11.3664,182.3326,None,None,None,0.23120100000000002,0.029896,-1.0,-1.0,0.001188,None,0.021932999999999998,None,None,0.017136,0.0707,None,None,None,None,0.0707,0.045,None,0.0612,507897661.81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80106141,2018-09-30 00:00:00,922338553.51,643385511.34,535164770.09,2081931213.85,894083296.97,102993073.7,28255256.54,1340353653.72,266823637.76,18483970590.92,None,None,None,0.0775,None,None,None,None,None,None,4.9208,None,None,None,166818839.97,2,0.0775,0.0775,None,None,None,None,None,None,652.8983,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.11263400000000001,None,0.052610000000000004,0.048371000000000004,0.8805320000000001,0.037343,None,None,None,None,6.111,14.23,225.7231,None,None,None,None,None,None,None,0.000725,None,0.019419,None,None,0.027971,0.0775,None,None,None,None,0.0775,0.049208,None,None,535164770.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80106141,2018-12-31 00:00:00,1433644336.1,1065903495.47,904402400.0,3386247665.01,1411885793.82,206429484.27,21758542.28,1605686804.04,-54175493.09,28974746840.59,27779224645.22,13523287062.45,0.128422,0.1284,None,0.109,1.6293,None,0.19,None,8.0332,11586959105.91,11310075080.9,13840332927.25,232619561.51,1,0.1284,0.1284,0.109,0.010244999999999999,0.009762,0.034005,105.8668,0.088919,716.3043,0.056993,0.5017739999999999,0.056806,1.160569,0.9929290000000001,1.043523,0.10169800000000001,0.496813,1.161661,0.924615,2.013709,43.2352,0.43215000000000003,0.023736999999999998,0.010613999999999998,8.3304,339.1747,0.026101,137.9257,0.04044,0.116869,0.041151,0.052474999999999994,0.048728,0.876603,0.038772,None,0.953296,0.478339,0.123397,5.9773,15.9166,236.1986,0.1284,0.002789,None,0.22237400000000002,-0.092736,0.054649,0.035773,0.000554,0.000578,0.014293,0.00116,0.14196999999999999,0.021339999999999998,0.1284,1.6293,None,0.498226,0.0788,0.1284,0.08033200000000001,None,0.109,904402400.0,None,None,None,None,1631348522.18,None,None,None,121958619.19,19480987.01,None,None,6718629.32,766263.32,None,None,4793953.74,13511406.6,None,None
80106141,2019-03-31 00:00:00,117193121.88,39708665.23,3429000.0,446814517.09,118201401.92,43414685.9,-1008280.04,1256254320.92,-207373029.18,5783410953.2,26214398597.21,13522296030.89,0.004784,0.0048,None,0.0004,1.6292,None,0.1514,None,0.2935,10291637584.13,9949082989.35,12260740287.75,65129674.56,2,0.0048,0.0048,0.0004,0.010343999999999999,0.009613,None,None,0.080232,279.9381,0.041519,0.53229,0.054254,None,0.878676,1.035566,0.09249800000000001,None,1.141117,0.814935,2.145702,None,0.083326,None,0.002142,10.801,420.1681,0.005286999999999999,170.2289,0.002109,0.077258,0.002048,0.020529000000000002,0.020438,0.9179609999999999,0.009561,None,0.0039629999999999995,0.002109,0.08203900000000001,6.4319,36.1851,381.2634,0.0048,None,None,0.18407099999999998,0.5538430000000001,None,None,0.002172,0.000479,0.227179,0.0010249999999999999,0.126268,0.0041470000000000005,0.0048,1.6292,None,0.46771,0.0029,0.0048,0.0029349999999999997,None,0.0004,3429000.0,None,None,None,None,1692035562.37,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80106141,2019-06-30 00:00:00,939181102.08,672147238.74,550166167.26,1630806512.87,929475021.79,129611962.48,9706080.29,611591452.09,3749515707.51,13874174786.0,31578109983.43,17929952277.89,0.066123,0.081,None,0.0663,None,None,None,None,4.85,15922505567.74,11003453093.59,13222874395.14,117183109.13,2,0.081,0.081,0.0663,0.01447,0.013891,0.015077,119.3871,0.43213700000000005,901.4646,0.002773,0.581265,0.043193999999999996,1.618167,0.7203870000000001,0.793926,0.06917,0.468023,0.852923,0.6737820000000001,2.407247,35.9212,0.205909,0.011881999999999998,0.004675,8.7417,385.0267,0.010086999999999999,178.4475,0.02245,0.11754300000000001,0.023887000000000002,0.072015,0.066993,0.878296,0.051097000000000004,1.338126,0.741053,0.430748,0.121704,5.7522,14.834,173.6413,0.0697,1.6e-05,None,0.225197,0.155366,None,None,0.000441,0.000194,0.008627000000000001,0.00046300000000000003,0.055582,0.008591999999999999,0.081,1.7639,0.0602,0.418735,0.0375,0.081,0.048499999999999995,0.1665,0.0663,550166167.26,0.4643,None,None,None,1716168999.36,None,None,None,92257628.45,31108878.14,None,None,2084574.35,866663.8,None,None,92257628.45,31108878.14,None,1.8057
80106141,2019-09-30 00:00:00,1276386706.53,885888970.47,728725669.52,2416730826.72,1269536054.0,171327710.46,6850652.53,709446534.82,850270326.27,21532303698.55,29393223448.93,18187898445.74,0.08715,0.0993,None,None,None,None,None,None,5.8161,13932829733.46,9911315377.24,10760709335.66,167102966.7,2,0.0993,0.0993,None,0.014057,0.01324,0.022786,118.4938,0.18724799999999997,863.8325,0.000861,0.633905,0.011779999999999999,None,0.577523,0.814615,0.018245,None,0.8297530000000001,0.55052,2.6902120000000003,None,0.280329,None,0.007532,9.6315,358.4705,0.016875,160.0,0.032047,0.11223699999999999,0.032951,0.062902,0.05896,0.8834000000000001,0.043746,0.092666,0.050553999999999995,0.032047,None,5.4617,13.9596,189.3416,0.0927,None,None,0.164918,0.364682,None,None,0.000329,0.000241,0.007532,0.000659,0.071579,0.013222000000000001,0.0993,1.7892,0.0698,0.36609499999999995,0.0487,0.0993,0.058161,0.1665,None,728725669.52,0.4854,None,None,None,1794587963.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.833
80106141,2019-12-31 00:00:00,1723585356.18,1233051275.73,1019809769.51,3899941564.82,1719469735.47,292214997.77,4115620.71,2931268600.84,590686636.31,33463292568.99,29701001389.43,18480641750.28,0.121302,0.1336,None,0.1105,None,None,None,None,7.7069,13862484567.17,9972719661.96,10708285726.39,196528889.93,2,0.1336,0.1336,0.1105,0.0139,0.013365,0.034685,103.7913,0.160731,977.0137,0.000668,0.6394639999999999,0.008752,1.702314,0.56381,0.822667,0.013502,0.450552,0.8339260000000001,0.538768,2.716173,37.5644,0.543957,0.028887999999999997,0.011642999999999999,6.6182,309.1987,0.026298,136.8925,0.043863000000000006,0.11654400000000001,0.045328999999999994,0.054813,0.051384,0.878298,0.038931,1.466655,0.7849689999999999,0.50196,None,5.6222,17.1927,226.2691,0.1282,1e-05,None,0.154912,0.159664,0.36257,0.06918,0.0008759999999999999,0.000987,0.0225,0.002737,0.293929,0.020323,0.1336,1.818,0.2884,0.360536,0.0667,0.1336,0.077069,0.1665,0.1105,1019809769.51,0.5141,None,None,None,1970766647.02,None,None,None,106943997.72,36998416.03,None,None,929236.36,483200.0,None,None,20681824.03,19534738.42,None,1.8684
