公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10001425,2017-03-31 00:00:00,291737496.7,287630756.12,290210906.16,520703313.15,294317646.74,None,-2580150.04,265157704.77,37819107.12,1592244331.95,14201841184.01,6083765859.67,0.28763,0.2876,None,None,None,None,None,None,4.9,6274847665.06,5386743119.68,7990763217.76,50717659.95,2,0.2876,0.2876,None,0.011649,0.011029,0.049709,18.1054,0.6029019999999999,675.2188,0.017036,0.437343,0.10653499999999999,None,1.286534,1.026271,0.195881,None,1.276267,1.110877,1.739782,None,0.037305000000000005,None,0.001148,24.1255,783.9721,0.002706,332.5942,0.020457,0.327025,0.02094,0.225694,0.184845,0.645437,0.18245999999999998,0.29051899999999997,0.046775000000000004,0.020457,0.35456299999999996,13.885,-0.8844,178.4835,0.2905,8.2e-05,None,0.631563,31.742008000000002,0.04729,0.085403,0.001665,0.00018700000000000002,0.009127,0.000332,0.049224,0.002653,0.2876,6.0837,0.2652,0.5626570000000001,0.0473,0.2876,0.049,2.1043,None,290210906.16,1.936,None,None,None,469419860.84,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.2111
10001425,2017-06-30 00:00:00,639496199.51,631368647.19,636824062.93,1077654786.51,644951615.25,None,-5455415.74,888430339.8,394726317.47,3282264100.2,14347706583.74,6513106902.28,0.631366,0.6314,None,0.6368,None,None,None,None,10.2741,6569109744.86,5129198035.52,7709086092.4,86613953.36,2,0.6314,0.6314,0.6368,0.012806999999999999,0.012074,0.117452,15.3254,0.702758,838.3293,0.010369,0.462696,0.104058,1.4304679999999999,1.1612479999999998,0.956586,0.183604,0.463597,1.171719,0.997526,1.838564,32.3458,0.071376,0.006864,0.002353,25.2186,764.9809,0.005442,330.7607,0.044356,0.32832700000000004,0.04563,0.242463,0.196496,0.644598,0.19389199999999998,6.00609,0.904723,0.418611,0.355402,13.1886,-0.8531,168.5162,0.6364,1e-06,None,0.7713209999999999,9.409887,0.12449099999999999,0.107896,0.0027069999999999998,0.000619,0.013959999999999998,0.001152,0.17321,0.005281,0.6314,6.5131,0.8884,0.537304,0.0969,0.6314,0.10274100000000001,2.1043,0.6368,636824062.93,2.2798,None,None,None,469419860.83,None,None,None,16508147.66,27783344.42,3707578.75,None,367697.93,51645.61,None,None,10698349.21,12149103.28,4041409.8,6.6386
10001425,2017-09-30 00:00:00,961889081.58,951764071.17,947597756.15,1670742633.6,957722766.56,2164438.36,4166315.02,1642711945.66,11767090.91,5116044560.7,14100257002.31,6895216447.37,0.95176,0.9518,None,None,None,None,None,None,15.15,6399876459.61,4805241111.38,7079129168.26,127316039.94,2,0.9518,0.9518,None,0.013319000000000001,0.012699,0.191331,14.1117,0.6704399999999999,855.5129,0.009363,0.497943,0.10588499999999999,None,1.008261,0.9044240000000001,0.17535599999999998,None,1.0967440000000002,0.897041,1.897861,None,0.128629,None,0.003701,20.9906,729.5326,0.008603,313.844,0.067888,0.326569,0.069248,0.231047,0.18719999999999998,0.6472060000000001,0.187105,0.957233,0.13633699999999999,0.067888,0.35279400000000005,14.0319,0.6582,173.6939,0.9572,0.0,None,0.732632,6.8861810000000006,0.165694,0.024735,0.003211,0.001165,0.017161,0.002321,0.341858,0.007984999999999999,0.9518,6.8952,1.6427,0.502057,0.138,0.9518,0.1515,2.1043,None,947597756.15,2.6001,None,None,None,519419860.83,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.0211
10001425,2017-12-31 00:00:00,1258298827.06,1104749084.82,1087976622.7,2490074400.83,1293250022.72,15997665.24,-34951195.66,2754881707.48,1028672701.43,6536179022.63,14245715683.41,6914879503.7,1.104745,1.1,None,1.09,None,None,None,None,17.56,6830845546.73,5135529679.3,7204361625.07,148889301.57,2,1.1,1.1,1.09,0.013301,0.012745,0.277125,12.9905,0.8229080000000001,945.1237,0.007609,0.494279,0.09055400000000001,1.592145,1.02315,0.889996,0.154837,0.456137,1.053046,0.912542,1.88686,31.0448,0.15379500000000002,0.013989,0.004704,23.4078,765.3061,0.010607,339.3985,0.077937,0.38096800000000003,0.079898,0.247816,0.19786,0.591267,0.169865,6.383355,0.906556,0.448091,0.408733,15.7807,-1.5063,197.8921,1.1103,3.2e-05,None,0.413041,26.66009,0.215648,0.051618000000000004,0.004215,0.001934,0.024813,0.003824,0.536436,0.010185999999999999,1.1,6.9149,2.7549,0.505721,0.1598,1.1,0.17559999999999998,2.1043,1.09,1087976622.7,2.7531,None,None,None,559191705.63,None,None,None,64036208.76,25517904.85,10362548.54,None,180248.18,4090.84,None,None,18254951.09,2219362.31,4193915.71,7.0413
10001425,2018-03-31 00:00:00,289580500.0,203958461.36,203910391.17,547228581.9,290009316.34,4089032.22,-428816.34,419008334.21,581443130.05,1533182546.21,14616656453.39,7175090013.38,0.203958,0.204,None,None,None,None,None,None,2.88,7329723555.13,5252890687.86,7315722633.63,31336310.06,2,0.204,0.204,None,0.013954,0.013386,0.07531399999999999,11.95,0.9157959999999999,1024.1053,0.0062109999999999995,0.499494,0.088255,None,1.002026,0.8482120000000001,0.150158,None,0.998082,0.896172,1.9135849999999999,None,0.032202,None,0.001062,27.9486,847.4576,0.002165,415.7044,0.013909,0.35692300000000005,0.014088,0.23262899999999997,0.18915500000000002,0.612922,0.132604,0.203305,0.027846000000000003,0.013909,0.387078,16.884,1.264,188.9729,0.2033,5.9e-05,None,-0.037093,-0.30020199999999997,0.17547000000000001,0.029209,0.0027329999999999998,0.000287,0.02061,0.0005729999999999999,0.079767,0.0021379999999999997,0.204,7.1751,0.419,0.500506,0.028399999999999998,0.204,0.0288,2.1043,None,203910391.17,2.9571,None,None,None,563280737.85,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.3009
10001425,2018-06-30 00:00:00,630524302.74,452661558.46,454981486.79,1144016969.82,634313450.48,7302347.73,-3789147.74,693262645.31,124843358.13,3147745596.27,14261930801.17,7088688311.53,0.45266,0.4527,None,0.455,None,None,None,None,6.2507,7069334984.21,4812785230.16,7049117175.93,59439938.65,2,0.4527,0.4527,0.455,0.014689,0.014057,0.154809,11.6272,0.90305,1160.7755,0.006503,0.505739,0.102896,1.7018,0.9773050000000001,0.8286100000000001,0.169061,0.43741,0.997197,0.870712,1.941156,29.7179,0.064893,0.007269,0.002208,27.738,815.2174,0.004529,397.4387,0.031817000000000005,0.36344,0.031836,0.25014800000000004,0.201514,0.607587,0.14416,5.905049,0.8186920000000001,0.414044,0.392413,16.4206,0.5572,181.439,0.4538,0.0,None,-0.040983,-0.286968,0.086493,-0.005978,0.002202,0.000486,0.015278,0.000983,0.144046,0.004417,0.4527,7.0887,0.6933,0.494261,0.0639,0.4527,0.06250700000000001,2.1043,0.455,454981486.79,2.8458,None,None,None,566494053.36,None,None,None,54938981.13,13060820.17,12038891.64,None,268595.82,30980.0,None,None,14367264.12,673600.29,4067125.14,7.2128
10001425,2018-09-30 00:00:00,948171313.56,688759613.06,691879238.13,1729259573.98,951859117.41,15600852.82,-3687803.85,1254912214.99,626200622.42,4663115877.11,14712693436.88,7342535854.63,0.688757,0.6888,None,None,None,None,None,None,9.26,7573946880.41,4666119050.03,7246450995.8,91139260.72,2,0.6888,0.6888,None,0.016232,0.015579,0.213598,12.6406,1.0374349999999999,1140.3544,0.00625,0.507469,0.123533,None,0.970562,0.7689509999999999,0.195772,None,0.9561360000000001,0.868391,1.953714,None,0.09494999999999999,None,0.003221,28.436,838.249,0.006474,417.0528,0.04686,0.37083799999999995,0.047616,0.26059,0.204125,0.6007399999999999,0.14785,0.6894410000000001,0.09234099999999999,0.04686,0.39926,15.1124,1.2564,182.3784,0.6894,0.0,None,-0.088531,-0.279756,0.063396,0.043434,0.0026910000000000002,0.000853,0.018202,0.001732,0.26894100000000004,0.006429000000000001,0.6888,7.3425,1.2549,0.49253100000000005,0.09380000000000001,0.6888,0.0926,2.1043,None,691879238.13,3.0819,None,None,None,554792558.45,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.4662
10001425,2018-12-31 00:00:00,1611442757.78,1220760055.73,1022358106.59,2536518200.33,1391165419.36,10284997.28,220277338.42,2376968062.68,757305966.01,5900332754.69,14451026421.73,7828645142.98,1.220755,1.2207,None,1.0224,None,None,None,None,16.63,7426645354.8,4954598526.59,6498509880.89,114420894.9,2,1.2207,1.2207,1.0224,0.014988999999999999,0.014440999999999999,0.34013,10.5842,1.0033029999999998,1508.3466,0.003186,0.550308,0.054494,2.086573,0.8171639999999999,0.8037030000000001,0.090103,0.408495,0.8832899999999999,0.722048,2.1642509999999997,26.3738,0.114755,0.014332000000000001,0.004112,31.3712,875.4864,0.008277,434.9402,0.084643,0.42989400000000005,0.085248,0.389172,0.23577700000000001,0.541786,0.207306,6.741922,0.8477760000000001,0.46653799999999995,0.45821399999999995,13.1668,14.3078,157.4067,1.2232,8e-06,None,-0.09728099999999999,0.101695,0.12940200000000002,0.014412000000000001,0.004029,0.001645,0.019433,0.0036580000000000002,0.47975,0.00787,1.2207,7.8286,2.377,0.449692,0.1559,1.2207,0.1663,2.1043,1.0224,1022358106.59,3.6139,None,None,None,549476702.91,None,None,None,12748593.5,48250993.84,15251619.02,None,66110.96,None,None,None,7350350.99,13835187.43,4059458.15,7.9525
10001425,2019-03-31 00:00:00,326483308.81,236549822.81,238987188.16,550456250.4,330359974.43,13802745.13,-3876665.62,529365600.88,-19254664.76,1623602556.35,15160550003.56,8068953122.42,0.236549,0.2365,None,None,None,None,None,None,2.93,7507328876.22,5434350595.5,6985261949.8,23604641.3,2,0.2365,0.2365,None,0.013815,0.013337000000000002,0.07849300000000001,11.466,0.9134950000000001,1483.1318,0.003919000000000001,0.539247,0.053593,None,0.8544360000000001,0.8515130000000001,0.0904,None,0.9361409999999999,0.764114,2.006294,None,0.038748,None,0.001097,23.227,820.4193,0.002174,413.9834,0.015532999999999998,0.339034,0.015905,0.249436,0.20347300000000001,0.6335649999999999,0.145041,0.235489,0.028805,0.015532999999999998,0.366435,14.5197,3.0403,168.6017,0.2355,3.2e-05,None,0.058975,0.158305,0.11975899999999999,0.037211,0.0032600000000000003,0.000349,0.022479,0.0007580000000000001,0.097411,0.002013,0.2365,8.0689,0.5294,0.46075299999999997,0.029300000000000003,0.2365,0.029300000000000003,2.0597,None,238987188.16,3.8495,None,None,None,563279448.04,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.1753
10001425,2019-06-30 00:00:00,685019600.88,494078158.14,495002941.47,1199181518.39,688405051.59,974997.92,-3385450.71,972263789.86,-277335023.57,3318243412.47,14867054267.86,7943901695.97,0.41173,0.4117,None,0.4125,None,None,None,None,6.0734,7319768993.67,4806731547.65,6820833112.8,52741285.92,2,0.4117,0.4117,0.4125,0.015227999999999998,0.014731000000000001,0.187332,9.6086,0.979362,1398.8299,0.005422,0.541212,0.091646,2.162365,0.8477060000000001,0.802158,0.144812,0.39018200000000003,0.9379909999999999,0.766724,1.993076,25.0287,0.079571,0.008811,0.002264,22.6213,795.053,0.0045000000000000005,400.0,0.033093,0.36139000000000004,0.033562,0.263141,0.20746099999999998,0.612086,0.148269,5.256316000000001,0.783921,0.42426699999999995,0.38791400000000004,14.5915,-0.3519,175.058,0.41,3.9e-05,None,0.054165,0.08421200000000001,0.11554500000000001,0.042428999999999994,0.00293,0.000654,0.019762,0.0014249999999999998,0.202271,0.004148,0.4117,6.6199,0.8102,0.458788,0.0622,0.4117,0.060734,1.5497,0.4125,495002941.47,3.0809,None,None,None,550451700.83,None,None,None,16469092.94,39128065.73,56159484.47,None,2971.07,None,None,None,4951058.64,8329226.01,10781516.89,6.7052
