公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
10001360,2017-03-31 00:00:00,18289022.82,13484798.19,10041149.11,63257622.5,16343346.92,873607.88,1945675.9,9308343.19,-42946849.67,186010465.27,2061044681.03,1256415486.03,0.051301,0.05,None,None,None,None,None,None,1.08,736355254.25,627880144.18,701884382.21,3715174.3,2,0.05,0.05,None,0.011728,0.010791,0.009207,97.7517,0.38412,592.279,0.003687,0.659452,0.019408,None,0.51641,0.9467749999999999,0.028589000000000003,None,0.9746380000000001,0.49139200000000005,2.2258869999999997,None,0.019836,None,0.000896,45.3721,1004.4643,0.0024679999999999997,364.6677,0.006417000000000001,0.340076,0.006367,0.10616400000000001,0.08786300000000001,0.647598,0.07109700000000001,0.050312,0.009729999999999999,0.006417000000000001,0.352402,26.6216,15.4152,345.8775,0.0503,0.001076,None,0.09145099999999999,0.009999000000000001,0.067715,0.048118,0.0005,4.4999999999999996e-05,0.007039,0.00013299999999999998,0.014825,0.001377,0.05,4.7799,0.0354,0.340548,0.010700000000000001,0.05,0.0108,1.6526,None,10041149.11,1.7171,None,None,None,61593828.46,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.1708
10001360,2017-06-30 00:00:00,66178231.79,51185566.3,49621968.14,160706757.76,66522919.84,1304762.35,-344688.05,60741196.86,202729828.25,418983441.4,2310390818.83,1672160868.78,0.17053,0.19,None,0.18,None,None,None,None,3.67,993923415.02,495557434.1,532282975.51,4690403.31,2,0.19,0.19,0.18,0.020057000000000002,0.01883,0.021863,82.3309,0.9834539999999999,1510.9284,None,0.769613,None,4.241861,0.299354,None,None,0.580434,0.7403749999999999,0.27869900000000003,None,18.1433,0.041044,0.010021,0.001903,43.8554,945.8749,0.004749,379.0272,0.022915,0.383564,0.024045,0.184782,0.158772,0.604721,0.12636,1.185874,0.200183,0.154064,0.39527900000000005,23.8354,1.4507,242.8393,0.1764,0.005844,None,0.09845000000000001,-0.046252,0.362352,0.160002,0.00145,0.000263,0.011473,0.0011409999999999999,0.122571,0.0026850000000000003,0.19,5.571,0.2024,0.23038699999999998,0.030600000000000002,0.19,0.036699999999999997,2.6787,0.18,49621968.14,1.5293,None,None,None,60682298.5,None,None,None,26223733.11,14807204.93,13161050.32,None,720302.41,1133954.33,None,None,11809808.44,8994626.42,12114316.32,5.9239
10001360,2017-09-30 00:00:00,100720499.29,78202846.99,72744051.78,249186937.5,100866511.76,-3526738.89,-146012.47,91758130.83,187184398.07,667917532.31,2330137079.1,1700641137.09,0.26054,0.28,None,None,None,None,None,None,5.24,1003497285.01,475280275.94,515486878.74,5326752.45,2,0.28,0.28,None,0.021114,0.019710000000000002,0.03167,85.2542,0.992494,1990.8425,None,0.778774,None,None,0.28407,None,None,None,0.731072,0.261913,None,None,0.063564,None,0.00302,42.4769,894.0397,0.007529,358.6134,0.035151,0.37308,0.037033,0.17667200000000002,0.15101599999999998,0.615528,0.12263,0.27288,0.045136,0.035151,0.38447200000000004,22.6627,-3.6465,247.4044,0.2729,0.00034,None,0.12297599999999999,-0.09113500000000001,0.353102,0.16078,0.001374,0.000394,0.011203000000000001,0.00178,0.193061,0.0042309999999999995,0.28,5.6659,0.3057,0.22122599999999998,0.046,0.28,0.0524,2.6787,None,72744051.78,1.6191,None,None,None,48131520.43,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0457
10001360,2017-12-31 00:00:00,150413164.7,118892403.53,107871665.17,373048790.26,144520633.6,1419047.41,5892531.1,142375878.21,256676907.21,956501182.81,2418891174.71,1743340766.28,0.396102,0.41,None,0.37,None,None,None,None,7.93,1075507264.17,536996896.48,574730999.82,7979597.66,2,0.41,0.41,0.37,0.020028,0.01869,0.048117,74.8176,1.009601,1984.9718,None,0.762399,None,3.819751,0.311649,None,None,0.596745,0.7284529999999999,0.291188,None,19.9594,0.083995,0.021259999999999998,0.00424,42.8597,849.0566,0.010361,347.4568,0.05086,0.39001399999999997,0.054531,0.184741,0.151093,0.5906790000000001,0.12862,1.496813,0.243622,0.18573699999999999,0.409321,24.1224,4.861,248.0161,0.4099,0.000134,None,0.14434,0.316238,0.37388599999999994,0.155564,0.001489,0.000589,0.011573,0.002477,0.265134,0.006004000000000001,0.41,5.8081,0.4743,0.237601,0.0682,0.41,0.0793,2.6813,0.37,107871665.17,1.7446,None,None,None,51067067.78,None,None,None,20139776.36,5415225.4,23226229.21,None,1220857.57,717215.18,None,None,15805333.98,12499822.43,22245448.56,6.144
10001360,2018-03-31 00:00:00,14942915.14,13219770.87,12307938.18,52422170.36,15107709.17,5107673.36,-164794.03,-7294879.22,-54090265.56,169225154.59,2423479297.03,1756779750.14,0.044043,0.04,None,None,None,None,None,None,0.76,1088400300.87,530477168.75,567769655.26,281260.69,2,0.04,0.04,None,0.020516999999999997,0.019144,0.007869000000000001,114.3729,0.913057,5412.8346,None,0.7657210000000001,None,None,0.305958,None,None,None,0.719444,0.285862,None,None,0.015894,None,0.0006990000000000001,56.6251,1287.5536,0.001564,575.4476,0.004789,0.309778,0.004793,0.093348,0.089276,0.6797110000000001,0.068583,0.038666,0.006253999999999999,0.004789,0.320289,25.5724,33.0784,350.8162,0.0387,5.999999999999999e-06,None,-0.090239,-0.12241199999999999,0.36533499999999997,0.17585,-0.000431,-3e-05,-0.006285,-0.000128,-0.013752,0.000915,0.04,5.8529,-0.0243,0.23427900000000002,0.0075,0.04,0.0076,2.6813,None,12307938.18,1.7887,None,None,None,55174741.14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.1825
10001360,2018-06-30 00:00:00,85505698.06,72168373.78,71676539.68,166083067.07,85603061.51,21052286.36,-97363.45,73093501.34,-8738902.61,448060340.58,2494717896.17,1814066598.05,0.240436,0.24,None,0.24,None,None,None,None,4.06,1159752102.12,543619459.09,581954237.56,817598.45,2,0.24,0.24,0.24,0.021334,0.019978,0.019582,91.9212,0.978086,10558.1532,None,0.766725,None,4.171809,0.304248,None,None,0.566783,0.697925,0.284206,None,18.3787,0.037779,0.009519999999999999,0.001824,47.6455,986.8421,0.0040089999999999995,448.9898,0.028981,0.37067100000000003,0.029428999999999997,0.224515,0.191053,0.613794,0.16136199999999998,1.408433,0.22101500000000002,0.169458,0.14785299999999998,22.0659,24.507,194.2363,0.2409,1e-06,None,0.069399,0.365628,0.07573,0.079782,0.0016309999999999999,0.000293,0.01011,0.001256,0.134457,0.002385,0.24,6.0437,0.2435,0.233275,0.0398,0.24,0.0406,2.6813,0.24,71676539.68,1.9851,None,None,None,66396028.83,None,None,None,17864930.15,5554979.9,20862200.26,None,692421.47,393685.85,None,None,14928132.17,12385322.03,20194138.96,6.3726
10001360,2018-09-30 00:00:00,3204486723.12,2463275203.69,329055135.49,7399400390.6,3270754396.31,159283377.76,-66267673.19,5216941936.98,201679364.32,44828005152.83,58840961502.13,16132053882.36,1.166113,1.17,None,None,None,None,None,None,17.67,11873029818.1,28661703304.01,39450073283.92,1045654967.31,2,1.17,1.17,None,0.004142,0.00366,0.637811,4.2332,0.096679,406.4574,-0.0032719999999999997,0.32954700000000003,0.09335900000000001,None,2.0344640000000003,1.887457,0.220756,None,2.422165,1.761397,1.451036,None,0.507214,None,0.014635,5.3232,184.4892,0.06924000000000001,38.9948,0.049012,0.165062,0.094153,0.078738,0.072962,0.823761,0.064333,1.36524,0.148725,0.049012,0.17623899999999998,7.2934,2.9027,230.9075,1.3652,1e-06,None,66.116078,34.209607999999996,9.685744,24.252145999999996,0.001164,0.000887,0.01809,0.001322,0.18201799999999999,0.042221,1.17,7.6369,2.4697,0.670453,0.1527,1.17,0.17670000000000002,2.73,None,329055135.49,2.9097,None,None,None,783959152.11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.1796
10001360,2018-12-31 00:00:00,4416117126.25,3549309194.46,1265741797.81,10481481046.15,4789344948.33,254230771.23,-373227822.08,8320036839.31,601748032.85,54687226527.65,58956649339.25,17020291456.74,1.680241,1.68,None,1.2,None,None,None,None,24.13,12091670127.59,30614442648.08,38665642458.58,1390508337.21,2,1.68,None,1.2,0.00395,0.003477,0.839145,4.2901,0.10259700000000001,417.5901,-0.0025700000000000002,0.34416800000000003,0.080754,0.665591,1.905556,1.8707079999999998,0.190045,0.583628,2.309643,1.7434049999999999,1.404668,51.7087,0.573433,0.035318,0.017821,6.278,202.0089,0.083066,43.339,0.06695000000000001,0.191662,0.128623,0.089588,0.087577,0.796536,0.07217699999999999,12.164622999999999,1.266389,0.435851,0.20346399999999998,9.3032,-2.6946,237.3461,1.8686,1e-06,None,56.174237999999995,31.08418,10.002844,23.37342,0.0015210000000000002,0.001411,0.021079,0.002152,0.271768,0.049412000000000005,1.68,8.0574,3.9387,0.6558320000000001,0.20850000000000002,None,0.2413,2.7039,1.2,1265741797.81,3.3149,None,None,None,846181959.14,None,None,None,60809206.54,93147099.84,148346944.4,None,1504589.27,2228042.37,None,None,99071055.82,100399156.41,69040170.8,9.6058
10001360,2019-03-31 00:00:00,1138857233.9,909432969.64,828986606.34,2232980917.4,1128927877.13,-8166011.6,9929356.77,2337398079.79,-705159765.14,11751081062.43,57685002142.98,17384084062.82,0.418628,0.43,None,None,None,None,None,None,5.65,10098783125.79,29811248094.79,37229827843.75,317459289.2,2,0.43,0.43,None,0.003388,0.0029360000000000002,0.102751,8.759,0.081707,458.7412,-0.002067,0.35460099999999994,0.070634,None,1.820069,1.939942,0.166106,None,2.3263659999999997,1.6565880000000002,1.398595,None,0.067051,None,0.0020150000000000003,13.4226,446.6501,0.010591,84.9778,0.016589,0.19002300000000003,0.016408,0.108229,0.09606999999999999,0.7969310000000001,0.081432,0.44048299999999996,0.046780999999999996,0.016589,0.203069,8.5489,0.1548,196.0721,0.4405,7e-06,None,68.44051,81.45034,10.022831,22.802556,0.001989,0.00040500000000000003,0.024426999999999997,0.000628,0.078407,0.005768,0.43,8.0022,1.0759,0.6453990000000001,0.052300000000000006,0.43,0.0565,2.7698,None,828986606.34,3.6126,None,None,None,836169726.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.4159
10001360,2019-06-30 00:00:00,2311369351.5,1925673109.51,1829301937.37,4830674247.35,2298316624.93,13793231.06,13052726.57,4204314968.82,-90051779.01,30505444958.05,58993417650.56,17321453970.45,0.886422,0.89,None,0.85,None,None,None,None,10.72,11066887704.93,28275428034.62,38589937362.46,606606352.08,2,0.89,0.89,0.85,0.003914,0.003458,0.22631199999999999,7.9536,0.108195,481.0328,-0.003683,0.34586,0.10742499999999999,0.680716,1.891341,1.792258,0.236993,0.570032,2.348939,1.6964169999999998,1.408348,50.8083,0.185415,0.010091000000000001,0.005173,9.708,347.9606,0.026345,68.3242,0.033624999999999995,0.158354,0.033636,0.08339600000000001,0.07534099999999999,0.832028,0.065027,11.32027,1.205299,0.41686500000000004,0.167972,6.6904,1.1615,208.9962,0.9131,None,None,67.083341,26.436541000000002,9.667016,22.64733,0.001378,0.000713,0.021195,0.001089,0.148691,0.014992,0.89,7.9734,1.9353,0.65414,0.1112,0.89,0.1072,2.7635,0.85,1829301937.37,3.5804,None,None,None,860528059.06,None,None,None,108448885.54,46505409.38,156369869.95,None,5488523.6,2196185.01,None,None,138080202.47,131349071.86,81199394.49,9.3921
