公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
10001372,2021-06-30 00:00:00,纯苯,元,人民币,574838478.76,None,None,515911385.29,None,None,None
10001372,2021-06-30 00:00:00,己二酸,元,人民币,692264727.58,None,None,635315398.37,None,None,None
10001372,2021-06-30 00:00:00,甲醇,元,人民币,181891078.25,None,None,229676452.18,None,None,None
10001372,2021-06-30 00:00:00,聚甲醛,元,人民币,303426844.07,None,None,207243796.74,None,None,None
10001372,2021-06-30 00:00:00,贸易,元,人民币,92725697.99,None,None,91273189.08,None,None,None
10001372,2021-06-30 00:00:00,内部抵销,元,人民币,-1927045943.71,None,None,-1921221891.05,None,None,None
10001372,2021-06-30 00:00:00,其他(补充),元,人民币,48083783.22,None,None,17922917.19,None,None,None
10001372,2021-06-30 00:00:00,其他煤化工产品,元,人民币,1943719477.07,None,None,2067240411.1,None,None,None
10001372,2021-06-30 00:00:00,其他洗煤,元,人民币,156323640.81,None,None,108844852.43,None,None,None
10001372,2021-06-30 00:00:00,洗混块,元,人民币,82684626.59,None,None,48665841.76,None,None,None
10001372,2021-06-30 00:00:00,洗精煤,元,人民币,2257539821.76,None,None,1161694270.48,None,None,None
10001372,2021-06-30 00:00:00,冶金焦,元,人民币,6541071674.45,None,None,5182862717.93,None,None,None
