公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80084052,2017-03-31 00:00:00,40002010.6,29810358.72,26958864.39,170524527.26,39501050.83,2897283.17,500959.77,184487978.8,26837043.49,2168150321.69,10559300100.62,2765104126.6,0.032054,0.03,None,None,None,None,None,None,1.08,4747454542.8,5315084374.72,6099471873.61,32242522.13,2,0.03,None,None,0.008932,0.0071979999999999995,0.024524,36.6987,0.299254,224.066,-0.012084999999999999,0.42235999999999996,0.064966,None,1.367647,1.129429,0.133312,None,1.3031549999999998,1.3455860000000002,1.670237,None,0.026498,None,0.002044,33.9648,440.3131,0.004503,199.8668,0.003507,0.07865,0.003491,0.018767,0.018219,0.919635,0.017078,0.039813999999999995,0.008302,0.003507,0.080365,6.1767,8.4952,426.2899,0.0398,None,0.010346,0.983816,37.986393,0.057340999999999996,0.030539999999999998,0.000851,0.00017500000000000003,0.049825,0.000302,0.03471,0.004882,0.03,2.9732,0.1984,0.57764,0.0108,None,0.0108,0.6934,None,26958864.39,1.143,None,None,None,60565981.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.7955
80084052,2017-06-30 00:00:00,145270508.5,92650648.8,86418989.17,431874641.2,144641479.44,6836993.63,629029.06,417528076.1,69759780.75,5097160616.16,10121314682.35,2826926287.31,0.099624,0.1,None,0.09,None,None,None,None,3.33,4330179402.03,5028876231.05,5582650649.72,71116367.68,2,0.1,None,0.09,0.008611,0.007513,0.058977,30.5204,0.299964,304.2716,-0.0067269999999999995,0.448426,0.046437,1.262103,1.230021,1.156224,0.09383699999999999,0.628004,1.275956,1.211563,1.7436600000000002,35.5301,0.081995,0.013905,0.004907,21.9526,366.8229,0.011065,162.6751,0.011512,0.084728,0.011217,0.029152,0.028377,0.9132899999999999,0.022858999999999997,2.415765,0.49500500000000003,0.22197299999999998,0.08671,6.2371,5.1394,297.29,0.1253,None,0.024243,1.163901,None,0.083873,0.080706,0.000819,0.000413,0.035834000000000005,0.0007480000000000001,0.083026,0.011377,0.1,3.0397,0.449,0.551574,0.032799999999999996,None,0.0333,0.6934,0.09,86418989.17,1.2106,None,None,None,64505692.26,None,None,None,2811413.81,13928807.85,687228.16,None,14797602.73,355728.2,None,None,959644.0,4041.0,1611404.2,4.8803
80084052,2017-09-30 00:00:00,252235831.15,168435230.55,138682679.01,721897926.9,243932501.16,12961988.31,8303329.99,515394705.9,125130340.82,7714506230.88,10925778867.3,2903109381.74,0.181113,0.18,None,None,None,None,None,None,5.98,4830751435.25,5682295283.37,6290027968.07,116502944.91,2,0.18,None,None,0.008501,0.007557,0.095049,28.4064,0.330738,316.506,-0.005285,0.424295,0.041186999999999994,None,1.3568520000000002,1.198452,0.088483,None,1.314788,1.322827,1.695216,None,0.12461,None,0.00715,21.6676,377.6224,0.015884,169.9824,0.019503,0.093577,0.019749000000000003,0.033521999999999996,0.03162,0.904361,0.027621000000000003,0.229123,0.045965,0.019503,0.095639,6.8949,8.4307,286.1996,0.2291,None,0.045468,1.140524,6.363837,0.09833299999999999,0.121668,0.000668,0.000472,0.024187,0.000819,0.090702,0.017035,0.18,3.1216,0.5542,0.575705,0.057999999999999996,None,0.059800000000000006,0.6934,None,138682679.01,1.2921,None,None,None,70630686.94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.9847
80084052,2017-12-31 00:00:00,376619216.82,247628116.98,244416585.66,1073426912.34,377612497.83,21149508.22,-993281.01,677243941.24,1236052868.87,9583475390.22,14021769567.34,5394438895.54,0.19752,0.25,None,0.25,None,None,None,None,6.93,6547394046.16,6285936918.6,6871101352.24,174259782.9,2,0.25,None,0.25,0.010416000000000002,0.009467999999999999,0.136355,26.4017,0.468074,316.1251,0.0040160000000000005,0.509969,0.007488,1.932429,0.960903,1.030143,0.014471000000000001,0.619376,1.04527,0.8937539999999999,2.096245,26.39,0.143934,0.025777,0.007768000000000001,25.0115,463.4398,0.016768,214.6947,0.022608000000000003,0.112008,0.025693999999999998,0.040689,0.039402,0.88575,0.033077999999999996,2.066683,0.36233899999999997,0.184782,0.11425,7.784,5.3519,285.0165,0.2529,None,0.10692700000000001,0.724133,0.366479,0.617236,0.316196,0.000707,0.00048300000000000003,0.021364,0.000986,0.10773999999999999,0.016563,0.25,4.3029,0.5402,0.49003100000000005,0.045899999999999996,None,0.0693,2.3071,0.25,244416585.66,0.8793,None,None,None,70051083.56,None,None,None,5785476.1,9242652.44,None,None,2762001.39,None,None,None,1000.0,None,2067604.2,5.7037
80084052,2018-03-31 00:00:00,112765848.31,76206137.68,69216622.69,280079687.31,112740348.31,5779162.79,25500.0,8681043.58,-1110470288.41,2209621578.18,14562154627.47,5471250074.18,0.060786,0.06,None,None,None,None,None,None,1.4,6980473551.91,6441287361.5,7304899701.4,49674442.36,2,0.06,None,None,0.010837000000000001,0.008962,0.058315,15.4334,0.262185,327.0098,0.0019470000000000002,0.498364,0.007209999999999999,None,1.006565,1.029804,0.014261999999999999,None,1.044704,0.902034,2.131812,None,0.021307999999999997,None,0.0015459999999999998,42.2377,582.1475,0.003267,275.4821,0.00726,0.126755,0.007397,0.053552,0.051022,0.869695,0.047843,0.084323,0.014567000000000002,0.00726,0.130305,7.9728,5.1475,248.3728,0.0843,None,0.061902,0.019127,1.8550229999999999,0.62725,0.37908299999999995,3.9e-05,5.999999999999999e-06,0.0008210000000000001,1.1999999999999999e-05,0.001348,0.003067,0.06,4.3641,0.0069,0.501636,0.0139,None,0.013999999999999999,2.3071,None,69216622.69,0.9401,None,None,None,74668602.52,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.7887
80084052,2018-06-30 00:00:00,147850754.77,104980585.34,82599393.11,492275578.19,147808431.77,21959873.23,42323.0,75473186.63,-879993713.77,4542503926.57,14620234710.48,5482192638.06,0.083738,0.08,None,0.07,None,None,None,None,1.93,6960889908.37,6494009344.87,7374607823.64,96026724.9,2,0.08,None,0.07,0.010719000000000001,0.009282,0.094319,19.0842,0.28323,253.9683,0.0014990000000000001,0.495589,0.004788,2.029436,1.017801,1.0469840000000001,0.009569,0.596658,1.057099,0.9059269999999999,2.132991,24.42,0.052771,0.012496,0.003172,34.1096,567.4653,0.006725999999999999,267.6182,0.009023999999999999,0.108371,0.009212,0.033332,0.032539,0.888427,0.029043,2.030368,0.351307,0.17410399999999998,0.11157299999999999,8.4847,14.8814,332.9544,0.1052,None,0.22767199999999999,-0.108817,0.132258,0.596423,0.4445,0.000166,5.2e-05,0.005721,0.00010200000000000001,0.011621999999999999,0.006311,0.08,4.3729,0.0602,0.5044109999999999,0.0191,None,0.019299999999999998,2.3148,0.07,82599393.11,0.943,None,None,None,80846573.24,None,None,None,None,3321661.6,3488437.16,None,18736134.43,144770.0,None,None,None,None,293404.2,5.7795
80084052,2018-09-30 00:00:00,292179567.74,203280339.97,140698770.82,814844740.54,291790127.94,55532329.43,389439.8,29967988.95,-713919124.33,7325021790.6,14198845983.76,5579401355.43,0.162146,0.16,None,None,None,None,None,None,3.7,6414044547.89,5934251322.13,6818935004.73,158325553.44,2,0.16,None,None,0.010809,0.009388,0.125171,21.5705,0.368346,284.5435,0.001459,0.519754,0.00493,None,0.923986,1.0449519999999999,0.009396,None,1.054864,0.8135939999999999,2.26206,None,0.09015599999999999,None,0.005191,29.9481,520.131,0.011303,238.8746,0.018816,0.111241,0.018935,0.041299,0.039834999999999995,0.885676,0.036474,0.213109,0.036203,0.018816,0.114324,7.7078,19.1395,278.8849,0.2131,0.0,0.60362,-0.050487000000000004,0.253831,0.591956,0.299573,4.1e-05,2.1e-05,0.001122,4.4000000000000006e-05,0.00505,0.010082,0.16,4.4504,0.0239,0.480246,0.0364,None,0.037000000000000005,2.3148,None,140698770.82,1.0214,None,None,None,87951035.47,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.8866
80084052,2018-12-31 00:00:00,529749519.58,325266142.56,305361125.16,1344274137.05,537080479.43,62351277.55,-7330959.85,471156743.1,-192753592.17,10472302549.73,14520413417.1,5702964225.12,0.259448,0.26,None,0.24,None,None,None,None,5.86,6616164610.18,6228541452.15,6950129678.01,240202049.41,2,0.26,None,0.24,0.010622,0.009255,0.174494,20.6311,0.43709400000000004,320.5433,0.000903,0.521355,0.00241,1.236675,0.9180800000000001,1.03931,0.004602,0.7013769999999999,1.0441150000000001,0.827385,2.21867,42.1578,0.125401,0.021324999999999997,0.007338,28.7079,490.5969,0.015910999999999998,226.2586,0.031317,0.12836499999999998,0.031863999999999996,0.053244,0.051286,0.866664,0.043422999999999996,2.441649,0.40435200000000004,0.210811,0.133336,7.8445,10.3861,253.7566,0.3627,0.0,0.685378,0.092746,0.434494,0.058682,0.035562,0.00045,0.00032399999999999996,0.010361,0.000678,0.075645,0.014228000000000001,0.26,4.549,0.3758,0.478645,0.057,None,0.058600000000000006,2.3151,0.24,305361125.16,1.0964,None,None,None,80625972.94,None,None,None,None,298001.6,None,None,23133195.7,10391.66,None,None,307107.51,1000.0,1000.0,6.0384
80084052,2019-03-31 00:00:00,47557302.21,27099206.63,8912876.02,243106428.87,47547302.21,17932913.98,10000.0,1693187.8,-455240234.3,2520662443.58,13618492474.64,5729746825.58,0.021616,0.02,None,None,None,None,None,None,0.47,5432114653.68,5415299645.7,6010520476.81,57129763.37,2,0.02,None,None,0.010031000000000002,0.008625,0.041452,21.7119,0.411971,183.2444,0.020815,0.55865,0.0025700000000000002,None,0.790029,1.071099,0.004579,None,1.076026,0.7163930000000001,2.384579,None,0.028137,None,0.001792,31.9864,502.2321,0.004184,215.1052,0.002762,0.096445,0.002673,0.019109,0.018863,0.900137,0.014921,0.030001000000000003,0.0049440000000000005,0.002762,0.099863,8.3781,37.729,511.1863,0.03,None,0.177821,0.140767,-0.644216,0.048326,-0.064802,7e-06,1e-06,0.00045,2.9999999999999997e-06,0.000313,0.003321,0.02,4.5703,0.0014,0.44134999999999996,0.004699999999999999,None,0.004699999999999999,2.3151,None,8912876.02,1.118,None,None,None,97880368.17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0685
80084052,2019-06-30 00:00:00,-5869267.87,-20934829.91,-28782642.05,382351196.11,-5879547.87,-21397218.44,10280.0,1089058481.39,269787336.6,4961165231.83,14518588726.13,5615688171.57,-0.012845,-0.01,None,-0.02,None,None,None,None,-0.37,6016506867.89,6557615061.69,7030221969.81,64085509.03,2,-0.01,None,-0.02,0.009174999999999999,0.008199999999999999,0.107059,16.8132,0.48755000000000004,90.8415,-0.0006469999999999999,0.5157780000000001,0.002411,1.2683740000000001,0.9388190000000001,1.13009,0.004652,0.6750700000000001,1.135372,0.880381,2.108405,40.6645,0.061239999999999996,0.008251,0.003417,29.3926,526.7779,0.007854,229.1826,-0.001046,0.077069,-0.001046,-0.001187,-0.0011849999999999999,0.9198609999999999,-0.0030620000000000005,1.7342920000000002,0.377456,0.194684,0.080139,7.3772,364.3885,-6514.4615,-0.0093,None,-0.22158,0.092165,-1.115132,0.033502000000000004,-0.006952000000000001,0.002195,0.00075,None,0.001549,0.16607500000000003,0.006589,-0.01,3.4457,0.6682,0.484222,-0.0037,None,-0.0037,1.5501,-0.02,-28782642.05,0.7909,None,None,None,89317055.3,None,None,None,None,None,687228.16,None,4398211.59,7677.36,None,None,15973601.36,99148240.35,2000.0,4.5947
