公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80084052,2021-12-31 00:00:00,BDO,元,人民币,1125348516.74,None,None,773117095.2,None,None,None
80084052,2021-12-31 00:00:00,LNG,元,人民币,565961101.28,None,None,392533398.17,None,None,None
80084052,2021-12-31 00:00:00,粗苯,元,人民币,295170179.34,None,None,211346921.46,None,None,None
80084052,2021-12-31 00:00:00,合成氨,元,人民币,720264552.01,None,None,374711611.04,None,None,None
80084052,2021-12-31 00:00:00,甲醇,元,人民币,131006663.14,None,None,69089771.01,None,None,None
80084052,2021-12-31 00:00:00,焦炭,元,人民币,14307905168.63,None,None,13818193471.17,None,None,None
80084052,2021-12-31 00:00:00,焦油,元,人民币,717427638.83,None,None,246429669.07,None,None,None
80084052,2021-12-31 00:00:00,精煤,元,人民币,798396449.03,None,None,385714306.09,None,None,None
80084052,2021-12-31 00:00:00,其他,元,人民币,92906215.59,None,None,38397996.51,None,None,None
80084052,2021-12-31 00:00:00,其他（补充）,元,人民币,90206840.72,None,None,22300929.06,None,None,None
80084052,2021-12-31 00:00:00,中煤,元,人民币,50653426.49,None,None,23763066.93,None,None,None
