公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80088502,2017-03-31 00:00:00,369386709.38,310787310.9,270817507.95,541470004.52,323689050.86,9595187.71,45697658.52,369958921.83,274420294.81,1586769072.5,20450911395.86,7012220396.23,0.25899,0.26,None,None,None,None,None,None,4.58,3489421473.23,3737760522.58,9111865580.4,62997689.15,2,0.26,0.26,None,0.009336,0.008438,0.037755000000000004,23.8379,0.358653,686.3496,-0.060891,0.554452,0.07394099999999999,None,0.803583,1.319836,0.11766700000000001,None,1.495848,0.46299500000000005,2.376671,None,0.027729,None,0.00078,32.457,1153.8462,0.004713,190.9612,0.016233,0.34124099999999996,0.016319999999999998,0.290244,0.203993,0.614035,0.20921199999999998,0.276642,0.029277,0.016233,0.385965,14.3295,14.9688,146.5862,0.2766,None,None,0.491833,None,0.057071,-0.016356,0.002332,0.000181,0.011144000000000001,0.00040599999999999995,0.098979,0.0014249999999999998,0.26,5.8435,0.3083,0.445548,0.0443,0.26,0.0458,2.6957,None,270817507.95,1.3184,None,None,None,633555901.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.4492
80088502,2017-06-30 00:00:00,663516679.42,480362113.36,445946061.16,1137598959.11,595096955.01,2279162.73,68419724.41,755481811.89,153704250.73,3189407717.4,20530382028.41,7085250767.76,0.400302,0.4,None,0.37,None,None,None,None,6.95,3675467918.04,3809409686.43,9105188676.52,157944124.52,2,0.4,0.4,0.37,0.009648,0.008598,0.07112199999999999,25.3086,0.303159,520.0958,-0.10779899999999999,0.5565019999999999,0.070329,2.011858,0.79694,1.309723,0.11219799999999999,0.7042529999999999,1.475241,0.459799,2.390994,27.6611,0.049852,0.005573,0.001565,36.1069,1150.1597,0.009219,195.2489,0.025528,0.35668,0.025715,0.256931,0.186585,0.599836,0.164327,2.4241159999999997,0.25460699999999997,0.141689,0.40016399999999996,16.6383,10.6552,171.4499,0.4368,None,None,0.672751,None,0.067069,0.020525,0.002369,0.000368,0.014415,0.00083,0.19832,0.002853,0.4,5.9044,0.6296,0.443498,0.0678,0.4,0.0695,2.6957,0.37,445946061.16,1.4597,None,None,None,459371523.9,None,None,None,None,None,None,None,None,None,None,None,3943268.12,1490453.87,2844300.0,9.521
80088502,2017-09-30 00:00:00,884473521.32,629292404.56,595874850.15,1648380483.61,795519014.76,2279162.73,88954506.56,1042198344.28,-33598332.78,4503155165.73,20331476933.55,7266870581.26,0.524411,0.52,None,None,None,None,None,None,9.04,3428933697.02,3430465133.8,8691485451.9,258799792.31,2,0.52,0.52,None,0.009996,0.008819,0.116143,23.2472,0.282047,441.7597,-9.0091,0.572511,0.06785999999999999,None,0.746692,1.29823,0.105969,None,1.4521100000000002,0.41324399999999994,2.570555,None,0.06873599999999999,None,0.00222,39.2807,1216.2162,0.013496999999999999,200.0445,0.034352,0.36605,0.034436,0.239589,0.176658,0.5882930000000001,0.155099,0.582029,0.060003,0.034352,0.411707,18.5837,10.315,186.3686,0.582,None,None,0.500792,None,0.081623,-0.017201,0.002314,0.000513,0.014922,0.001199,0.303807,0.0039889999999999995,0.52,6.0557,0.8685,0.427489,0.0866,0.52,0.0904,2.6957,None,595874850.15,1.5838,None,None,None,445795346.88,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.7
80088502,2017-12-31 00:00:00,946286377.05,624928487.85,640580911.04,2266568931.8,988630560.57,-111427574.93,-42344183.52,1768678088.04,449783967.31,5575638644.32,20516441034.13,7466318494.8,0.520774,0.52,None,0.53,None,None,None,None,8.99,3476438688.44,3550997878.43,8685799264.42,304289111.42,2,0.52,0.52,0.53,0.00979,0.008499,0.211649,17.0093,0.40859900000000005,410.9827,-0.184608,0.576642,0.067089,2.055996,0.734178,1.2902189999999998,0.104219,0.718561,1.440328,0.416497,2.547694,28.0468,0.073329,0.009677999999999999,0.002737,49.0938,1315.3087,0.016593,216.959,0.035287,0.406513,0.035533,0.213587,0.177313,0.543103,0.12984400000000001,2.481434,0.251695,0.145138,0.45760100000000004,20.1121,-16.25,239.5225,0.6033,None,None,0.092571,56.297287,0.081735,0.014036999999999999,0.003172,0.000862,0.024430999999999998,0.002036,0.49807899999999994,0.0048980000000000004,0.52,6.2219,1.4739,0.423358,0.0837,0.52,0.08990000000000001,2.7268,0.53,640580911.04,1.5366,None,None,None,331540521.04,None,None,None,30972124.56,None,None,None,28168883.57,None,None,None,111453.19,23245164.56,2060000.0,9.8589
80088502,2018-03-31 00:00:00,393720643.89,269687137.55,254934250.92,672021213.86,400170218.44,None,-6449574.55,770887257.24,414642611.36,1446131298.9,20821868133.74,7764788483.92,0.22474,0.22,None,None,None,None,None,None,3.54,3792293668.86,3611223627.89,8657176827.0,58807269.73,2,0.22,0.22,None,0.010501,0.009441,0.048384,18.6012,0.516606,769.5102,0.072559,0.5842269999999999,0.063098,None,0.711664,1.2634610000000002,0.097475,None,1.3999180000000002,0.40486400000000006,2.6116520000000003,None,0.016409,None,0.0007000000000000001,54.8479,1285.7143,0.003979,226.1875,0.014371,0.46470300000000003,0.014477,0.363843,0.276718,0.47753100000000004,0.20691500000000002,0.24935500000000002,0.024598,0.014371,0.518906,21.2987,-1.6381,170.6848,0.2494,None,None,-0.088632,-0.098637,0.07281399999999999,0.018139000000000002,0.005331,0.00037,0.025762999999999998,0.00089,0.21347000000000002,0.001205,0.22,6.4707,0.6424,0.415773,0.0347,0.22,0.0354,2.7268,None,254934250.92,1.7613,None,None,None,318689805.79,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.1373
80088502,2018-06-30 00:00:00,885928525.49,637974366.76,630779601.99,1460546783.32,906915527.9,-350358.42,-20987002.41,1693019684.4,849460883.49,3004932198.69,21015808946.56,7945912904.72,0.531646,0.53,None,0.53,None,None,None,None,8.28,4101639268.65,3616268252.8,8625535868.38,105989970.48,2,0.53,0.53,0.53,0.011342000000000001,0.010377,0.09818099999999999,18.3335,0.636124,935.8607,0.027176999999999996,0.589569,0.062767,1.5386429999999998,0.6961539999999999,1.233767,0.096219,0.787482,1.365117,0.398326,2.646281,38.3175,0.034147,0.004353,0.001447,52.7133,1243.953,0.007931,226.9575,0.033603,0.48605,0.034007,0.410671,0.301809,0.458975,0.235013,2.399497,0.23239100000000001,0.137011,0.537837,20.396,-2.4085,164.8606,0.5885,0.0027189999999999996,None,-0.057839999999999996,0.347434,0.08446899999999999,0.023644,0.005634,0.0008060000000000001,0.023974000000000002,0.001963,0.46816800000000003,0.0024809999999999997,0.53,6.6216,1.4109,0.41043100000000005,0.0803,0.53,0.0828,2.7268,0.53,630779601.99,1.9082,None,None,None,315473425.38,None,None,None,35486131.61,None,None,None,29489655.89,None,None,None,621102.07,21924208.77,3415000.0,10.3252
80088502,2018-09-30 00:00:00,1284175419.97,907628976.72,910835926.6,2165318452.75,1326149922.43,-350358.42,-41974502.46,2338829284.02,1073524044.66,4318829539.55,21001291237.7,8234846963.3,0.756359,0.76,None,None,None,None,None,None,11.5,4190501998.93,2243743426.47,8047159623.06,162368873.66,2,0.76,0.76,None,0.018675999999999998,0.017005,0.17651399999999998,15.2962,1.125111,890.9,0.010592999999999998,0.616825,0.09819000000000001,None,0.621204,1.119506,0.137326,None,1.297716,0.332393,3.0320080000000003,None,0.045662,None,0.00208,59.1301,1298.0769,0.011266,239.6592,0.04832,0.501367,0.048884,0.415447,0.307062,0.44073300000000004,0.234965,0.845646,0.078336,0.04832,0.559267,21.7086,-3.2959,168.6155,0.8456,None,None,-0.040933000000000004,0.452928,0.112899,0.032945,0.005415,0.001114,0.023048000000000003,0.002906,1.042378,0.003485,0.76,6.8624,1.949,0.38317500000000004,0.11019999999999999,0.76,0.115,2.7268,None,910835926.6,2.1329,None,None,None,329280766.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.7951
80088502,2018-12-31 00:00:00,1162148043.33,721174170.06,787229026.82,2791091269.34,1301085140.09,-8333716.05,-138937096.76,2337855595.24,1130894455.86,5810299609.24,20802028827.91,8049125376.02,0.600979,0.6,None,0.66,None,None,None,None,9.29,4152108895.34,2581388072.23,8076168137.4,265615447.9,2,0.6,0.6,0.66,0.016085000000000002,0.014812,0.341153,10.5525,1.043366,537.5303,0.013126,0.611761,0.09911400000000001,1.598511,0.634626,1.125936,0.13942500000000002,0.799358,1.3083529999999999,0.36485999999999996,2.7822289999999996,38.2706,0.067299,0.008473000000000001,0.0028120000000000003,53.4926,1280.2276,0.015233000000000002,236.329,0.039686,0.48036999999999996,0.03996,0.255712,0.22392700000000001,0.455833,0.142083,2.353177,0.22189499999999998,0.135747,0.544167,26.256,-12.6723,240.1666,0.688,None,None,0.042087000000000006,0.140313,0.07567,0.013919999999999998,0.004024,0.001124,0.028319,0.002895,0.905658,0.004732,0.6,6.7076,1.9482,0.388239,0.08960000000000001,0.6,0.0929,2.7687,0.66,787229026.82,1.911,None,None,None,293444735.54,None,None,None,16007786.39,6156562.45,None,None,36308528.34,10011227.68,None,None,2200000.0,13841194.91,4415000.0,10.6049
80088502,2019-03-31 00:00:00,342235027.14,218642028.43,206996866.91,717246238.29,341792028.42,None,442998.72,361498859.65,-263441149.82,1389263906.31,20533501917.88,8309986058.56,0.182202,0.18,None,None,None,None,None,None,2.67,3867712236.07,2097595379.18,7490565085.81,81316260.52,2,0.18,0.18,None,0.018439,0.017388,0.060476,14.8819,1.158417,520.8691,0.011298999999999998,0.635203,0.097402,None,0.5743,1.107881,0.132953,None,1.277764,0.314162,3.085255,None,0.02207,None,0.000672,40.7793,1339.2857,0.0034649999999999998,259.7403,0.012682,0.516278,0.0126,0.31171299999999996,0.246024,0.43599699999999997,0.187442,0.217005,0.019965,0.012682,0.564003,30.6566,0.1294,209.5771,0.217,None,None,-0.039324,-0.129733,0.072196,-0.013849,0.0026019999999999997,0.00017600000000000002,0.013882,0.00048300000000000003,0.17234000000000002,0.001078,0.18,6.925,0.3012,0.36479700000000004,0.0263,0.18,0.026699999999999998,2.7687,None,206996866.91,2.0932,None,None,None,293444735.54,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.8691
80088502,2019-06-30 00:00:00,701362687.98,446451533.92,428844777.43,1368742397.14,696802256.21,-1055280.0,4560431.77,1003168766.45,120458515.1,2722864658.58,20644047833.45,8333188190.09,0.372043,0.37,None,0.36,None,None,None,None,5.45,4075926809.62,3364374997.3,7503714119.14,166785306.88,2,0.37,0.37,0.36,0.012115,0.011337999999999999,0.171382,10.5029,0.815279,520.5183,0.011243000000000001,0.636519,0.038752,1.66106,0.571044,1.188502,0.057386999999999994,0.781088,1.26086,0.316915,3.070269,38.3201,0.041201999999999996,0.003431,0.0013139999999999998,43.6872,1369.863,0.006619000000000001,271.9444,0.026741,0.502685,0.02664,0.33246200000000004,0.255908,0.446214,0.20274699999999998,2.307654,0.21073899999999998,0.134139,0.553786,27.7457,0.4998,195.1547,0.46,0.00413,None,-0.093868,-0.218278,0.060536000000000006,-0.017689999999999997,0.003684,0.000486,0.018172,0.001337,0.298174,0.002105,0.37,6.9443,0.836,0.363481,0.0536,0.37,0.0545,2.7687,0.36,428844777.43,2.093,None,None,None,292389455.54,None,None,None,10671053.93,15830625.82,None,None,37568522.75,10103927.43,None,None,409000.0,17881056.19,19830322.0,10.9503
