公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80139859,2017-03-31 00:00:00,4486120414.52,2673784889.0,2667900800.0,6190610710.71,4476873035.81,255310038.14,9247378.71,3319233248.83,2363949336.91,12273933461.41,99865180244.64,37449596718.88,0.267378,0.27,None,None,None,None,None,None,7.45,29588604585.97,35185363063.22,50729625933.9,83493337.72,2,0.27,None,None,0.008409,0.007980000000000001,0.024755,36.3563,0.350762,5473.028,-0.016606,0.49201900000000004,0.093062,None,1.032442,1.202764,0.159059,None,1.4302590000000002,0.905232,1.767498,None,0.045849,None,0.001268,19.6297,709.7792,0.0046300000000000004,194.3844,0.039900000000000005,0.504371,0.041173,0.560933,0.364746,0.442751,0.324639,0.39846,0.08109400000000001,0.039900000000000005,0.557249,15.5963,5.8972,137.9948,0.3985,0.00029499999999999996,None,1.10224,38.052698,0.241649,0.110695,0.002704,0.000332,0.008329999999999999,0.000654,0.094336,0.00262,0.27,3.745,0.3319,0.507981,0.07139999999999999,None,0.0745,0.7389,None,2667900800.0,1.706,None,None,None,3643552773.45,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.9136
80139859,2017-06-30 00:00:00,9170191705.21,5472807132.52,5479831300.0,12643587713.53,9181400887.23,484806145.42,-11209182.02,5780590316.01,1515802922.51,25585951662.67,99538044379.38,39516642004.21,0.547281,0.55,None,0.55,None,None,None,None,14.6,28788201223.8,31051706816.84,47117976287.22,139753099.77,2,0.55,None,0.55,0.009271,0.008917000000000001,0.046959,38.3313,0.370142,6661.709,-0.043308,0.526633,0.098482,1.786207,0.898854,1.137041,0.15754200000000002,0.581198,1.3496709999999998,0.779366,1.9175399999999998,29.4833,0.11892899999999999,0.008556000000000001,0.0026479999999999997,15.1351,679.7583,0.0098,183.6735,0.080785,0.494161,0.08323,0.543659,0.358845,0.45549,0.31427900000000003,2.918826,0.556815,0.29323699999999997,0.54451,15.3412,5.1645,137.877,0.8041,0.0016420000000000002,None,1.084523,13.872934,0.291202,0.143623,0.0022589999999999997,0.000581,0.007189,0.001227,0.18616,0.0052759999999999994,0.55,3.9517,0.5781,0.473367,0.13849999999999998,None,0.146,0.7389,0.55,5479831300.0,1.8759,None,None,None,3764048880.73,None,None,None,478406186.68,396675312.39,91039607.51,None,64174747.82,28199312.41,None,None,13850476.32,48068189.66,47217290.75,5.242
80139859,2017-09-30 00:00:00,13823403563.28,8068337332.82,8063434200.0,19390734323.69,13822906453.11,803690561.65,497110.17,10926850278.81,1734779246.45,39403614156.14,102875763409.17,42354574976.3,0.806834,0.81,None,None,None,None,None,None,20.92,29635912722.81,27626154126.16,46349099209.55,208965827.31,2,0.81,None,None,0.010727,0.010343,0.081213,33.2459,0.420565,6715.1503,0.056913,0.549465,0.11118499999999999,None,0.819951,1.0776130000000002,0.168296,None,1.295669,0.691078,2.088013,None,0.187748,None,0.0040089999999999995,14.381,673.4847,0.014852,181.7937,0.116743,0.492105,0.122199,0.5291049999999999,0.35080300000000003,0.457749,0.304794,1.2009990000000001,0.21246600000000002,0.116743,0.5422509999999999,15.5142,5.8176,140.2747,1.201,0.000112,None,0.940616,6.207406,0.346957,0.131985,0.002773,0.001062,0.009098,0.0023580000000000003,0.395526,0.007795,0.81,4.2355,1.0927,0.450535,0.1905,None,0.20920000000000002,0.7389,None,8063434200.0,2.1354,None,None,None,4048250202.99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.6527
80139859,2017-12-31 00:00:00,18216029300.13,10449400043.63,10430798400.0,25546005261.84,18232686865.36,1232151785.32,-16657565.23,16930864645.16,-1041932214.06,50927001983.06,105407208874.73,44224379042.83,1.04494,1.04,None,1.04,None,None,None,None,26.59,26809582061.63,28762165850.34,46837197643.57,273160306.97,2,1.04,None,1.04,0.009321000000000001,0.009029,0.111402,32.3154,0.30967,6768.6224,-0.054912,0.555655,0.10172,1.8373220000000001,0.799679,1.134295,0.15473699999999999,0.581678,1.3419429999999999,0.6741370000000001,2.091496,30.2426,0.26701,0.016338,0.005116000000000001,13.4826,703.6747,0.020274999999999998,177.5586,0.14919000000000002,0.50162,0.157971,0.5430429999999999,0.358016,0.44597000000000003,0.30878900000000004,3.865113,0.659913,0.366684,0.55403,16.0295,6.6727,140.2392,1.5726,0.000113,None,0.537106,2.5905739999999997,0.314151,0.12507400000000002,0.0033250000000000003,0.001606,0.010766,0.0036149999999999997,0.588651,0.009875,1.04,4.4224,1.6931,0.444345,0.23629999999999998,None,0.2659,0.7393,1.04,10430798400.0,2.3648,None,None,None,5304001211.28,None,None,None,202700794.97,526797916.77,367030880.01,None,88479056.68,26020855.73,None,None,19522981.44,7870733.25,92804973.35,5.857
80139859,2018-03-31 00:00:00,4972685851.05,2841416879.68,2847602300.0,6191576366.91,4981136465.25,297857051.74,-8450614.2,3228295831.72,1689259940.24,12587430732.5,109195544209.61,47507561484.21,0.284142,0.28,None,None,None,None,None,None,6.2,29158302181.32,27634927354.38,45641660382.78,14027392.66,2,0.28,None,None,0.010551,0.010202,0.026623,33.8054,0.383357,35549.8229,0.069885,0.5820190000000001,0.097495,None,0.718157,1.07867,0.143478,None,1.25936,0.602339,2.253985,None,0.06310500000000001,None,0.001173,14.2619,767.2634,0.004497999999999999,200.0889,0.039272,0.491886,0.039965,0.630667,0.395723,0.452891,0.340685,0.42883499999999997,0.06747600000000001,0.039272,0.5471090000000001,11.8288,5.8199,124.5117,0.4288,0.000392,None,0.025542,0.07623,0.29344000000000003,0.09343,0.002565,0.00029600000000000004,0.007528,0.000707,0.116819,0.002061,0.28,4.7508,0.3228,0.417981,0.059800000000000006,None,0.062,0.7393,None,2847602300.0,2.6489,None,None,None,5588230725.72,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.3554
80139859,2018-06-30 00:00:00,10304488781.51,5944157875.99,5952123500.0,12889718857.34,10339870524.0,666337386.59,-35381742.49,6351647052.21,4169354276.67,26242707974.58,114626187629.51,46741944472.71,0.594416,0.59,None,0.6,None,None,None,None,12.5,33621951403.01,31157966274.79,51424907246.72,69501704.06,2,0.59,None,0.6,0.010791,0.010455,0.058754,30.6362,0.419568,14926.239,0.044252,0.551369,0.095123,2.053635,0.813669,1.093104,0.147137,0.561539,1.281687,0.6655169999999999,2.187522,26.8484,0.12593400000000002,0.008377,0.002385,14.2932,754.717,0.008685,207.2539,0.07701,0.491173,0.080236,0.6229520000000001,0.394009,0.453219,0.33637300000000003,3.2857380000000003,0.519885,0.286648,0.546781,12.1497,6.1231,125.0884,0.8827,0.0051259999999999995,None,0.025669,0.097774,0.20567,0.151582,0.00242,0.000554,0.007195,0.001235,0.203853,0.00431,0.59,4.6742,0.6352,0.448631,0.1272,None,0.125,0.7394,0.6,5952123500.0,2.5412,None,None,None,9851041281.5,None,None,None,351849973.32,167353932.51,174083845.72,None,246190246.09,8812672.18,None,None,20876318.18,12985013.14,82897308.11,6.3201
80139859,2018-09-30 00:00:00,15340775290.71,8864115024.12,8867797500.0,19411411411.45,15380744601.02,1047563127.31,-39969310.31,12846696552.81,4183050893.22,41131304995.69,121743967656.57,49974791292.83,0.886412,0.89,None,None,None,None,None,None,18.54,34338575286.38,29903632770.59,53722631264.22,73648057.2,2,0.89,None,None,0.011483,0.011149,0.097247,27.7644,0.437626,20929.8438,0.022578,0.558724,0.082247,None,0.789791,1.120088,0.12831599999999999,None,1.2849700000000002,0.586826,2.484532,None,0.21263200000000002,None,0.0036209999999999997,12.698,745.6504,0.013453,200.6987,0.108451,0.471938,0.116251,0.571483,0.373943,0.47549199999999997,0.321002,1.320325,0.194105,0.108451,0.524508,12.4574,6.5681,126.5347,1.3203,4.4999999999999996e-05,None,0.043845999999999996,0.09935600000000001,0.20335,0.18340800000000002,0.0031230000000000003,0.001055,0.009729999999999999,0.002391,0.42960299999999996,0.006498,0.89,4.9975,1.2847,0.441276,0.17739999999999997,None,0.18539999999999998,0.7394,None,8867797500.0,2.8332,None,None,None,9933300575.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.8021
80139859,2018-12-31 00:00:00,18747892835.23,10992829774.13,11074812600.0,24980815391.02,19061494145.65,1452419027.5,-313601310.42,19758268793.18,3846874271.33,57223725979.59,120529634496.94,50664412583.03,1.099283,1.1,None,1.11,None,None,1.98,None,22.91,31504517582.1,28679184395.87,54140743762.66,58178482.83,2,1.1,None,1.11,0.010985,0.010610999999999999,0.130496,27.5871,0.45732300000000004,32324.7881,0.042263999999999996,0.55081,0.099072,1.631388,0.815509,1.1365399999999999,0.152446,0.612675,1.3409639999999998,0.611853,2.413403,33.7633,0.306694,0.01577,0.005064999999999999,11.7381,710.7601,0.019625999999999998,183.4301,0.13216,0.43654600000000005,0.141005,0.472481,0.333105,0.513092,0.278366,4.165585,0.627452,0.345607,None,12.9959,6.0744,133.246,1.5929,0.00020400000000000003,None,0.123642,0.01294,0.133496,0.143467,0.003453,0.0016389999999999998,0.012404,0.003649,0.6889409999999999,0.009159,1.1,5.0664,1.9758,0.44919,0.217,None,0.2291,0.7395,1.11,11074812600.0,2.9777,None,None,None,10349735795.91,None,None,None,325529700.98,147344773.33,392985092.62,None,91350923.88,61145746.74,None,None,10935874.47,14696043.88,44436169.07,6.6389
80139859,2019-03-31 00:00:00,4329064751.75,2774539941.51,2496922300.0,5577105721.14,4351361059.77,190025123.87,-22296308.02,5391596639.98,2042195564.93,14404755231.67,119167281866.76,52599518886.15,0.277454,0.2819,None,None,None,None,None,None,5.32,31845622900.81,25594722424.96,49670848832.52,63988173.32,2,0.2819,None,None,0.012442,0.01203,0.036865999999999996,24.4127,0.595137,6865.4139,0.016831,0.5831839999999999,0.08828799999999999,None,0.7147249999999999,1.091282,0.131485,None,1.256491,0.519679,2.682493,None,0.075391,None,0.001202,11.9378,748.7521,0.004548,197.8892,0.031738,0.38717100000000004,0.031557,0.40963700000000003,0.302078,0.557216,0.262559,0.37821,0.054422,0.031738,0.44278399999999996,12.0821,3.8745,128.8293,0.3782,0.000212,None,0.144376,-0.11805199999999999,0.093504,0.09132,0.0037430000000000002,0.000452,0.014256,0.001085,0.210653,0.00212,0.2819,5.26,0.5392,0.416816,0.0527,None,0.053200000000000004,0.7395,None,2496922300.0,3.2496,None,None,None,10536236990.49,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.9496
80139859,2019-06-30 00:00:00,9772047100.43,5871066901.24,5779167400.0,12569846865.18,9794461029.21,729599442.08,-22413928.78,11033981262.42,5347610789.36,32585674141.67,121850844227.05,52844533284.97,0.587107,0.6,None,0.59,None,None,None,None,11.0,33924187544.4,27822376999.95,51438332368.21,76651967.62,2,0.6,None,0.59,0.012193,0.011793,0.08225500000000001,21.8832,0.686608,12848.5926,0.01644,0.577858,0.08232300000000001,1.790501,0.7305280000000001,1.093022,0.124697,0.5871419999999999,1.248736,0.537596,2.635614,32.2735,0.167041,0.008144,0.0026889999999999996,10.7758,669.3938,0.009961,180.7047,0.06908299999999999,0.38574800000000004,0.06946,0.412539,0.300576,0.5605910000000001,0.25833,3.60702,0.51227,0.29601900000000003,0.439409,11.2679,7.2368,128.6306,0.8418,0.0043,None,0.241704,-0.04639,0.114099,0.063028,0.003386,0.000906,0.013108,0.0021449999999999998,0.396587,0.004764,0.6,5.2845,1.1034,0.42214199999999996,0.11109999999999999,None,0.11,0.7395,0.59,5779167400.0,3.2392,None,None,None,11091843309.23,None,None,None,315435759.37,144046010.84,282013895.89,None,331778739.3,27939237.61,None,None,15429561.29,15358978.03,52773198.49,7.0413
