公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80080360,2017-03-31 00:00:00,401882187.81,317115854.19,318858699.31,851705547.82,404207315.58,7458050.93,-2325127.77,539826219.6,-171049000.92,5307382754.08,39156922891.87,11364173643.14,0.134305,0.1343,None,None,None,None,None,None,2.8702,12904201490.82,18501425861.83,26910329406.83,247064656.39,2,0.1343,0.1343,None,0.006975,0.006165,0.037892999999999996,23.7511,0.266942,262.6628,-0.001253,0.312757,0.017918,None,2.1973730000000002,2.02752,0.054185,None,2.143675,1.56803,2.004716,None,0.031367,None,0.001373,28.6926,655.4989,0.00422,213.2701,0.009306,0.16047599999999998,0.009427999999999999,0.081839,0.076159,0.808126,0.068656,0.154323,0.029754,0.009306,0.191024,8.5721,1.2772,211.9292,0.1543,None,None,1.029566,36.046211,0.201381,0.067466,0.001017,0.000138,0.014815,0.000201,0.029178000000000003,0.004459,0.1343,4.813,0.2286,0.687243,0.0279,0.1343,0.028702000000000002,1.4072,None,318858699.31,1.5582,None,None,None,406668284.99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.1867
80080360,2017-06-30 00:00:00,791910775.94,625572080.59,602955618.63,1812290669.07,805455500.08,10134257.86,-13544724.14,235387113.91,744041382.53,10747326737.25,40588248477.72,11736128566.13,0.264942,0.2649,None,0.2553,None,None,None,None,5.3243,14089389676.37,19226785525.71,28149173047.56,497637111.79,2,0.2649,0.2649,0.2553,0.007328,0.006462,0.075512,23.8373,0.294568,259.1342,-0.001245,0.30646999999999996,0.015758,0.549559,2.262963,2.026112,0.048903999999999996,0.616757,2.130292,1.597095,2.010185,55.7665,0.059376,0.004814,0.0027300000000000002,30.3153,659.3407,0.008161,220.5612,0.017781,0.168627,0.018334,0.080059,0.074945,0.8019769999999999,0.067151,6.262381,1.188715,0.36430500000000005,0.19787600000000002,8.9001,-0.4307,228.8504,0.3057,None,None,0.949023,6.035119999999999,0.14626,0.068481,0.00021899999999999998,5.7999999999999994e-05,0.0032619999999999997,8.4e-05,0.012242999999999999,0.008957,0.2649,4.9705,0.0997,0.69353,0.0533,0.2649,0.053243,1.2927,0.2553,602955618.63,1.7876,None,None,None,414441470.91,None,None,None,292849685.58,39463826.16,65043882.95,None,1106423.72,0.0,None,None,22364197.99,20970445.4,32610618.01,5.2682
80080360,2017-09-30 00:00:00,1255067220.73,1026509827.38,990415443.22,2758560258.01,1252026671.89,18811548.11,3040548.84,813925512.27,2009849847.08,16481415913.99,42318888513.89,12298952458.78,0.434747,0.4347,None,None,None,None,None,None,8.6101,15705206364.62,18011028866.6,28285648190.43,726104141.34,2,0.4347,0.4347,None,0.00872,0.007959,0.104343,25.8762,0.436711,272.8495,-0.002728,0.331607,0.014863,None,2.015618,1.8151169999999999,0.042899,None,1.896474,1.328277,2.235664,None,0.101655,None,0.004097,26.5604,659.0188,0.011792,228.9688,0.027329,0.16737400000000002,0.028748,0.082631,0.07596599999999999,0.8042560000000001,0.070171,0.489807,0.08241300000000001,0.027329,0.195517,8.8952,1.7411,219.7938,0.4898,None,None,0.813246,8.908074000000001,0.26825299999999996,0.080569,0.000494,0.00019199999999999998,0.007038,0.000288,0.04519,0.01288,0.4347,5.2088,0.3447,0.6683929999999999,0.08349999999999999,0.4347,0.086101,1.3418,None,990415443.22,1.9574,None,None,None,406130164.97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.9434
80080360,2017-12-31 00:00:00,1662364443.01,1376994881.26,1357573080.15,3815942269.67,1680238620.85,40325396.82,-17874177.84,2716321573.15,1937873375.6,20741502359.03,43054398179.42,11970725826.56,0.583185,0.5832,None,0.575,None,None,None,None,11.65,15137551822.33,19139060203.79,29347152571.3,995736727.23,2,0.5832,0.5832,0.575,0.007909000000000001,0.007095000000000001,0.15154299999999998,23.7556,0.414048,266.9482,-0.001371,0.31837,0.012742,0.5655899999999999,2.140996,1.958274,0.038481999999999995,0.617705,2.0366489999999997,1.436296,2.154419,56.29,0.11652100000000001,0.008969,0.005109,30.8957,704.6389,0.015148,237.6551,0.035775,0.183976,0.03794,0.087254,0.081009,0.785536,0.074261,7.004758000000001,1.206617,0.384151,0.21446400000000002,10.2522,1.3506,229.5491,0.6523,None,None,0.40976,1.174094,0.18586099999999997,0.12884,0.00131,0.000631,0.017635,0.0009260000000000001,0.141926,0.016418,0.5832,5.0698,1.1504,0.68163,0.115,0.5832,0.1165,1.1831,0.575,1357573080.15,2.1063,None,None,None,426111566.77,None,None,None,151881041.67,70445819.59,61105174.58,None,8399624.29,338738.8,None,None,22438946.14,7451544.47,39183714.24,5.8053
80080360,2018-03-31 00:00:00,170001999.43,64368710.99,60660533.04,634458927.88,166283931.16,10738516.62,3718068.27,1596086139.33,-689004640.85,4598969306.09,44354224188.45,12262577606.07,0.027261,0.0273,None,None,None,None,None,None,0.5363,15836799247.67,19600796627.36,30310107528.95,270325915.84,2,0.0273,0.0273,None,0.00808,0.007093,0.019901,45.2239,0.423741,162.8878,-0.001682,0.316635,0.014271,None,2.158207,1.9429859999999999,0.043128,None,2.03056,1.4407310000000002,2.160862,None,0.021867,None,0.001052,41.1579,855.5133,0.00297,303.0303,0.002355,0.137957,0.0023899999999999998,0.038247,0.036157,0.830302,0.022715,0.044243,0.007438,0.002355,0.169698,10.4439,8.5038,373.2067,0.0442,None,None,-0.13347699999999998,-0.713309,0.146777,0.13273,0.003471,0.00035999999999999997,0.152786,0.000527,0.08143,0.0033139999999999997,0.0273,5.1934,0.676,0.683365,0.0052,0.0273,0.005363,1.1831,None,60660533.04,2.1336,None,None,None,436850083.39,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.948
80080360,2018-06-30 00:00:00,513464081.43,310078780.36,306272609.91,1474871667.3,511011205.48,15754138.01,2452875.95,1866633498.17,-1229990474.5,9511897177.78,44172462847.23,12609846035.26,0.131324,0.1313,None,0.1297,None,None,None,None,2.523,15622347938.46,19126787360.06,29743050038.35,519349332.06,2,0.1313,0.1313,0.1297,0.008168,0.00711,0.053355,33.7363,0.39927500000000005,198.8668,-0.0033489999999999995,0.326661,0.026569,0.5727329999999999,2.0612790000000003,1.8297819999999998,0.075216,0.620081,1.978605,1.406875,2.145164,57.0355,0.043148,0.003849,0.0021809999999999998,41.7169,825.3095,0.006185,291.0267,0.008242000000000001,0.155055,0.008348,0.056855,0.053723,0.812568,0.038275,6.691719000000001,1.095003,0.357695,0.1855,10.4511,3.5459,287.2395,0.1542,None,None,-0.114952,-0.495529,0.16000699999999998,0.088307,0.001962,0.000423,0.051271000000000004,0.000628,0.097593,0.0067610000000000005,0.1313,5.3405,0.7906,0.673339,0.0246,0.1313,0.025230000000000002,1.1831,0.1297,306272609.91,2.2376,None,None,None,441865704.78,None,None,None,115831828.79,79263108.16,66605790.83,None,6587865.58,769517.54,None,None,19990262.09,9466934.41,38870693.97,6.1111
80080360,2018-09-30 00:00:00,812054244.18,529466098.05,524113903.51,2332499162.41,809284555.9,22995166.02,2769688.28,3573328954.13,1543905454.19,14541884659.49,47012788818.14,12776318479.42,0.224239,0.2242,None,None,None,None,None,None,4.295,17046557431.19,21386192061.49,32375935736.87,765690089.01,2,0.2242,0.2242,None,0.007971,0.006992000000000001,0.076844,35.1361,0.505347,206.0552,-0.003049,0.311338,0.028141,None,2.211946,1.8776009999999999,0.082895,None,2.047314,1.551508,2.042714,None,0.064344,None,0.003229,41.962,836.1722,0.009037,298.7717,0.013040000000000001,0.16039899999999999,0.013613,0.059813,0.055652,0.8080459999999999,0.042157,0.259636,0.041884,0.013040000000000001,0.19195399999999999,9.4009,3.1728,287.2344,0.2596,None,None,-0.11768,-0.46992199999999995,0.043013,0.11091699999999999,0.002457,0.0007599999999999999,0.058288,0.001104,0.167086,0.010261,0.2242,5.411,1.5134,0.6886620000000001,0.0414,0.2242,0.04295,1.1831,None,524113903.51,2.3305,None,None,None,412576044.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.199
80080360,2018-12-31 00:00:00,1239518847.87,715160740.44,708271525.92,3361395792.51,1223072680.02,36016413.79,16446167.85,2751068245.7,2022668815.1,20153419872.7,48958389698.21,12868580592.71,0.302885,0.3029,None,0.3,None,None,None,None,5.78,16428927756.4,21373290704.35,34250525017.04,1065354314.77,2,0.3029,0.3029,0.3,0.007687,0.007167,0.15803699999999998,22.7795,0.544047,216.348,-0.0027069999999999998,0.300416,0.027341999999999998,0.514277,2.328722,2.0272040000000002,0.08342000000000001,0.639795,2.2117050000000003,1.5441999999999998,2.128463,58.4151,0.121034,0.007629,0.0043809999999999995,29.7437,821.7302,0.012768999999999999,281.9328,0.01803,0.16679,0.019187,0.066349,0.060688000000000006,0.801901,0.0438,7.1930629999999995,1.154757,0.346907,0.198099,9.3767,4.2325,271.1855,0.3738,None,None,-0.028353000000000003,-0.426915,0.072999,0.137129,0.0013650000000000001,0.000562,0.031166,0.000803,0.128715,0.014185000000000001,0.3029,5.4501,1.1651,0.699584,0.0556,0.3029,0.057800000000000004,1.2475,0.3,708271525.92,2.3902,None,None,None,421345807.28,None,None,None,53007647.33,69498226.86,107463257.25,None,3171269.93,8002942.75,None,None,27750922.39,14849155.26,33124975.15,6.2291
80080360,2019-03-31 00:00:00,487018731.73,323498498.82,315909075.21,990008248.18,476768715.85,16121117.53,10250015.88,835849089.15,622540359.64,5710022653.27,50758803935.34,13411692085.75,0.137008,0.137,None,None,None,None,None,None,2.44818,18108730956.46,22378794909.91,35465637208.04,286186469.0,2,0.137,0.137,None,0.008092,0.007411,0.06940400000000001,12.9676,0.569913,270.1753,-0.002443,0.30129100000000003,0.020548,None,2.319051,1.998637,0.063846,None,2.134945,1.5315199999999998,2.13449,None,0.034508000000000004,None,0.001145,26.0809,786.0262,0.003307,272.15,0.0073160000000000005,0.173381,0.007449,0.092978,0.083497,0.796206,0.065039,0.157284,0.024284,0.0073160000000000005,0.203794,9.0714,5.4148,203.2793,0.1573,None,None,0.241587,2.554991,0.088938,0.144396,0.001464,0.000165,0.022507000000000003,0.000236,0.03735,0.0038069999999999996,0.137,5.6801,0.354,0.698709,0.0241,0.137,0.024482,1.265,None,315909075.21,2.5273,None,None,None,509602924.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.477
80080360,2019-06-30 00:00:00,882451697.63,595412162.0,584717295.44,2022671267.25,868221451.85,37821807.35,14230245.78,2075711613.08,-935341308.16,12221445251.24,52031348700.41,13648276682.98,0.252169,0.253,None,0.2484,None,None,None,None,4.4708,18873557638.74,23089900525.09,36357740977.42,579281264.26,2,0.253,0.253,0.2484,0.008174,0.007517,0.128994,13.9541,0.49883099999999997,252.3356,-0.001381,0.301234,0.011193,0.544718,2.319679,2.039725,0.035827,0.629545,2.115517,1.510329,2.165958,55.3009,0.074981,0.00426,0.00242,24.0061,743.8017,0.0069240000000000005,259.9653,0.013191999999999999,0.165502,0.013593,0.078726,0.07104099999999999,0.806551,0.056163,7.461685999999999,1.124072,0.338609,0.19344899999999998,8.2672,5.8986,229.2104,0.2907,None,None,0.28485900000000003,0.885334,0.086226,0.177914,0.001698,0.000399,0.030240999999999997,0.000571,0.08989699999999999,0.008045,0.253,5.7803,0.8791,0.698766,0.0436,0.253,0.044708,1.3001,0.2484,584717295.44,2.6442,None,None,None,456929130.73,None,None,None,51228166.03,91873013.59,145658991.4,None,5311770.21,4666759.98,None,None,53542472.51,14404043.08,37494229.75,6.6381
