公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80080212,2017-03-31 00:00:00,666131595.29,509396216.43,509316658.73,1406002316.87,665702419.32,15221536.02,429175.97,1236963237.49,465750500.89,4502728935.45,58503760623.17,19074028639.63,0.170286,0.17,None,None,None,None,None,None,2.72,24014579774.43,32524879378.8,39803391193.38,186027672.23,2,0.17,0.17,None,0.007383,0.0069310000000000005,0.011196999999999999,80.3787,0.281569,458.082,-0.0054410000000000005,0.31964400000000004,0.079147,None,2.128482,1.478272,0.19846599999999998,None,1.8443049999999999,1.986872,1.340448,None,0.020701,None,0.000774,43.4762,1162.7907,0.001914,470.2194,0.007933,0.312256,0.007980000000000001,0.172902,0.147844,0.615817,0.103078,0.155154,0.024819,0.007933,0.384183,16.7881,2.3495,211.0698,0.1552,3.4e-05,None,0.826615,None,0.050560999999999995,0.139855,0.002747,0.000211,0.026650999999999998,0.00031099999999999997,0.038031,0.002455,0.17,6.3763,0.4135,0.6803560000000001,0.026699999999999998,0.17,0.027200000000000002,0.4812,None,509316658.73,3.2609,None,None,None,2282556835.24,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.2514
80080212,2017-06-30 00:00:00,1495053810.53,1142521949.13,1144147470.73,2836881291.94,1496786986.56,46510699.83,-1733176.03,4324329492.83,1846460082.82,10125815234.39,60218576068.29,19688384064.88,0.381934,0.38,None,0.38,None,None,None,None,5.97,25258452676.61,32801436674.91,40916622829.03,377520863.42,2,0.38,0.38,0.38,0.0077,0.007068,0.024912,72.2543,0.301894,496.0189,-0.007672,0.320532,0.09610099999999999,1.0572270000000001,2.119818,1.393445,0.23066099999999998,0.5121800000000001,1.8112219999999999,1.999201,1.335753,30.3181,0.039706,0.0055130000000000005,0.001716,45.3332,1048.951,0.004193,429.2869,0.017903,0.280163,0.018267,0.17397400000000002,0.147819,0.643246,0.106472,6.17333,0.95674,0.30666499999999997,0.356754,12.8838,2.995,189.7511,0.3604,0.001222,None,0.9948990000000001,None,0.08872400000000001,0.20272400000000002,0.004271,0.000718,0.04011,0.001057,0.131834,0.005432,0.38,6.5816,1.4456,0.679468,0.057999999999999996,0.38,0.059699999999999996,0.4812,0.38,1144147470.73,3.3826,None,None,None,2647139825.07,None,None,None,1605199956.67,434105293.27,318599802.31,None,1200000.0,None,None,None,16072614.69,33535215.17,76776759.83,6.4525
80080212,2017-09-30 00:00:00,2501930825.19,1901097499.77,1905009411.5,4721951046.66,2509876132.56,75774193.82,-7945307.37,4617935569.37,1049020987.72,16956467183.22,62407633670.07,20583174246.72,0.635519,0.64,None,None,None,None,None,None,9.77,27473335140.16,34337309951.53,42202974653.03,574764679.33,2,0.64,0.64,None,0.008001000000000001,0.0074860000000000005,0.041129,65.6471,0.270301,535.2966,-0.008288,0.323753,0.091159,None,2.088774,1.349143,0.21970800000000001,None,1.7290219999999998,1.981046,1.343846,None,0.073599,None,0.002821,36.6853,957.1074,0.006713,402.2047,0.029228999999999998,0.27847500000000003,0.030344000000000003,0.173254,0.148019,0.6456029999999999,0.10757699999999999,0.609786,0.090282,0.029228999999999998,0.354397,13.0115,2.7111,188.7323,0.6098,9e-06,None,1.12076,None,0.131721,0.14846700000000002,0.0027229999999999997,0.00074,0.025316,0.001094,0.134487,0.008881,0.64,6.8808,1.5437,0.676247,0.0924,0.64,0.0977,0.4812,None,1905009411.5,3.6361,None,None,None,2609735853.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.7542
80080212,2017-12-31 00:00:00,3402097104.2,2782240108.7,2779917037.92,7736484764.78,3410141561.19,-93505109.17,-8044456.99,2373187593.96,4369955682.62,23543556034.52,66473879928.45,21114241012.52,0.930077,0.93,None,0.93,None,None,None,None,15.26,31140713382.29,34347332060.45,46136620441.54,940838589.84,2,0.93,0.93,0.93,0.009066,0.008759,0.059359999999999996,60.6469,0.39163200000000004,461.6026,-0.012573,0.305944,0.060652,0.9930840000000001,2.268576,1.449919,0.16544799999999998,0.533994,1.737361,1.887134,1.505343,30.8074,0.123082,0.012087,0.003788,29.2488,950.3696,0.00869,414.2693,0.037097000000000005,0.32860300000000003,0.039678,0.17230399999999998,0.144844,0.591978,0.10474,6.798627,1.000011,0.30594699999999997,0.408022,16.7251,-2.9849,227.4034,0.8243,5.999999999999999e-06,None,0.6545749999999999,2.4731710000000002,0.13114499999999998,0.149598,0.001008,0.000357,0.009624,0.000514,0.069094,0.012289000000000001,0.93,7.0583,0.7933,0.6940560000000001,0.1318,0.93,0.15259999999999999,0.4812,0.93,2779917037.92,3.8646,None,None,None,2439074296.23,None,None,None,1124072691.1,363600586.21,296727643.12,None,463779.86,None,None,None,5248465.87,9429008.66,98279833.08,6.7986
80080212,2018-03-31 00:00:00,867092377.87,713459023.55,717152147.34,1695165610.08,867415680.88,29591215.09,-323303.01,543593189.17,-537378450.99,5143404590.31,64622653987.02,22253543952.21,0.238503,0.24,None,None,None,None,None,None,3.29,29469877323.18,32131749928.36,43144500634.28,257682304.56,2,0.24,0.24,None,0.009172,0.008696,0.01126,79.929,0.39016599999999996,436.4967,-0.011653,0.332363,0.047999,None,2.008762,1.4301400000000002,0.126192,None,1.636676,1.640437,1.588215,None,0.023611,None,0.000785,38.1178,1146.4968,0.001697,530.3477,0.010738000000000001,0.32958,0.010586,0.201314,0.168646,0.593135,0.13491,0.231963,0.032307,0.010738000000000001,0.40686500000000003,16.6995,3.3754,195.5,0.232,2.3e-05,None,0.142286,0.495049,0.148542,0.10459,0.001057,8.4e-05,0.007834,0.000126,0.016918,0.00246,0.24,7.4392,0.1817,0.667637,0.0321,0.24,0.0329,0.4812,None,717152147.34,4.1031,None,None,None,2466905390.67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.1799
80080212,2018-06-30 00:00:00,1704975913.68,1391323897.57,1387893217.62,3517435578.83,1706702685.44,63441034.18,-1726771.76,683689907.18,-1758709710.63,10861578256.48,63735396645.8,22486382006.37,0.465107,0.47,None,0.46,None,None,None,None,6.38,28636650128.82,31182489081.25,42039979659.99,491141510.59,2,0.47,0.47,0.46,0.009184,0.008711,0.024391,73.7977,0.348296,447.1456,-0.012851999999999999,0.340398,0.051334,1.067687,1.9377350000000002,1.4057929999999998,0.131044,0.52464,1.617795,1.588091,1.59966,31.8818,0.050892999999999994,0.005324,0.001668,35.3683,1079.1367,0.003634,495.322,0.020785,0.323842,0.020348,0.188496,0.157132,0.592711,0.121965,6.597589,0.9096890000000001,0.30965699999999996,0.407289,15.6608,3.6197,206.3041,0.4428,0.003588,None,0.072662,0.22875399999999999,0.124001,0.058400999999999995,0.000629,0.000107,0.005161,0.00016299999999999998,0.021925,0.005168000000000001,0.47,7.517,0.2286,0.659602,0.061900000000000004,0.47,0.0638,0.4837,0.46,1387893217.62,4.0427,None,None,None,2505808677.14,None,None,None,1864852544.44,369393095.81,530403648.26,None,None,None,None,None,10091318.64,2807143.47,103127470.18,7.2526
80080212,2018-09-30 00:00:00,2745732796.67,2229044589.91,2217973520.96,5522924101.06,2758808243.67,85595282.42,-13075447.0,4761806487.36,1293219488.9,17319876076.69,64310071929.24,23767277840.78,0.745149,0.75,None,None,None,None,None,None,10.03,29267359120.52,30990102135.77,41352220647.4,742464460.7,2,0.75,0.75,None,0.009444000000000001,0.009004999999999999,0.035316,76.4526,0.448223,469.8134,-0.015599,0.356987,0.041787,None,1.801223,1.366446,0.10478799999999999,None,1.5263929999999999,1.466923,1.655107,None,0.08587,None,0.0026490000000000003,31.4429,1019.2525,0.005734,470.8755,0.032782,0.318878,0.032239,0.196505,0.15928599999999998,0.599647,0.12172100000000001,0.7047490000000001,0.091829,0.032782,0.400353,12.5629,2.6412,201.1457,0.7047,7e-06,None,0.021432000000000003,0.155731,0.136265,0.030484,0.0027489999999999997,0.00074,0.022587000000000003,0.001152,0.15365600000000001,0.008001000000000001,0.75,7.9452,1.5918,0.643013,0.09380000000000001,0.75,0.1003,0.4837,None,2217973520.96,4.3228,None,None,None,2460747496.91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.6746
80080212,2018-12-31 00:00:00,2917872736.89,2662957304.53,2654060012.11,8054597839.22,3044265199.83,93896314.88,-126392462.94,9340341649.45,3834332012.22,25139575483.58,65265561809.0,23900932263.56,0.890202,0.89,None,0.89,None,None,None,None,12.1,29133517668.87,33671797760.08,42792740214.45,1014674969.91,2,0.89,0.89,0.89,0.008652,0.008433000000000001,0.064693,55.6474,0.495678,387.5672,-0.003834,0.34432899999999994,0.026661,1.0235720000000001,1.9042,1.4922659999999999,0.071864,0.543811,1.607811,1.575763,1.62222,33.6399,0.167538,0.011849,0.0038169999999999996,21.4877,943.1491,0.008342,431.5512,0.029746,0.320395,0.029473,0.143155,0.12109500000000001,0.598514,0.077224,6.805866,0.905945,0.31194299999999997,0.401486,13.1174,-1.1137,276.0435,0.649,8e-06,None,0.06779,-0.212729,0.105007,-0.018177000000000002,0.003715,0.001431,0.048112,0.002183,0.277394,0.011745,0.89,7.9899,3.1224,0.655671,0.1114,0.89,0.121,0.5308,0.89,2654060012.11,4.3909,None,None,None,3247008835.66,None,None,None,694893856.98,80974254.46,376385337.79,None,2056209.75,None,None,None,3187180.64,1265132.69,92676233.53,7.5125
80080212,2019-03-31 00:00:00,1149998942.16,870198092.3,880435024.69,1881118429.72,1158214596.79,12663808.58,-8215654.63,1007705803.34,-1144958112.26,5619540427.78,64295366338.86,25211472720.63,0.290899,0.29,None,None,None,None,None,None,3.58,28207418082.29,31394264042.9,40479982957.51,223961104.27,2,0.29,0.29,None,0.008985,0.00872,0.012898,69.7783,0.516884,613.4815,-0.00498,0.37040599999999996,0.024683999999999998,None,1.699741,1.42065,0.062476000000000004,None,1.5153210000000001,1.3848740000000002,1.713449,None,0.04197,None,0.000867,21.4439,1038.0623,0.00196,459.1837,0.013117,0.33474600000000004,0.013019000000000001,0.26012799999999997,0.20610499999999998,0.586297,0.15008,0.281935,0.035413,0.013117,0.413703,12.1446,0.3868,163.5757,0.2819,1.9e-05,None,0.09257199999999999,0.21542999999999998,0.108819,-0.005064999999999999,0.0017929999999999999,0.000157,0.011948,0.000249,0.032098,0.002428,0.29,8.428,0.3369,0.629594,0.0345,0.29,0.0358,0.5308,None,880435024.69,4.6818,None,None,None,3258924834.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.9613
80080212,2019-06-30 00:00:00,2080502225.97,1502667206.58,1509711386.67,3637599609.98,2093203556.72,51996873.72,-12701330.75,3411758854.88,-563018523.67,11263830018.85,64282572443.37,25337995932.89,0.502328,0.5,None,0.5,None,None,None,None,6.1,28122510390.43,31906201641.74,40303766674.25,406516901.55,2,0.5,0.5,0.5,0.008813999999999999,0.008448,0.026355,68.2982,0.53799,611.7874,-0.002516,0.37302199999999996,0.01481,1.09081,1.680808,1.450414,0.038187,0.5368999999999999,1.508001,1.370304,1.721274,34.1968,0.070131,0.0051270000000000005,0.001739,25.6663,1035.0776,0.003935,457.4333,0.023492000000000002,0.322945,0.023313999999999998,0.233821,0.185834,0.594063,0.134068,6.843282,0.853715,0.318454,0.405937,11.2894,1.8888,174.8424,0.5048,0.002928,None,0.037034,0.139945,0.10524800000000001,0.008585,0.003029,0.000531,0.022593000000000002,0.000847,0.106931,0.00485,0.5,8.4703,1.1405,0.626978,0.0593,0.5,0.061,0.5308,0.5,1509711386.67,4.6253,None,None,None,3297291102.98,None,None,None,847747065.79,505620224.91,826553638.44,None,None,None,None,None,11803645.31,6156690.61,172516823.01,8.0159
80080212,2019-09-30 00:00:00,2942248139.99,2112559475.47,2093817554.64,5377982481.12,2960233292.57,74791753.91,-17985152.58,4627449226.92,116190070.54,17409758802.27,67413794513.26,26178208729.05,0.706209,0.71,None,None,None,None,None,None,8.46,31350417821.06,33680273341.0,42527912604.62,651444329.48,2,0.71,0.71,None,0.009308,0.008936,0.035608,75.8257,0.526741,551.65,-0.007511,0.369151,0.02596,None,1.7089169999999998,1.353938,0.065702,None,1.44915,1.4237110000000002,1.6859549999999999,None,0.10625299999999999,None,0.002624,25.411,1028.9634,0.005757,468.9943,0.031819,0.308906,0.032334999999999996,0.209966,0.170033,0.608561,0.123211,0.7170780000000001,0.086196,0.031819,None,11.3799,1.9307,182.7848,0.7171,7e-06,None,0.00519,0.017494,0.083981,0.048262,0.0026579999999999998,0.000686,0.021572,0.001088,0.137393,0.007352,0.71,8.7511,1.5469,0.630849,0.08070000000000001,0.71,0.08460000000000001,0.5308,None,2093817554.64,4.8292,None,None,None,3319169432.77,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.3191
80080212,2019-12-31 00:00:00,3037720676.64,2378709408.98,2184118155.0,8151606244.39,3080720911.74,112735100.8,-43000235.1,4459968649.74,-3220502879.44,26791159017.4,74261033556.16,24962941545.2,0.79518,0.8,None,0.73,None,None,None,None,9.5,26561947904.98,39692984783.52,50780053749.67,1273448644.02,2,0.8,0.8,0.73,0.006692,0.006473,0.063296,56.8756,0.37735599999999997,338.5428,-0.001258,0.316195,0.022242,0.7122350000000001,2.162604,1.897891,0.065719,0.606882,2.031392,1.7607730000000001,1.602802,44.3948,0.204149,0.009756,0.00384,17.6342,937.5,0.009621,374.1815,0.030935999999999998,0.304265,0.032931,0.134796,0.11499000000000001,0.612613,0.08575100000000001,7.906960000000001,1.0073239999999999,0.318511,None,14.5428,2.2956,268.3461,0.768,7e-06,None,0.065697,0.18337299999999998,0.044861000000000005,0.137829,0.001665,0.000601,0.019413,0.000878,0.112362,0.011659999999999998,0.8,8.3449,1.4909,0.683805,0.0953,0.8,0.095,0.5074,0.73,2184118155.0,4.686,None,None,None,3544697906.1,None,None,None,1048527348.06,156887.56,890158271.93,None,None,None,None,None,4719272.37,5559324.06,174305087.59,7.8495
80080212,2020-03-31 00:00:00,832142317.36,695066717.66,726926988.75,1634207076.33,870323493.36,23182100.98,-38181176.0,-664006126.78,22607100.57,5560103078.94,74012747408.15,26068150754.3,0.232354,0.23,None,None,None,None,None,None,2.75,26657651694.21,37624669877.44,49463733782.65,265970858.47,2,0.23,0.23,None,0.007085,0.006844,0.010302,87.3617,0.378633,412.8697,-0.00207,0.331686,0.030666000000000002,None,2.014897,1.765748,0.08463100000000001,None,1.929002,1.6250909999999998,1.6560380000000001,None,0.039105,None,0.00075,23.015,1200.0,0.002089,430.8281,0.008526,0.293917,0.008511999999999999,0.17668,0.15653,0.624155,0.113499,0.21096,0.025706000000000003,0.008526,None,14.1001,-1.8025,196.3855,0.211,2.5e-05,None,-0.010577000000000001,-0.251743,0.030805,0.151137,-0.001194,-8.999999999999999e-05,-0.010522,-0.000134,-0.017648,0.0023150000000000002,0.23,8.7143,-0.222,0.6683140000000001,0.026699999999999998,0.23,0.0275,0.5074,None,726926988.75,4.9183,None,None,None,3577322270.11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.2065
80080212,2020-06-30 00:00:00,1450088027.38,1168452757.14,1190185413.17,3052797465.88,1492063040.11,44165683.38,-41975012.73,-622742226.04,-971520577.7,11782277588.46,74334179844.66,26184781599.72,0.390603,0.39,None,0.4,None,None,None,None,4.71,26694613930.3,37387562649.6,49620633847.0,518511951.06,2,0.39,0.39,0.4,0.00714,0.0069099999999999995,0.020669,87.0869,0.358564,379.6634,-0.002485,0.33246499999999996,0.035753,0.760613,2.007831,1.740497,0.09709799999999999,0.595333,1.92767,1.620377,1.659419,43.7102,0.089484,0.0036,0.001586,20.1153,1134.9306,0.004425,406.7797,0.014946999999999998,0.259101,0.014955000000000001,0.141657,0.126636,0.6564669999999999,0.09430300000000001,7.754435,0.9386220000000001,0.31206,None,12.7917,0.1511,210.525,0.3714,0.004081,None,0.046028,-0.264229,0.030640999999999998,0.156366,-0.0005290000000000001,-8.4e-05,-0.005605,-0.000126,-0.016656,0.004889,0.39,8.7533,-0.2082,0.667535,0.0446,0.39,0.0471,0.5074,0.4,1190185413.17,4.8376,None,None,None,3592672651.54,None,None,None,1113254440.31,151952916.62,385616611.34,None,None,None,None,None,4987421.64,4176510.2,169152385.83,8.2615
80080212,2020-09-30 00:00:00,1720973433.56,1361010264.37,1398689322.87,4476130012.26,1790145629.35,61183025.75,-69172195.79,181086966.83,199015151.57,18065766024.5,75811153106.63,26565244660.87,0.454973,0.45,None,None,None,None,None,None,5.46,27938652242.47,37972020520.56,50751792643.6,780190327.89,2,0.45,0.45,None,0.007358,0.007130999999999999,0.031285,86.3033,0.36402999999999996,320.5838,-0.00322,0.33055,0.042615,None,2.025263,1.692202,0.114199,None,1.910364,1.6442050000000001,1.650256,None,0.139866,None,0.002408,19.3042,1121.2625,0.0066300000000000005,407.2398,0.016513,0.24776900000000002,0.016684,0.10650499999999999,0.09909000000000001,0.669477,0.069295,0.41848799999999997,0.04995599999999999,0.016513,None,14.2202,-0.4642,260.0929,0.4185,8e-06,None,0.03768,-0.41639699999999996,0.006971000000000001,0.12456400000000001,0.0001,2.3999999999999997e-05,0.001447,3.6e-05,0.004769,0.007443999999999999,0.45,8.8805,0.0605,0.6694499999999999,0.0512,0.45,0.0546,0.5074,None,1398689322.87,4.9019,None,None,None,3607008052.66,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.3771
80080212,2020-12-31 00:00:00,2657483400.95,1931250241.21,1892284248.82,6600539119.42,2747989955.71,80261628.34,-90506554.76,2281832416.1,2261580066.41,25972437267.23,77403845238.32,27138173720.34,0.645599,0.65,None,0.63,None,None,None,None,7.55,28079611892.83,39302868824.55,51709820798.99,1063945723.13,2,0.65,0.65,0.63,0.007144,0.006998,0.057241999999999994,62.8909,0.421898,349.7762,-0.002708,0.331948,0.039271,0.76601,2.012523,1.716597,0.10578900000000001,0.600619,1.919677,1.647954,1.6434739999999999,43.3346,0.238754,0.00781,0.003425,15.0783,1051.0949,0.009506,378.7082,0.024333,0.254136,0.024838,0.11644700000000001,0.105804,0.6637609999999999,0.072519,8.085703,0.9413720000000001,0.312486,None,13.2812,-0.3855,248.3756,0.6296,5e-06,None,-0.030559,-0.180152,0.094248,0.042321,0.000879,0.00029499999999999996,0.012115,0.000441,0.058058,0.010563,0.65,9.072,0.7628,0.668052,0.0712,0.65,0.0755,0.6114,0.63,1892284248.82,5.0932,None,None,None,3553843823.09,None,None,None,937812188.59,258262020.97,496725163.55,None,None,None,None,None,6161683.4,3102527.13,165340294.34,8.5893
80080212,2021-03-31 00:00:00,2077348450.37,1587094665.5,1574070704.53,2857786104.28,2071523840.82,39270527.08,5824609.55,440473809.85,-1126834151.1,7756577968.41,79459115876.76,28922126624.39,0.530551,0.53,None,None,None,None,None,None,5.63,29040174604.3,38387577134.25,51877268219.93,221825195.17,2,0.53,0.53,None,0.007565,0.007287,0.017236,52.2163,0.40364199999999995,1036.4799,-0.003253,0.34712000000000004,0.038267,None,1.880848,1.646465,0.09929600000000001,None,1.8279750000000001,1.502012,1.729632,None,0.052363,None,0.000989,17.1877,910.0101,0.002716,331.3697,0.020895999999999998,0.36843400000000004,0.02117,0.366835,0.267067,0.554586,0.214065,0.55506,0.060198999999999996,0.020895999999999998,None,9.851,2.1708,137.5689,0.5551,2.9999999999999997e-06,None,0.39504199999999995,1.631113,0.123542,0.073587,0.000568,5.4999999999999995e-05,0.002653,8.5e-05,0.011474,0.002912,0.53,9.6684,0.1472,0.65288,0.054900000000000004,0.53,0.056299999999999996,0.5663,None,1574070704.53,5.6367,None,None,None,3587390443.81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.2204
80080212,2021-06-30 00:00:00,4418101093.59,3327437339.29,3306574120.15,6406243067.86,4436978049.01,83644328.93,-18876955.42,2677470630.27,-1084184224.7,17736969628.39,88084559858.25,30413590039.09,1.112331,1.11,None,1.11,None,None,None,None,11.68,33207722460.33,42039989634.37,58800515888.08,621249756.83,2,1.11,1.11,1.11,0.007899,0.007717000000000001,0.034732,51.8254,0.376509,811.1634,-0.003777,0.33245399999999997,0.037869,0.8916379999999999,2.007937,1.68232,0.10226,0.5857399999999999,1.87395,1.549502,1.671251,37.2857,0.148264,0.005344,0.002144,12.1405,839.5522,0.005788,310.9883,0.040741,0.36118,0.04337,0.338897,0.250154,0.56015,0.202326,8.964541,0.915741,0.304442,None,9.6182,1.466,144.9999,1.1997,1e-06,None,0.505394,2.229797,0.184939,0.184981,0.00151,0.000304,0.007461,0.000455,0.063689,0.006452,1.11,10.167,0.8951,0.667546,0.1094,1.11,0.1168,0.5668,1.11,3306574120.15,6.0248,None,None,None,3615040594.49,None,None,None,1127969633.25,584437880.25,524032586.11,None,None,None,None,None,8740429.65,4600181.85,152077955.77,9.7894
80080212,2021-09-30 00:00:00,7778377577.43,5825570262.77,5827192235.81,11390316319.8,7837534497.21,120097168.48,-59156919.78,4378338981.7,911908064.55,30926255664.54,97684934123.62,33291942457.06,1.947433,1.95,None,None,None,None,None,None,19.47,43019553542.36,50488477156.3,65091111680.14,897143244.42,2,1.95,1.95,None,0.008520999999999999,0.008317,0.063848,42.2879,0.345869,967.0162,-0.0031330000000000004,0.33366300000000004,0.023952,None,1.997038,1.56484,0.06697600000000001,None,1.67717,1.620803,1.619442,None,0.213665,None,0.003533,12.6366,764.223,0.008699,310.3805,0.06629299999999999,0.36830599999999997,0.073972,0.347393,0.253427,0.554129,0.209396,2.16481,0.19868300000000003,0.06629299999999999,None,9.2308,0.7835,146.4356,2.1648,1e-06,None,0.711871,4.172928,0.300665,0.28853,0.001416,0.000448,0.0067610000000000005,0.000673,0.08672,0.010612,1.95,11.1292,1.4636,0.6663370000000001,0.175,1.95,0.19469999999999998,0.567,None,5827192235.81,6.8599,None,None,None,3658677841.46,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.8958
