公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80071741,2017-03-31 00:00:00,-506237258.0,-544775862.0,-594300000.0,-155906108.0,-518086785.0,53676309.0,11849527.0,196438802.0,556806330.0,3057737702.0,79502945713.0,34658269846.0,-0.114171,-0.11,None,None,None,None,None,None,-1.6,21007064598.0,16588642542.0,44743576447.0,294144071.0,2,-0.11,None,None,0.012664,0.011906000000000002,0.006011,149.7255,0.401049,-72.1052,0.0039829999999999996,0.437209,0.022135,None,1.287238,1.601784,0.048189,None,1.6828809999999998,0.527871,4.31037,None,0.026591,None,0.00038199999999999996,33.846,2356.0209,0.001437,626.3048,-0.006706999999999999,-0.050987,-0.006663,-0.139486,-0.169435,1.050068,-0.174376,-0.11174400000000001,-0.01534,-0.006706999999999999,-0.053876999999999994,13.5934,-12.9437,30.797,-0.1117,None,None,-0.09399800000000001,None,-0.24224199999999999,-0.121536,0.0006419999999999999,2.5e-05,None,4.4000000000000006e-05,0.011841999999999998,0.0008730000000000001,-0.11,7.2635,0.0412,0.562791,-0.015700000000000002,None,-0.016,2.5928,None,-594300000.0,3.1238,None,None,None,592975732.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.2846
80071741,2017-06-30 00:00:00,-255434552.0,-369512145.0,-594900000.0,433628454.0,-274195389.0,161502767.0,18760837.0,396002436.0,-333434126.0,7102216319.0,74191842526.0,34394022359.0,-0.07744,-0.08,None,-0.12,None,None,None,None,-1.06,16796578890.0,11811102059.0,39690773048.0,654464942.0,2,-0.08,None,-0.12,0.014221,0.013210999999999999,0.011861,151.7579,0.492253,60.9705,0.003489,0.46502499999999997,0.023445999999999998,0.624026,1.1504219999999998,1.583729,0.047999,0.619773,1.663579,0.392759,5.445769,74.5201,0.05667900000000001,0.0012690000000000002,0.0009180000000000001,31.7578,1960.7843,0.0037040000000000003,485.9611,-0.0047220000000000005,0.061055,-0.004529,-0.033739,-0.038607,0.938051,-0.049332,7.0350649999999995,0.972969,0.452455,0.08501099999999999,12.7054,-70.5713,-169.7611,-0.0734,None,None,0.016091,None,-0.09718500000000001,-0.083522,0.000558,5.3e-05,None,0.0001,0.033527999999999995,0.002035,-0.08,7.2081,0.083,0.534975,-0.010700000000000001,None,-0.0106,2.5928,-0.12,-594900000.0,3.1106,None,None,None,597275134.0,None,None,427702850.0,51612886.0,54831005.0,None,None,1985721.0,None,None,204251161.0,25035993.0,4716491.0,None,7.2305
80071741,2017-09-30 00:00:00,65859697.0,-146361802.0,-476300000.0,1134939131.0,-23934635.0,249232782.0,89794332.0,1104971605.0,-1714419676.0,11757325348.0,73641421790.0,34468244089.0,-0.030674,-0.03,None,None,None,None,None,None,-0.42,17677456336.0,11693483764.0,39059284173.0,1044999090.0,2,-0.03,None,None,0.015117,0.01405,0.018079,149.3445,0.46096,106.3024,0.002396,0.469602,0.019471000000000002,None,1.129464,1.553863,0.039812,None,1.6182910000000001,0.3796,5.580356,None,0.088155,None,0.0015249999999999999,30.6279,1770.4918,0.005994,450.4505,-0.00161,0.09653,-0.0015379999999999999,0.005456,-0.002036,0.9020569999999999,-0.010086,-0.024852,-0.0034289999999999998,-0.00161,0.11938900000000001,12.3152,514.7717,1723.2681,-0.0249,None,None,0.088226,None,-0.078402,-0.096052,0.00094,0.00015,None,0.000283,0.09449500000000001,0.0033650000000000004,-0.03,7.2236,0.2316,0.530398,-0.0042,None,-0.0042,2.5928,None,-476300000.0,3.1573,None,None,None,596747585.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.2475
80071741,2017-12-31 00:00:00,332467928.0,33067087.0,-481100000.0,1863476992.0,197518531.0,294412345.0,134949397.0,5474484480.0,2938005592.0,17436414048.0,73857272152.0,34554853096.0,0.00693,0.0069,None,-0.1008,None,None,None,None,0.09,19835417897.0,12042685936.0,39179491628.0,1389460820.0,2,0.0069,None,-0.1008,0.016471,0.015517000000000001,0.031661,113.7046,0.758302,123.9278,0.001808,0.469524,0.01908,0.6599679999999999,1.129815,1.496991,0.039049,0.598831,1.557823,0.38791,5.459235,71.1435,0.13456300000000002,0.0031940000000000002,0.0022589999999999997,26.7533,1593.6255,0.008426,427.249,0.000964,0.10687300000000001,0.0009220000000000001,0.018919,0.011328,0.889859,0.004084,7.392066,1.017133,0.477569,0.143367,11.4714,129.1438,560.4983,0.0149,None,None,0.150752,None,-0.017526,-0.08302,0.00314,0.000741,0.768772,0.0013969999999999998,0.45459000000000005,0.004984,0.0069,7.2418,1.1473,0.5304760000000001,0.001,None,0.0009,2.5928,-0.1008,-481100000.0,3.1949,None,None,None,582702238.0,None,None,407945255.0,21507527.0,12741149.0,None,None,261252.0,None,None,244516326.0,42909557.0,1708877.0,None,7.2675
80071741,2018-03-31 00:00:00,-611552363.0,-651134585.0,-903300000.0,-268084711.0,-637704224.0,56749440.0,26151861.0,-847924632.0,-5236841247.0,3427873140.0,70811844993.0,33706081845.0,-0.136461,-0.14,None,None,None,None,None,None,-1.9,18648934904.0,10727104520.0,36980319127.0,509504545.0,2,-0.14,None,None,0.017384999999999998,0.016271,0.00529,170.1323,0.438996,-20.0288,0.001379,0.477766,0.015430999999999999,None,1.093073,1.493603,0.031288,None,1.541843,0.34937199999999996,5.956044,None,0.031497000000000004,None,0.000474,28.5741,1898.7342,0.001781,505.3341,-0.009094,-0.078207,-0.008903,-0.14027699999999999,-0.186035,1.076644,-0.187868,-0.134963,-0.019035,-0.009094,-0.046675,19.36,-13.5559,43.8368,-0.135,None,0.087545,0.121049,None,-0.026692999999999998,-0.10931800000000001,-0.002474,-0.00012,None,-0.000229,-0.07904499999999999,0.001001,-0.14,7.0639,-0.1777,0.522234,-0.019299999999999998,None,-0.019,2.5916,None,-903300000.0,3.0594,None,None,None,604617380.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.0902
80071741,2018-06-30 00:00:00,-206643665.0,-375004499.0,-767700000.0,308230067.0,-255060622.0,148362254.0,48416957.0,-849325913.0,-3931159287.0,8140007990.0,72768139528.0,33966159614.0,-0.078591,-0.08,None,-0.16,None,None,None,None,-1.09,20259851063.0,13795876077.0,38665760158.0,381330981.0,2,-0.08,None,-0.16,0.014684999999999998,0.013595,None,None,0.382562,45.8099,0.001762,0.46864400000000006,0.015648,0.627792,1.133814,1.489974,0.032311,0.600926,1.539725,0.437933,4.853416,74.6496,0.058953,0.0015229999999999998,0.00111,30.5328,1621.6216,0.00406,443.3498,-0.004992,0.037866,-0.004955,-0.024308999999999997,-0.031334,0.960644,-0.044627,7.4841690000000005,1.047182,0.490756,0.039356,8.2174,-95.2263,-149.1602,-0.0761,None,0.230534,0.146122,None,-0.011556,-0.019189,-0.001043,-0.000117,None,-0.00021999999999999998,-0.061563999999999994,0.0023669999999999997,-0.08,7.1184,-0.178,0.5313559999999999,-0.011000000000000001,None,-0.0109,2.5916,-0.16,-767700000.0,3.0573,None,None,None,627051044.0,None,None,8112300493.0,203694622.0,658729546.0,None,None,1344909.0,None,None,215098089.0,18163559.0,4968961.0,None,7.147
80071741,2018-09-30 00:00:00,22348180.0,-276759271.0,-763800000.0,713436997.0,-47925293.0,218212721.0,70273473.0,-758180209.0,-4869769854.0,13718360275.0,73887332284.0,34187282080.0,-0.058001,-0.06,None,None,None,None,None,None,-0.8,20982427027.0,14467583843.0,39556949701.0,363223424.0,2,-0.06,None,None,0.014502999999999999,0.013435999999999998,None,None,0.299452,106.1527,0.001338,0.464632,0.011797,None,1.152243,1.502892,0.024762,None,1.5410519999999999,0.446813,4.797951,None,0.096469,None,0.0018570000000000001,27.9883,1453.958,0.0067220000000000005,401.6662,-0.0035610000000000004,0.052006,-0.0035610000000000004,0.001616,-0.0034939999999999997,0.946662,-0.019177,-0.055133999999999996,-0.007663,-0.0035610000000000004,0.053338,6.0016,1290.8711,3192.3718,-0.0551,None,0.33197200000000004,0.16679300000000002,None,-0.00728,0.003339,-0.000553,-0.000103,None,-0.00019199999999999998,-0.052405,0.003976,-0.06,7.1648,-0.1589,0.535368,-0.008100000000000001,None,-0.008,2.5916,None,-763800000.0,3.0779,None,None,None,657901198.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.1947
80071741,2018-12-31 00:00:00,706328684.0,70802324.0,-568800000.0,2342949424.0,656343152.0,349017957.0,49985532.0,4172361650.0,-5840105624.0,21945877580.0,74687004562.0,34529875879.0,0.014838,0.0148,None,-0.1192,None,None,None,None,0.21,21708927577.0,17011043963.0,40009598701.0,616302348.0,2,0.0148,None,-0.1192,0.012762,0.011951,0.030836000000000002,116.7467,0.19842700000000002,214.6075,0.0016769999999999999,0.464303,0.010546,0.631699,1.153766,1.493811,0.022209,0.584946,1.52774,0.5132639999999999,4.177226999999999,73.5007,0.15460000000000002,0.004085,0.0029549999999999997,23.2859,1218.2741,0.010565,340.7478,0.001187,0.10676000000000001,0.001194,0.033784999999999996,0.029907,0.89054,0.00404,8.181802,1.1258110000000001,0.522718,0.10946,5.9403,56.4898,331.7081,0.0186,None,0.516909,0.258623,0.24520399999999998,-1.1000000000000001e-05,0.011234,0.001901,0.000559,0.470539,0.001043,0.245274,0.006329,0.0148,7.2366,0.8744,0.535697,0.0021,None,0.0021,2.5916,-0.1192,-568800000.0,3.1507,None,None,None,679162332.0,None,None,None,336863700.0,430221429.0,None,None,160195.0,None,None,None,10367664.0,3994303.0,None,7.2675
80071741,2019-03-31 00:00:00,168501891.0,30952844.0,-47100000.0,669753817.0,161163573.0,140616619.0,7338318.0,-5304362.0,440665006.0,5907777887.0,75972545958.0,34507103979.0,0.006487,0.0065,None,None,None,None,None,None,0.1,22543996873.0,17837772936.0,41313036986.0,381054643.0,2,0.0065,None,None,0.012638,0.011770000000000001,None,None,0.20992999999999998,144.2199,0.001033,0.456211,0.006399,None,1.191968,1.520203,0.013833,None,1.5415260000000002,0.528684,4.128311,None,0.035734,None,0.000784,25.1861,1147.9592,0.00267,337.0787,0.000508,0.113368,0.000513,0.029251999999999997,0.027280000000000002,0.8858820000000001,0.006536999999999999,0.008093,0.001114,0.000508,0.114118,8.8419,87.8061,397.4755,0.0081,None,0.190803,0.7234529999999999,None,0.024474,0.072879,-9e-06,-1e-06,-0.001374,-1e-06,-0.000297,0.001704,0.0065,7.2318,-0.0011,0.543789,0.0009,None,0.001,2.5916,None,-47100000.0,3.156,None,None,None,716340108.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.2637
80071741,2019-06-30 00:00:00,1382122877.0,973043330.0,794600000.0,2168881854.0,1403527434.0,293792462.0,-21404557.0,-1132517129.0,295940586.0,13562799371.0,75423058560.0,35116327958.0,0.203924,0.2,None,0.17,None,None,None,None,2.79,22267125153.0,17097437761.0,40145432414.0,522295060.0,2,0.2,None,0.17,0.013024,0.012017,0.012580000000000001,143.0843,0.20708300000000002,364.6249,0.000958,0.46773000000000003,0.006565,0.662357,1.137986,1.485932,0.013842,0.565917,1.506789,0.49869,4.269227,70.616,0.073421,0.0025080000000000002,0.001807,24.5161,996.1262,0.006168,291.8288,0.013078000000000001,0.159914,0.013142000000000001,0.112958,0.10348399999999999,0.839298,0.072725,8.768483999999999,1.18601,0.554733,0.160702,6.2066,19.7079,156.924,0.2067,None,0.39987900000000004,0.66619,None,0.034462,0.036485,-0.000835,-0.00015,-0.011482000000000001,-0.00028199999999999997,-0.06623899999999999,0.003878,0.2,7.3595,-0.2373,0.53227,0.0277,None,0.0279,2.5916,0.17,794600000.0,3.2834,None,None,None,708699909.0,None,None,None,206129724.0,246327134.0,None,None,554242.0,None,None,None,22100082.0,3155259.0,None,7.3933
