公司代码,报表日期,产品,单位,币种,本期主营业务收入,占主营业务收入比例,前期主营业务收入,本期主营业务成本,占主营业务成本比例,前期主营业务成本,本期毛利率
80083409,2021-12-31 00:00:00,甲醇,元,人民币,2330000000.0,None,None,2394000000.0,None,None,None
80083409,2021-12-31 00:00:00,聚烯烃,元,人民币,11879000000.0,None,None,10739000000.0,None,None,None
80083409,2021-12-31 00:00:00,买断贸易煤,元,人民币,130207000000.0,None,None,129418000000.0,None,None,None
80083409,2021-12-31 00:00:00,尿素,元,人民币,4932000000.0,None,None,3755000000.0,None,None,None
80083409,2021-12-31 00:00:00,其他(补充),元,人民币,1162965000.0,None,None,1165470000.0,None,None,None
80083409,2021-12-31 00:00:00,其中:动力煤,元,人民币,57378000000.0,None,None,32628000000.0,None,None,None
80083409,2021-12-31 00:00:00,其中:炼焦煤,元,人民币,14038000000.0,None,None,3381000000.0,None,None,None
80083409,2021-12-31 00:00:00,其中:买断贸易聚烯烃,元,人民币,884000000.0,None,None,876000000.0,None,None,None
80083409,2021-12-31 00:00:00,其中:自产聚烯烃,元,人民币,10995000000.0,None,None,9863000000.0,None,None,None
80083409,2021-12-31 00:00:00,自产商品煤,元,人民币,71416000000.0,None,None,36009000000.0,None,None,None
