公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80124565,2017-03-31 00:00:00,63832815.91,50143761.58,48402844.6,142273280.72,62301678.91,790085.64,1531137.0,80355446.61,1113601155.98,488371497.35,7498335427.4,4942844776.04,0.025653,0.026,None,None,None,None,None,None,1.07,3689445934.95,1905726382.73,2523286691.87,15434368.97,2,0.026,0.026,None,0.01936,0.017535000000000002,0.025478999999999998,35.3232,1.18315,513.5758,0.001121,0.6634869999999999,0.026673,None,0.507188,0.7360099999999999,0.038647,None,0.765598,0.423257,3.25454,None,0.009255,None,0.0007040000000000001,97.2447,1278.4091,0.0015840000000000001,568.1818,0.006847,0.291322,0.007398,0.14954,0.12757,0.66561,0.10513299999999999,0.026267,0.010320000000000001,0.006847,0.33439,16.5369,3.6364,222.8842,0.0263,None,0.002352,2.8970510000000003,None,0.171324,0.333701,0.001645,0.000107,0.01565,0.00031800000000000003,0.042165,0.001085,0.026,2.5287,0.0411,0.336513,0.0101,0.026,0.010700000000000001,1.364,None,48402844.6,-0.088,None,None,None,304422027.12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5451
80124565,2017-06-30 00:00:00,61663664.21,30805584.0,383604.49,209392198.78,61233832.72,49974990.27,429831.49,209143451.27,1168150536.51,1126805112.5,7773437045.34,4918318776.08,0.01576,0.016,None,0.0,None,None,None,None,0.648,4259016000.08,2278100530.63,2816796674.21,25747502.91,2,0.016,0.016,0.0,0.018695,0.016645,0.056518,31.8483,1.046832,339.4938,0.0007570000000000001,0.637638,0.019296,2.801085,0.568287,0.688206,0.029373999999999997,0.637039,0.709033,0.489868,2.941177,22.764,0.021575999999999998,0.006314999999999999,0.001592,83.426,1130.6533,0.0033450000000000003,538.1166,0.004904,0.185828,0.005386999999999999,0.057497,0.054343,0.7867730000000001,0.033833,0.535291,0.21109999999999998,0.134605,0.213227,13.76,81.7415,339.5715,0.0195,None,0.141296,2.166669,None,0.192516,0.380438,0.0018559999999999998,0.000269,0.054859,0.000742,0.091806,0.0025080000000000002,0.016,2.5161,0.107,0.36236199999999996,0.0063,0.016,0.0064800000000000005,1.364,0.0,383604.49,-0.0979,None,None,None,300475235.5,None,None,None,1039169.76,205768.37,433300.32,None,None,None,None,None,None,None,None,2.5357
80124565,2017-09-30 00:00:00,73594895.29,32138669.47,-11523565.12,272557032.41,72525008.94,70973672.88,1069886.35,210211486.7,1707575336.02,1761925068.49,7844716963.29,4920347301.94,0.016442,0.017,None,None,None,None,None,None,0.67,4343326273.11,2498732621.29,2884482073.47,46965858.34,2,0.017,0.017,None,0.017381999999999998,0.0155,0.121693,22.187,1.168548,256.6987,None,0.632303,None,None,0.581521,None,None,None,0.7058920000000001,0.503753,None,None,0.034888,None,0.002477,77.3905,1090.0283,0.005166,522.6481,0.005701,0.154693,0.006287,0.0426,0.041162000000000004,0.816748,0.025383,0.022879,0.009016,0.005701,0.183252,13.5205,97.8921,370.3477,0.0229,None,0.215854,1.876398,None,0.192928,0.231329,0.001193,0.000268,0.047003,0.000729,0.084127,0.00392,0.017,2.5172,0.1075,0.367697,0.006500000000000001,0.017,0.0067,1.364,None,-11523565.12,-0.0972,None,None,None,289530744.95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.5376
80124565,2017-12-31 00:00:00,82521907.89,45538354.23,-60813251.38,373723074.22,77171602.6,146715309.29,5350305.29,253061336.6,1264859569.03,2756164500.99,7765025571.1,4914439310.56,0.023297,0.02,None,-0.03,None,None,None,None,0.94,4464906013.19,2363408889.5,2812178907.96,56475528.12,2,0.02,None,-0.03,0.018892,0.017582,0.12389,29.058,1.0181529999999999,246.1198,None,0.63784,None,2.214147,0.56779,None,None,0.6867489999999999,0.6663079999999999,0.47718200000000005,None,28.8075,0.069586,0.013656999999999999,0.003897,51.7345,923.7875,0.007940000000000001,453.4005,0.007295,0.135595,0.008008,0.030531000000000003,0.027999999999999997,0.8386920000000001,0.020551,0.5509620000000001,0.21744599999999997,0.138696,0.161308,11.6254,184.273,452.8774,0.029,None,None,2.036542,None,0.229133,0.216792,0.0009180000000000001,0.00032599999999999996,0.044676999999999994,0.0009,0.10707499999999999,0.006137,0.02,2.5141,0.1295,0.36216000000000004,0.009300000000000001,None,0.009399999999999999,1.364,-0.03,-60813251.38,-0.0904,None,None,None,None,None,None,None,148989.78,11719647.38,None,None,None,None,None,None,9126959.2,820803.86,None,2.5338
80124565,2018-03-31 00:00:00,-138722658.91,-108834135.63,-54425041.34,12082941.82,-138903895.06,2711458.09,181236.15,137337849.05,310194592.89,502932342.8,7789512828.6,4806788588.37,-0.055678,-0.056,None,None,None,None,None,None,-2.24,4494394469.31,2488201573.7,2945371463.53,12910280.71,2,-0.056,-0.056,None,0.018063,0.017154,0.021227999999999997,42.3968,1.080027,-974.5131,None,0.62188,None,None,0.608028,None,None,None,0.680228,0.513652,None,None,0.017726,None,0.0006469999999999999,50.7729,1391.0355,0.0011229999999999999,801.4248,-0.014107000000000001,0.024024999999999998,-0.014129000000000001,-0.24374099999999999,-0.276188,0.9440649999999999,-0.218496,-0.056216999999999996,-0.022685,-0.014107000000000001,0.055935,15.5669,-2.0852,-8.7101,-0.0562,None,None,0.029815,-3.1402409999999996,-0.026313,0.038832,0.002731,0.00017600000000000002,None,0.00046600000000000005,0.055195999999999995,0.001027,-0.056,2.4591,0.0703,0.37811999999999996,-0.0226,-0.056,-0.022400000000000003,1.364,None,-54425041.34,-0.1461,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.4782
80124565,2018-06-30 00:00:00,-228115574.86,-205951113.58,-122610858.75,42857809.73,-227759049.91,7066016.32,-356524.95,12897733.86,196746102.9,779546662.04,7769262961.35,4700325727.74,-0.105361,-0.105,None,-0.063,None,None,None,None,-4.284,4525597683.12,2629184672.91,3068937233.61,40370510.73,2,-0.105,-0.105,-0.063,0.017213,0.016041,0.035583000000000004,50.586,1.008045,-465.055,None,0.60499,None,2.122938,0.6529200000000001,None,None,0.676762,0.690094,0.559362,None,28.4978,0.022917,0.003503,0.0010040000000000001,78.5443,1792.8287,0.001734,1038.0623,-0.026482000000000002,0.054978,-0.02649,-0.25119199999999997,-0.292169,0.908121,-0.263935,0.435736,0.18120899999999998,0.10962999999999999,0.264847,21.9926,-2.9413,-18.7878,-0.1053,-5e-06,None,-0.30818,-6.396915,-0.051711,-0.0005369999999999999,0.000165,1.7e-05,None,4.2e-05,0.004906,0.0016150000000000001,-0.105,2.4046,0.0066,0.39501,-0.0438,-0.105,-0.042839999999999996,1.3597,-0.063,-122610858.75,-0.1957,None,None,None,7993524.14,None,None,None,148989.78,978139.19,208439.66,None,9672583.06,None,None,None,67943691.56,8051410.5,None,2.4046
80124565,2018-09-30 00:00:00,-653215990.75,-536231498.01,-432638139.94,-3010153.39,-652845418.07,17595359.66,-370572.68,8978510.35,-257789761.29,1060063395.57,7297301574.14,4370443970.64,-0.274326,-0.274,None,None,None,None,None,None,-11.554,3969513163.83,2234379383.07,2926857603.5,67243957.31,2,-0.274,-0.274,None,0.017766,0.016810000000000002,0.051006,52.9349,0.957465,-871.4122,None,0.598912,None,None,0.6696930000000001,None,None,None,0.76143,0.511248,None,None,0.039234,None,0.0014080000000000002,68.8179,1917.6136,0.002514,1073.9857,-0.07345600000000001,-0.0028399999999999996,-0.071175,-0.411087,-0.615855,0.9682540000000001,-0.505658,-0.274223,-0.12264900000000001,-0.07345600000000001,0.031745999999999996,49.6123,-2.6369,0.4608,-0.2742,-2e-06,None,-0.39834899999999995,-12.985655999999999,-0.118904,-0.06978100000000001,8.5e-05,1.1999999999999999e-05,None,3.1e-05,0.004018,0.002274,-0.274,2.2358,0.0046,0.401088,-0.12269999999999999,-0.274,-0.11554,1.3597,None,-432638139.94,-0.3647,None,None,None,8849258.8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.2358
80124565,2018-12-31 00:00:00,-848094799.74,-766080573.49,-601286157.7,43577177.5,-847486476.17,24736792.72,-608323.57,91735134.98,-58696102.47,1386602813.88,7053956203.98,4140440134.59,-0.391913,-0.39,None,-0.31,None,None,None,None,-16.91,3631504820.67,2221202588.89,2913516069.39,75054219.68,2,-0.39,None,-0.31,0.016349,0.014903,0.07872799999999999,45.7271,0.9261499999999999,-1029.9762,None,0.586967,None,1.8547049999999998,0.703673,None,None,0.670287,0.826591,0.5364650000000001,None,31.6475,0.04107,0.0062050000000000004,0.0018709999999999998,87.6552,1924.1048,0.003425,1051.0949,-0.108574,0.031427000000000004,-0.10336499999999998,-0.419437,-0.611196,0.934281,-0.552342,0.169966,0.08024200000000001,0.047099,0.065719,48.9656,-2.845,-5.1382,-0.3918,-1e-06,None,-0.496909,-14.521382000000001,-0.16402799999999998,-0.09157299999999999,0.0006619999999999999,0.00013,None,0.000315,0.041299999999999996,0.0030499999999999998,-0.39,2.1182,0.0469,0.413033,-0.185,None,-0.1691,1.3597,-0.31,-601286157.7,-0.4823,None,None,None,8702791.98,None,None,None,391708.03,11826.98,175242.04,None,2798262.96,None,None,None,81547027.88,4424920.08,None,2.1182
80124565,2019-03-31 00:00:00,42172790.48,33111253.8,-8790328.2,59127489.97,42201592.45,-21208842.28,-28801.97,174912048.36,-47034236.21,674653199.23,6618769942.44,4173551388.39,0.016939,0.017,None,None,None,None,None,None,0.8,3228164734.21,1753061642.13,2445218554.05,19443361.88,2,0.017,0.017,None,0.018414,0.01617,0.060345,14.9142,1.145356,316.9007,None,0.630563,None,None,0.585884,None,None,None,0.8124030000000001,0.420041,None,None,0.01693,None,0.000987,53.1601,911.8541,0.001967,457.5496,0.005003,0.087641,0.004843,0.061635,0.062553,0.8966729999999999,0.049079,0.016939,0.007934,0.005003,0.103327,10.1836,-50.3586,140.2029,0.0169,3e-05,None,0.34143900000000005,None,-0.138433,-0.15029700000000001,0.002593,0.000264,0.052826000000000005,0.0007149999999999999,0.09977499999999999,0.001623,0.017,2.1351,0.0895,0.369437,0.0079,0.017,0.008,1.3597,None,-8790328.2,-0.4644,None,None,None,8912831.92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1351
80124565,2019-06-30 00:00:00,75570590.0,44966220.0,67384360.0,384329200.0,75804540.0,-103700530.0,-233950.0,640483170.0,-973494290.0,2254871910.0,8646379000.0,3786744110.0,0.023004,0.02,None,0.03,None,None,None,None,0.99,2708753450.0,2715480770.0,3709403430.0,27943330.0,2,0.02,0.02,0.03,0.009975000000000001,0.008288,0.19592400000000001,9.1872,0.5093289999999999,370.4423,None,0.5709879999999999,None,2.200584,0.751351,None,None,0.663333,1.202685,0.550029,None,25.9471,0.047195999999999995,0.010076,0.002872,38.1388,626.7409,0.007113,253.0578,0.0065439999999999995,0.17044399999999998,0.007207,0.035713,0.033618,0.8156300000000001,0.025092,0.611459,0.242098,0.138235,0.18437,10.8887,-137.533,508.5698,0.0289,1.8e-05,None,1.892543,None,0.050348,0.112896,0.0028399999999999996,0.000741,0.113202,0.001727,0.23586400000000002,0.004968,0.02,1.9372,0.3277,0.429012,0.011899999999999999,0.02,0.009899999999999999,1.5269,0.03,67384360.0,-0.9963,None,None,None,27602160.0,636802090.0,None,None,408680.0,19100.0,1197050.0,None,2446480.0,None,None,None,6058190.0,4720080.0,None,2.5257
80124565,2019-09-30 00:00:00,177575040.0,111368280.0,134818060.0,586990960.0,177885180.0,-77168730.0,-310140.0,684706400.0,-1044585620.0,3051650830.0,8633218350.0,3890254610.0,0.056974,0.06,None,None,None,None,None,None,2.41,2840360900.0,2574348110.0,3538459820.0,50478090.0,2,0.06,0.06,None,0.011033,0.009192,0.264479,10.2088,0.516105,451.7864,None,0.5901339999999999,None,None,0.694529,None,None,None,1.137023,0.505293,None,None,0.060707000000000004,None,0.003891,44.4759,693.909,0.009431,286.2899,0.016402,0.192352,0.018053,0.062603,0.058291,0.790933,0.046401000000000005,0.07244,0.027793,0.016402,None,12.1863,-43.6316,330.5594,0.0724,7e-06,None,1.8787440000000002,None,0.16573000000000002,0.18306999999999998,0.002244,0.000793,0.048354999999999995,0.001935,0.265973,0.006609,0.06,1.9902,0.3503,0.409866,0.0286,0.06,0.0241,1.5269,None,134818060.0,-0.9623,None,None,None,28921900.0,476330040.0,None,None,None,None,None,None,None,None,None,None,None,None,None,2.6064
80124565,2019-12-31 00:00:00,241057740.0,127708890.0,134707320.0,716886520.0,239514860.0,-61898890.0,1542880.0,1034802280.0,-1088644870.0,3718283310.0,8634842420.0,3886436960.0,0.065334,0.07,None,0.07,None,None,None,None,2.37,2778575150.0,2331481360.0,3540088560.0,73551730.0,2,0.07,None,0.07,0.011918,0.009734,0.257378,13.9872,0.5465800000000001,427.739,0.011859,0.590023,0.061401000000000004,2.124929,0.69485,1.041124,0.09425700000000001,0.6697110000000001,1.14947,0.56169,2.795776,27.7667,0.070695,0.016062,0.004739999999999999,50.923,759.4937,0.011600999999999998,310.3181,0.021071,0.1928,0.023194,0.06969,0.064415,0.789398,0.048930999999999995,0.698001,0.267804,0.158011,None,12.3073,-25.038,297.392,0.0931,None,None,1.681578,None,0.230486,0.224113,0.002783,0.001198,0.056875999999999996,0.0029230000000000003,0.443839,0.008052,0.07,1.9882,0.5294,0.40997700000000004,0.0329,None,0.023700000000000002,1.559,0.07,134707320.0,-0.8191,None,None,None,34444400.0,469655250.0,None,None,785800.0,279200.0,489120.0,None,1634180.0,2393560.0,None,None,785800.0,279200.0,489120.0,2.6064
80124565,2020-03-31 00:00:00,32260610.0,4851900.0,51578470.0,166244010.0,32986769.999999996,13080320.0,-726160.0,279111240.0,82655840.0,784744650.0,8521093030.0,3947761150.0,0.002482,0.002,None,None,None,None,None,None,0.12,2724673950.0,2149573800.0,3379479850.0,20495440.0,2,0.002,None,None,0.012675,0.011391,0.03329,27.0351,0.6245499999999999,257.4038,0.009219,0.603398,0.062221,None,0.65728,1.021971,0.09347799999999999,None,1.127354,0.5211910000000001,2.94479,None,0.015355,None,0.000915,58.6128,983.6066,0.002852,315.568,0.001051,0.211845,0.001044,0.04689,0.042035,0.768168,0.011415999999999999,0.004583,0.0017419999999999998,0.001051,None,8.8578,38.2949,515.3158,0.0046,None,None,0.16318200000000002,-0.729444,0.231952,0.287413,0.0035570000000000003,0.000328,0.311562,0.000826,0.12984500000000002,0.0015329999999999999,0.002,2.0196,0.1428,0.396602,0.0012,None,0.0012,1.559,None,51578470.0,-0.8167,None,None,None,28621690.0,476821700.0,None,None,None,None,None,None,None,None,None,None,None,None,None,2.6304
