公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80400104,2017-03-31 00:00:00,7994486.67,6637119.97,4115321.87,15312434.28,4729949.34,None,3264537.33,13985113.21,2919957.4,54056676.48,986810074.83,474976187.16,0.036873,0.04,None,0.02,2.64,None,0.08,None,1.41,121143463.98,367295401.29,509353980.83,2929012.72,2,0.04,0.04,0.02,0.0032979999999999997,0.002605,0.049215,18.2871,0.066562,372.9413,-0.002438,0.483838,0.060801999999999995,None,1.066808,1.610674,0.111637,None,1.813081,0.894942,1.638929,None,0.015899,None,0.00055,56.6073,1636.3636,0.004475,201.1173,0.006717999999999999,0.283266,0.006749000000000001,0.162157,0.0875,0.690185,0.12263099999999999,None,0.013884,0.006717999999999999,0.309815,19.5291,40.8349,191.5374,0.0369,None,None,0.19271899999999997,0.283918,None,None,0.002587,0.000142,0.021097,0.000275,0.038076,0.00114,0.04,2.64,None,0.516162,0.013999999999999999,0.04,0.0141,None,0.02,4115321.87,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80400104,2017-06-30 00:00:00,44683302.13,33864958.39,28412403.24,63017892.85,44773306.39,None,-90004.26,31094560.3,9924502.32,165827904.08,1061565108.14,683274977.95,0.141104,0.17,None,0.14,None,None,None,None,6.21,167861544.54,293631144.71,375804458.1,6029561.73,2,0.17,0.17,0.14,0.005717,0.004858,0.09264,19.4301,0.107081,841.0705,None,0.6459900000000001,None,2.048753,0.548011,None,None,0.678953,1.30323,0.428183,None,31.5309,0.041971,0.005078,0.0016259999999999998,42.8868,1107.0111,0.011504,156.4673,0.031899000000000004,0.38002,0.03321,0.35379399999999994,0.269999,0.590843,0.204204,0.800574,0.280182,0.180995,0.409157,14.1638,-0.2014,141.0323,0.1411,None,None,0.20585,0.21340599999999998,None,None,0.001875,0.000293,0.009183,0.0008269999999999999,0.105897,0.002867,0.17,2.847,0.1296,0.35401000000000005,0.0496,0.17,0.0621,0.7321,0.14,28412403.24,1.0345,None,None,None,None,None,None,None,None,None,None,None,12928649.14,0.0,None,None,89410.0,159000.0,None,2.8573
80400104,2017-09-30 00:00:00,64075962.02,49051629.58,40621894.67,94963111.6,64175281.84,None,-99319.82,20181797.08,-14444104.99,239164738.69,1079387895.41,698689456.54,0.204382,0.23,None,None,None,None,None,None,8.26,174046980.21,298421462.66,378229314.37,8982010.69,2,0.23,0.23,None,0.005832,0.0045650000000000005,0.099067,27.2543,0.023736999999999998,813.381,None,0.649589,None,None,0.539435,None,None,None,1.291207,0.425612,None,None,0.045992,None,0.0023250000000000002,58.7059,1161.2903,0.016243,166.2255,0.045426,0.397062,0.047671,0.349503,0.26833100000000004,0.570089,0.205017,0.20430299999999998,0.06993100000000001,0.045426,0.42991100000000004,16.3622,-0.155,148.204,0.2043,None,None,0.332573,0.600526,None,None,0.000844,0.00018700000000000002,0.004116,0.0005340000000000001,0.067629,0.004081,0.23,2.9112,0.0841,0.35041100000000003,0.0702,0.23,0.08259999999999999,0.7321,None,40621894.67,1.0977,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.9215
80400104,2017-12-31 00:00:00,102916777.59,77114614.43,67500342.32,159310076.91,103082711.44,None,-165933.85,-4448022.18,53792617.39,377568147.7,1229417368.92,726589529.25,0.321311,0.35,None,0.31,None,None,None,None,12.29,295597506.69,418262904.76,500372681.25,13989947.68,2,0.35,0.35,0.31,0.007067,0.005991,0.118196,30.4579,0.19259199999999999,835.6481,None,0.593,None,1.319838,0.68634,None,None,0.7529600000000001,1.280882,0.5737140000000001,None,44.9298,0.061845,0.008672,0.003421,58.21,1052.3239,0.018151,198.3362,0.06268699999999999,0.421937,0.06983500000000001,0.36385399999999996,0.273017,0.544705,0.204118,1.076243,0.354297,0.21009799999999998,0.455295,17.1078,-0.1612,154.795,0.3211,None,None,0.33246400000000004,0.5362939999999999,0.548357,0.257416,-0.000118,-3.6e-05,-0.000577,-8.9e-05,-0.010634999999999999,0.006293,0.35,3.0275,-0.0185,0.40700000000000003,0.1061,0.35,0.1229,0.7321,0.31,67500342.32,1.2014,None,None,None,None,None,None,None,36354.91,None,None,None,67595.34,4075194.16,None,None,2837900.0,151410.0,None,3.0377
80400104,2018-03-31 00:00:00,28299788.74,20438151.67,19339708.56,47383876.68,28855539.54,None,-555750.8,2438341.71,-63822050.65,98951412.39,1334122335.49,747016265.68,0.085159,0.09,None,None,None,None,None,None,2.77,271690637.78,503477602.74,583871557.4,4906957.4,2,0.09,0.09,None,0.005396,0.003938,0.01854,48.5437,0.03402,676.7278,None,0.562355,None,None,0.778235,None,None,None,1.416102,0.671079,None,None,0.008127,None,0.000772,110.742,1165.8031,0.003489,257.9536,0.015224999999999999,0.47886,0.015847,0.39183,0.291613,0.486456,0.205274,0.084634,0.027073999999999997,0.015224999999999999,0.513544,20.8761,-1.9638,167.4354,0.0846,None,None,0.8305119999999999,2.064112,0.57135,0.351955,0.000246,1.8e-05,0.0012,4.2e-05,0.004843,0.001338,0.09,3.1126,0.0102,0.437645,0.0274,0.09,0.0277,0.7321,None,19339708.56,1.2865,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.126
80400104,2018-06-30 00:00:00,58755284.72,42476714.78,40030918.52,99858272.1,59485260.93,None,-729976.21,7376759.68,-17623970.33,219808624.47,1413933696.9,745190424.31,0.176986,0.18,None,0.17,None,None,None,None,5.68,330270513.21,578767631.05,665609675.79,8903217.62,2,0.18,0.18,0.17,0.005706,0.0044269999999999995,0.050202,35.8551,0.105311,759.9332,None,0.52925,None,1.257885,0.8894670000000001,None,None,0.682462,1.44812,0.773418,None,42.0746,0.018701000000000002,0.003832,0.001663,96.2515,1082.3812,0.007024,256.2642,0.029872,0.45429600000000003,0.031957,0.35564300000000004,0.270623,0.506565,0.192151,1.329316,0.426334,0.225637,0.493435,20.5898,-1.2424,169.9562,0.176,0.005682,None,0.325523,0.24728899999999998,0.09123200000000001,0.33193300000000003,0.000336,5.2e-05,0.0017469999999999999,0.000111,0.012746,0.002976,0.18,3.105,0.0307,0.47075,0.057,0.18,0.056799999999999996,0.7321,0.17,40030918.52,1.2783,None,None,None,None,None,None,None,31683.06,None,None,None,37339.94,66310.68,None,None,2689920.0,412500.0,None,3.118
80400104,2018-09-30 00:00:00,96348641.33,70959328.22,67723747.08,170772723.36,98065791.53,None,-1717150.2,29792518.43,-28053525.26,368100283.21,1458577360.46,774010269.37,0.295664,0.3,None,None,None,None,None,None,9.41,347747359.71,596334121.41,681352941.23,23567560.25,2,0.3,0.3,None,0.005830999999999999,0.004507,0.068519,39.4051,0.131308,508.8189,None,0.5328649999999999,None,None,0.876649,None,None,None,1.429227,0.767261,None,None,0.029539,None,0.0027389999999999997,91.4046,985.7612,0.011443000000000002,235.9521,0.048535,0.46393,0.052673,0.35076599999999997,0.266411,0.49744999999999995,0.192318,0.294968,0.091083,0.048535,0.50255,21.0142,-1.7822,177.2446,0.295,None,None,0.539108,0.443775,0.108486,0.3513,0.000809,0.00020400000000000003,0.004208,0.00043700000000000005,0.049958999999999996,0.004888,0.3,3.225,0.1241,0.467135,0.0917,0.3,0.0941,0.7321,None,67723747.08,1.397,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.2384
80400104,2018-12-31 00:00:00,187291274.5,137638679.12,132570195.61,294304707.66,190374914.8,None,-3083640.3,117363167.88,-29461717.18,587649370.84,1513050276.3,841043188.73,0.573494,0.57,None,0.55,None,None,None,None,17.56,374961246.61,588258713.42,668706485.03,24019542.62,2,0.57,0.57,0.55,0.0063739999999999995,0.005154,0.095634,37.6435,0.09820499999999999,879.7454,None,0.558041,None,1.407962,0.791984,None,None,0.662033,1.347898,0.696705,None,39.6347,0.046294,0.010202,0.004286,77.7639,839.944,0.017527,205.3974,0.09090899999999999,0.500817,0.100311,0.468142,0.32396,0.46015900000000004,0.234068,1.848717,0.525488,0.29324300000000003,0.539841,18.1621,-1.6464,157.1374,0.5731,None,None,0.556406,0.7847759999999999,0.15815099999999999,0.230705,0.001997,0.000776,0.008532,0.0017549999999999998,0.19950900000000002,0.00747,0.57,3.5043,0.489,0.441959,0.1637,0.57,0.17559999999999998,0.7321,0.55,132570195.61,1.6443,None,None,None,None,None,None,None,113518.29,31683.06,None,None,134169.99,63360.68,None,None,241424.5,2827400.0,None,3.5181
80400104,2019-03-31 00:00:00,56904537.03,41496552.56,39317098.05,76140345.81,56976015.05,None,-71478.02,18115782.25,38953292.07,131715564.42,1558557639.54,882410172.59,0.172902,0.17,None,None,None,None,None,None,4.82,406465767.02,592693784.52,672618336.02,1653017.03,2,0.17,0.17,None,0.0068579999999999995,0.005495,0.019867,45.3013,0.18187699999999998,3542.4653,None,0.568435,None,None,0.759215,None,None,None,1.300419,0.669,None,None,0.006646999999999999,None,0.000858,135.3994,1048.951,0.0033710000000000003,266.9831,0.026774,0.5780660000000001,0.027170999999999997,0.732773,0.43256900000000004,0.38501199999999997,0.316813,0.173872,0.047102000000000005,0.026774,0.614988,16.7643,-0.1256,133.8036,0.1739,None,None,0.331114,1.0543959999999999,0.180858,0.16822700000000002,0.0013750000000000001,0.00011599999999999999,0.004341,0.000269,0.030565000000000002,0.001522,0.17,3.6767,0.0755,0.43156500000000003,0.047,0.17,0.0482,0.7321,None,39317098.05,1.8172,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.6914
80400104,2019-06-30 00:00:00,151506916.57,110725122.36,107200898.59,208307388.91,151691996.14,None,-185079.57,106208122.95,54004450.11,357779625.54,1611359775.61,908175268.44,0.461355,0.46,None,0.45,None,None,None,None,12.45,448721965.32,620415540.86,699223779.67,6837367.83,2,0.46,0.46,0.45,0.007233000000000001,0.00594,0.040542999999999996,44.3973,0.202387,2315.8661,None,0.566066,None,1.4741309999999999,0.766578,None,None,0.639801,1.274632,0.680179,None,38.4,0.017929999999999998,0.005873000000000001,0.00229,100.3904,786.0262,0.008687,207.2062,0.06913,0.5822229999999999,0.071305,0.736563,0.423982,0.380897,0.311347,1.915616,0.504034,0.285317,0.619103,15.7142,-0.1222,137.4903,0.4641,None,None,0.627687,1.637376,0.218905,0.139629,0.002969,0.000659,0.009534,0.0015190000000000002,0.171189,0.0040739999999999995,0.46,3.7841,0.4425,0.433934,0.1219,0.46,0.1245,0.7321,0.45,107200898.59,1.9187,None,None,None,None,None,None,None,42486.85,113518.29,None,None,68912.67,32929.0,None,None,1347174.5,4350800.0,None,3.8006
