公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80279695,2017-03-31 00:00:00,142423390.75,106560411.21,106349534.03,195283460.15,142423402.03,None,-11.28,127224320.76,-26084239.74,374784745.36,None,None,None,0.3,None,None,None,None,None,None,8.0,None,None,None,3140497.14,2,0.3,0.3,None,None,None,None,None,None,4635.0588,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.521055,None,0.62243,0.38001399999999996,0.47871600000000003,0.284324,None,None,None,0.521284,13.1587,0.0,137.1147,None,None,None,None,None,None,None,0.0033950000000000004,None,0.011939,None,None,0.005863,0.3,None,None,None,None,0.3,0.08,None,None,106349534.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80279695,2017-06-30 00:00:00,282741566.02,210578526.24,206280000.0,413893299.03,277230034.86,None,5511531.16,223143630.73,62216168.72,826320019.22,2955908400.96,1489117511.88,0.58494,0.58,None,0.57,None,None,None,None,15.22,1508463978.08,1190741563.54,1466790889.08,18952349.23,2,0.58,0.58,0.57,0.012667999999999999,0.010382,0.013635,132.0132,0.343371,1591.855,0.0034899999999999996,0.5037769999999999,0.037508,None,0.985007,0.9046599999999999,0.06929400000000001,None,0.972015,0.8740829999999999,2.225897,None,0.016730000000000002,None,0.002967,107.5912,606.6734,0.0059,305.0847,0.07124,0.5008870000000001,0.075609,0.516636,0.33549999999999996,0.496156,0.254839,None,0.14141199999999998,0.07124,0.503844,16.3191,1.9493,146.3857,0.5849,None,None,0.018001,0.167507,None,None,0.0027,0.000755,0.010597,0.0015210000000000002,0.18739899999999998,0.005971,0.58,4.1364,None,0.496223,0.1414,0.58,0.1522,None,0.57,206280000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80279695,2017-09-30 00:00:00,434302442.87,337150772.0,332524900.0,648022754.91,428134621.68,None,6167821.19,316980071.09,900308042.52,1332319327.02,4002103158.37,2472401308.8,0.842877,0.93,None,0.91,None,None,None,None,21.86,2447244913.96,1269869698.04,1529701849.57,31251168.93,2,0.93,0.93,0.91,0.019272,0.017223,0.019977,135.1554,0.9880209999999999,1489.7158,0.0009320000000000001,0.617776,0.027427999999999998,None,0.618711,0.602151,0.042511,None,0.628886,0.558016,2.8586009999999997,None,0.028473000000000002,None,0.004027,94.8267,670.4743,0.007125,378.9474,0.08424300000000001,0.486387,0.101913,0.486678,0.32134500000000005,0.5107849999999999,0.253056,0.9365300000000001,0.136366,0.08424300000000001,0.489215,15.6183,1.4202,149.21,0.9365,None,None,0.11852499999999999,0.11676500000000001,None,None,0.002379,0.0007920000000000001,0.009402,0.002072,0.249616,0.007104,0.93,6.181,0.8805,0.382224,0.1364,0.93,0.2186,2.8573,0.91,332524900.0,2.6794,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.8678
80279695,2017-12-31 00:00:00,507469558.61,394515182.02,381627815.87,791903469.94,507813725.08,None,-344166.47,251669301.2,576072548.95,1772378874.25,3709983759.22,2514298948.47,0.986288,1.06,None,1.02,None,None,None,None,22.46,2059851546.26,991762594.61,1195684810.75,43195806.06,2,1.06,1.06,1.02,0.02077,0.018166,0.027458,131.1093,0.9067430000000001,1274.8121,0.000681,0.677712,0.019615,1.962739,0.475554,0.637839,0.028128,0.7422289999999999,0.6562990000000001,0.423391,3.4307190000000003,34.5289,0.040988,0.015661,0.005605,87.8306,642.2837,0.010573999999999998,340.4577,0.106339,0.446803,0.124762,0.40427799999999997,0.28651499999999996,0.550538,0.222591,2.0985069999999997,0.333852,0.22625499999999998,0.449462,15.5032,-0.0678,156.0495,0.9863,None,None,0.111,0.001001,0.966541,0.41910200000000003,0.0014199999999999998,0.000678,0.006379,0.002105,0.25376,0.009346,1.06,6.2857,0.6292,0.322288,0.15689999999999998,1.06,0.22460000000000002,2.5338,1.02,381627815.87,2.4532,None,None,None,None,None,None,None,75130036.54,40315769.87,40505044.92,None,3622335.22,243254.9,None,None,1744321.26,4536747.6,28373073.62,6.2857
80279695,2018-03-31 00:00:00,108180755.7,81166414.32,80870678.96,182477371.47,108047797.5,None,132958.2,28765611.87,-153813540.99,453043693.68,3856258620.97,2595865735.09,0.202916,0.2,None,None,None,None,None,None,3.18,2114269656.07,1076662429.25,1260392885.88,27636853.94,2,0.2,0.2,None,0.019637,0.017257,0.00623,144.4623,0.7146720000000001,491.4366,0.000691,0.6731570000000001,0.018585,None,0.485539,0.653033,0.026867000000000002,None,0.6710630000000001,0.44237000000000004,3.3079680000000002,None,0.010518000000000001,None,0.001198,85.5676,751.2521,0.0021709999999999998,414.5555,0.021048,0.402781,0.021455000000000002,0.305095,0.23849299999999998,0.597155,0.179158,0.20291599999999999,0.031268,0.021048,0.402845,18.5443,0.1229,168.6782,0.2029,None,None,0.20881,-0.23830600000000002,None,None,0.000635,7.5e-05,0.003544,0.000228,0.026717,0.001773,0.2,6.4897,0.0719,0.326843,0.0313,0.2,0.0318,2.5338,None,80870678.96,2.6561,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.4897
80279695,2018-06-30 00:00:00,141430716.26,103964132.22,98384383.03,260098071.55,141370298.35,None,60417.91,113576699.11,-88280613.57,756249777.19,4240718562.67,2446749374.82,0.25991,0.26,None,0.25,None,None,None,None,4.1,2297216500.45,1657389146.65,1793969187.85,14979634.41,2,0.26,0.26,0.25,0.013859999999999999,0.011855,0.011267000000000001,159.7586,0.527273,1044.1533,0.0006140000000000001,0.576966,0.009267,2.092227,0.733205,0.781763,0.015808,0.734383,0.79432,0.693446,2.465683,27.5766,0.016771,0.0061719999999999995,0.001902,107.3281,946.3722,0.003471,518.5825,0.024516,0.343931,0.026152,0.22469899999999998,0.186936,0.654942,0.13747299999999998,1.317345,0.215362,0.124257,0.34505800000000003,17.6228,0.0427,183.9049,0.2599,0.011541999999999998,None,-0.08479799999999998,-0.506293,0.643087,0.434658,0.001502,0.000268,0.010925,0.000633,0.06852699999999999,0.003049,0.26,6.1169,0.2839,0.423034,0.0425,0.26,0.040999999999999995,2.5338,0.25,98384383.03,2.4131,None,None,None,None,None,None,None,27523995.67,35835639.44,39410971.06,None,3239608.28,1228273.29,None,None,4483503.32,4487289.78,30519570.78,6.1169
80279695,2018-09-30 00:00:00,123790577.81,77537363.71,72305555.63,295703739.19,123619660.51,None,170917.3,3914063.41,-420746012.45,1026822973.87,4257132441.36,2428080002.06,0.193843,0.19,None,None,None,None,None,None,3.04,2176849993.58,1704110437.76,1829053148.23,11780135.13,2,0.19,0.19,None,0.012774,0.010505,0.014595,184.9949,0.32515700000000003,1150.8417,0.000808,0.570356,0.008973,None,0.753292,0.8434900000000001,0.015489,None,0.8567610000000001,0.717567,2.410767,None,0.022633,None,0.0025779999999999996,119.2948,1047.3235,0.004847000000000001,557.0456,0.018213,0.287979,0.019464,0.142776,0.12039,0.710754,0.075511,0.193842,0.031932999999999996,0.018213,0.289246,13.2357,0.1381,238.8742,0.1938,None,None,-0.229297,-0.7700239999999999,-0.017927,0.063724,3.8e-05,9e-06,0.000505,2.1e-05,0.002297,0.004155,0.19,6.0702,0.0098,0.42964399999999997,0.0319,0.19,0.0304,2.5338,None,72305555.63,2.3471,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0702
80279695,2018-12-31 00:00:00,91091068.65,29968563.74,3158841.66,325297694.32,90666860.99,None,424207.66,106444735.39,-484442959.31,1389738514.0,4315870440.77,2372143674.09,0.074921,0.07,None,0.01,None,None,None,None,1.23,1830558930.8,1826612355.97,1943727863.61,33511153.25,2,0.07,0.07,0.01,0.010022,0.008167,0.019751,182.2693,0.268437,371.8231,0.091725,0.549632,0.008388,1.4736170000000002,0.8193980000000001,1.0319589999999998,0.015031000000000001,0.74574,1.047707,0.785287,2.286441,37.2982,0.035512999999999996,0.009615,0.003463,101.3713,1039.5611,0.007144,503.9194,0.0069440000000000005,0.234071,0.007468,0.071274,0.06524,0.762641,0.021563,1.4470249999999998,0.24400300000000003,0.13411199999999998,0.23735900000000001,15.3697,0.4657,357.1126,0.0749,None,None,-0.21589099999999997,-0.92404,-0.056539,0.16331199999999998,0.000766,0.000247,0.03552,0.000548,0.058274,0.0056879999999999995,0.07,5.9304,0.2661,0.450368,0.0126,0.07,0.0123,2.5338,0.01,3158841.66,2.219,None,None,None,None,None,None,357059844.03,5514742.4,None,587769.8,None,2296178.0,2911855.33,None,None,2207045.02,1657313.17,9125417.3,5.9304
80279695,2019-03-31 00:00:00,38882746.58,26811889.76,22678276.78,98102572.23,38661352.65,None,221393.93,24513548.85,-6205940.43,411783514.29,4679416428.52,2409434499.16,0.06703,0.07,None,None,None,None,None,None,1.12,1964596655.68,2018065504.31,2269985224.94,14426085.0,2,0.07,0.07,None,0.009735,0.007986,0.005778,155.7632,0.24614,369.5308,-0.015916,0.5149,0.018186,None,0.9421250000000001,1.088309,0.034115,None,1.126747,0.872889,2.198189,None,0.009066,None,0.000916,99.272,982.5328,0.00217,414.7465,0.005729,0.23823799999999998,0.005960999999999999,0.105945,0.093888,0.76131,0.065106,0.067024,0.011127,0.005729,0.23868999999999999,12.9503,0.5694,252.3036,0.067,None,None,-0.091073,-0.6696949999999999,-0.07182000000000001,0.21346,0.0005949999999999999,5.2e-05,0.009144,0.00010800000000000001,0.012146999999999998,0.001722,0.07,6.0236,0.0613,0.4851,0.0111,0.07,0.011200000000000002,2.5338,None,22678276.78,2.2861,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.0236
80279695,2019-06-30 00:00:00,62470725.66,27282792.49,21182231.45,198763035.17,58649991.07,435808.75,3820734.59,7224404.61,-40861345.76,949290247.75,4987775120.5,2395554274.13,0.068207,0.07,None,0.05,None,None,None,None,1.14,2137439058.23,2326579027.7,2592517109.54,29575036.57,2,0.07,0.07,0.05,0.009186999999999999,0.007525,0.012341,145.8553,0.224803,311.2279,-0.0075390000000000006,0.480226,0.02859,1.348732,1.082354,1.123127,0.056189,0.756727,1.189991,1.030861,1.997338,35.6057,0.020659999999999998,0.005607999999999999,0.002041,87.1249,881.9206,0.004785,376.1755,0.005391,0.20938099999999998,0.0057799999999999995,0.072265,0.061783000000000005,0.7892230000000001,0.028324,1.4945419999999998,0.249583,0.119856,0.210777,12.0022,6.8137,318.1699,0.0672,0.003422,None,0.25526,-0.741376,-0.021044999999999998,0.176163,7.6e-05,1.4e-05,0.002687,2.8e-05,0.003105,0.003982,0.07,5.9889,0.0181,0.5197740000000001,0.011399999999999999,0.07,0.011399999999999999,2.5338,0.05,21182231.45,2.2643,None,None,None,None,None,None,None,13375538.82,27232634.85,28017663.84,None,24776673.51,2954336.81,None,None,55743860.52,1540034.75,11262573.67,5.9881
