公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80400109,2017-03-31 00:00:00,24347291.43,22844886.46,15445324.36,36070815.37,19462987.22,3211320.38,4884304.21,111847872.12,-320982421.72,221502654.88,3208373632.13,2412415444.77,0.097567,0.1,None,None,None,None,None,None,0.95,2047945376.24,657608473.03,795958187.36,-9445166.06,2,0.1,0.1,None,0.031142,0.029582999999999998,0.014931000000000002,60.2773,1.8209819999999999,-157.7752,None,0.7519119999999999,None,None,0.329942,None,None,None,0.481023,0.272593,None,None,0.016377,None,0.000669,54.9551,1345.2915,0.001033,871.2488,0.00712,0.16284600000000002,0.006898,0.127293,0.087868,0.7711709999999999,0.10313599999999999,0.097567,0.00947,0.00712,0.228829,2.6354,33.2506,148.1512,0.0976,None,None,-0.646379,-0.561363,None,None,0.00505,0.000349,0.04896,0.0014050000000000002,0.17008299999999998,0.0009229999999999999,0.1,10.3031,0.4777,0.248088,0.0095,0.1,0.0095,6.3772,None,15445324.36,2.7724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.3031
80400109,2017-06-30 00:00:00,106515316.24,94256569.39,83791497.31,83159101.57,106611109.81,5817977.62,-95793.57,-160761700.35,-691302298.83,433045407.57,2951995141.32,2413858445.12,0.402556,0.4,None,0.36,None,None,None,None,3.87,1819182008.65,399786981.87,538136696.2,-51274235.9,2,0.4,0.4,0.36,0.045503999999999996,0.04314,0.020247,88.9021,2.4300219999999997,-107.7365,None,0.817704,None,2.7883139999999997,0.22293600000000002,None,None,0.714461,0.469296,0.16562200000000002,None,29.3261,0.031469,0.004893,0.00136,57.1991,1323.5294,0.002133,843.8819,0.03193,0.19203299999999998,0.029606,0.316774,0.246189,0.728629,0.21766,1.880207,0.182381,0.149133,0.27137100000000003,-3.1488,5.3722,78.0724,0.4026,None,None,-0.622665,-0.063161,1.173652,0.194279,-0.0037119999999999996,-0.000545,-0.017056,-0.002987,-0.402118,0.001803,0.4,10.3092,-0.6866,0.182296,0.039,0.4,0.0387,6.3772,0.36,83791497.31,2.7774,None,None,None,None,None,None,None,29084234.04,None,None,None,1264526.18,2090715.51,None,None,615760.0,757095.0,329363.46,10.3092
80400109,2017-09-30 00:00:00,91427477.89,76658876.91,57202623.66,22279619.04,91810001.7,14331315.47,-382523.81,-23230534.57,-475402443.42,405902065.35,2945523933.38,2395768997.78,0.327399,0.33,None,None,None,None,None,None,3.2,1834543101.0,410743425.27,549754935.6,-93920877.9,2,0.33,0.33,None,0.044664,0.042608,0.026756000000000002,100.9119,2.509166,2.6548,None,0.8133589999999999,None,None,0.229469,None,None,None,0.46372599999999997,0.17144500000000001,None,None,0.036661,None,0.001276,73.6477,2115.9875,0.001992,1355.4217,0.026025999999999997,0.054889,0.024103,0.263676,0.226188,0.860232,0.188861,0.327399,0.031998,0.026025999999999997,0.139768,-9.086,15.2567,24.3686,0.3274,None,None,-0.8305899999999999,-0.632452,None,None,-0.000572,-7.900000000000001e-05,-0.0030299999999999997,-0.000423,-0.056557,0.001697,0.33,10.232,-0.0992,0.186641,0.032,0.33,0.032,6.3772,None,57202623.66,2.7023,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.232
80400109,2017-12-31 00:00:00,126624625.6,109856887.25,49257970.99,73368110.67,121707058.67,24292554.38,4917566.93,-156198952.12,-927311961.58,489142183.81,2837459779.02,2428143575.69,0.469183,0.47,None,0.21,None,None,None,None,4.57,1731365304.66,304278447.0,409316203.33,-86674967.25,2,0.47,0.47,0.21,0.056901,0.054784,0.026734,134.66,1.9017140000000001,-46.0913,None,0.855746,None,2.926127,0.168572,None,None,0.686192,0.455531,0.125313,None,29.245,0.04441,0.005642,0.001565,81.0628,2300.3195,0.002463,1461.6322,0.038717,0.149993,0.035137999999999996,0.296912,0.24881699999999998,0.773701,0.22459099999999999,2.08993,0.201531,0.172459,0.226299,2.1871,23.0683,57.9414,0.4692,None,None,-0.817785,-0.528556,0.016295,-0.169237,-0.0031929999999999997,-0.00055,-0.014218,-0.003816,-0.5133420000000001,0.002031,0.47,10.3703,-0.6671,0.144254,0.0452,0.47,0.045700000000000005,6.3772,0.21,49257970.99,2.822,None,None,None,None,None,None,None,25960366.99,3261087.42,None,None,1292536.1,None,None,None,104800.0,1372915.0,None,10.3703
80400109,2018-03-31 00:00:00,-45696748.98,-39125431.5,-61479472.85,-35820039.37,-45907839.9,11047103.56,211090.92,-45651830.51,11627676.26,25525013.4,2752125384.85,2388888825.25,-0.167099,-0.17,None,None,None,None,None,None,-1.65,1657976010.47,259926407.27,363236559.6,14255293.26,2,-0.17,-0.17,None,0.063786,0.06257399999999999,0.001979,454.7751,2.267315,-220.5599,None,0.8680159999999999,None,None,0.152053,None,None,None,0.458016,0.108806,None,None,0.011805000000000001,None,9.1e-05,76.2389,9890.1099,0.000151,5960.2649,-0.014216,-1.403331,-0.013999,-0.503647,-1.798543,2.217982,-1.5328270000000002,-0.167099,-0.016378,-0.014216,-1.217982,115.1286,-24.6368,78.3864,-0.1671,None,None,-0.884764,-2.712656,-0.009752,-0.142205,-0.017884999999999998,-0.000166,None,-0.001257,-0.175634,0.000106,-0.17,10.2026,-0.195,0.131984,-0.016399999999999998,-0.17,-0.0165,6.3772,None,-61479472.85,2.6549,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.2026
80400109,2018-06-30 00:00:00,-74754451.96,-63271231.69,-95532065.16,-76614064.38,-74989011.26,20599332.91,234559.3,-114491316.78,47673709.69,56014701.06,2650956527.02,2330680875.61,-0.270222,-0.27,None,-0.41,None,None,None,None,-2.64,1549488715.72,217253103.08,320275651.41,-14338277.38,2,-0.27,-0.27,-0.41,0.071322,0.068707,0.005575,322.87,2.8841219999999996,621.3629,None,0.879185,None,2.944853,0.137417,None,None,0.655938,0.47259500000000004,0.093214,None,29.855,0.02007,0.000691,0.00020400000000000003,89.6861,8823.5294,0.000341,5278.5924,-0.023867,-1.367749,-0.023056,-0.48424500000000004,-1.338738,2.171459,-1.129547,1.502773,0.150972,0.132732,-1.171459,38.8194,-27.8698,102.4876,-0.2702,None,None,-0.8706489999999999,-1.671266,-0.034458,-0.10197800000000001,-0.02044,-0.00043200000000000004,None,-0.003575,-0.526995,0.000235,-0.27,9.954,-0.489,0.120815,-0.0271,-0.27,-0.0264,6.3785,-0.41,-95532065.16,2.4018,None,None,None,None,None,None,None,1844854.11,28406758.25,200000.0,None,518916.01,1027533.09,None,None,115800.0,615760.0,804058.46,9.954
80400109,2018-09-30 00:00:00,-37254451.11,-29512223.4,-72637432.48,-30040918.81,-37344410.41,31603882.66,89959.3,-196441203.05,-208856912.85,184821794.22,2663216982.17,2365701292.07,-0.126043,-0.13,None,None,None,None,None,None,-1.22,1506474668.35,196220745.77,297515690.1,-26211893.03,2,-0.13,-0.13,None,0.076774,0.072282,0.015176,177.9125,1.92357,242.128,None,0.8882869999999999,None,None,0.125762,None,None,None,0.488964,0.08294399999999999,None,None,0.026552,None,0.000672,101.6873,4017.8571,0.001142,2364.2732,-0.011081,-0.16254000000000002,-0.01073,-0.162725,-0.202056,1.095745,-0.15967900000000002,-0.12604300000000002,-0.012475,-0.011081,-0.09574500000000001,7.6172,-85.074,80.6371,-0.126,None,None,-0.544664,-1.384981,-0.012549999999999999,-0.09584300000000001,-0.010629,-0.000738,None,-0.006603,-1.001124,0.000771,-0.13,10.1036,-0.839,0.111713,-0.0125,-0.13,-0.012199999999999999,6.3835,None,-72637432.48,2.546,None,None,None,6695264.76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.1036
80400109,2018-12-31 00:00:00,12154473.56,7152765.61,-46294707.15,39739010.89,11586768.7,30839078.4,567704.86,-367244395.55,-319400020.24,396626341.68,2791496178.24,2402913245.4,0.030548,0.03,None,-0.2,None,None,None,None,0.3,1670991651.2,289015592.51,388582932.84,-25921513.19,2,0.03,0.03,-0.2,0.057817,0.049326,0.019795,181.8641,0.8824960000000001,53.1105,None,0.8607980000000001,None,3.161055,0.161713,None,None,0.629402,0.46631100000000003,0.120277,None,27.2313,0.022161,0.004989,0.0014089999999999999,162.4475,2555.0035,0.002331,1544.4015,0.002562,0.10019299999999999,0.002541,0.031133,0.029213,0.865473,0.018033999999999998,1.9421430000000002,0.18924700000000003,0.162903,0.134527,8.4511,258.3969,326.9497,0.0305,None,None,-0.18913900000000003,-0.93489,-0.010391,-0.016198999999999998,-0.009259,-0.001316,-0.51343,-0.009451000000000001,-1.270673,0.0016420000000000002,0.03,10.2625,-1.5684,0.139202,0.003,0.03,0.003,6.3864,-0.2,-46294707.15,2.6524,None,None,None,None,None,None,None,686318.63,2003593.95,None,None,171329.0,425003.01,None,None,29712000.0,None,None,10.2625
80400109,2019-03-31 00:00:00,3183100.85,3748414.1,-5172297.33,11407364.49,2717253.7,7823862.42,465847.15,75111092.5,84178138.1,167642028.43,2762007012.36,2370997738.48,0.016009,0.02,None,None,None,None,None,None,0.16,1647197707.5,293289537.55,391009273.88,3567544.56,2,0.02,0.02,None,0.056163,0.046502,0.008505,105.8201,1.2242600000000001,189.2239,None,0.858433,None,None,0.16491299999999998,None,None,None,0.470186,0.12369899999999999,None,None,0.0058130000000000005,None,0.000604,154.8254,1490.0662,0.00101,891.0891,0.001357,0.068046,0.00135,0.01846,0.016209,0.916718,0.02236,0.016009,0.001581,0.001357,0.08328200000000001,9.6628,260.4287,358.3727,0.016,None,None,5.567755,None,-0.007489,0.0035909999999999996,0.0044800000000000005,0.000272,0.200381,0.001921,0.256099,0.0007019999999999999,0.02,10.1262,0.3208,0.141567,0.0016,0.02,0.0016,6.3903,None,-5172297.33,2.6684,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10.1262
80400109,2019-06-30 00:00:00,11934611.95,14013746.95,-2401108.37,39121627.93,11195588.11,14065006.46,739023.84,-52691208.85,136114789.15,498236011.23,2676226189.98,2336023647.97,0.059851,0.06,None,-0.01,None,None,None,None,0.58,1523302516.29,244330409.68,340202542.01,5059866.01,2,0.06,0.06,-0.01,0.062346000000000006,0.046867,0.021589999999999998,83.3719,1.5485669999999998,335.8681,None,0.87288,None,3.215749,0.145633,None,None,0.601094,0.493541,0.10459199999999999,None,27.1439,0.0146,0.006703,0.001822,123.2877,987.9254,0.00312,576.9231,0.005235999999999999,0.07852,0.0051259999999999995,0.024197000000000003,0.02247,0.913657,0.028127,2.118764,0.21236899999999997,0.18537199999999998,0.086343,6.8456,124.0428,327.7997,0.0599,0.0031940000000000002,None,7.894737,None,0.0022919999999999998,0.009532,-0.0010580000000000001,-0.000197,-0.037599999999999995,-0.001549,-0.215656,0.002103,0.06,9.9768,-0.225,0.12712,0.006,0.06,0.0058,6.3943,-0.01,-2401108.37,2.6829,None,None,None,None,None,None,None,836141.0,1620777.9,None,None,121998.68,379222.6,None,None,29734500.0,None,None,9.9768
