公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80336536,2017-03-31 00:00:00,70636074.07,52575909.76,53660565.93,139087222.14,72175879.12,224471.43,-1539805.05,-68205193.4,-157218734.9,524129405.72,4903502144.89,3730541824.89,0.116835,0.13,None,None,None,None,None,None,1.42,3770551353.02,1044585977.93,1159634459.12,4684093.11,2,0.13,0.13,None,0.036095999999999996,0.031278,0.002668,337.3313,0.934264,1607.9989,0.000178,0.763509,0.009891,None,0.309742,0.29874500000000004,0.012789,None,0.302615,0.291967,4.436161,None,0.008631999999999999,None,0.001066,104.2632,844.2777,0.001389,647.9482,0.010740000000000001,0.265368,0.010714,0.161845,0.137706,0.7315590000000001,0.10047700000000001,0.117028,0.014066,0.010740000000000001,0.268441,9.8067,-1.8621,196.9068,0.117,None,None,0.002576,0.21205300000000002,0.047382,0.040797,-0.0013009999999999999,-0.000139,-0.012950999999999999,-0.000588,-0.065294,0.0014099999999999998,0.13,8.2901,-0.1516,0.236491,0.0141,0.13,0.014199999999999999,3.8701,None,53660565.93,2.9629,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8.3197
80336536,2017-06-30 00:00:00,144487872.7,111382059.61,108641200.9,281306980.98,146524367.47,5255952.72,-2036494.77,14694363.83,63027539.32,1142530136.73,5241443274.96,3756984784.72,0.247516,0.19,None,0.19,None,None,None,None,2.99,4049174943.5,1219624225.47,1473346271.54,13818337.1,2,0.19,0.19,0.19,0.0332,0.029106999999999997,0.005841,308.1664,1.006572,1145.6242,None,0.718904,None,4.667457,0.391005,None,None,0.576992,0.316411,0.323671,None,15.4025,0.019365,0.014202999999999999,0.0022470000000000003,92.9512,801.0681,0.0029189999999999997,616.6495,0.021247,0.24621400000000002,0.021903000000000002,0.14871499999999999,0.128246,0.7493989999999999,0.097471,1.562723,0.18662600000000001,0.134166,0.25060099999999996,9.6585,2.2282,194.6925,0.2475,0.00202,None,-0.05489,0.03864,0.04298,0.054569,0.000129,2.8e-05,0.0013189999999999999,0.0001,0.012048000000000001,0.003063,0.19,8.3489,0.0327,0.281096,0.0296,0.19,0.029900000000000003,3.867,0.19,108641200.9,3.0436,None,None,None,None,None,None,None,385139053.16,290399081.35,207197956.11,None,573672.96,120450.0,None,None,12359211.0,6524963.4,33458802.47,8.3735
80336536,2017-09-30 00:00:00,221316558.86,166658209.43,160896789.5,445481145.93,220121284.71,5573484.16,1195274.15,-98210196.62,-217852549.4,1765099696.9,5238201532.13,3801786669.75,0.284886,0.28,None,None,None,None,None,None,4.43,3981493457.39,1163868209.32,1424949267.51,23133906.91,2,0.28,0.28,None,0.034209,0.029798,0.00859,314.319,0.79635,1056.6761,None,0.72797,None,None,0.373683,None,None,None,0.329563,0.305217,None,None,0.029207,None,0.003473,92.4436,777.4259,0.00455,593.4066,0.03188,0.25238299999999997,0.032854,0.146057,0.124708,0.743365,0.09460800000000001,0.285459,0.043793,0.03188,0.256635,11.0846,3.0584,201.2869,0.2855,None,None,-0.02573,0.017535000000000002,0.03914,0.07128899999999999,-0.000556,-0.00018700000000000002,-0.005881,-0.000689,-0.084383,0.004703,0.28,6.4988,-0.1679,0.27203,0.0438,0.28,0.0443,2.7438,None,160896789.5,2.4357,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.5184
80336536,2017-12-31 00:00:00,272645443.95,205199836.18,202183784.63,660132865.01,275088961.06,7083117.58,-2443517.11,126088116.05,22802598.63,2440345134.45,5633952256.22,3828236430.36,0.350769,0.35,None,0.35,None,None,None,None,5.46,4249666577.18,1506075189.19,1782615821.24,37391347.38,2,0.35,0.35,0.35,0.028217,0.025228,0.01204,299.0033,0.7845399999999999,829.1672,None,0.6835939999999999,None,3.897507,0.46285600000000005,None,None,0.613676,0.35942999999999997,0.391053,None,17.5393,0.042355000000000004,0.027271999999999998,0.004621,84.9959,779.0522,0.0060799999999999995,592.1053,0.036455,0.27050799999999997,0.038894000000000005,0.129478,0.112725,0.724729,0.08416399999999999,1.414455,0.21484899999999998,0.14687,0.275271,13.3389,1.7017,242.1214,0.3511,None,None,0.018476,0.19752099999999997,0.043086,0.143371,0.000517,0.000224,0.006139,0.000707,0.08372,0.00647,0.35,6.544,0.2155,0.31640599999999997,0.0536,0.35,0.0546,2.7438,0.35,202183784.63,2.4932,None,None,None,None,None,None,None,518087924.57,272705294.94,222102365.19,None,136335.87,None,None,None,9355423.82,8936826.22,31714320.49,6.5835
80336536,2018-03-31 00:00:00,94223150.13,75067488.03,74806396.53,181523465.66,94303965.93,None,-80815.8,-83049531.06,-209490632.26,634407236.08,5704495143.73,3881753399.78,0.12832,0.13,None,None,None,None,None,None,1.95,4276619665.22,1427370621.16,1800353889.23,9268789.39,2,0.13,0.13,None,0.029962,0.026137,0.002988,301.2048,0.68188,1116.5637,0.00035099999999999997,0.684397,0.01753,None,0.46114,0.3566,0.024974,None,0.365734,0.391218,3.701778,None,0.009045,None,0.001119,99.5025,804.2895,0.001488,604.8387,0.013035000000000001,0.28613099999999997,0.013116000000000001,0.17523,0.148649,0.7100660000000001,0.117204,0.127103,0.019045,0.013035000000000001,0.289934,13.3709,-0.0858,192.6527,0.1271,None,None,0.21040199999999998,0.411916,0.042809999999999994,0.163351,-0.0013089999999999998,-0.000146,-0.011169,-0.00046100000000000004,-0.05818399999999999,0.0016359999999999999,0.13,6.6355,-0.142,0.315603,0.019299999999999998,0.13,0.0195,2.7438,None,74806396.53,2.6216,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.6737
80336536,2018-06-30 00:00:00,202290491.04,162940718.54,161265266.04,378773737.65,201224404.48,864387.07,1066086.56,16840247.76,-37608952.65,1464401548.83,6105963688.18,3957962110.75,0.278531,0.28,None,0.28,None,None,None,None,4.17,4504891351.52,1643543795.49,2126561879.8,24451765.28,2,0.28,0.28,0.28,0.02741,0.023176000000000002,0.007017,256.5199,0.68644,927.3042,0.0006990000000000001,0.651724,0.032755,3.5699829999999997,0.534392,0.383086,0.047854,0.615236,0.40234000000000003,0.46327199999999996,3.283082,18.2557,0.018826,0.013928000000000001,0.002495,95.6125,721.4429,0.0033450000000000003,538.1166,0.026414,0.258654,0.027475999999999997,0.16226700000000002,0.137411,0.736567,0.11013400000000001,1.4673410000000002,0.215709,0.14058299999999999,0.263433,10.996,0.9543,187.2425,0.2757,None,None,0.281718,0.44823,0.056077,0.164939,0.000115,2.8e-05,0.001044,7.900000000000001e-05,0.010246,0.00374,0.28,6.7657,0.0288,0.348276,0.0412,0.28,0.0417,2.7438,0.28,161265266.04,2.6968,None,None,None,None,None,None,None,506603931.67,175713022.39,236317267.84,None,2045953.9,None,None,None,9799958.5,8894498.72,39842258.03,6.8024
80336536,2018-09-30 00:00:00,269804380.28,224328846.31,214754953.79,555878683.3,268886933.23,2159467.24,917447.05,-157674289.73,-326923463.05,2219438931.69,6181795955.64,4016967608.35,0.383468,0.38,None,None,None,None,None,None,5.63,4564720001.97,1663109483.38,2143993061.44,41568536.6,2,0.38,0.38,None,0.027447,0.02281,0.01018,265.2259,0.515288,749.0591,0.000686,0.653176,0.032191,None,0.53098,0.381674,0.046969000000000004,None,0.400484,0.461169,3.291108,None,0.027081,None,0.003757,99.7009,718.6585,0.0050360000000000005,536.1398,0.035921,0.250459,0.037586,0.142715,0.121151,0.745073,0.10005000000000001,0.379582,0.054993999999999994,0.035921,0.254927,10.2255,1.1404,206.0303,0.3796,None,None,0.257401,0.329726,0.058887,0.180137,-0.0007099999999999999,-0.00025499999999999996,-0.007101,-0.000735,-0.094807,0.005627,0.38,6.8666,-0.2695,0.346824,0.0558,0.38,0.056299999999999996,2.7438,None,214754953.79,2.8017,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.9022
80336536,2018-12-31 00:00:00,379014480.4,291429013.89,274003400.12,779779460.23,374069384.36,1484804.86,4945096.04,182230898.2,-59962379.49,3105190215.55,6272804927.35,4052737776.5,0.498169,0.5,None,0.47,None,None,None,None,7.36,4604019680.7,1556009124.1,2199769907.72,81863340.87,2,0.5,0.5,0.47,0.029588999999999997,0.025190999999999998,0.014522,247.8997,0.7414830000000001,562.9844,0.0008150000000000001,0.649316,0.039613999999999996,3.392542,0.540081,0.386156,0.057501,0.622088,0.409715,0.44303600000000004,3.4474810000000002,19.1395,0.040748,0.028374,0.005215999999999999,88.3479,690.184,0.007014,513.2592,0.046012000000000004,0.25112100000000004,0.048480999999999996,0.14191900000000002,0.120466,0.744222,0.09295,1.740119,0.24992899999999998,0.162283,0.255778,11.1176,1.6965,205.7387,0.4934,None,None,0.272439,0.405271,0.057564000000000004,0.113393,0.0005870000000000001,0.000291,0.006313999999999999,0.000828,0.117114,0.007837,0.5,6.9278,0.3115,0.350684,0.0719,0.5,0.0736,2.7438,0.47,274003400.12,2.8925,None,None,None,None,None,None,None,749639156.2,167149175.99,232111589.14,None,2372395.07,None,None,None,5122149.38,4591358.7,27448895.62,6.9625
80336536,2019-03-31 00:00:00,93284727.0,78588339.69,78926993.47,189436265.85,93622979.05,None,-338252.05,-173364836.74,-216162229.25,688080967.34,6437992073.19,4088731850.3,0.134706,0.14,None,None,None,None,None,None,1.93,4724688166.51,1659457219.9,2286407062.1,17830102.68,2,0.14,0.14,None,0.028471000000000003,0.023197000000000002,0.003079,292.3027,0.5543939999999999,623.1867,0.0007779999999999999,0.6448569999999999,0.037029,None,0.550731,0.390276,0.054304,None,0.412687,0.457139,3.339692,None,0.006362,None,0.001083,141.4649,831.0249,0.001475,610.1695,0.012158,0.275311,0.012316,0.161023,0.13606400000000002,0.720982,0.11376,0.13417,0.018855,0.012158,0.279018,11.7253,-0.3626,203.0732,0.1342,None,None,0.084605,0.052731,0.06338,0.128582,-0.00252,-0.000269,-0.022147999999999998,-0.0007580000000000001,-0.10447100000000001,0.001673,0.14,7.0084,-0.2972,0.355143,0.0192,0.14,0.019299999999999998,2.7317,None,78926993.47,2.9961,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7.1161
80336536,2019-06-30 00:00:00,201961430.84,165568808.67,170860624.77,393208684.37,208742304.53,99251.65,-6780873.69,46881875.41,-246504552.97,1526922029.32,6603599749.75,4111132097.44,0.283796,0.29,None,0.3,None,None,None,None,4.02,4540815234.71,1839730698.11,2401571007.92,27231128.7,2,0.29,0.29,0.3,0.024682,0.019787,0.007023000000000001,256.3007,0.494406,841.6565,0.001331,0.636324,0.054432999999999995,3.335491,0.571527,0.452218,0.078802,0.616878,0.490902,0.523362,2.8107580000000003,19.0774,0.014237999999999999,0.012412000000000001,0.002372,126.4223,758.8533,0.003339,539.0836,0.025062,0.257517,0.025705,0.157369,0.136708,0.738896,0.108386,1.624781,0.22558399999999998,0.143545,0.261104,9.8005,-3.3084,194.6949,0.2837,None,None,0.042694,0.026145,0.055945,0.0815,0.00030700000000000004,7.1e-05,0.002833,0.000195,0.025483,0.00369,0.29,7.0467,0.0804,0.36367600000000005,0.0403,0.29,0.04019999999999999,2.7317,0.3,170860624.77,3.071,None,None,None,None,None,None,None,722457136.42,172146270.98,222004090.08,None,2327676.62,379242.83,None,None,1754526.22,4834900.36,28206864.62,7.2026
