公司代码,报告日期,利润总额,净利润,扣除非经常性损益的净利润,主营业务利润,营业利润,投资收益,营业外收支净额,经营活动产生的现金流量净额,现金及现金等价物净增加额,主营业务收入,总资产,股东权益不含少数股东权益,每股收益(摊薄)xx,每股收益(加权),扣除非经常性损益后的每股收益摊薄,扣除非经常性损益后的每股收益加权平均,每股净资产xx,调整后的每股净资产,每股经营活动产生的现金流量净额,净资产收益率(摊薄),净资产收益率(加权),流动资产,流动负债,负债总额,财务费用,资料来源途径,基本每股收益,稀释每股收益,扣除非经常性损益后基本每股收益,流动比率,速动比率,应收账款周转率,应收账款周转天数,现金比率,利息支付倍数,长期债务与营运资金比率,股东权益比率,长期负债比率,股东权益与固定资产比率,负债与所有者权益比率,长期资产与长期资金比率,资本化比率,固定资产净值率,资本固定化比率,产权比率,清算价值比率,固定资产比重,存货周转率,固定资产周转率,总资产周转率,存货周转天数,总资产周转天数,流动资产周转率,流动资产周转天数,总资产收益率,主营业务利润率,总资产净利润率,成本费用利润率,营业利润率,主营业务成本率,销售净利率,股本报酬率,净资产报酬率,资产报酬率,销售毛利率,三项费用比重,非主营比重,主营利润比重,摊薄每股收益,股息发放率,投资收益率,主营业务收入增长率,净利润增长率,净资产增长率,总资产增长率,经营现金净流量对销售收入比率,资产的经营现金流量回报率,经营现金净流量与净利润的比率,经营现金净流量对负债比率,现金流量比率,股东权益周转率,每股收益(摊薄),每股净资产,每股经营性现金流,资产负债率,净资产收益率,加权每股收益,加权净资产收益率,每股资本公积金,每股收益(扣除非经常性损益),扣除非经常性损益后的净利润,每股未分配利润,短期股票投资,短期债券投资,短期其它经营性投资,长期股票投资,长期债券投资,长期其它经营性投资,1年以内应收帐款,1-2年以内应收帐款,2-3年以内应收帐款,3年以内应收帐款,1年以内预付货款,1-2年以内预付货款,2-3年以内预付货款,3年以内预付货款,1年以内其它应收款,1-2年以内其它应收款,2-3年以内其它应收款,3年以内其它应收款,每股净资产_调整前
80371090,2017-12-31 00:00:00,72899604.71,59466309.53,66814500.0,130297545.02,92148260.97,6210778.58,-19248656.26,81025366.64,17562526.95,224849883.46,521874429.15,307651623.58,0.660737,0.66,None,0.74,3.42,None,0.9,None,20.06,76293887.46,185282635.2,214222805.57,6039987.81,1,0.66,0.66,0.74,0.004118,0.003186,27.68016,0.1301,0.118423,1306.9495,-0.002477,0.5895130000000001,0.051737000000000005,None,0.696316,1.331476,0.08068099999999999,None,1.4483279999999998,0.69001,1.33632,None,0.043235,None,None,83.2659,None,0.036912,97.5293,0.113551,0.579487,0.11527,0.537915,0.40982100000000005,0.366987,0.263552,None,0.192619,0.113551,None,18.2212,-17.8847,178.7356,0.6607,None,None,0.012858000000000001,-0.017699,-0.020291,0.030731,0.003604,0.001553,0.013673,0.0037819999999999998,0.437307,0.007234000000000001,0.66,3.42,None,0.410487,0.19329999999999997,0.66,0.2006,None,0.74,66814500.0,None,None,None,None,70459316.55,None,None,None,205.03,21.6,12559.79,None,175816.07,None,None,None,8572.98,100000.0,5223912.0,None
80371090,2018-12-31 00:00:00,93986370.36,71431002.07,71159400.0,142963861.45,94064017.7,-614491.88,-77647.34,101122792.93,-2332434.24,225590124.63,622553291.57,424595601.97,0.744073,0.78,None,0.77,4.42,None,1.05,None,19.95,81920699.77,171366288.07,197957689.6,6682968.08,1,0.78,0.78,0.77,0.0047799999999999995,0.0034720000000000003,39.422165,0.0913,0.114429,1506.3567,-0.002795,0.6820229999999999,0.040157,None,0.466226,1.202486,0.055606,None,1.273288,0.462478,2.023553,None,0.035586,None,None,101.1634,None,0.028517,126.2405,0.11473900000000001,0.633733,0.124833,0.752068,0.416969,0.313085,0.316641,None,0.168233,0.11473900000000001,None,18.7705,-0.7364,152.1113,0.7441,None,None,0.003292,0.20539200000000002,0.380118,0.19291799999999998,0.004483,0.0016239999999999998,0.014157,0.0051080000000000006,0.590097,0.006162,0.78,4.42,None,0.317977,0.16820000000000002,0.78,0.19949999999999998,None,0.77,71159400.0,None,None,None,None,172860544.67,None,None,None,None,205.03,12581.39,None,141824.58,70595.33,None,None,5910.52,6000.0,3823912.0,None
80371090,2019-06-30 00:00:00,43301444.61,33096432.07,29653800.0,58128151.77,43540746.83,4162942.09,-239302.22,66828126.27,23852642.21,100739217.96,599809970.76,456921937.26,0.344755,0.34,None,0.31,4.76,None,0.7,None,7.51,225831218.67,141467045.95,142888033.5,3166399.37,1,0.34,0.34,0.31,0.015964,0.014686,1.4469059999999998,1.244,0.307223,1467.5295,None,0.7617780000000001,None,None,0.31271899999999997,None,None,None,0.8184739999999999,0.30960899999999997,None,None,0.018487,None,None,97.3657,None,0.006547,274.9351,0.055178000000000005,0.577016,0.054152,0.7261029999999999,0.43221200000000004,0.371533,0.328536,None,0.072433,0.055178000000000005,None,16.8994,9.0612,134.2407,0.3448,None,None,None,None,None,None,0.006634,0.001114,0.020192,0.004677,0.47239400000000004,0.002286,0.34,4.76,None,0.238222,0.0724,0.34,0.0751,None,0.31,29653800.0,None,None,None,None,14153294.76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80371090,2019-12-31 00:00:00,106003923.75,82433365.62,75451000.0,144426402.52,107106613.87,8298457.9,-1102690.12,127399105.33,13299224.39,237406202.11,595273786.64,505473781.44,0.858681,0.86,None,0.79,5.27,None,1.33,None,17.73,127912402.91,88554164.59,89800005.2,4234281.98,1,0.86,0.86,0.79,0.014445,0.011859999999999999,26.483328999999998,0.1359,0.37162,2603.4687,None,0.849145,None,None,0.177655,None,None,None,0.924601,0.17518999999999998,None,None,0.03606,None,None,99.8336,None,0.022628,159.0949,0.13848000000000002,0.608351,0.135378,0.7983159999999999,0.45115299999999997,0.344148,0.34722499999999995,None,0.163081,0.13848000000000002,None,16.7665,6.7882,136.2463,0.8587,None,None,0.052378999999999995,0.154028,0.190483,-0.043819,0.005365999999999999,0.00214,0.015455000000000002,0.014187,1.438657,0.005104999999999999,0.86,5.27,None,0.150855,0.1631,0.86,0.1773,None,0.79,75451000.0,None,None,None,None,None,None,None,None,None,None,12786.42,None,67579.55,26817.15,None,None,None,None,106000.0,None
80371090,2020-03-31 00:00:00,14223723.62,10635020.58,10552074.33,20786367.97,14113128.62,None,110595.0,12768790.43,-3489684.16,39009872.97,None,None,None,0.11,None,None,None,None,None,None,2.08,None,None,None,133097.41,2,0.11,0.11,None,None,None,None,None,None,10786.702,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.532849,None,0.583306,0.36178400000000005,0.41409799999999997,0.272624,None,None,None,None,15.7939,0.7775,146.1387,None,None,None,None,None,None,None,0.003273,None,0.012006,None,None,0.0015429999999999999,0.11,None,None,None,None,0.11,0.0208,None,None,10552074.33,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80371090,2020-06-30 00:00:00,38233687.83,29073378.31,29092000.0,54191487.59,38534852.65,813847.11,-301164.82,42377324.16,-6180561.39,91141105.03,598313959.31,534593631.94,0.302848,0.3,None,0.3,5.57,None,0.44,None,5.59,129344927.06,62647267.22,63720327.37,192579.31,1,0.3,0.3,0.3,0.020647000000000002,0.017128,13.626304,0.1321,0.426641,19953.4764,None,0.8935,None,4.54334,0.119194,None,None,0.5691919999999999,0.877244,0.117187,None,19.6662,0.014392,None,0.001527,125.0695,1178.7819,0.007086,254.022,0.048592,0.594589,0.048716,0.7449859999999999,0.422804,0.35477400000000003,0.318993,None,0.220974,0.197441,None,15.7687,1.3409,141.7375,None,None,None,-0.095277,-0.121556,0.169989,-0.002494,0.0046500000000000005,0.000708,0.014576,0.006651000000000001,0.676443,0.0017530000000000002,0.3,5.57,None,0.1065,0.054400000000000004,0.3,0.0559,None,0.3,29092000.0,None,None,None,None,None,None,None,None,None,None,12786.42,None,440338.6,32.8,None,None,None,None,106000.0,None
80371090,2020-09-30 00:00:00,62675510.78,47504421.14,None,87782927.51,63112624.49,1526165.28,-437113.71,63063542.95,3146702.76,147443378.95,None,None,None,0.49,None,None,None,None,None,None,None,None,None,None,102424.8,2,0.49,0.49,None,None,None,None,None,None,61291.7336,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.595367,None,0.758586,0.42804699999999996,0.356101,0.32218800000000003,None,None,None,None,15.5728,1.7376,140.0594,None,None,None,None,None,None,None,0.004277,None,0.013274999999999999,None,None,0.005834000000000001,0.49,None,None,None,None,0.49,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
80371090,2020-12-31 00:00:00,100602882.88,76211942.48,75948500.0,138903326.8,101154622.84,1828040.28,-551739.96,108730224.46,-3797942.48,224600912.34,656890210.18,581795626.34,0.793874,0.79,None,0.79,None,None,None,None,14.01,137938512.99,74194304.15,75094583.84,-34399.46,1,0.79,0.79,0.79,0.018592,0.015523,33.579582,0.1072,0.392355,-292354.8318,None,0.8856820000000001,None,4.693373,0.12907400000000002,None,None,0.5694469999999999,0.8919830000000001,0.127526,None,18.8709,0.032956,None,0.0035870000000000003,109.2366,1003.6242,0.016897,213.0556,0.11601900000000001,0.6184449999999999,0.121728,0.8363849999999999,0.450375,0.334974,0.339322,None,0.292092,0.2587,None,15.3986,1.2687,138.0709,None,None,None,-0.053938,-0.075472,0.150991,0.10350899999999999,0.004841,0.001655,0.014267,0.014478999999999999,1.465479,0.004131,0.79,6.0604,None,0.114318,0.131,0.79,0.1401,None,0.79,75948500.0,None,None,None,None,None,None,None,None,None,None,12786.42,None,89390.77,32.8,None,None,None,None,106000.0,None
80371090,2021-03-31 00:00:00,31806827.06,23837756.75,23655483.54,40469010.71,31774936.11,704616.55,31890.95,31727814.14,45738026.78,62938500.77,677806352.25,605529274.43,0.24831,0.25,None,None,None,None,None,None,4.02,161425143.6,71376798.13,72277077.82,-99154.96,2,0.25,0.25,None,0.022616,0.019114,6139.742539,0.0001,1.04864,-31977.8981,None,0.893366,None,None,0.119362,None,None,None,0.852777,0.117875,None,None,0.008198,None,0.0009429999999999999,109.7829,954.4008,0.0042049999999999995,214.0309,0.035169,0.642993,0.03572,1.0427030000000002,0.504857,0.31108,0.37874699999999994,0.24831,0.039367,0.035169,None,12.766,2.3156,127.2337,0.2483,None,None,0.613399,1.24144,None,None,0.005041,0.000468,0.013309999999999999,0.00439,0.444512,0.00106,0.25,6.3076,0.3305,0.10663399999999999,0.0394,0.25,0.04019999999999999,2.4991,None,23655483.54,2.5507,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.3076
80371090,2021-06-30 00:00:00,60181742.96,46018679.19,45573621.8,85671346.33,60130266.97,704616.55,51475.99,51419660.74,383359328.81,136407077.14,1075743153.5,1009684703.19,0.359521,0.43,None,0.43,None,None,None,None,5.78,559229857.66,65330951.08,66058450.31,-1349648.73,2,0.43,0.43,0.43,0.08560000000000001,0.081942,None,None,6.313544,-4359.0671,None,0.938593,None,8.384971,0.06542500000000001,None,None,0.5529959999999999,0.511559,0.064704,None,11.1938,0.0192,0.011164,0.001575,93.75,1142.8571,0.003913,460.0051,0.042779,0.628056,0.05312,0.807319,0.44081499999999996,0.32839199999999996,0.337363,1.1199590000000001,0.14198,0.133261,None,17.4547,1.2563,142.3544,0.3595,None,None,0.496658,0.582846,0.888696,0.797958,0.00377,0.000478,0.011174,0.007784,0.787064,0.001714,0.43,7.8882,0.4017,0.061406999999999996,0.045599999999999995,0.43,0.057800000000000004,4.6078,0.43,45573621.8,2.051,None,None,None,None,None,None,None,None,None,None,None,117582.86,5032.8,None,None,None,None,106000.0,7.8882
