指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801001,2018-09-30 00:00:00,CNSESZ,0.8604,0.8689,8.0908,0.0,0.287,0.1063,0.1593,0.0194,0.1825,0.1218,0.123,0.0,1.0,None,None,None,None,None,None,None,None,None,0.898,0.0,3.954,1.579
801001,2017-09-30 00:00:00,CNSESH,0.7993,0.7868,4.9354,0.0,0.2499,0.1619,0.2178,0.0107,0.1623,0.1206,0.1188,0.0,1.0,None,None,None,None,None,None,None,None,None,4.1433,0.0,3.3528,1.0311
801001,2018-03-31 00:00:00,CNSESZ,0.3098,0.2773,2.4986,0.0,0.2981,0.1239,0.1712,0.0074,0.061,0.0441,0.0395,0.0,1.0,None,None,None,None,None,None,None,None,None,1.313,0.0,3.8466,1.5666
801001,2018-12-31 00:00:00,CNSESZ,1.2214,1.2165,11.4382,0.0283,0.2911,0.1067,0.1612,0.0264,0.2445,0.1619,0.1613,0.0201,0.9799,None,None,None,None,None,None,None,None,None,1.6195,0.0,4.1555,1.622
801001,2019-03-31 00:00:00,CNSESZ,0.3145,0.2951,2.7259,0.0,0.2981,0.1153,0.1738,0.0068,0.0595,0.0395,0.037,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5173,0.0,4.3864,1.831
801001,2019-06-30 00:00:00,CNSESZ,0.7073,0.6752,5.8731,0.0,0.2948,0.1204,0.1755,0.0146,0.1318,0.0905,0.0863,0.0,1.0,None,None,None,None,None,None,None,None,None,1.078,0.0,4.2535,1.8659
801001,2017-03-31 00:00:00,CNSESZ,0.2774,0.2665,2.2693,0.0,0.2933,0.1222,0.1536,0.0068,0.0527,0.0419,0.0403,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8765,0.0,3.374,1.466
801001,2019-09-30 00:00:00,CNSESZ,1.0454,0.9994,8.7807,0.0,0.2891,0.119,0.1696,0.0214,0.185,0.1298,0.1241,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5315,0.0,4.4821,2.0171
801001,2017-06-30 00:00:00,CNSESH,0.5306,0.523,3.3184,0.0,0.2471,0.1598,0.2167,0.0072,0.113,0.0833,0.0822,0.0,1.0,None,None,None,None,None,None,None,None,None,3.7696,0.0,3.0998,1.0271
801001,2017-12-31 00:00:00,CNSESH,0.9883,0.967,6.5675,0.01,0.2386,0.1504,0.2041,0.0133,0.2009,0.1481,0.1449,0.0079,0.9921,None,None,None,None,None,None,None,None,None,4.4363,0.0,3.356,1.0445
801001,2018-06-30 00:00:00,CNSESZ,0.5393,0.5546,5.2431,0.0,0.286,0.1028,0.159,0.0123,0.1203,0.0778,0.08,0.0,1.0,None,None,None,None,None,None,None,None,None,1.4805,0.0,3.6594,1.5774
801001,2020-03-31 00:00:00,CNSESH,0.5115,0.5058,3.3506,0.0,0.2431,0.1526,0.2057,0.0044,0.0561,0.0416,0.0412,0.0,1.0,None,None,None,None,None,None,None,None,None,3.5954,0.0,7.4355,2.3317
801001,2019-12-31 00:00:00,CNSESZ,1.0974,1.3077,12.2548,0.2571,0.2825,0.0895,0.1388,0.0217,0.2029,0.1309,0.1559,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1811,0.0,4.2589,2.0552
801001,2020-06-30 00:00:00,CNSESZ,0.7006,0.6559,5.4452,0.0,0.2778,0.1286,0.179,0.014,0.1161,0.0834,0.0781,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2053,0.0,4.2221,2.0971
801001,2020-09-30 00:00:00,CNSESZ,1.1723,1.1019,8.8821,0.0,0.28,0.1319,0.1822,0.0228,0.1805,0.1307,0.1229,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5723,0.0,4.659,2.4317
801001,2020-12-31 00:00:00,CNSESZ,1.6952,1.5547,12.8776,0.4045,0.2755,0.1316,0.1817,0.0314,0.25,0.1811,0.1661,0.0295,0.9705,None,None,None,None,None,None,None,None,None,1.3261,0.0,4.8541,2.4828
801001,2021-06-30 00:00:00,CNSESZ,0.8835,0.8297,7.8708,0.0,0.246,0.1122,0.1527,0.0164,0.1249,0.0918,0.0862,0.0,1.0,None,None,None,None,None,None,None,None,None,1.3434,0.0,5.2964,2.4548
801001,2021-03-31 00:00:00,CNSESZ,0.4423,0.425,3.28,0.0,0.2839,0.1348,0.1798,0.0078,0.0592,0.0444,0.0426,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6,0.0,5.27,2.7234
801001,2021-09-30 00:00:00,CNSESZ,1.3059,1.2403,12.0276,0.0,0.241,0.1085,0.1483,0.0241,0.1794,0.1313,0.1247,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6319,0.0,5.613,2.5141
801001,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
