指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801002,2017-09-30 00:00:00,CNSESZ,0.2868,0.2437,3.7217,0.0,0.2195,0.077,0.1062,0.0378,0.1112,0.0807,0.0686,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0564,0.0,1.2098,1.4904
801002,2018-03-31 00:00:00,CNSESZ,0.0914,0.079,1.2808,0.0,0.2243,0.0713,0.1081,0.0111,0.0353,0.0233,0.0201,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0307,0.0,1.3639,1.6351
801002,2018-06-30 00:00:00,CNSESZ,0.1972,0.1619,2.6524,0.0,0.219,0.0743,0.1062,0.0214,0.0731,0.0511,0.042,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1235,0.0,1.2964,1.5528
801002,2017-03-31 00:00:00,CNSESZ,0.0856,0.0741,1.1711,0.0,0.2248,0.0731,0.0977,0.011,0.0318,0.0237,0.0206,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0701,0.0,1.2381,1.6086
801002,2018-12-31 00:00:00,CNSESZ,0.2618,0.1905,5.6349,0.0077,0.2182,0.0464,0.0774,0.0294,0.1085,0.0651,0.0474,0.0235,0.9765,None,None,None,None,None,None,None,None,None,0.1227,0.0,1.3012,1.556
801002,2018-09-30 00:00:00,CNSESZ,0.299,0.2492,4.1285,0.0,0.2184,0.0724,0.1032,0.0335,0.1089,0.0764,0.0636,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0509,0.0,1.3753,1.5646
801002,2019-03-31 00:00:00,CNSESZ,0.086,0.0688,1.3201,0.0,0.2209,0.0651,0.0994,0.0094,0.0318,0.0208,0.0166,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0442,0.0,1.3985,1.5867
801002,2019-09-30 00:00:00,CNSESZ,0.3031,0.246,4.2655,0.0,0.2142,0.071,0.1041,0.0305,0.1072,0.0732,0.0594,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0729,0.0,1.447,1.5528
801002,2019-06-30 00:00:00,CNSESZ,0.1912,0.1554,2.7668,0.0,0.2212,0.0691,0.1014,0.0197,0.0688,0.0469,0.0381,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1479,0.0,1.363,1.5505
801002,2017-06-30 00:00:00,CNSESZ,0.1832,0.1528,2.3415,0.0,0.2228,0.0782,0.1074,0.0217,0.0728,0.053,0.0442,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2077,0.0,1.1274,1.4615
801002,2017-12-31 00:00:00,CNSESZ,0.3888,0.3164,5.1662,0.0197,0.2215,0.0752,0.1059,0.0427,0.1435,0.1019,0.0829,0.0108,0.9892,None,None,None,None,None,None,None,None,None,0.1346,0.0,1.264,1.5623
801002,2019-12-31 00:00:00,CNSESZ,0.2801,0.1644,6.021,0.0151,0.218,0.0465,0.0784,0.0296,0.1143,0.0678,0.0398,0.0176,0.9824,None,None,None,None,None,None,None,None,None,0.1814,0.0,1.3851,1.5608
801002,2020-06-30 00:00:00,CNSESZ,0.1974,0.1622,2.6726,0.0,0.226,0.0738,0.1099,0.0188,0.0708,0.0476,0.0391,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0329,0.0,1.4058,1.5738
801002,2020-03-31 00:00:00,CNSESZ,0.0693,0.0501,1.17,0.0,0.2218,0.0592,0.0958,0.0072,0.0267,0.0165,0.0119,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0683,0.0,1.429,1.5865
801002,2020-09-30 00:00:00,CNSESZ,0.334,0.2584,4.2772,0.0,0.2279,0.078,0.1147,0.0311,0.1151,0.0783,0.0606,0.0,1.0,None,None,None,None,None,None,None,None,None,0.018,0.0,1.5112,1.649
801002,2020-12-31 00:00:00,CNSESZ,0.3793,0.2582,6.0544,0.0192,0.2161,0.0626,0.0967,0.0359,0.1371,0.0887,0.0604,0.028,0.972,None,None,None,None,None,None,None,None,None,0.0436,0.0,1.503,1.6998
801002,2021-03-31 00:00:00,CNSESZ,0.1146,0.0931,1.5341,0.0,0.2149,0.0747,0.1087,0.0098,0.038,0.0261,0.0212,0.0,1.0,None,None,None,None,None,None,None,None,None,0.055,0.0,1.6067,1.7689
801002,2021-06-30 00:00:00,CNSESZ,0.2451,0.1996,3.2106,0.0,0.2124,0.0763,0.1111,0.0207,0.0819,0.0562,0.0458,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0431,0.0,1.5601,1.7547
801002,2021-09-30 00:00:00,CNSESZ,0.3423,0.2931,4.9063,0.0,0.2074,0.0697,0.1024,0.0284,0.1116,0.076,0.0651,0.0,1.0,None,None,None,None,None,None,None,None,None,0.037,0.0,1.632,1.7859
801002,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
