指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801003,2018-09-30 00:00:00,CNSESZ,0.3182,0.2643,4.2403,0.0,0.2212,0.075,0.1163,0.0283,0.1195,0.077,0.064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0434,0.0,1.4849,1.5881
801003,2018-03-31 00:00:00,CNSESZ,0.1027,0.0855,1.3218,0.0,0.2237,0.0777,0.1201,0.0095,0.0382,0.0247,0.0205,0.0,1.0,None,None,None,None,None,None,None,None,None,0.035,0.0,1.4664,1.6736
801003,2017-06-30 00:00:00,CNSESH,0.3283,0.3001,3.2945,0.0,0.1933,0.0996,0.1434,0.0084,0.0923,0.0641,0.0586,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4885,0.0,2.1282,1.1789
801003,2018-06-30 00:00:00,CNSESZ,0.2127,0.1763,2.7534,0.0,0.2213,0.0772,0.1196,0.0189,0.0808,0.0522,0.0432,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1725,0.0,1.4114,1.6008
801003,2017-03-31 00:00:00,CNSESZ,0.0891,0.0773,1.2255,0.0,0.2164,0.0727,0.1049,0.0089,0.0337,0.0233,0.0202,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0872,0.0,1.3013,1.6278
801003,2018-12-31 00:00:00,CNSESZ,0.308,0.229,5.8902,0.007,0.2209,0.0523,0.0937,0.0282,0.13,0.0725,0.0539,0.017,0.983,None,None,None,None,None,None,None,None,None,0.2345,0.0,1.4365,1.6116
801003,2019-03-31 00:00:00,CNSESZ,0.0988,0.0791,1.4062,0.0,0.2182,0.0702,0.1147,0.0085,0.0367,0.0225,0.018,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0505,0.0,1.561,1.6498
801003,2019-06-30 00:00:00,CNSESZ,0.2133,0.296,2.9318,0.0,0.2207,0.0727,0.1162,0.0179,0.0791,0.0495,0.0686,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3877,0.0,1.5227,1.6223
801003,2019-09-30 00:00:00,CNSESZ,0.3347,0.2731,4.5708,0.0,0.214,0.0732,0.1152,0.0274,0.1203,0.0764,0.0624,0.0,1.0,None,None,None,None,None,None,None,None,None,0.072,0.0,1.5944,1.6246
801003,2017-12-31 00:00:00,CNSESZ,0.4164,0.3321,5.5045,0.0166,0.2202,0.0756,0.1154,0.0378,0.1567,0.1027,0.0819,0.0125,0.9875,None,None,None,None,None,None,None,None,None,0.282,0.0,1.3715,1.62
801003,2017-09-30 00:00:00,CNSESH,0.5,0.4735,5.1076,0.0,0.1936,0.0979,0.1416,0.0126,0.1348,0.0931,0.0882,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3266,0.0,2.3173,1.2107
801003,2019-12-31 00:00:00,CNSESZ,0.3186,0.2374,6.2586,0.0545,0.2186,0.0509,0.0915,0.0275,0.1308,0.0727,0.0542,0.0183,0.9817,None,None,None,None,None,None,None,None,None,0.9026,0.0029,1.527,1.6369
801003,2020-06-30 00:00:00,CNSESZ,0.2039,0.1675,2.8179,0.0,0.212,0.0723,0.1133,0.0162,0.0723,0.0462,0.0379,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5413,0.0107,1.5167,1.6363
801003,2020-03-31 00:00:00,CNSESH,0.1421,0.1254,1.6694,0.0,0.1814,0.0851,0.1256,0.0032,0.0329,0.0223,0.0197,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2721,0.0,2.8885,1.2842
801003,2020-09-30 00:00:00,CNSESZ,0.3468,0.2784,4.536,0.0,0.2143,0.0764,0.1171,0.0265,0.1164,0.076,0.061,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0656,0.0,1.6593,1.7311
801003,2020-12-31 00:00:00,CNSESZ,0.3981,0.2819,6.4474,0.0775,0.209,0.0617,0.1014,0.0307,0.1414,0.0861,0.0609,0.0211,0.9789,None,None,None,None,None,None,None,None,None,0.4022,0.0,1.6404,1.7832
801003,2021-06-30 00:00:00,CNSESZ,0.2697,0.2298,3.5397,0.0,0.2063,0.0761,0.115,0.0188,0.087,0.0576,0.0491,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1194,0.0035,1.6997,1.8405
801003,2021-03-31 00:00:00,CNSESZ,0.1269,0.1094,1.6802,0.0,0.2074,0.0755,0.1135,0.009,0.0404,0.0269,0.0232,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0957,0.0,1.7487,1.8335
801003,2021-09-30 00:00:00,CNSESH,0.5933,0.5677,6.4318,0.0,0.1794,0.0922,0.1313,0.0117,0.1208,0.0848,0.0812,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2048,0.0,3.2012,1.3837
801003,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
