指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801005,2018-09-30 00:00:00,CNSESZ,0.2541,0.2007,2.6704,0.0,0.293,0.0951,0.124,0.0455,0.0915,0.0702,0.0554,0.0,1.0,None,None,None,None,None,None,None,None,None,0.034,0.0,1.1516,1.6841
801005,2017-09-30 00:00:00,CNSESZ,0.2664,0.215,2.468,0.0,0.2924,0.1079,0.1343,0.0538,0.0981,0.0789,0.0637,0.0,1.0,None,None,None,None,None,None,None,None,None,0.164,0.0,1.0464,1.6813
801005,2017-12-31 00:00:00,CNSESZ,0.3433,0.2865,3.5459,0.0115,0.3006,0.0968,0.1259,0.0624,0.1213,0.0933,0.0779,0.0153,0.9847,None,None,None,None,None,None,None,None,None,0.5308,0.0,1.1123,1.8035
801005,2018-06-30 00:00:00,CNSESZ,0.1701,0.1362,1.7302,0.0,0.2938,0.0983,0.1298,0.0313,0.0622,0.0471,0.0377,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2802,0.0,1.1006,1.7268
801005,2017-03-31 00:00:00,CNSESZ,0.0715,0.0618,0.759,0.0,0.2853,0.0942,0.111,0.0146,0.0246,0.0209,0.0181,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1333,0.0,1.0714,1.8633
801005,2018-03-31 00:00:00,CNSESZ,0.0851,0.0664,0.8188,0.0,0.3027,0.1039,0.1445,0.0164,0.0317,0.0228,0.0178,0.0,1.0,None,None,None,None,None,None,None,None,None,0.033,0.0,1.1639,1.8624
801005,2018-12-31 00:00:00,CNSESZ,0.1195,0.0584,3.7049,0.0031,0.2918,0.0322,0.062,0.0252,0.0619,0.0321,0.0157,0.0103,0.9897,None,None,None,None,None,None,None,None,None,0.4159,0.0,1.0082,1.6986
801005,2019-03-31 00:00:00,CNSESZ,0.0741,0.0578,0.9655,0.0,0.2623,0.0768,0.1078,0.0133,0.0271,0.0193,0.0151,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0465,0.0,1.1585,1.7934
801005,2019-09-30 00:00:00,CNSESZ,0.3134,0.2405,3.4893,0.0,0.2499,0.0898,0.1146,0.052,0.1065,0.0834,0.064,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0753,0.0,1.1433,1.6769
801005,2017-06-30 00:00:00,CNSESZ,0.1635,0.138,1.5462,0.0,0.2876,0.1057,0.1299,0.0343,0.062,0.0505,0.0426,0.0,1.0,None,None,None,None,None,None,None,None,None,0.5171,0.0,0.9927,1.6439
801005,2019-06-30 00:00:00,CNSESZ,0.1696,0.141,2.0211,0.0,0.2681,0.0839,0.1117,0.029,0.0605,0.0454,0.0377,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6233,0.0,1.1427,1.7184
801005,2019-12-31 00:00:00,CNSESZ,0.2618,0.1766,4.585,0.0082,0.2744,0.0571,0.0813,0.0436,0.098,0.0687,0.0464,0.02,0.98,None,None,None,None,None,None,None,None,None,1.5032,0.0,1.1612,1.7181
801005,2020-06-30 00:00:00,CNSESZ,0.1975,0.1611,2.0452,0.0,0.2539,0.0966,0.1224,0.0304,0.0655,0.0516,0.0421,0.0,1.0,None,None,None,None,None,None,None,None,None,0.92,0.0066,1.0815,1.666
801005,2020-03-31 00:00:00,CNSESZ,0.0639,0.05,0.9215,0.0,0.2398,0.0693,0.0925,0.0102,0.0218,0.0163,0.0128,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1433,0.0,1.07,1.7321
801005,2020-09-30 00:00:00,CNSESZ,0.3582,0.2846,3.46,0.0,0.2546,0.1035,0.1292,0.0536,0.1111,0.089,0.0707,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1076,0.0,1.2643,1.9097
801005,2020-12-31 00:00:00,CNSESZ,0.3291,0.2335,4.7437,0.0106,0.2642,0.0693,0.0978,0.0492,0.1112,0.0788,0.0559,0.0166,0.9834,None,None,None,None,None,None,None,None,None,0.655,0.0,1.215,2.0283
801005,2021-03-31 00:00:00,CNSESZ,0.1198,0.1,1.1945,0.0,0.2626,0.1003,0.1292,0.0166,0.037,0.0287,0.0239,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1439,0.0,1.3053,2.1049
801005,2021-06-30 00:00:00,CNSESZ,0.2351,0.195,2.4132,0.0,0.2722,0.0974,0.1274,0.0327,0.0743,0.0568,0.0471,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1733,0.0084,1.2861,2.0956
801005,2021-09-30 00:00:00,CNSESZ,0.3361,0.2876,3.681,0.0,0.2656,0.0913,0.1193,0.0452,0.1017,0.0778,0.0666,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0457,0.0,1.367,2.1866
801005,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,0.0,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
