指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801012,2018-09-30 00:00:00,CNSESZ,0.0181,-0.0353,3.8623,0.0,0.1103,0.0047,0.0362,0.0149,0.0504,0.0065,-0.0127,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0168,1.6716
801012,2018-03-31 00:00:00,CNSESZ,-0.0001,-0.0125,1.3697,0.0,0.0983,-0.0001,0.0043,0.0047,0.002,0.0,-0.0044,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0179,1.9184
801012,2017-03-31 00:00:00,CNSESZ,0.0488,0.0241,0.9873,0.0,0.1457,0.0494,0.0697,0.0114,0.0261,0.0185,0.0091,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.1546,1.9075
801012,2018-12-31 00:00:00,CNSESZ,-0.1076,-0.2306,6.2671,0.0,0.1101,-0.0171,0.0093,-0.0004,0.0202,-0.0373,-0.0799,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0942,2.2261
801012,2019-03-31 00:00:00,CNSESZ,0.0812,0.0515,4.0118,0.0,0.1093,0.0202,0.0285,0.0099,0.0277,0.0196,0.0124,0.0,1.0,None,None,None,None,None,None,None,None,None,0.822,0.0,2.3863,3.1317
801012,2019-06-30 00:00:00,CNSESZ,0.163,0.1165,7.8601,0.0,0.1151,0.0207,0.0324,0.0201,0.0611,0.0391,0.0279,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8333,0.0,2.4361,3.1306
801012,2019-09-30 00:00:00,CNSESZ,0.5117,0.0886,18.6985,0.0,0.1195,0.0273,0.0429,0.0957,0.2705,0.1724,0.0298,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3556,1.9622
801012,2017-06-30 00:00:00,CNSESH,0.1827,0.1677,2.3882,0.0,0.2104,0.0765,0.1061,0.0368,0.0864,0.0623,0.0571,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7256,1.1065
801012,2017-09-30 00:00:00,CNSESH,0.2385,0.2211,3.7114,0.0,0.1957,0.0642,0.0956,0.0506,0.1179,0.0792,0.0734,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.7814,1.1095
801012,2017-12-31 00:00:00,CNSESZ,0.0928,-0.0412,5.3706,0.0078,0.1067,0.0172,0.0308,0.0312,0.0605,0.0338,-0.015,0.1938,0.8062,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0151,1.9183
801012,2018-06-30 00:00:00,CNSESZ,-0.0091,-0.0447,2.5062,0.0,0.1099,-0.0036,0.0319,0.008,0.0306,-0.0034,-0.0171,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.0433,1.6716
801012,2020-03-31 00:00:00,CNSESH,0.0441,0.0259,1.0735,0.0,0.1324,0.041,0.0628,0.0081,0.0215,0.014,0.0082,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5358,1.5332
801012,2019-12-31 00:00:00,CNSESZ,0.4606,0.2973,16.7633,0.0183,0.1206,0.0274,0.04,0.0324,0.1008,0.0692,0.0447,0.0,1.0,None,None,None,None,None,None,None,None,None,1.2446,0.0,2.6259,3.0224
801012,2020-06-30 00:00:00,CNSESZ,0.4609,0.4323,12.8778,0.0,0.0404,0.0357,0.0489,0.0188,0.0609,0.0445,0.0418,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3813,0.0,0.4266,1.9743
801012,2020-09-30 00:00:00,CNSESZ,0.4819,0.5516,13.4877,0.0,0.123,0.0357,0.0484,0.0428,0.1373,0.1013,0.1159,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0647,2.9655
801012,2020-12-31 00:00:00,CNSESZ,0.4953,0.6804,18.031,0.0236,0.1195,0.0274,0.0398,0.0297,0.0991,0.0682,0.0937,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9134,3.7708
801012,2021-03-31 00:00:00,CNSESZ,0.1593,0.1739,4.693,0.0,0.1286,0.0339,0.057,0.01,0.0363,0.0216,0.0236,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.0638,3.7884
801012,2021-09-30 00:00:00,CNSESZ,0.3972,0.4049,14.9082,0.0,0.0951,0.0266,0.0414,0.0257,0.0813,0.0522,0.0532,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.2193,3.7748
801012,2021-06-30 00:00:00,CNSESZ,0.3096,0.3574,9.5641,0.0,0.1185,0.0323,0.0498,0.0189,0.0636,0.0413,0.0477,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.1299,3.7721
801012,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
