指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801020,2018-09-30 00:00:00,CNSESZ,0.2615,0.262,2.7439,0.0,0.2704,0.0953,0.149,0.0456,0.1258,0.0804,0.0806,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0567,0.9927
801020,2017-09-30 00:00:00,CNSESZ,0.2073,0.1914,2.4638,0.0,0.2638,0.0841,0.1402,0.0378,0.1165,0.0699,0.0645,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8623,1.0002
801020,2018-03-31 00:00:00,CNSESZ,0.0847,0.0836,0.8653,0.0,0.2741,0.0979,0.159,0.0164,0.0449,0.0276,0.0273,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9613,1.0042
801020,2017-12-31 00:00:00,CNSESZ,0.2415,0.2196,3.3584,0.0071,0.2639,0.0719,0.1323,0.0513,0.1507,0.0819,0.0744,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8788,1.001
801020,2017-03-31 00:00:00,CNSESZ,0.0752,0.0703,0.7993,0.0,0.256,0.0941,0.1456,0.0133,0.0385,0.0249,0.0232,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.784,0.9815
801020,2017-06-30 00:00:00,CNSESH,0.168,0.1656,4.3673,0.0,0.1516,0.0384,0.0836,0.0184,0.0628,0.0288,0.0284,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3426,0.0,3.0929,1.0573
801020,2018-06-30 00:00:00,CNSESZ,0.1742,0.1727,1.8029,0.0,0.2677,0.0966,0.1504,0.0321,0.0875,0.0562,0.0557,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9998,0.9984
801020,2018-12-31 00:00:00,CNSESZ,0.2709,0.2792,3.7791,0.0258,0.2702,0.0716,0.1248,0.049,0.1452,0.0834,0.086,0.7056,0.2944,None,None,None,None,None,None,None,None,None,0.0,0.0,1.0485,0.9982
801020,2019-03-31 00:00:00,CNSESZ,0.1002,0.0957,0.9711,0.0,0.2632,0.1032,0.1586,0.0171,0.046,0.0299,0.0286,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1364,0.9605
801020,2019-06-30 00:00:00,CNSESZ,0.1876,0.184,2.0655,0.0,0.251,0.0908,0.1465,0.0316,0.0884,0.0548,0.0538,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1771,0.974
801020,2019-09-30 00:00:00,CNSESZ,0.2631,0.2469,3.0557,0.0,0.2493,0.0861,0.1405,0.0441,0.1246,0.0763,0.0716,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2202,1.0077
801020,2020-03-31 00:00:00,CNSESH,0.0096,-0.0191,2.3561,0.0,0.1204,0.0041,0.0445,0.0032,0.016,0.0014,-0.0029,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6364,1.125
801020,2019-12-31 00:00:00,CNSESZ,0.2637,0.1715,3.9195,0.0222,0.2531,0.0672,0.1257,0.0475,0.1472,0.0787,0.0512,0.0335,0.9665,None,None,None,None,None,None,None,None,None,0.354,0.0,1.1997,0.9578
801020,2020-06-30 00:00:00,CNSESZ,0.1159,0.1159,1.6451,0.0,0.2399,0.0704,0.128,0.0206,0.0628,0.0346,0.0346,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0618,0.0,1.1975,0.9646
801020,2020-09-30 00:00:00,CNSESZ,0.1949,0.1882,2.6367,0.0,0.2495,0.0739,0.1368,0.034,0.1024,0.0553,0.0534,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2884,0.999
801020,2020-12-31 00:00:00,CNSESZ,0.1495,0.0611,3.531,0.0659,0.2375,0.0423,0.1096,0.0312,0.1154,0.0445,0.0182,-0.075,1.075,None,None,None,None,None,None,None,None,None,0.079,0.0,1.1497,0.9612
801020,2021-03-31 00:00:00,CNSESH,0.1806,0.1811,2.6606,0.0,0.1705,0.0679,0.1179,0.014,0.0467,0.0269,0.027,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4256,0.0,3.8747,1.1275
801020,2021-06-30 00:00:00,CNSESZ,0.2617,0.2575,2.155,0.0,0.2866,0.1214,0.2107,0.0396,0.1294,0.0745,0.0734,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3268,0.9955
801020,2021-09-30 00:00:00,CNSESZ,0.428,0.4214,3.4428,0.0,0.2867,0.1243,0.2108,0.0642,0.2036,0.12,0.1182,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4475,0.9955
801020,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
