指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801021,2017-09-30 00:00:00,CNSESZ,0.3002,0.2934,3.3347,0.0,0.2651,0.09,0.1505,0.0428,0.1304,0.078,0.0762,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9108,0.7428
801021,2017-12-31 00:00:00,CNSESZ,0.3998,0.3877,4.5213,0.013,0.2671,0.0884,0.1524,0.0578,0.1749,0.1015,0.0984,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.9786,0.7429
801021,2018-03-31 00:00:00,CNSESZ,0.124,0.1229,1.1776,0.0,0.2766,0.1053,0.1711,0.0165,0.0488,0.03,0.0298,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1026,0.743
801021,2018-09-30 00:00:00,CNSESZ,0.3399,0.3442,3.6168,0.0,0.2667,0.0939,0.1618,0.0445,0.1391,0.0808,0.0818,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1807,0.6596
801021,2017-06-30 00:00:00,CNSESH,0.4332,0.4058,3.9713,0.0,0.2685,0.109,0.1891,0.0334,0.1219,0.0703,0.0658,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4693,0.0,2.9018,1.6885
801021,2018-06-30 00:00:00,CNSESZ,0.2352,0.2379,2.4091,0.0,0.2664,0.0976,0.1626,0.0311,0.0938,0.0563,0.057,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1286,0.743
801021,2018-12-31 00:00:00,CNSESZ,0.3784,0.3618,4.9929,0.0469,0.2708,0.0758,0.1417,0.0512,0.1669,0.0893,0.0853,0.0944,0.9056,None,None,None,None,None,None,None,None,None,0.0,0.0,2.1929,0.6746
801021,2019-03-31 00:00:00,CNSESZ,0.1183,0.1148,1.329,0.0,0.2446,0.089,0.1509,0.0152,0.0456,0.0269,0.0261,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3113,0.6821
801021,2019-06-30 00:00:00,CNSESZ,0.2302,0.2275,2.8466,0.0,0.2368,0.0808,0.1435,0.0296,0.0922,0.0519,0.0513,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3396,0.692
801021,2017-03-31 00:00:00,CNSESZ,0.1244,0.1211,1.2175,0.0,0.2828,0.1021,0.1657,0.0159,0.048,0.0296,0.0288,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.995,0.9463
801021,2019-09-30 00:00:00,CNSESZ,0.3346,0.3286,4.1404,0.0,0.2387,0.0808,0.1432,0.0428,0.133,0.075,0.0737,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.384,0.7483
801021,2019-12-31 00:00:00,CNSESZ,0.3611,0.2188,5.4797,0.0381,0.2365,0.0659,0.1327,0.0477,0.1643,0.0816,0.0494,0.0921,0.9079,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3858,0.7493
801021,2020-06-30 00:00:00,CNSESZ,0.1841,0.1825,2.326,0.0,0.232,0.0791,0.1447,0.0238,0.0767,0.0419,0.0415,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3047,0.7114
801021,2020-03-31 00:00:00,CNSESH,0.2091,0.091,2.4774,0.0,0.2253,0.0844,0.1543,0.0128,0.0426,0.0233,0.0101,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.1433,2.0358
801021,2020-09-30 00:00:00,CNSESZ,0.2796,0.2784,3.5904,0.0,0.2385,0.0778,0.1458,0.0361,0.1163,0.0621,0.0618,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.3789,0.7077
801021,2020-12-31 00:00:00,CNSESZ,0.2641,0.153,5.0388,0.111,0.2186,0.0524,0.1203,0.0367,0.1398,0.0609,0.0353,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.2643,0.7137
801021,2021-03-31 00:00:00,CNSESZ,0.1501,0.0947,1.4273,0.0,0.2599,0.1051,0.1964,0.0167,0.0625,0.0334,0.0211,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4144,0.7137
801021,2021-06-30 00:00:00,CNSESH,0.7657,0.7501,6.3907,0.0,0.2412,0.1198,0.198,0.04,0.1385,0.0838,0.0821,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.3987,2.0367
801021,2021-09-30 00:00:00,CNSESH,1.2515,1.2453,10.4199,0.0,0.2464,0.1201,0.2001,0.0641,0.2196,0.1317,0.1311,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,5.8798,2.0204
801021,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
