指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801022,2018-09-30 00:00:00,CNSESZ,0.2009,0.2,1.6117,0.0,0.3085,0.1246,0.1452,0.0695,0.1358,0.1165,0.116,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.5708,1.2465
801022,2017-09-30 00:00:00,CNSESH,0.1058,0.0818,4.7534,0.0,0.2374,0.0222,0.1304,0.0278,0.1641,0.028,0.0216,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3501,1.3882
801022,2017-12-31 00:00:00,CNSESZ,0.0848,0.0583,1.6736,0.0,0.3095,0.0507,0.1095,0.0464,0.1382,0.064,0.044,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.7586,1.2424
801022,2018-03-31 00:00:00,CNSESZ,0.048,0.0477,0.4721,0.0,0.2987,0.1017,0.147,0.0235,0.051,0.0353,0.0351,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.7166,1.2471
801022,2018-06-30 00:00:00,CNSESZ,0.1163,0.1156,1.0042,0.0,0.2979,0.1158,0.1424,0.0502,0.1029,0.0837,0.0832,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.6523,1.2464
801022,2017-06-30 00:00:00,CNSESH,0.0557,0.0423,3.0433,0.0,0.2342,0.0183,0.1196,0.0165,0.0972,0.0148,0.0112,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2999,1.3882
801022,2017-03-31 00:00:00,CNSESZ,0.0213,0.011,0.2747,0.0,0.1583,0.0776,0.0722,0.0064,0.0148,0.0159,0.0082,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.9629,0.8611
801022,2018-12-31 00:00:00,CNSESZ,0.2931,0.2864,2.2528,0.0,0.3016,0.1301,0.1386,0.0956,0.1771,0.1662,0.1624,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.4797,1.2464
801022,2019-03-31 00:00:00,CNSESZ,0.094,0.0931,0.5917,0.0,0.3329,0.1589,0.1939,0.0307,0.0619,0.0507,0.0502,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3987,1.2465
801022,2019-06-30 00:00:00,CNSESZ,0.166,0.1638,1.162,0.0,0.3094,0.1429,0.1761,0.052,0.1036,0.084,0.0829,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3403,1.2465
801022,2019-09-30 00:00:00,CNSESZ,0.2195,0.1819,1.8211,0.0,0.2899,0.1205,0.1509,0.069,0.139,0.111,0.092,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.2978,1.258
801022,2020-03-31 00:00:00,CNSESH,0.0411,0.0472,1.5846,0.0,0.2112,0.0259,0.0947,0.0076,0.0348,0.0095,0.0109,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3966,1.9267
801022,2019-12-31 00:00:00,CNSESZ,0.2556,0.2259,2.2399,0.0059,0.3121,0.1141,0.1527,0.0781,0.1665,0.1244,0.11,0.0,1.0,None,None,None,None,None,None,None,None,None,1.1128,0.0,-0.0908,1.0913
801022,2020-06-30 00:00:00,CNSESZ,0.0687,0.0673,0.9474,0.0,0.2729,0.0725,0.1041,0.0187,0.0484,0.0337,0.033,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1942,0.0,-0.0227,1.1677
801022,2020-09-30 00:00:00,CNSESZ,0.1539,0.1232,1.648,0.0,0.2958,0.0934,0.1385,0.045,0.1022,0.0689,0.0551,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0063,1.2925
801022,2020-12-31 00:00:00,CNSESZ,0.2147,0.1414,2.0173,0.0184,0.3153,0.1064,0.1757,0.0618,0.1532,0.0928,0.0611,0.547,0.453,None,None,None,None,None,None,None,None,None,0.2485,0.0,0.0992,1.1678
801022,2021-03-31 00:00:00,CNSESZ,0.1124,0.1102,0.6156,0.0,0.3737,0.1825,0.2766,0.0329,0.0751,0.0495,0.0486,0.0,1.0,None,None,None,None,None,None,None,None,None,0.2814,0.0,0.2072,1.1679
801022,2021-09-30 00:00:00,CNSESH,1.1149,1.0415,6.5748,0.0,0.3573,0.1695,0.2821,0.0873,0.3541,0.2129,0.1988,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.4395,2.163
801022,2021-06-30 00:00:00,CNSESZ,0.2753,0.2676,1.3539,0.0,0.4001,0.2033,0.3124,0.0736,0.1686,0.1097,0.1067,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3482,1.2716
801022,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
