指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801023,2018-03-31 00:00:00,CNSESH,0.0534,0.0648,2.8344,0.0,0.1157,0.0188,0.0623,0.0069,0.0279,0.0084,0.0102,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7389,0.7172
801023,2018-09-30 00:00:00,CNSESH,0.2545,0.3066,8.9342,0.0,0.1316,0.0284,0.0762,0.0254,0.1068,0.0399,0.048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7974,0.7173
801023,2017-06-30 00:00:00,CNSESH,0.0668,0.0805,5.1621,0.0,0.107,0.0129,0.0439,0.0099,0.0357,0.0105,0.0127,0.0,1.0,None,None,None,None,None,None,None,None,None,0.4466,0.0,3.7626,0.6977
801023,2017-12-31 00:00:00,CNSESH,0.1193,0.1398,10.5175,0.0659,0.1175,0.0113,0.0398,0.0186,0.0666,0.019,0.0222,0.8837,0.1163,None,None,None,None,None,None,None,None,None,0.6633,0.0,3.6863,0.7172
801023,2017-03-31 00:00:00,CNSESH,0.0302,0.0363,2.6109,0.0,0.1095,0.0115,0.0437,0.0048,0.0181,0.0048,0.0057,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7629,0.6978
801023,2018-06-30 00:00:00,CNSESH,0.1425,0.1587,5.7933,0.0,0.1225,0.0246,0.0678,0.0154,0.062,0.0224,0.025,0.0,1.0,None,None,None,None,None,None,None,None,None,0.6866,0.0,3.7701,0.7174
801023,2018-12-31 00:00:00,CNSESH,0.2772,0.3487,12.295,0.0846,0.1343,0.0225,0.0659,0.0295,0.1272,0.0435,0.0547,0.2182,0.7818,None,None,None,None,None,None,None,None,None,0.7266,0.0,3.7925,0.7173
801023,2019-03-31 00:00:00,CNSESH,0.0525,0.0706,3.0866,0.0,0.1132,0.017,0.0618,0.0069,0.0297,0.0081,0.011,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.845,0.7174
801023,2019-06-30 00:00:00,CNSESH,0.15,0.1602,6.2486,0.0,0.1171,0.024,0.0666,0.0168,0.0646,0.0232,0.0248,0.0,1.0,None,None,None,None,None,None,None,None,None,0.7466,0.0,3.8515,0.7094
801023,2019-09-30 00:00:00,CNSESH,0.1995,0.217,9.479,0.0,0.1104,0.021,0.0605,0.0222,0.0886,0.0308,0.0335,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.827,0.7101
801023,2017-09-30 00:00:00,CNSESH,0.0907,0.1144,7.6024,0.0,0.1089,0.0119,0.044,0.0142,0.0534,0.0145,0.0182,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.6676,0.7182
801023,2020-03-31 00:00:00,CNSESH,-0.0808,-0.0754,2.661,0.0,0.0762,-0.0303,-0.0015,-0.0029,-0.0006,-0.0125,-0.0116,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7745,0.7104
801023,2019-12-31 00:00:00,CNSESH,0.2437,0.2838,13.1486,0.0739,0.1153,0.0185,0.0576,0.0287,0.1172,0.0376,0.0438,0.3108,0.6892,None,None,None,None,None,None,None,None,None,0.79,0.0,3.8553,0.7102
801023,2020-06-30 00:00:00,CNSESH,-0.1564,-0.1658,4.8533,0.0,0.0655,-0.0322,-0.0062,-0.0059,-0.0047,-0.0244,-0.0259,0.0,1.0,None,None,None,None,None,None,None,None,None,0.8133,0.0,3.636,0.7104
801023,2020-09-30 00:00:00,CNSESH,0.0519,-0.1212,7.4499,0.0,0.0816,0.0069,0.0436,0.0112,0.0503,0.008,-0.0187,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.7621,0.709
801023,2020-12-31 00:00:00,CNSESH,0.086,-0.0776,10.0976,0.0832,0.0998,0.0085,0.0453,0.0158,0.0708,0.0132,-0.012,0.842,0.158,None,None,None,None,None,None,None,None,None,0.61,0.0,3.7634,0.7105
801023,2021-06-30 00:00:00,CNSESH,0.2779,0.2373,6.2464,0.0,0.1151,0.0445,0.0826,0.0238,0.0799,0.043,0.0367,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.958,0.7131
801023,2021-03-31 00:00:00,CNSESH,0.1456,0.1471,2.8824,0.0,0.1433,0.0505,0.0892,0.0123,0.0396,0.0224,0.0226,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.909,0.7107
801023,2021-09-30 00:00:00,CNSESH,0.3927,0.3584,9.8158,0.0,0.1119,0.04,0.0751,0.0344,0.1135,0.0604,0.0552,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,3.9486,0.7143
801023,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
