指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801024,2018-09-30 00:00:00,CNSESZ,0.0691,0.0553,1.9717,0.0,0.2093,0.035,0.046,0.0155,0.0278,0.0211,0.0169,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5738,1.824
801024,2017-09-30 00:00:00,CNSESH,-0.0679,-0.09,2.7681,0.0,0.0737,-0.0245,0.0115,0.0004,0.0111,-0.0235,-0.0312,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4697,1.4657
801024,2018-03-31 00:00:00,CNSESZ,0.0043,0.0002,0.5436,0.0,0.1806,0.0079,0.0616,0.0059,0.0107,0.0013,0.0,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5404,1.5436
801024,2017-03-31 00:00:00,CNSESZ,0.0177,0.0217,0.5109,0.0,0.1286,0.0347,0.0492,0.007,0.0089,0.0063,0.0077,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6355,1.5022
801024,2018-06-30 00:00:00,CNSESZ,0.0552,0.0307,1.3015,0.0,0.2086,0.0424,0.0592,0.0146,0.0249,0.0178,0.0099,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5711,1.4805
801024,2017-06-30 00:00:00,CNSESH,-0.0232,-0.0376,1.6136,0.0,0.0787,-0.0144,0.0177,0.0015,0.0114,-0.0092,-0.015,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4605,1.1321
801024,2018-12-31 00:00:00,CNSESZ,-0.3096,-0.1368,2.5761,0.0033,0.1821,-0.1201,-0.068,-0.0512,-0.0588,-0.1039,-0.0459,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.1837,1.7973
801024,2019-03-31 00:00:00,CNSESZ,0.0279,0.0057,0.3615,0.0,0.2464,0.0773,0.1181,0.0086,0.0153,0.01,0.002,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0736,1.4643
801024,2019-09-30 00:00:00,CNSESZ,0.0311,0.0308,1.3888,0.0,0.2431,0.0224,0.0546,0.0094,0.0261,0.0107,0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0581,1.5519
801024,2019-06-30 00:00:00,CNSESZ,0.0369,0.0246,0.9446,0.0,0.2402,0.0391,0.075,0.0108,0.0246,0.0128,0.0085,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0673,1.5522
801024,2017-12-31 00:00:00,CNSESZ,-0.0549,-0.1115,2.8519,0.0,0.1544,-0.0192,0.0157,0.0038,0.0144,-0.0176,-0.0358,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5385,1.5288
801024,2019-12-31 00:00:00,CNSESZ,-0.215,-0.2773,2.0234,0.0,0.2452,-0.1062,-0.0831,-0.0363,-0.0662,-0.0846,-0.1092,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.1906,1.5496
801024,2020-06-30 00:00:00,CNSESZ,-0.0797,-0.0657,0.5249,0.0,0.2115,-0.1518,-0.1158,-0.0111,-0.0239,-0.0314,-0.0259,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3088,1.5876
801024,2020-03-31 00:00:00,CNSESH,0.0105,0.0039,0.898,0.0,0.1085,0.0117,0.0391,0.0036,0.0139,0.0041,0.0015,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3732,1.0742
801024,2020-09-30 00:00:00,CNSESZ,-0.125,-0.0821,0.7614,0.0,0.2001,-0.1642,-0.1033,-0.0138,-0.0315,-0.0501,-0.0329,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3599,1.5989
801024,2020-12-31 00:00:00,CNSESZ,-0.6405,-0.6661,1.0888,0.0,0.1907,-0.5882,-0.5478,-0.1314,-0.305,-0.3275,-0.3405,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.8859,1.5029
801024,2021-06-30 00:00:00,CNSESH,0.0698,0.0605,2.3242,0.0,0.094,0.03,0.0495,0.0128,0.043,0.0261,0.0226,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0487,0.0,0.4681,1.0801
801024,2021-03-31 00:00:00,CNSESZ,-0.0142,-0.025,0.2262,0.0,0.2089,-0.063,-0.0573,-0.0017,-0.0065,-0.0072,-0.0126,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.8992,1.5038
801024,2021-09-30 00:00:00,CNSESZ,0.0037,-0.0126,0.8094,0.0,0.2577,0.0046,0.0578,0.0091,0.0243,0.0019,-0.0065,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.8931,1.5028
801024,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
