指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801030,2018-09-30 00:00:00,CNSESZ,0.3151,0.2578,4.8356,0.0,0.1757,0.0651,0.1012,0.0477,0.1267,0.0815,0.0667,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0173,0.0,1.199,1.6847
801030,2017-09-30 00:00:00,CNSESH,0.3381,0.3177,10.2929,0.0,0.1147,0.0328,0.0552,0.0378,0.1198,0.0713,0.067,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0852,0.0,1.871,1.1085
801030,2018-03-31 00:00:00,CNSESZ,0.1112,0.0906,1.5137,0.0,0.1834,0.0735,0.1136,0.0166,0.0432,0.0279,0.0227,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0296,0.0,1.1962,1.8274
801030,2017-12-31 00:00:00,CNSESZ,0.285,0.2333,6.2934,0.0384,0.1752,0.0452,0.0776,0.0483,0.1249,0.0729,0.0596,0.0545,0.9455,None,None,None,None,None,None,None,None,None,0.3343,0.0,1.1066,1.8006
801030,2017-06-30 00:00:00,CNSESH,0.2268,0.2146,6.9727,0.0,0.1119,0.0325,0.0544,0.0249,0.0795,0.0475,0.0449,0.0,1.0,None,None,None,None,None,None,None,None,None,0.3121,0.0,1.8541,1.1387
801030,2017-03-31 00:00:00,CNSESZ,0.0968,0.0874,1.4077,0.0,0.1789,0.0688,0.1001,0.0156,0.0388,0.0267,0.0241,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0314,0.0,1.097,1.795
801030,2018-12-31 00:00:00,CNSESZ,0.3118,0.2355,6.57,0.0141,0.1672,0.0474,0.079,0.0503,0.1339,0.0804,0.0607,0.0295,0.9705,None,None,None,None,None,None,None,None,None,0.2289,0.0,1.177,1.726
801030,2019-03-31 00:00:00,CNSESZ,0.0771,0.0651,1.2617,0.0,0.2028,0.0611,0.103,0.0134,0.0322,0.0191,0.0161,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.1546,1.7953
801030,2019-06-30 00:00:00,CNSESZ,0.164,0.1423,2.6645,0.0,0.1996,0.0615,0.0993,0.0277,0.0666,0.0413,0.0358,0.0,1.0,None,None,None,None,None,None,None,None,None,0.341,0.0,1.1088,1.7433
801030,2019-09-30 00:00:00,CNSESZ,0.2483,0.2053,4.2269,0.0,0.1334,0.0587,0.094,0.0414,0.0996,0.0622,0.0514,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1231,0.0,1.1497,1.7351
801030,2018-06-30 00:00:00,CNSESZ,0.2261,0.1882,3.2026,0.0,0.1801,0.0705,0.1079,0.034,0.089,0.0582,0.0484,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1306,0.0,1.17,1.7502
801030,2020-03-31 00:00:00,CNSESH,0.0853,0.0572,1.4773,0.0,0.1886,0.0577,0.0944,0.0112,0.0312,0.0191,0.0128,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.0419,1.4284
801030,2019-12-31 00:00:00,CNSESZ,-0.0965,0.1836,5.443,0.0158,0.1951,-0.0177,0.0146,0.0012,0.0212,-0.0257,0.0489,0.0181,0.9819,None,None,None,None,None,None,None,None,None,1.1981,0.0,0.7778,1.6905
801030,2020-06-30 00:00:00,CNSESZ,0.1419,0.1235,2.4739,0.0,0.1859,0.0573,0.0901,0.0248,0.0601,0.0382,0.0333,0.0,1.0,None,None,None,None,None,None,None,None,None,0.7243,0.0532,0.7573,1.8132
801030,2020-09-30 00:00:00,CNSESZ,0.2417,0.2059,3.9878,0.0,0.177,0.0606,0.0919,0.04,0.0942,0.0621,0.0529,0.0,1.0,None,None,None,None,None,None,None,None,None,0.036,0.0,0.8016,1.929
801030,2020-12-31 00:00:00,CNSESZ,0.2471,0.2038,5.1916,0.0167,0.1868,0.0476,0.0827,0.0453,0.1144,0.0658,0.0543,0.0204,0.9796,None,None,None,None,None,None,None,None,None,0.8105,0.0,0.8215,2.0175
801030,2021-03-31 00:00:00,CNSESZ,0.1447,0.1236,1.46,0.0,0.2078,0.0991,0.1347,0.0204,0.0498,0.0366,0.0313,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0274,0.0,0.9262,2.0806
801030,2021-09-30 00:00:00,CNSESH,0.8257,0.7823,6.3489,0.0,0.2344,0.13,0.1804,0.0881,0.239,0.1723,0.1632,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1111,0.0,2.6568,1.5065
801030,2021-06-30 00:00:00,CNSESH,0.561,0.5176,4.1487,0.0,0.238,0.1352,0.1916,0.0608,0.1701,0.1201,0.1108,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0849,0.0,2.4403,1.4426
801030,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
